en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
											I was 14 years old
											inside of a bowling alley,
											burglarizing an arcade game,
											and upon exiting the building
											a security guard grabbed my arm, so I ran.
											I ran down the street,
and I jumped on top of a fence.
											And when I got to the top,
											the weight of 3,000 quarters
in my book bag
											pulled me back down to the ground.
											So when I came to, the security guard
was standing on top of me,
											and he said, ""Next time you little punks
steal something you can carry.""
									","
											Eu tinha 14 anos,
											estava num salão de jogos,
											a arrombar um jogo eletrónico,
											e ao sair do edifício
											um segurança agarrou-me
no braço, então fugi.
											Fugi até ao fundo da rua,
e saltei para o topo de uma cerca.
											Quando cheguei ao topo,
											o peso de 3000 moedas
na pasta da escola
											arrastaram-me de novo para o chão.
											Quando isto aconteceu, o segurança
estava em cima de mim e disse:
											""Da próxima, vê se roubas
uma coisa que consigas carregar.""
									","
											14 yaşında,
											bir bovling yolunda,
											oyun konsolundan çaldığım paralarla
											binadan kaçmaya çalışırken,
											güvenlik elemanı kolumu
yakaladı ve hızla koştum.
											Caddenin aşağısına ilerledim
ve tel örgülerin üstüne atladım.
											Örgünün tepesine ulaştığımda,
											çantamdaki 3000 kadar
çeyrekliğin ağırlığı,
											beni yere çekti.
											Kendime geldiğimde, güvenlik 
görevlisi başımda dikiliyordu:
											""Bir dahakine taşıyabileceğin bir
şey çal küçük serseri."" dedi.
									","
											Con 14 años estaba en una bolera robando
el dinero de una máquina recreativa
											y al salir del edificio, un guardia
me agarró por brazo, así que corrí.
											Corrí calle abajo y salté la valla.
											En lo alto, el peso de las 3000 monedas
de un cuarto de dólar de mi mochila
											me hizo caer al suelo.
											Estaba en el suelo con el guardia
de seguridad de pie encima de mí
											y me dijo, ""La próxima vez, pequeño
macara, roba algo que te puedas llevar"".
									",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
","
","
","
",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
","
","
","
",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
											I was taken to juvenile hall
											and when I was released
into the custody of my mother,
											the first words my uncle said was,
""How'd you get caught?""
											I said, ""Man, the book bag was too heavy.""
											He said, ""Man, you weren't supposed
to take all the quarters.""
											I said, ""Man, they were small.
What am I supposed to do?""
											And 10 minutes later, he took me
to burglarize another arcade game.
											We needed gas money to get home.
											That was my life.
									","
											Fui levado para um reformatório
											e quando me entregaram
à tutela da minha mãe,
											as primeiras palavras do meu tio foram:
""Como é que te apanharam?""
											Eu disse: ""A pasta era demasiado pesada.""
											Ele disse: ""Mas não era suposto
levares todas as moedas.""
											E eu: ""Eram pequeninas. 
O que é que eu ia fazer?""
											Dez minutos mais tarde, levou-me
para arrombar outro jogo eletrónico.
											Precisávamos de dinheiro
para a gasolina para ir para casa.
											Assim era a minha vida.
									","
											Çocuk ıslah evine götürüldüm.
											Annemin gözetimi altında salındım.
											Dayımın ilk sözleri:
""Nasıl yakalandın?"" idi.
											""Çanta çok ağırdı adamım."" dedim.
											""Hepsini almamalıydın zaten."" dedi.
											""Çok küçüklerdi. Ne yapmamı
bekliyordun ki?"" dedim.
											10 dakika sonra ise başka bir oyun
salonuna, yeni bir soyguna gittik.
											Eve gidebilmek için benzin 
parası gerekiyordu.
											İşte benim hayatım buydu.
									","
											Me llevaron al juzgado de menores
											y cuando me liberaron
en la custodia de mi madre,
											las primeras palabras que mi tío me dijo
fueron: ""¿Cómo te atraparon?""
											Le dije: ""Tío, la mochila
era demasiado pesada"".
											Me dijo, ""Hombre, se suponía
que no ibas a llevarte todo"".
											Le dije, ""Tío, si tenían poco valor.
¿Qué se supone que tenía que hacer?""
											Y diez minutos más tarde, me llevó
a robar otra máquina recreativa.
											Necesitábamos dinero
para gasolina para llegar a casa.
											Así era mi vida.
									",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
","
","
","
",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
											I grew up in Oakland, California,
											with my mother and members
of my immediate family
											addicted to crack cocaine.
											My environment consisted
of living with family, friends,
											and homeless shelters.
											Oftentimes, dinner was served
in breadlines and soup kitchens.
											The big homey told me this:
											money rules the world
											and everything in it.
											And in these streets, money is king.
											And if you follow the money,
											it'll lead you to the bad guy
or the good guy.
									","
											Eu cresci em Oakland, na Califórnia,
											com a minha mãe
e membros da família mais próxima
											viciados em cocaína.
											O meu ambiente consistia em viver
com a família, amigos,
											e com pessoas sem-abrigo.
											Muitas vezes, o jantar era servido
em filas para pão e sopa dos pobres.
											Um grande amigo disse-me isto:
											""O dinheiro comanda o mundo
e tudo o que nele existe.
											""E nestas ruas, o dinheiro é rei.
											""Se seguires o dinheiro,
											""ele leva-te ao bandido
ou ao homem decente"".
									","
											Annem ve krek kokain 

											bağımlısı akrabalarımla beraber Oakland,
											Kaliforniya'da büyüdüm.
											Akrabalarım, arkadaşlarım
ve evsizler barınağından
											oluşan bir ortamım vardı.
											Genellikle, akşam yemeklerini aşevlerinde
veya bedava yemek kuyruklarında yerdik.
											Büyük ağabeylerden biri:
											""Dünyayı ve içindeki her şeyi
											para yönetir."" demişti.
											Bu sokakların kralı paradır.
											Ve parayı takip edersen,
											seni kötü adamlara
ya da iyi adamlara götürür.
									","
											Crecí en Oakland, California,
											con mi madre y y familiares
cercanos adictos a la cocaína.
											Mi vida consistía en vivir
con la familia, los amigos,
											y con los sin techo.
											A menudo, me servían la cena
en las filas de los albergues.
											Un sintecho grandulón me dijo
											que el dinero mandaba el mundo
											y todo lo que hay en él.
											Y en estas calles, el dinero es el rey.
											Y si sigues el dinero,
											te llevará con el tipo malo
o el tipo bueno.
									",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
","
","
","
",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
"
											Soon after, I committed my first crime,
											and it was the first time
that I was told that I had potential
											and felt like somebody believed in me.
											Nobody ever told me
that I could be a lawyer,
											doctor or engineer.
											I mean, how was I supposed to do that?
I couldn't read, write or spell.
											I was illiterate.
											So I always thought
crime was my way to go.
									","
											Logo depois, cometi o meu primeiro crime,
											e foi a primeira vez que me foi dito
que tinha potencial
											e senti que alguém acreditava em mim.
											Nunca me disseram
que eu podia ser advogado,
											médico ou engenheiro.
											Como é que eu podia ser isso?
											Não sabia ler, nem escrever.
Era analfabeto.
											Então sempre vi o crime
como o meu modo de o atingir.
									","
											Çok geçmeden ilk suçumu işledim.
											Hayatımda ilk kez
potansiyelim olduğu söylendi.
											Birilerinin bana inandığını hissetmiştim.
											Kimse bana avukat, doktor veya mühendis
											olabileceğimi söylemedi.
											Zaten bunu nasıl yapabilirdim ki?
Okuyup yazamıyordum.
											Tam anlamıyla cahildim.
											Bu yüzden, her zaman yolumun
suç işlemek olduğunu düşündüm.
									","
											Poco después, cometí mi primer crimen,
											y fue la primera vez
que me dijeron que tenía potencial
											y sentí como si alguien creyera en mí.
											Nadie me dijo nunca que podría llegar
a ser abogado, médico o ingeniero.
											Es decir, ¿cómo iba a ser alguien?
No sabía leer, escribir ni deletrear.
											Era analfabeta.
											Así que siempre pensé
que delinquir era la respuesta.
									",How I learned to read — and trade stocks — in prison,"Curtis ""Wall Street"" Carroll",11:03,"prison,criminal justice,finance,TEDx,teaching,business,capitalism,economics,communication,investment,goal-setting,motivation,society,potential,justice system"
