en,es,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											Eight years ago, I was haunted
by an evil spirit.
									","
											Hace ocho años, fui atormentada
por un espíritu maligno.
									","
											Aqui há oito anos, fui assombrada 
por um espírito maligno.
									","
											Il y a huit ans, un esprit maléfique
me hantait.
									","
											Sekiz yıl önce bana kötü
bir ruh musallat olmuştu.
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											I was 25 at the time,
											and I was living in a tiny house
behind someone else's house
											in Los Angeles.
											It was this guest house,
it had kind of been dilapidated,
											not taken care of for a long time.
											And one night, I was sitting there
											and I got this really spooky feeling,
											kind of the feeling
like you're being watched.
											But no one was there except my two dogs,
											and they were just chewing their feet.
											And I looked around. No one was there.
											And I thought, OK,
it's just my imagination.
											But the feeling just kept getting worse,
											and I started to feel
this pressure in my chest,
											sort of like the feeling
when you get bad news.
											But it started to sink lower and lower
											and almost hurt.
									","
											En ese entonces tenía 25 años,
											y vivía en una casa pequeña
detrás de la casa de otra persona
											en Los Ángeles.
											Era una casa de huéspedes, 
estaba arruinada,
											no la habían cuidado en mucho tiempo.
											Y una noche, sentada ahí,
											tuve un sentimiento espeluznante,
											parecido lo que sientes 
cuando alguien te está observando.
											Pero no había nadie ahí, 
excepto mis dos perros,
											y ellos solo se estaban lamiendo
las patas.
											Miré alrededor. No había nadie.
											Y pensé, bien, es solo mi imaginación.
											Pero el sentimiento se hizo más fuerte,
											y empecé a sentir
una presión en el pecho,
											parecida al sentimiento que tienes
cuando te dan malas noticias.
											Y empezó a ser cada vez más profundo
											y casi lastimaba.
									","
											Eu tinha 25 anos na época,
											e morava numa pequena casa 
por detrás da casa de outra pessoa,
											em Los Angeles.
											Aquela casa 
tinha sido meio dilapidada,
											não era arranjada há muito tempo.
											Uma noite, eu estava ali sentada,
											e tive uma sensação assustadora,
											uma certa sensação 
de estar a ser vigiada.
											Mas não havia ali ninguém, 
exceto os meus dois cachorros
											que estavam a lamber as patas.
											Olhei em volta. Não havia ninguém.
											E eu pensei:
""Ok, é só a minha imaginação"".
											Mas aquela sensação continuou a piorar
											e comecei a sentir
uma pressão no peito,
											o tipo de sensação que sentimos
quando recebemos más notícias.
											Aquilo continuou a piorar cada vez mais,
											quase me doía.
									","
											A l'époque, j'avais 25 ans
											et j'habitais dans une petite maison,
derrière une autre maison,
											à Los Angeles.
											Ma maison ressemblait
à une petite résidence secondaire,
											restée négligée longtemps.
											Un soir, j'étais assise,
											quand j'ai ressenti un sentiment lugubre,
											comme quand on se sent épié.
											Mais il n'y avait personne,
sauf mes deux chiens
											qui mordillaient leurs pattes
paisiblement.
											J'ai regardé autour de moi.
Il n'y avait personne.
											Je me suis rassurée en pensant que
mon imagination me jouait des tours.
											Mais ce sentiment d'inquiétude
grandissait en moi
											à un point tel qu'un poids
a commencé à écraser ma poitrine,
											un peu comme le sentiment diffus
que quelque chose de terrible va survenir.
											Le carcan autour de ma poitrine
se resserrait de plus en plus.
											C'était presque douloureux.
									","
											25 yaşımdaydım
											ve Los Angeles'da birisinin evinin
arkasındaki küçük bir evde yaşıyordum.
											Bu misafir evi yıkık döküktü,
											uzun zamandır bakım görmemişti.
											Bir gece oturuyordum ve
ürkütücü bir şeyler hissettim,
											izleniyorum gibi bir histi.
											Ancak iki köpeğim hariç kimse yoktu
											ve onlar da ayaklarını çiğniyorlardı.
											Etrafa baktım. Kimse yoktu.
											Şöyle düşündüm, tamam,
bu benim hayal gücüm.
											Fakat bu his gittikçe kötü bir hâl aldı
											ve göğsümde o baskıyı hissetmeye başladım,
											kötü haber aldığınızda
hissettiğiniz türden bir baskı.
											Gittikçe aşağıya indi
ve neredeyse bir ağrı yarattı.
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											And over the course of that week,
this feeling got worse and worse,
											and I started to become convinced
that something was there
											in my little guest house, haunting me.
									","
											Al final de esa semana, 
ese sentimiento empeoró más y más,
											me convencí de que había algo ahí
											en mi pequeña casa de huéspedes, 
que me estaba atormentando.
									","
											Ao longo daquela semana, 
aquela sensação foi piorando,
											e eu comecei a convencer-me
de que havia algo
											na minha pequena casa,
a assombrar-me.
									","
											Ça n'a fait qu'empirer
la semaine suivante.
											Et j'ai fini par être persuadée
que quelque chose était présent
											dans ma petite maison,
et qu'il me tourmentait.
									","
											Bu hafta süresince bu his
gittikçe daha da kötü bir hâl aldı
											ve küçük misafir evimde bir şeyler
olduğuna ve bana musallat olduğuna
											ikna olmaya başladım.
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											And I started to hear these sounds,
											this ""whoosh,"" kind of whisper,
like something passing through me.
											I called my best friend, Claire, and said,
											""I know this is going to sound crazy,
											but, um ...
											I think there's a ghost in my house,
and I need to get rid of it.""
											And she said — she's very
open-minded — and she said,
											""I don't think you're crazy.
											I think you just need
to do a cleansing ritual.""
									","
											Y empecé a escuchar unos sonidos,
											un zumbido, como un susurro, 
algo que me atravesaba.
											Llamé a mi mejor amiga, Claire, 
y le dije:
											""Sé que esto va a sonar loco,
											pero, mm...
											creo que hay un espíritu en mi casa, 
y necesito deshacerme de él"".
											Y ella dijo — ella es de mente
muy abierta —
											""No creo que estés loca.
											Creo que necesitas un ritual de limpieza"".
									","
											Comecei a ouvir uns sons,
											um ""uushhh"", um tipo de sussurro, 
como algo passando por mim.
											Liguei para a minha melhor amiga, 
Claire, e disse-lhe:
											""Acho que isto vai parecer maluquice.
											""mas, hummm...
											""Acho que há um fantasma cá em casa, 
e preciso de me livrar dele"".
											Ela tem uma mente aberta
e disse:
											""Não acho que estejas maluca.
											""Acho que só precisas de fazer 
um ritual de purificação"".
									","
											J'ai commencé à entendre
des bruits étranges,
											des souffles qui me traversaient
tels des bourrasques.
											J'ai téléphoné à mon amie Claire
et je lui ai dit ceci :
											« Je sais que je vais te paraître bizarre,
											mais , hum...
											je crois qu'un fantôme habite ma maison
et je dois le faire partir. »
											Elle m'a répondu,
et elle a un esprit très ouvert,
											« Je ne crois pas que tu sois folle.
											Je crois juste que tu dois réaliser
un rituel de purification. »
									","
											Sonra sesler duymaya başladım,
											o ıslık gibi, yanımdan bir şey
geçiyormuş gibi, ""vınnn"" sesi.
											En iyi arkadaşım Claire'ı
aradım ve şöyle dedim:
											""Biliyorum bu sana çılgınca gelecek,
											ama, şey ...
											sanırım evimde bir ruh var
ve benim ondan kurtulmam lazım.""
											O da —çok açık fikirlidir— dedi ki:
											""Çılgın olduğunu düşünmüyorum.
											Sanırım yalnızca bir
arınma ritüeli yapmalısın.""
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gülüşmeler)
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											""So get some sage and burn it,
											and tell it to go away.""
									","
											""Consigue salvia y quémala,
											y dile que se vaya"".
									","
											""Arranja sálvia e queima-a
											""e diz-lhe para se ir embora"".
									","
											« Trouve de la sauge que tu vas brûler
											et intime-lui de partir. »
									","
											""Biraz ada çayı al, onu yak
ve ona gitmesini söyle.""
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											So I said, ""OK,""
and I went and I bought sage.
											I had never done this before,
so I set the sage on fire,
											waved it about, and said, ""Go away!
This is my house! I live here.
											You don't live here!""
											But the feeling stayed.
Nothing got better.
											And then I started to think,
											OK, well now this thing is probably
just laughing at me,
											because it hasn't left,
											and I probably just look like
this impotent, powerless thing
											that couldn't get it to go away.
									","
											Dije, ""Bien"",
y fui a comprar salvia.
											Nunca había hecho esto antes, 
le prendí fuego a la salvia,
											recorrí por la casa y dije ""¡Vete! 
¡Esta casa es mía! Aquí vivo yo.
											¡Tú no vives aquí!""
											Pero el sentimiento permaneció.
Nada mejoró.
											Y empecé a pensar,
											quizá debe estar riéndose mí,
											porque no se ha ido,
											y quizá le parezca que soy impotente
											porque no conseguí que se fuera.
									","
											Eu disse: ""Ok""
saí e fui comprar sálvia.
											Eu nunca tinha feito uma coisa daquelas,
											ateei fogo à sálvia,
andei com ela pela casa e disse:
											""Vai-te embora! 
Esta casa é minha! Eu moro aqui.
											""Tu não vives aqui!'
											Mas a sensação permaneceu.
Nada melhorou.
											Então, comecei a pensar.
											Ok, agora esta coisa deve
estar a rir-se de mim,
											porque não se foi embora,
											e eu provavelmente parecia
uma coisa impotente, indefesa
											pois não podia fazê-lo ir-se embora.
									","
											J'ai donc acquiescé et je suis allée
acheter de la sauge.
											Je n'avais jamais fait ça avant.
J'ai mis le feu à la sauge,
											et l'ai brandi de ci, de là, en disant :
« Va-t-en ! C'est ma maison ! Je vis ici.
											Pas toi ! »
											Mais mon sentiment étrange a persisté.
Ça ne s'améliorait pas.
											Alors, j'ai commencé à penser
											que cette chose se moquait
sans doute de moi,
											parce qu'il était resté,
											et que j'avais l'air d'une chose
impuissante et démunie
											qui ne parvenait pas à le faire partir.
									","
											Ben de ""Tamam"" dedim
ve gidip ada çayı aldım.
											Bunu daha önce hiç yapmamıştım,
ada çayını yaktım, sonra salladım
											ve dedim ki ""Git buradan! Burası
benim evim! Burada yaşıyorum.
											Sen burada yaşamıyorsun!""
											Fakat o his geçmedi. Hiçbir şey düzelmedi.
											Ben de şöyle düşünmeye başladım,
											tamam, muhtemelen bu şey
şu anda bana gülüyor, çünkü gitmedi,
											muhtemelen ben de onu
gönderemeyen aciz, güçsüz
											birisi gibi gözüküyorum.
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											So every day I'd come home
											and you guys, this feeling got so bad
that — I mean, I'm laughing at it now —
											but I would sit there in bed
and cry every night.
											And the feeling on my chest
got worse and worse.
											It was physically painful.
											And I even went to a psychiatrist
											and tried to get her
to prescribe me medicine,
											and she wouldn't just because
I don't have schizophrenia, OK.
									","
											Todos los días regresaba a casa
											y este sentimiento empeoró tanto
que — ahora me río —
											solo me sentaba en la cama 
y lloraba todas las noches.
											Y ese sentimiento en mi pecho
empeoró más y más.
											Era físicamente doloroso.
											Incluso fui a un psiquiatra
											para que me recetara medicina,
											pero no quiso porque 
no tengo esquizofrenia.
									","
											Todos os dias eu chegava a casa
											e aquela sensação ficou tão má.
— eu hoje rio-me —
											mas eu ficava sentada na cama 
e chorava todas as noites.
											A sensação no meu peito 
continuava cada vez pior.
											Era fisicamente dolorosa.
											Até fui a uma psiquiatra
											e tentei convencê-la
a receitar-me um medicamento,
											mas ela não me deu só
porque eu não tinha esquizofrenia,
									","
											Chaque soir, je rentrais à la maison,
											avec ce sentiment qui empirait
à un point tel, et j'en ris maintenant,
											que je m'asseyais sur mon lit
et pleurais chaque nuit.
											Ce poids sur ma poitrine
s'alourdissait de plus en plus.
											C'était douloureux.
											Je suis donc allée chez le psychiatre
											et lui ai demandé
qu'elle me prescrive quelque chose.
											Elle a refusé car je n'ai pas
de schizophrénie. Bon.
									","
											Her gün eve giderdim
											ve arkadaşlar, bu his gittikçe kötüleşti
— yani, şu an gülüyorum ama —
											her gece yatağımda oturur, ağlardım.
											Göğsümdeki his gittikçe
daha da kötü bir hâl aldı.
											Fiziksel olarak acı veriyordu.
											Hatta bir psikiyatriste bile gittim
											ve bana ilaç yazmasını
sağlamaya çalıştım,
											fakat yazmadı, çünkü şizofren değildim.
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											(Laughter)
											So finally I got on the internet,
and I Googled ""hauntings.""
											And I came upon this forum
of ghost hunters.
											But these were a special
kind of ghost hunters —
											they were skeptics.
											They believed that every case of ghosts
that they had investigated so far
											had been explained away by science.
											And I was like, ""OK, smart guys,
this is what's happening to me,
											and if you have an explanation for me,
I would love to hear it.""
									","
											(Risas)
											Finalmente, busqué en Internet
""apariciones"".
											Y encontré un foro 
de cazadores de espíritus.
											Pero estos eran un tipo especial
de cazadores de espíritus,
											eran escépticos.
											Creían que cada caso de espíritus
que habían investigado
											tenía una explicación científica.
											Y pensé, ""Bien, chicos listos, 
esto es lo que me ocurre,
											y si tienen una explicación para mí, 
me encantaría escucharla"".
									","
											(Risos)
											Finalmente, fui para Internet 
e pesquisei ""assombrações"".
											Encontrei um fórum 
de caçadores de fantasmas.
											Mas eram um tipo especial 
de caçadores de fantasmas.
											Eram céticos.
											Acreditavam que todos os casos
de fantasmas investigados até ao momento
											podiam ser explicados pela ciência.
											E eu comentei: ""Ok sabichões,
isto é o que está a acontecer comigo,
											""e se vocês têm uma explicação
para me dar, eu adoraria ouvi-la"".
									","
											(Rires)
											Je me suis résolue à poser la question
à internet en cherchant : « envoûtement ».
											Je suis tombée sur un forum
de chasseurs d'esprits.
											Mais il s'agissait de chasseurs
d'esprits particuliers,
											des sceptiques.
											Ils croyaient que la science
avait pu expliquer
											tous les cas d'esprit
qu'ils avaient investigués.
											Alors, je leur ai expliqué
ce qui m'arrivait,
											et s'ils pouvaient l'expliquer,
je souhaitais vraiment les écouter.
									","
											(Gülüşmeler)
											Sonunda internete girdim
ve Google'da ""ruhları"" aradım.
											Hayalet avcıları forumuna denk geldim.
											Fakat onlar özel bir tür
hayalet avcılarıydı — kuşkuculardı.
											O zamana kadar inceledikleri
her hayalet olayının bilim tarafından
											açıklanmış olduğuna inanıyorlardı.
											Şöyle tepki verdim, ""Pekâlâ
zeki çocuklar, bana olan şey şu
											ve buna dair açıklamanız
varsa, duymak isterim.""
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
											And one of them said, ""OK.
											Um, have you heard
of carbon monoxide poisoning?""
									","
											Y uno dijo, ""Bien.
											¿Ha escuchado Ud. sobre la intoxicación 
por monóxido de carbono?
									","
											Um deles disse:
											""Ok, já ouviste falar de intoxicação 
por monóxido de carbono?'
									","
											Un d'entre eux a relevé le défi.
											« Avez-vous déjà entendu parler
d'empoisonnement au monoxyde de carbone ?»
									","
											Bir tanesi de şöyle dedi, ""Tamam.
											Karbonmonoksit zehirlenmesini duydun mu?""
									",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
"
","
","
","
","
",A scientific approach to the paranormal,Carrie Poppy,12:58,"death,science,curiosity,fear,health,society,mind,sound,storytelling"
