en,es,tr,title,speaker,duration,tags
"
","
","
",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
											Shah Rukh Khan: Be it Mumbai or Delhi,
Chennai or Kolkata,
											all our big cities have
one great thing in common,
											they happily welcome people from 
smaller places arriving in search of work.
											What is also true is that
this warm welcome leads to consequences.
											Problems like housing
in these cities are born.
											Today we have with us a human settlement
expert and researcher: Dr. Gautam Bhan,
											who is re-imagining a solution
to this increasing problem.
											He will share with us the new picture
of urban India that he can see.
											TED Talks India New Thoughts
welcomes Dr. Gautam Bhan.
											Dr. Gautam Bhan, everyone.
									","
											Shah Rukh Khan: Ya sea Mumbai 
o Delhi, Chennai o Calcuta,
											nuestras grandes ciudades
tienen algo en común:
											todas reciben hospitalariamente
a la gente de poblaciones más pequeñas
											que llegan en busca de trabajo.
											También es cierto que la amable
recepción tiene consecuencias.
											Surgen en estas ciudades
problemas como el de la vivienda.
											Hoy está con nosotros el investigador
											y experto en asentamientos,
el Dr. Gautam Bhan.
											Él está reimaginando
una solución para este problema.
											Compartirá con nosotros
											su visión sobre la India urbana.
											TED Talks India Nuevas Ideas
le da la bienvenida al Dr. Gautam Bhan.
											El Dr. Gautam Bhan.
									","
											İster Bombay olsun, ister Delhi, 
Madras veya Kalküta,
											bütün büyük şehirlerimizin 
harika bir ortak noktası var:
											Küçük yerlerden iş aramak için gelen
insanları sevinçle karşılıyorlar.
											Şu da var ki, bu sıcak karşılama
bazı sonuçlar doğuruyor.
											Bu şehirlerde,
barınma gibi sorunlar beliriyor.
											Bugün yanımızda insan yerleşimi uzmanı
ve araştırmacı Dr. Gautam Bhan var.
											Kendisi, bu büyüyen probleme
yeni bir çözüm hayal ediyor.
											Öngördüğü kentleşmiş Hindistan'ın 
yeni resmini bizlerle paylaşacak.
											TED Söyleşileri Hindistan Yeni Fikirler 
Dr. Gautam Bhan'ı ağırlıyor.
											Karşınızda Dr. Gautam Bhan.
									",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
","
","
",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
","
","
",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
											Gautam Bhan: In this country,
until a few years ago,
											if you asked someone:
											""Where are you from?""
											the answer would be
Delhi, Mumbai, Kolkata.
											You'd immediately ask again:
											""Where do you belong?""
											Until recently in India,
nobody was from a city;
											people only migrated to the city.
											This is changing.
											Urbanization is changing India,
											but are our cities prepared?
									","
											Gautam Bhan: En este país, hasta hace 
unos años, si preguntabas a alguien:
											""¿De dónde eres?""
											La respuesta era Delhi, Mumbai, Calcuta.
											Inmediatamente preguntabas:
""¿A dónde perteneces?""
											Hasta hace poco,
											en India nadie era de la ciudad,
la gente solo migraba a la ciudad.
											Esto está cambiando.
											El urbanismo está cambiando en India,
											pero ¿están preparadas las ciudades?
									","
											Gautam Bhan: Bu ülkede, 
bir kaç yıl öncesine kadar,
											birisine ""Neredensin?"" diye sorsanız,
											yanıt Delhi, Bombay, Kalküta olurdu.
											Hemen tekrar sorardınız:
											""Peki nerelisin?""
											Hindistan'da son zamanlara kadar, 
kimse bir şehirden değildi;
											insanlar sadece şehire göç etmişlerdi.
											Bu değişiyor.
											Kentleşme Hindistan'ı değiştiriyor,
											fakat şehirlerimiz hazır mı buna?
									",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
","
","
",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
											Let's assume you were born somewhere else.
											Your parents worked as laborers all day.
											Then you too would have come
to a city for progress.
											Or maybe, like it happens today,
you were born in the city itself.
											One day you go out looking
for an accommodation in the city,
											to buy or maybe just to rent.
											Will you be able find an affordable home?
									","
											Supongamos que nacieron en otro lado.
											Sus padres trabajaban
											como jornaleros todo el día.
											Entonces habrían venido
a la ciudad en busca de progreso.
											O tal vez, como ocurre hoy,
Uds. nacieron en la ciudad misma.
											Un día salen a buscar una vivienda
para comprar en la ciudad
											o quizá solo para alquilar.
											¿Encontrarán un hogar asequible?
									","
											Başka bir yerde doğduğunuzu,
											ebeveynleriniz bütün gün
el emeğiyle çalıştığını varsayalım.
											O zaman siz de
ilerleme için şehre gelirdiniz.
											Ya da belki günümüzde olduğu gibi,
zaten şehirde doğdunuz.
											Bir gün şehirde kalacak yer aramak
için dışarı çıkıyorsunuz,
											satın almak veya sadece
kiralamak için olabilir.
											Uygun fiyata bir ev bulabilecek misiniz?
									",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
","
","
",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
"
											The government says we are falling
short of at least 20 million homes.
											20 million homes,
that's 100 million people.
											And this is not the shortage of <i>3 BHKs</i>
(bedroom hall kitchen).
											95 percent of the shortage
											is for people earning
10 to 15,000 rupees per month.
											Will you be able to find
an affordable home in this budget?
											If this happened with you,
what would you do?
									","
											El gobierno dice
											que nos faltan 20 millones de hogares.
											Veinte millones de hogares
son 100 millones de personas.
											No es escasez de casas
de tres dormitorios, sala y cocina.
											El 95 % de la escasez
											es para la gente que gana
entre 150 y 230 dólares al mes.
											¿Encontrarían un hogar asequible
con ese presupuesto?
											Si les pasara a Uds., ¿qué harían?
									","
											Hükümet, en az 20 milyon ev
eksiğimiz olduğunu söylüyor.
											20 milyon ev,
100 milyon insan demektir.
											Ama bu 3 oda 1 salon
evlerin eksikliği değil.
											Eksikliğin %95'i, aylık kazancı
10 rupi ile 15.000 rupi
											arasında olan dar gelirliler için.
											Bu bütçenin karşılayabileceği
bir ev bulabilir misiniz?
											Bu sizin başınıza gelse ne yapardınız?
									",A bold plan to house 100 million people,Gautam Bhan,9:27,"india,infrastructure,engineering,cities,poverty,social change"
