en,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											So two weeks ago, I searched
the word ""nationalist"" on Twitter.
											The results were quite colorful,
											with expressions like,
""Emboldened Racist Moron,"" —
									","
											Há duas semanas, pesquisei
a palavra ""nacionalista"" no Twitter.
											Os resultados foram bastante diversos,
											com expressões como, 
""Parvo Racista Encorajado,""
									","
											Bundan iki hafta önce Twitter'da
""ulusalcı"" kelimesini arattım.
											Bayağı ilginç sonuçlarla karşılaştım,
											""Gaza gelmiş ırkçı moron"" gibi
laflardan tutun da
									","
											Il y a deux semaines, j'ai cherché
le mot « nationaliste » sur Twitter.
											Les résultats étaient assez colorés,
											avec des expressions comme
« Imbécile raciste enhardi »
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											""White Supremacist Idiot,""
											""Fascist Sock Puppets,"" —
									","
											""Idiota Suprematista Branco,""
											""Fantoches fascistas,""
									","
											""Aptal Beyaz Irk Üstünlükçüsü"" ve
											""Faşist Troller"" gibi laflara kadar —
									","
											« Idiot Suprématiste Blanc »
											« Marionnettes en chaussettes Fascistes »
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											""Orwellian, Hitlerian, Terrifying.""
											I then searched the word ""globalist""
											and got things like,
""Socialist Sell-Outs,""
											""Disgusting Corporate Propaganda,""
											""Elitist Financial Overlords,""
											""Ruthless Cosmopolitan Rats.""
									","
											""Orwelliano, Hitleriano, Aterrador.""
											Depois pesquisei a palavra ""globalista""
											e obtive resultados como, 
""Socialistas Interesseiros,""
											""Repugnante Propaganda Corporativa,""
											""Soberanos Financeiros Elitistas"",
											""Ratazanas Cosmopolitanas Implacáveis.""
									","
											""Orwelci, Hitlerci, Korkunç.""
											Daha sonra ""küreselci"" kelimesini arattım
											ve karşıma ""Sosyalizmden Cayanlar"",
""İğrenç Kurumsal Propaganda"",
											""Seçkinci Para Babaları""
											""Acımasız Kozmopolit Fareler""
											gibi sonuçlar çıktı.
									","
											« Orwellien, Hitlérien, Terrifiant ».
											J'ai ensuite cherché
le mot « mondialiste »
											et j'ai des choses comme,
« Socialistes Vendus »
											« Propagande d’Entreprise Repoussante »
											« Chefs Suprêmes Financiers Élitistes »
											« Rats Cosmopolites Sans Scrupules »
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											Even by social media standards,
the words are cruel and disgusting.
											But they reflect the intensity
of one of the most fundamental questions
											of our times:
											Nationalism or globalism —
what is the best path forward?
											This question impacts
everything we care about:
											our cultural identity,
											our prosperity,
											our political systems —
											everything — the health
of our planet — everything.
									","
											Até pelos padrões das redes sociais,
as palavras são cruéis e repugnantes.
											Mas refletem a intensidade
											de uma das questões mais fundamentais
dos nossos tempos:
											Nacionalismo ou globalismo
— qual é o melhor caminho a seguir?
											Esta questão afeta tudo
o que é importante para nós
											a nossa identidade cultural,
											a nossa prosperidade,
											os nossos sistemas políticos, tudo
											— a saúde do nosso planeta — tudo.
									","
											Bu laflar, sosyal medyadayken bile
kulağa çok acımasız geliyorlar.
											Ama bu laflar, çağımızın
en temel sorularından birini
											yansıtıyorlar:
											Gelecek hangisinde yatıyor:
Ulusalcılık mı, küreselcilik mi?
											Bu soru büyük önem verdiğimiz
											kültürel kimliğimizi,
											refahımızı,
											siyasi yapımızı,
											gezegenimizin hâli de dâhil olmak
üzere her şeyimizi etkiliyor.
									","
											Même dans les normes des réseaux sociaux,
les mots sont cruels et dégoûtants.
											Mais ils reflètent l'intensité d'une
des questions les plus fondamentales
											de notre époque :
											le nationalisme ou le mondialisme :
quelle est la meilleure voie à suivre ?
											Cette question concerne
tout ce qui nous intéresse :
											notre identité culturelle,
											notre prospérité,
											nos systèmes politiques -
											tout - la santé de notre planète - tout.
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											So on the one hand, we have nationalism.
											Collins defines it as
a ""devotion to one's nation,""
											but also, a ""doctrine that puts
national interests
											above international considerations.""
											For nationalists, our modern societies
are built on national grounds:
											we share a land, a history, a culture,
and we defend each other.
											In a big and chaotic world,
											they see nationalism as the only
sensible way to maintain social stability.
											But alarmed globalists warn us:
											self-centered nationalism
can easily turn ugly.
											We've seen it with 20th-century fascisms:
											bloody wars, millions of deaths,
immeasurable destruction.
									","
											Então, por um lado, temos o nacionalismo
											que Collins define como
""devoção à própria nação""
											mas também como uma ""doutrina 
que põe os interesses nacionais
											""acima das considerações internacionais"".
											Para os nacionalistas,
as nossas sociedades modernas
											são construídas em bases nacionais:
											partilhamos uma terra,
uma história, uma cultura,
											e protegemo-nos uns aos outros.
											Num mundo enorme e caótico,
											veem o nacionalismo
como a única forma lógica
											de manter a estabilidade social.
											Mas os globalistas avisam-nos alarmados:
											o nacionalismo egoísta pode 
facilmente tornar-se algo feio
											Já o vimos nos regimes fascistas 
do século XX:
											guerras sangrentas, milhões de mortes,
destruição incalculável.
									","
											Şimdi bir tarafta ulusalcılık var.
											Collins sözlüğü bu terimi 
""kendi ulusuna bağlılık"" diye tanımlıyor
											ama ""ulusal çıkarları,
uluslararası meselelerden
											üstün tutan ilke"" diye de bir tanım var.
											Ulusalcılara göre modern toplumlar
ulusal temeller üstüne kuruldu
											ve ortak bir toprağa, tarihe, kültüre 
sahibiz ve birbirimizi kolluyoruz.
											Ulusalcılara göre kaosa bürünmüş
bu büyük dünyada,
											sosyal istikrarı sağlamanın tek yolu
ulusalcılıktan geçiyor.
											Ama alarma geçmiş 
küreselciler bize diyor ki:
											Benmerkezci ulusalcılık
kötü sonuçlar doğurabilir.
											Bu senaryoyu 20. yüzyılın 
faşizminde yaşamıştık:
											Kanlı savaşlar, milyonlarca kişinin ölümü,
ölçülemeyen bir yıkım.
									","
											Donc, d’un côté,
nous avons le nationalisme.
											Collins le définit comme
une « dévotion à sa nation »
											mais aussi, une « doctrine qui place
les intérêts nationaux
											au-dessus des considérations
internationales ».
											Pour les nationalistes, nos sociétés
sont fondées sur des terrains nationaux :
											nous partageons une terre, une histoire,
une culture, et nous nous défendons.
											Dans un monde grand et chaotique,
											ils voient le nationalisme comme le seul
moyen de maintenir la stabilité sociale.
											Mais les mondialistes
alarmés nous avertissent :
											le nationalisme égocentrique
peut facilement mal tourner.
											Nous l'avons vu avec les fascismes
du vingtième siècle :
											des guerres sanglantes, des millions
de morts, une destruction incommensurable.
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											On the other hand, we have globalism.
											The Oxford Living Dictionary
defines it as:
											""the operation or planning
of economic and foreign policy
											on a global basis.""
											For nationalists, globalism
is rapidly deconstructing
											what our ancestors took decades to build.
											It's like spitting on our soldiers' tombs;
											it's eroding our national solidarities
											and opening the doors
to foreign invasions.
											But globalists make the case
that reinforcing our global governance
											is the only way to tackle
big supernational problems,
											like nuclear proliferation,
											the global refugee crisis,
											climate change or terrorism
											or even the consequences of superhuman AI.
											So we are at the crossroads,
											and we are asked to choose:
											nationalism or globalism?
									","
											Por outro lado, temos o globalismo
											que o Dicionário Oxford Living
define como:
											""a operação ou planeamento
de políticas económicas e estrangeiras
											""numa base global.""
											Para os nacionalistas, o globalismo 
está a desconstruir rapidamente
											o que os nossos antepassados 
levaram décadas a construir.
											É como cuspir nas sepulturas
dos nossos soldados;
											é corroer a nossa solidariedade nacional
											e abrir as portas a invasões estrangeiras.
											Mas os globalistas defendem
que reforçar a governação global
											é a única forma de atacar
grandes problemas supracionais,
											como a proliferação nuclear,
											a crise global dos refugiados,
											a mudança climática ou o terrorismo
											ou até as consequências
da IA sobre-humana.
											Encontramo-nos num cruzamento,
											e temos que escolher:
											nacionalismo ou globalismo?
									","
											Bir de küreselcilik var.
											Oxford Yaşayan Sözlük bunu
şöyle tanımlıyor:
											""ekonomik ve dış politikaların
küresel temellere göre
											uygulanması veya planlanması"".
											Ulusalcılara göre küreselcilik
atalarımızın kurmak için onlarca yıl
											uğraştıkları şeyleri yıkıyor.
											Bir nevi askerlerimizin 
mezarına tükürmeye benziyor.
											Yaptığımız şeyler ulusal
egemenliğimizi yok ediyor,
											bizi dış tehditlere karşı
savunmasız bırakıyor.
											Ama küreselcilere göre
nükleer büyüme,
											küresel mülteci sorunu, iklim değişikliği
											veya terörizm
											ve hatta olası bir insanüstü 
yapay zekânın sonuçları gibi
											büyük ulusüstü sorunlarla başa
çıkabilmek için
											küresel bir yönetim sağlamak gerekiyor.
											Bu da bizi çıkmaza sokuyor
											ve karşımıza şu soru çıkıyor:
											Ulusalcılık mı, küreselcilik mi?
									","
											De l'autre côté, on a le mondialisme.
											Le dictionnaire Oxford Living
le définit comme :
											« l'opération ou la planification
de la politique économique et étrangère
											au niveau mondial ».
											Pour les nationalistes, le mondialisme
déconstruit rapidement
											ce que nos ancêtres ont
mis des décennies à construire.
											C'est comme cracher
sur les tombes de nos soldats ;
											cela érode nos solidarités nationales
											et ouvre les portes
aux invasions étrangères.
											Mais les mondialistes démontrent que
de renforcer notre gouvernance mondiale
											est le seul moyen de faire face
aux gros problèmes supranationaux,
											comme la prolifération nucléaire,
											la crise mondiale des réfugiés,
											le changement climatique, le terrorisme
											ou même les conséquences
de l'IA surhumaine.
											On est donc à la croisée des chemins,
											et on nous demande de choisir :
											le nationalisme ou le mondialisme ?
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
											Having lived in four continents,
											I've always been interested
in this question.
											But it took a whole new level
when I saw this happening:
											the biggest surge in nationalist votes
in Western democracies
											since World War II.
											All of a sudden,
this isn't theory anymore.
											I mean, these political movements
have built their success with ideas
											that could mean, down the road,
losing my French citizenship
											because I'm North African
											or not being able to come
back home to the US
											because I come from
a Muslim-majority country.
									","
											Como vivi em quatro continentes,
											esta questão sempre me interessou.
											Mas atingiu um novo nível
quando vi acontecer isto:
											o maior surto de votos nacionalistas
nas democracias ocidentais
											desde a Segunda Guerra Mundial.
											De súbito, isto já não é uma teoria.
											Quero dizer, estes movimentos políticos
construíram o seu sucesso com ideais
											que podem significar, eventualmente,
eu perder a nacionalidade francesa
											porque sou norte-africano
											ou não poder voltar para casa nos EUA
											porque venho de um país
maioritariamente muçulmano.
									","
											Dört farklı kıtada yaşadım
											ve bu soru her daim ilgimi çekti.
											Ama Batı ülkelerindeki ulusalcı
partilerin, 2. Dünya Savaşı'ndan bu yana
											ilk kez bu kadar yüksek 
oy aldıklarını görünce,
											bu soruya daha farklı bakmaya başladım.
											Bu artık bir teori olmaktan çıkmıştı.
											Yani bu gibi siyasi partilerin
savundukları fikirler, eninde sonunda
											Kuzey Afrikalı olduğum için
Fransa vatandaşlığından atılmama
											veya belki de
											çoğunluğun Müslüman olduğu 
bir ülkeden geldiğim için
											bir daha ABD'ye dönemememe
sebep olabilir.
									","
											Ayant vécu sur quatre continents,
											j'ai toujours été intéressé
par cette question.
											Mais cela a pris une tout autre tournure
quand j'ai vu ceci se produire :
											la plus grande vague de vote nationaliste
dans les démocraties occidentales
											depuis la Seconde Guerre mondiale.
											Tout à coup, ce n'est plus une théorie.
											Ces mouvements politiques ont
construit leur succès avec des idées
											qui pourraient signifier, plus tard,
perdre ma nationalité française
											parce que je suis nord-africain,
											ou ne pas pouvoir rentrer
chez moi aux États-Unis
											parce que je viens d'un pays
à majorité musulmane.
									",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
"
","
","
","
",How nationalism and globalism can coexist,Wanis Kabbaj,12:54,"global issues,politics,government,policy,community,communication,future"
