en,tr,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
											Most people think
											that new technology or advanced technology
can never start in Africa.
											Instead, they think that the best way
to help the continent advance
											is by providing aid or services
											that the continent
can't provide for itself.
											So while we see advanced
technology like robotics
											and artificial intelligence
											growing exponentially
in the developed world,
											those same people are worried
											that a technologically backward
Africa is falling behind.
											That attitude couldn't be more wrong.
									","
											Birçok insan
											Afrika'da hiçbir zaman yeni veya gelişmiş 
teknolojinin başlamayacağını düşünür.
											Bunun yerine, kıtanın gelişimine
yardım etmenin en iyi yolunun
											kıtanın kendisi için sağlayamadığı 
yardım ve hizmeleri
											sağlayarak olacağını düşünürler.
											Bu nedenle biz üssel olarak büyüyen 
robotik ve yapay zeka gibi
											gelişmiş teknolojileri
											gelişmiş dünyada görürken
											bu aynı insanlar teknolojik olarak
											geri kalmış Afrika'nın geriye düşmesinden 
endişe duyuyorlar.
											Bu davranış bundan daha yanlış olamazdı.
									","
											La mayoría de la gente piensa
											que la nueva tecnología avanzada 
nunca puede comenzar en África.
											En su lugar, piensan que la mejor manera 
de ayudar a que el continente avance
											es proporcionando ayuda o servicios
											que el continente 
no puede proveerse por sí mismo.
											Y, mientras vemos que la 
tecnología avanzada como la robótica
											y la inteligencia artificial
											crecen exponencialmente 
en el mundo desarrollado,
											esas mismas personas están preocupadas
											de que una África tecnológicamente 
atrasada se está quedando atrás.
											Esa actitud no podría ser más errónea.
									","
											La plupart des gens pensent que
											la nouvelle technologie ou technologie de
pointe ne peut jamais démarrer en Afrique.
											Ils pensent plutôt que la meilleure façon
pour aider le continent à avancer
											sera à travers des aides ou des services
											que le continent ne peut pas
fournir lui-même.
											Alors, pendant que des technologies
avancées comme la robotique et
											l'intelligence artificielle
											sont en croissance exponentielle
dans le monde développé,
											ces personnes se soucient
											que l'Afrique, technologiquement
en retard, soit à la traîne.
											Cette attitude est complètement fausse.
									","
											Die meisten Menschen glauben, dass neue
											oder fortgeschrittene Technologien
niemals aus Afrika kommen können.
											Stattdessen denken sie,
dass man dem Kontinent am besten hilft,
											indem man Hilfe oder
Dienstleistungen bereitstellt,
											die der Kontinent nicht
selbst liefern kann.
											Während wir also sehen,
wie fortgeschrittene Technologien
											wie Roboter und Künstliche Intelligenz
											in der entwickelten Welt
exponentiell wachsen,
											sorgen sich dieselben Menschen darüber,
											dass ein technologisch
unterentwickeltes Afrika zurückfällt.
											Diese Einstellung könnte
falscher nicht sein.
									",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
","
","
","
","
",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
											I'm a robotics entrepreneur
who's spent a lot of time here in Africa.
											And in 2014 we created Zipline,
											which is a company that uses
electric autonomous aircraft
											to deliver medicine to hospitals
and health centers on demand.
											Last year, we launched the world's first
automated delivery system
											operating at national scale.
											And guess what?
											We did not do that in the US,
											we didn't do it in Japan,
											and we didn't do it in Europe.
											It was actually President Paul Kagame
											and the Rwandan Ministry of Health
											that made a big bet
on the potential of this technology
											and signed a commercial contract
											to deliver a majority
of the country's blood on demand.
									","
											Ben zamanın büyük bölümünü Afrika'da
geçiren bir robotik girişimcisiyim.
											2014 yılında Zipline'yi geliştirdik,
											ki bu firma elektrikli otonom hava 
araçlarını, istek üzerine
											sağlık merkezlerine, hastanelere, ilaç 
dağıtmak için kullanan bir firmadır.
											Geçen yıl, ulusal ölçekte
dünyanın ilk otomatik dağıtım
											sistemini başlattık.
											Tahmin edin neresi?
											Bunu ABD'de yapmadık,
											Japonya'da yapmadık
											ve Avrupa'da da yapmadık.
											Aslında başkan Paul Kagame
											ve Ruanda Sağlık Bakanlığı,
											bu teknolojinin potansiyeli 
üzerine büyük bahis yaptılar
											ve talep üzerine ülkedeki kanın
											büyük çoğunluğunu dağıtmak için
ticari sözleşme imzaladılar.
									","
											Soy un empresario de robótica que 
ha pasado mucho tiempo aquí en África.
											Y en 2014 creamos Zipline,
											que es una compañía que usa 
aviones eléctricos autónomos
											para entregar medicamentos a hospitales 
y centros de salud a pedido.
											El año pasado lanzamos el primer sistema 
de entrega automática del mundo
											que opera a escala nacional.
											¿Y adivinan qué?
											No hicimos eso en EE.UU.,
											no lo hicimos en Japón,
											y no lo hicimos en Europa.
											En realidad, fue el presidente Paul Kagame
											y el Ministerio de Salud de Ruanda
											quienes hicieron una gran apuesta 
por el potencial de esta tecnología
											y firmaron un contrato comercial
											para entregar la mayoría 
de la sangre del país a pedido.
									","
											Je suis entrepreneur en robotique
qui a passé beaucoup de temps en Afrique.
											Et en 2014, nous avons créé Zipline,
											une entreprise qui utilise
un avion électrique autonome
											pour livrer des médicaments aux hôpitaux
et centres de santé, à la demande.
											L'année dernière, nous avons lancé le 1er
système de livraison automatisé au monde,
											opérant à l'échelle nationale.
											Et vous savez quoi ?
											Nous ne l'avons pas fondé aux États-Unis,
											non plus au Japon,
											et non plus en Europe.
											C'était en fait le Président Paul Kagame
											et le Ministère rwandais de la Santé,
											qui ont fait un gros pari
sur le potentiel de cette technologie,
											et ont signé un contrat commercial
											pour livrer la majorité du besoin du pays
en sang, à la demande.
									","
											Als Unternehmer im Bereich Robotics
verbrachte ich viel Zeit hier in Afrika.
											2014 gründeten wir Zipline,
											ein Unternehmen, das elektrische
autonome Fluggeräte nutzt,
											um Medikamente auf Abruf an
Krankenhäuser und Ärztezentren zu liefern.
											Letztes Jahr führten wir das weltweit
erste Auslieferungssystem ein —
											voll automatisiert
und in einem ganzen Staat.
											Und wissen Sie was?
											Wir taten das nicht
in den Vereinigten Staaten,
											nicht in Japan,
											und nicht in Europa.
											Es war tatsächlich Präsident Paul Kagame
											und das ruandische Gesundheitsministerium,
											die viel Vertrauen
in diese Technologie gesetzt
											und einen Vertrag unterschrieben haben,
											um den Großteil der Blutversorgung
des Landes bei Bedarf anliefern zu lassen.
									",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
","
","
","
","
",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
","
","
","
","
",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
											Yeah, they deserve the applause.
									","
											Evet, onlar alkışı hak ediyorlar.
									","
											Sí, merecen los aplausos.
									","
											Oui, ils méritent les applaudissements.
									","
											Ja, sie verdienen diesen Applaus!
									",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
","
","
","
","
",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
"
											So why is blood important?
											Rwanda collects between 60- and 80,000
units of blood a year.
											So this is a product
that when you need it,
											you really, really need it.
											But blood is also challenging,
											because it has a very short shelf life,
											there are lots of different
storage requirements,
											and it's really hard to predict the demand
											for all of these different blood groups
											before a patient actually needs something.
											But the cool thing is
that using this technology,
											Rwanda has been able to keep
more blood centralized
											and then provide it
when a patient needs something
											to any hospital or health center
in an average of just 20 or 30 minutes.
											Do you guys want to see how it works?
									","
											Peki, kan neden önemlidir?
											Rwanda yılda 60 ila 80 bin ünite 
kan topluyor.
											Bu nedenle siz buna ihtiyacınız olduğunda
											gerçekten ve gerçekten ihtiyacınız vardır.
											Fakat kanın zorlu bir tarafı da var
											çünkü çok az bir raf ömrü vardır,
											birbirinden farklı çok çeşitli depolama
ihtiyaçları vardır,
											ve hasta gerçekten bir şeylere 
ihtiyaç duymadan önce,
											tüm farklı kan grupları için
											ihtiyacı tahmin etmek gerçekten zordur.
											Fakat burada harika olan şey şu;
bu teknolojiyi kullanarak
											Ruanda merkezileştirilmiş olarak
daha fazla kan bulundurabilir
											ve ardından 20-30 dakika mesafedeki 
hastane veya sağlık merkezinde
											bulunan bir hasta ihtiyaç duyduğunda
bunu sağlayabilir.
											Bunun nasıl olduğunu
görmek ister misiniz?
									","
											Y, ¿por qué es importante la sangre?
											Ruanda recolecta entre 60 y 80 000 
unidades de sangre al año.
											Este es un producto que, 
cuando lo necesitas,
											realmente, realmente lo necesitas.
											Pero la sangre también es un desafío,
											porque tiene una vida útil muy corta,
											hay muchos y diversos 
requisitos de almacenamiento
											y es realmente difícil predecir la demanda
											para todos estos diferentes 
grupos sanguíneos
											antes de que un paciente 
realmente necesite algo
											Pero lo bueno es que 
usando esta tecnología,
											Ruanda ha podido mantener 
más sangre centralizada
											y luego entregarla
cuando un paciente necesita algo
											a cualquier hospital o centro de salud 
en un promedio de solo 20 o 30 minutos.
											¿Quieren ver cómo funciona?
									","
											Alors pourquoi le sang
est-il aussi important ?
											Le Rwanda recueille entre 60 et 80 000
unités de sang par an.
											Donc, quand vous en avez besoin,
											vous en avez vraiment vraiment besoin.
											Mais gérer du sang est également un défi,
											car il a une durée de conservation
très courte,
											il y a plusieurs exigences de stockage,
											et il est vraiment difficile
de prédire la demande
											pour les différents groupes sanguins
											avant qu'un patient en ait besoin.
											Mais ce qui est cool, c'est
qu'en utilisant cette technologie,
											Le Rwanda a pu garder
plus de sang centralisé
											pour le fournir au patient
lorsqu'il en a besoin,
											à n'importe quel hôpital ou centre de
santé, et en 20 ou 30 minutes en moyenne.
											Voulez-vous voir comment ça fonctionne ?
									","
											Aber warum ist Blut so wichtig?
											Ruanda sammelt 60 bis 80.000
Einheiten an Blutkonserven pro Jahr.
											Und wenn man Blutkonserven braucht,
											dann braucht man sie wirklich!
											Aber Blut ist auch eine Herausforderung
											aufgrund seiner sehr kurzen Haltbarkeit,
											aufgrund der vielen Anforderungen
an seine Lagerung,
											und es ist schwierig, den Bedarf für alle
											verschiedenen Blutgruppen vorherzusagen,
											bevor ein Patient es tatsächlich benötigt.
											Aber cool ist, dass durch
die Nutzung dieser Technologie
											Ruanda mehr Blutspenden zentral lagern
											und dann innerhalb
von durchschnittlich nur 20-30 Minuten
											für jedes Krankenhaus bereitstellen kann,
wenn es ein Patient benötigt.
											Möchten Sie sehen, wie das funktioniert?
									",How we're using drones to deliver blood and save lives,Keller Rinaudo,15:30,"Africa,disease,drones,entrepreneur,health,health care,innovation,medicine,social change,technology"
