en,fr,es,de,title,speaker,duration,tags
"
","
","
","
","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
											We all have milestones in life
that we remember so vividly.
											The first one for me
was when I was entering kindergarten.
											My big brother was in school,
and by golly, it was my time.
											And I went trottin' down that hallway.
											I was so excited, I almost wet myself.
											And I go to the door,
											and there was the teacher
with a warm welcome,
											and she took me into the classroom,
											showed me my little cubbyhole —
											we all remember those
little cubbyholes, don't we —
											and we put our stuff in there.
											And then she said, ""Go over to the circle
											and play with the kids
until class starts.""
											So I went over there
and plopped down like I owned the place,
											and I'm playing,
											and all of a sudden, the boy next to me,
											he was wearing a white shirt
with blue shorts.
											I remember it like it was yesterday.
											Suddenly he stopped playing and he said,
											""Why are you so short?""
											And I just kept playing.
I didn't think he was talking to me.
									","
											Dans notre vie, nous avons tous
des étapes clés dont le souvenir est vif.
											Pour moi, la première
est mon entrée en maternelle.
											Mon frère allait à l'école
et bon sang, c'était mon tour.
											J'ai trotté le long du couloir.
											J'étais si enthousiaste,
j'ai failli me faire pipi dessus.
											Je suis arrivée à la porte
											et l'enseignante était là,
chaleureuse et accueillante,
											elle m'a amenée dans la salle de classe,
											m'a montré mon petit casier —
											nous nous en souvenons tous,
de ces petits casiers,
											nous y mettions nos affaires —
											puis elle a dit : « Joins-toi à la ronde
											et joue avec les enfants
jusqu'au début des cours. »
											J'y suis allée, me suis assise
comme si j'étais propriétaire des lieux,
											je jouais
											et soudain, le garçon à côté de moi —
											il portait une chemise blanche
et un short bleu,
											je m'en souviens comme si c'était hier —
											il a soudainement arrêté de jouer et dit :
											« Pourquoi es-tu si petite ? »
											J'ai continué à jouer,
je ne pensais pas qu'il me parlait.
									","
											Todos hemos vivido acontecimientos
que recordamos claramente.
											El primero para mí 
fue cuando entré a preescolar.
											Mi hermano mayor ya estaba 
en la escuela y por fin era mi turno.
											Me fui corriendo por el pasillo.
											Estaba tan emocionada, que casi me orino.
											(Risas)
											Llegué a la puerta,
											y ahí estaba el profesor
con una cálida bienvenida,
											y me llevó dentro del salón,
											me enseñó mi pequeño armario —
											todos recordamos esos 
pequeños armarios, ¿no? —
											y ponemos nuestras cosas ahí.
											Después me dijo, ""Ve a aquel círculo
											y juega con los niños 
mientras comienza la clase"".
											Así que fui y me dejé caer 
como si me perteneciera el lugar,
											y comencé a jugar,
											de repente el niño junto a mí,
											— que traía una playera blanca 
y shorts azules.
											Lo recuerdo como si fuera ayer. —
											De repente dejó de jugar y dijo,
											""¿Por qué eres tan pequeña?""
											Mientras, yo seguí jugando.
No pensé que me hablara a mí.
									","
											An einige Meilensteine unseres Lebens
können wir uns besonders gut erinnern.
											Der Kindergarten war
mein erster Meilenstein.
											Mein großer Bruder ging zur Schule.
Endlich war meine Zeit gekommen!
											Ich trottete den Gang entlang
											und machte mir vor Aufregung
fast in die Hose!
											Ich trat ein
											und eine nette Lehrerin
begrüßte mich herzlich.
											Sie führte mich ins Klassenzimmer
											und zeigte mir mein Fach —
											wir alle kennen noch
diese Fächer, nicht war —
											wir legten unsere Sachen hinein.
											Sie sagte:
											""Geh spielen, bis der Unterricht beginnt!""
											Ich ging selbstbewusst
zu den anderen Kindern
											und begann zu spielen.
											Auf einmal sprach mich ein Junge an.
											Er trug ein weißes T-Shirt
und eine blaue Hose.
											Daran erinnere ich mich ganz genau.
											Er hörte plötzlich auf zu spielen
und sagte zu mir:
											""Warum bist du so klein?""
											Ich dachte nicht, dass er mich meinte
und spielte weiter.
									","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
","
","
","
","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
","
","
","
","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
											And in a louder voice, he said,
											""Hey, why are you so short?""
											So I looked up and I said,
											""What are you talking about?
Let's just play. We're happy.
											I've been waiting for this.""
									","
											Plus fort, il a dit :
											« Hey, pourquoi es-tu si petite ? »
											J'ai levé les yeux et dit :
											« De quoi parles-tu ?
Jouons. Nous sommes heureux.
											J'ai attendu cela. »
									","
											Y en voz más alta, dijo,
											""Oye, ¿por qué eres tan pequeña?""
											Levanté la mirada y dije,
											""¿De qué hablas? Vamos a jugar.
Seamos felices.
											He estado esperando esto"".
									","
											Also fragte er lauter:
											""He, warum bist du so klein?""
											Ich sah auf und sagte:
											""Wovon redest du?
Komm, wir spielen! Es ist schön.
											Darauf habe ich gewartet.""
									","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
","
","
","
","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
											And so we played,
and about a minute later,
											the girl next to him,
in a white shirt and a pink skirt,
											stood up, put her hands on her hips,
											and said, ""Yeah,
why do you look so different?""
											And I went, ""What are you talking about?
											I don't look different. I'm not short.
Again, let's just play.""
									","
											Nous avons donc joué et, une minute après,
											la fille à côté de lui, portant
une chemise blanche et une jupe rose,
											s'est levée, les mains sur les hanches,
											elle a dit : « Pourquoi
as-tu l'air si différente ? »
											J'ai dit : « De quoi tu parles ?
											Je ne suis pas différente.
Je ne suis pas petite. Jouons. »
									","
											Seguimos jugando, pero un minuto después,
											la niña junto a él, 
de blusa blanca y falda rosada,
											se levantó, puso sus manos en su cadera,
											y dijo, ""Sí, ¿por qué eres
tan diferente?""
											Y dije, ""¿de qué hablas?
											No soy diferente. No soy pequeña.
Insisto, vamos a jugar"".
									","
											Wir spielten weiter, aber kurz danach
											stand ein Mädchen neben uns.
Mit weißer Bluse und rosa Rock.
											Sie stemmte die Hände in die Hüften
											und fragte: ""Warum
siehst du so anders aus?""
											""Was hast du?"", fragte ich.
											""Ich seh doch gar nicht anders aus.
Lasst uns spielen!""
									","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
","
","
","
","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
"
											About this time, I looked
all around the circle I was in,
											and all the kids had stopped playing
and they were all looking at me.
											And I'm thinking —
											in today's language,
it would be ""OMG"" or ""WTF.""
									","
											A ce moment-là, j'ai regardé
dans la ronde où j'étais,
											tous les enfants avaient arrêté
de jouer et me regardaient.
											Je me suis dit —
											aujourd'hui ce serait « Omagad »
ou bien « Putain, qu'est-ce que... » —
									","
											En ese momento miré 
alrededor del círculo donde estaba,
											todos los niños habían dejado 
de jugar y me miraban.
											Y pensé —
											en el idioma de hoy en día, 
sería, ""OMG"" o ""WTF"".
									","
											Dann sah Ich mich um
und fand mich umringt.
											Kein Kind spielte mehr
und alle sahen mich an.
											Und ich dachte —
											heute würde man sagen: ""Oh mein Gott!"" —
									","Asking for help is a strength, not a weakness",Michele L. Sullivan,11:55,"children,communication,community,compassion,empathy,humanity,personal growth,society,social change"
