en,pt,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
											For the next 16 minutes,
I'm going to take you on a journey
											that is probably
the biggest dream of humanity:
											to understand the code of life.
									","
											Durante os próximos 16 minutos,
vou levá-los numa viagem
											que é provavelmente
o maior sonho da Humanidade:
											compreender o código da vida.
									","
											Önümüzdeki 16 dakika boyunca,
sizi bir yolculuğa çıkaracağım.
											Yaşamın kodunu anlamak
muhtemelen insanlığın
											en büyük hayali olmuştur.
									","
											Die nächsten 16 Minuten
nehme ich Sie mit auf eine Reise,
											die wohl der größte Menschheitstraum ist:
											den Code des Lebens zu verstehen.
									","
											Ces 16 prochaines minutes,
je vais vous faire découvrir
											ce qui est probablement
le plus grand rêve de l'humanité :
											comprendre le code de la vie.
									",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
","
","
","
","
",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
											So for me, everything started
many, many years ago
											when I met the first 3D printer.
											The concept was fascinating.
											A 3D printer needs three elements:
											a bit of information, some
raw material, some energy,
											and it can produce any object
that was not there before.
									","
											Para mim, tudo começou há muitos anos,
											quando vi a primeira impressora 3D.
											O conceito era fascinante.
											Uma impressora 3D
precisa de três elementos:
											um pouco de informação,
matéria-prima, energia,
											e pode produzir qualquer objeto
que não existia antes.
									","
											Benim için her şey uzun
yıllar önce
											3B yazıcılar ile tanıştığımda başladı.
											Konsept muazzamdı.
											3B yazıcılar üç bileşene ihtiyaç duyar:
											Birazcık bilgi, biraz ham madde,
biraz enerji.
											Bunlarla birlikte yeni
bir nesneyi üretebilir.
									","
											Bei mir fing alles vor vielen Jahren an,
											als ich Bekanntschaft
mit dem ersten 3D-Drucker machte.
											Das Konzept war spannend.
											Einem 3D-Drucker genügen drei Komponenten:
											Informationen, Ausgangsmaterial, Energie;
											und er kann irgendein Objekt herstellen,
das vorher nicht da war.
									","
											Pour moi, tout a commencé
il y a de nombreuses années,
											quand j'ai vu ma première imprimante 3D.
											Le concept était fascinant.
											L'imprimante 3D a besoin 
de trois choses :
											un peu d'informations,
de la matière première, de l'énergie,
											et elle peut créer n'importe quel objet
qui n'existait pas avant.
									",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
","
","
","
","
",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
											I was doing physics,
I was coming back home
											and I realized that I actually
always knew a 3D printer.
											And everyone does.
											It was my mom.
									","
											Eu andava a estudar Física.
											Ia de regresso a casa quando me apercebi
que sempre conhecera uma impressora 3D.
											Toda a gente também conhece.
											Era a minha mãe.
									","
											Fizikle uğraşırken
											3B yazıcıların sanki hep bildiğim
bir şey olduğunu fark ettim.
											Herkes biliyordu.
											Annem bile.
									","
											Ich studierte Physik,
kam nach Hause zurück
											und erkannte, dass ich schon immer
einen 3D-Drucker kannte.
											Wie jeder andere auch.
											Es war meine Mutter.
									","
											J'étudiais la physique
et, en rentrant chez moi,
											j'ai réalisé que j'avais en réalité
toujours connu une imprimante 3D.
											On en connaît tous une.
											C'était ma mère !
									",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
","
","
","
","
",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Rires)
									",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
","
","
","
","
",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
"
											My mom takes three elements:
											a bit of information, which is between
my father and my mom in this case,
											raw elements and energy
in the same media, that is food,
											and after several months, produces me.
											And I was not existent before.
									","
											A minha mãe agarra em três elementos:
											um pouco de informação
											que, neste caso, é partilhada
pelo meu pai e pela minha mãe,
											matéria-prima e energia
no mesmo meio, isto é, comida,
											e após vários meses, produz-me.
											Eu não existia antes.
									","
											Annem üç bileşeni kullanıyordu:
											Biraz bilgi; yani babam ve
annem arasındaki bilgi,
											aynı ortamdaki ham madde ve enerji;
bu yemek oluyor
											ve birkaç ay sonra, ben var oluyorum.
											Ben daha önce yoktum.
									","
											Meiner Mutter genügten drei Komponenten:
											Informationen — in diesem Fall
von meinem Vater und meiner Mutter —,
											Ausgangsmaterial und Energie
— beides als Lebensmittel —
											und nach mehreren Monaten
brachte sie mich zu Stande.
											Auch ich war vorher nicht existent.
									","
											Ma mère a pris trois choses :
											un peu d'informations, partagées
entre mon père et ma mère dans ce cas,
											de la matière première et de l'énergie
issues d'une même source, la nourriture,
											et après plusieurs mois, elle m'a créé,
											et je n'existais pas avant.
									",How to read the genome and build a human being,Riccardo Sabatini,15:28,"biology,choice,complexity,biotech,DNA,genetics,disease,future,humanity,health,medical research,identity,medicine,nature,potential,science,technology,machine learning"
