en,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											When I was a kid, I was obsessed
with the Guinness Book of World Records,
											and I really wanted
to set a world record myself.
											But there was just one small problem:
											I had absolutely no talent.
											So I decided to set
a world record in something
											that demanded absolutely no skill at all.
											I decided to set a world record
											in crawling.
									","
											Enfant, j'étais obsédée
par le livre Guinness des records
											et je voulais établir un record moi-même.
											Mais il y avait un petit problème :
											je n'avais absolument aucun talent.
											J'ai donc décidé d'établir un record
pour quelque chose
											qui ne nécessitait aucune compétence.
											J'ai décidé d'établir le record mondial
											de quatre pattes.
									","
											Quando era criança, era obcecada
											com o livro de recordes
mundiais do Guinness,
											e queria muito estabelecer
o meu próprio recorde mundial.
											Havia só um pequeno problema:
											Eu não tinha qualquer talento.
											Então decidi estabelecer
um recorde mundial em algo
											que não requeria qualquer talento.
											Decidi estabelecer
um recorde mundial
											em rastejar.
									","
											Als Kind war ich vom Guiness-Buch
der Rekorde besessen
											und wollte unbedingt selbst 
einen Weltrekord aufstellen.
											Da gab es nur ein kleines Problem:
											Ich hatte überhaupt kein Talent.
											Also wollte ich einen Weltrekord
in einer Disziplin aufstellen,
											für die man überhaupt kein Talent braucht.
											Ich beschloss, einen Weltrekord
											im Kriechen aufzustellen.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											Now, the record at the time
was 12 and a half miles,
											and for some reason,
this seemed totally manageable.
									","
											A l'époque, le record
était de 20 kilomètres
											et, pour une raison ou pour une autre,
cela me semblait faisable.
									","
											O recorde na altura era de 20 km
											e por algum motivo
parecia-me alcançável.
									","
											Der Rekord lag damals bei 20 Kilometern
											und irgendwie erschien mir
das total machbar.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											I recruited my friend Anne,
											and together we decided,
we didn't even need to train.
									","
											J'ai recruté mon amie Anne
											et, ensemble, nous avons décidé
qu'il n'y avait pas besoin d'entraînement.
									","
											Recrutei a minha amiga Anne,
											e juntas decidimos que nem sequer
precisávamos de treinar.
									","
											Meine Freundin Anne machte mit
											und gemeinsam beschlossen wir,
dass wir nicht mal trainieren müssten.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											And on the day of our record attempt,
											we put furniture pads
on the outside of our good luck jeans
											and we set off,
											and right away, we were in trouble,
											because the denim was against our skin
											and it began to chafe,
											and soon our knees were being chewed up.
											Hours in,
											it began to rain.
											Then, Anne dropped out.
											Then, it got dark.
											Now, by now, my knees
were bleeding through my jeans,
											and I was hallucinating from the cold
											and the pain and the monotony.
											And to give you an idea
of the suffer-fest that I was undergoing,
											the first lap around
the high school track took 10 minutes.
											The last lap took almost 30.
									","
											Le jour de notre tentative de record,
											nous avons mis des patins à l'extérieur
de nos jeans porte-bonheur
											et nous sommes parties.
											Nous avons immédiatement
eu des difficultés
											car le jean était contre notre peau,
											il a commencé à frotter
											et bientôt nos genoux étaient abîmés.
											Après quelques heures,
											il a commencé à pleuvoir.
											Puis, Anne a abandonné.
											Puis il a fait nuit.
											Arrivée là, mes genoux
saignaient à travers mon jean
											et j'avais des hallucinations
dues au froid,
											à la douleur et à la monotonie.
											Pour vous donner une idée
du festival de douleurs subies,
											le premier tour de piste du lycée
a pris 10 minutes.
											Le dernier en a pris presque 30.
									","
											No dia da nossa tentativa,
											colocámos protetores por cima
das nossas calças da sorte
											e lá fomos nós.
											Começámos logo a ter problemas,
											porque a ganga roçava na nossa pele
											e começou a criar irritações.
											Depois, os joelhos
começaram a criar feridas.
											Horas depois,
											começou a chover.
											Depois, a Anne desistiu.
											Depois, ficou de noite.
											Naquela altura, os meus joelhos
sangravam através das calças,
											e eu estava a alucinar
devido ao frio.
											à dor e à monotonia.
											Para vos dar uma ideia
do que eu estava a passar,
											a primeira volta à volta
da escola demorou 10 minutos.
											A última quase 30.
									","
											Am Tag unseres Rekordversuchs
											schnallten wir Möbepolster
auf unsere Glücksjeans
											und legten los.
											Wir hatten sofort Probleme,
											weil der Jeansstoff begann,
											auf unserer Haut zu scheuern
											und rieben so bald unsere Knie auf.
											Stunden später
											begann es zu regnen.
											Dann gab Anne auf.
											Dann wurde es dunkel.
											Zu dem Zeitpunkt bluteten 
meine Knie durch meine Jeans
											und ich hatte Halluzinationen vor Kälte,
											Schmerz und Monotonie.
											Um Ihnen eine Vorstellung 
meines Leids zu geben:
											Die erste Runde um die Strecke
der Highschool dauerte 10 Minuten.
											Die letzte Runde dauerte fast 30.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
											After 12 hours of crawling,
											I stopped,
											and I had gone eight and a half miles.
											So I was short of
the 12-and-a-half-mile record.
									","
											Après 12 heures,
											j'ai arrêté
											et j'avais parcouru 13,7 kilomètres.
											Je n'avais donc pas atteint
le record de 20 kilomètres.
									","
											Depois de 12 horas a rastejar,
											parei.
											Tinha feito 13 km.
											Estava ainda um pouco longe do recorde.
									","
											Nach 12 Stunden Kriechen
											hielt ich an
											und war 14 Kilometer weit gekommen.
											Ich lag also unter dem Rekord 
von 20 Kilometern.
									","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
"
","
","
","
","To raise brave girls, encourage adventure",Caroline Paul,12:41,"adventure,children,community,education,fear,family,identity,gender equality,parenting,personal growth,play,social change,society,teaching,women"
