en,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
											This is a man-made forest.
											It can spread over acres
and acres of area,
											or it could fit in a small space —
											as small as your house garden.
											Age of this forest
is just two years old.
											I have a forest in the backyard
of my own house.
											It attracts a lot of biodiversity.
									","
											Este es un bosque artificial.
											Se puede propagar 
a través de hectáreas y hectáreas,
											o podría caber en un espacio pequeño,
											tan pequeño como el jardín de la casa.
											Cada uno de estos bosques 
tiene solo dos años.
											Tengo un bosque en el patio trasero 
de mi propia casa.
											Atrae gran cantidad de biodiversidad.
									","
											Isto é uma floresta feita pelo homem.
											Pode espalhar-se por
vastas extensões de áreas,
											ou pode caber num espaço pequeno
											— tão pequeno como os vossos quintais.
											Cada uma destas florestas
tem apenas 2 anos de idade.
											Tenho uma floresta
no quintal da minha casa.
											Atrai muita biodiversidade.
									","
											Bu insan yapımı bir orman.
											Alana dönüm dönüm yayılabilir
											ya da küçük bir yere de sığabilir —
											evinizin bahçesi kadar küçük bir yere.
											Bu ormanların her biri sadece iki yaşında.
											Evimin arka bahçesinde bir ormanım var.
											Birçok canlı çeşitliliğini çekiyor.
									","
											Das ist ein künstlicher Wald.
											Er kann sich über mehrere
Hektar Land ausbreiten
											oder an einen kleinen Ort passen —
											so klein wie Ihr Garten.
											Jeder dieser Wälder
ist erst zwei Jahre alt.
											Ich habe einen Wald im Hinterhof
meines Hauses.
											Er bringt viel Biodiversität mit sich.
									",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
","
","
","
","
",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
											(Bird call)
									","
											(Canto de pájaro)
									","
											(Grito de ave)
									","
											(Kuş sesi)
									","
											(Vogelruf)
									",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
","
","
","
","
",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
											I wake up to this every morning,
											like a Disney princess.
									","
											Me despierta esto todas las mañanas,
											como una princesa de Disney.
									","
											Acordo todos os dias com isto,
											como uma princesa da Disney.
									","
											Sabahları böyle uyanıyorum,
											bir Disney prensesi gibi.
									","
											Ich wache jeden Morgen dazu
											wie eine Disney-Prinzessin auf.
									",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
","
","
","
","
",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Lachen)
									",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
","
","
","
","
",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
"
											I am an entrepreneur
											who facilitates the making
of these forests professionally.
											We have helped factories,
											farms,
											schools,
											homes,
											resorts,
											apartment buildings,
											public parks
											and even a zoo
											to have one of such forests.
											A forest is not an isolated piece of land
where animals live together.
											A forest can be an integral part
of our urban existence.
											A forest, for me,
											is a place so dense with trees
that you just can't walk into it.
											It doesn't matter
how big or small they are.
									","
											Soy un empresario
											que facilita la realización 
de estos bosques profesionalmente.
											Hemos ayudado a fábricas,
											granjas,
											escuelas,
											hogares,
											complejos turísticos,
											edificios de apartamentos,
											parques públicos
											e incluso a un zoológico
											a tener uno de estos bosques.
											Un bosque no es un trozo de tierra 
aislado donde los animales viven juntos.
											Un bosque puede ser una parte integral 
de nuestra existencia urbana.
											Un bosque, para mí,
											es un lugar tan denso con árboles 
por donde no se puede caminar.
											No importa cuán grande o pequeño sea.
									","
											Sou um empresário
											que facilita o desenvolvimento
destas florestas profissionalmente.
											Já apoiámos fábricas,
											fazendas,
											escolas,
											casas,
											resorts,
											prédios,
											parques públicos
											e até um zoo
											a obter uma destas florestas.
											Uma floresta não é uma peça isolada
de terra onde animais vivem juntos.
											Uma floresta pode ser uma parte integral
da nossa existência urbana.
											Uma floresta, para mim,
											é um local tão denso com árvores
que não se consegue lá andar.
											Não interessa o tamanho delas.
									","
											Ben profesyonel olarak bu ormanların
											yapımına olanak sağlayan bir girişimciyim.
											Fabrikaların,
											çiftliklerin,
											okulların,
											evlerin,
											tatil yerlerinin,
											apartmanların,
											halk parklarının
											ve hatta bir hayvanat bahçesinin bile
											böylesi bir ormana sahip olmasına
yardımcı oluyoruz.

											Orman, hayvanların beraber yaşadığı
izole edilmiş bir kara parçası değildir.
											Orman, kentsel varlığımızın bütünleyici
bir parçası olabilir.
											Benim için, orman,
											içinde yürüyemeceğiniz kadar yoğun
bir şekilde ağaçlarla dolu bir yerdir.
											Ne kadar büyük ya da küçük
oldukları önemli değildir.
									","
											Ich bin ein Unternehmer,
											der beruflich die Errichtung
solcher Wälder ermöglicht.
											Wir haben Fabriken geholfen,
											Bauernhöfen,
											Schulen,
											Wohnhäusern,
											Urlaubsorten,
											Wohnblöcken,
											öffentlichen Parks
											und selbst einem Zoo,
											einen solchen Wald zu haben.
											Ein Wald ist kein abgeschottetes Stück
Land, in dem Tiere zusammen leben.
											Ein Wald kann ein fester Bestandteil
unserer städtischen Existenz sein.
											Für mich ist ein Wald ein Ort,
											der so dicht voller Bäume ist,
dass man nicht hineingehen kann.
											Es ist egal, wie groß oder klein sie sind.
									",How to grow a forest in your backyard,Shubhendu Sharma,9:11,"botany,cities,design,ecology,engineering,environment,future,green,garden,microbes,microbiology,natural resources,nature,science,plants,entrepreneur,sustainability,TED Fellows,trees,urban planning,global development,india,fungi"
