en,pt,fr,es,tr,title,speaker,duration,tags
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
											So, I had been a photographer
											for 18 years
											before I began the Microsculpture Project.
											And in that time,
I had shot global ad campaigns,
											I had the opportunity to photograph
some of my generation's icons,
											and I was traveling the world.
											I got to a point in my career
that I dreamed of getting to,
											and yet, for some reason,
I still felt a little bit unfulfilled.
											Despite the extraordinary things
I was shooting and experiencing,
											they'd started to feel
a little bit ordinary to me.
											I was also getting concerned
											about how disposable photography
had started to feel in the digital world,
											and I really wanted to produce images
that had a sense of worth again.
											And I needed a subject
that felt extraordinary.
									","
											Eu já era fotógrafo há 18 anos
											quando comecei o Projeto Microescultura.
											Nessa altura, tinha fotografado
campanhas publicitárias,
											tinha tido a oportunidade de fotografar
alguns dos ícones da minha geração
											e andava a viajar pelo mundo.
											Cheguei a um ponto da minha carreira
com que eu tinha sonhado
											mas, por alguma razão,
ainda me sentia pouco realizado.
											Apesar das coisas extraordinárias
que eu fotografava e vivia,
											comecei a achá-las
um bocado vulgares.
											Também comecei a preocupar-me
											por a fotografia estar a perder
valor no mundo digital.
											Eu queria produzir imagens
											que voltassem a ter
um sentimento de valor.
											Precisava de um tema
que fosse extraordinário.
									","
											J'ai été photographe
											pendant 18 ans
											avant de commencer le Projet
Microsculpture.
											Pendant ce temps, j'ai pris des photos
pour des campagnes de publicités.
											J'ai eu la chance de photographier
des icônes de ma génération
											et je faisais le tour du monde.
											J'ai atteint les objectifs
de carrière dont je rêvais.
											Et pourtant, pour une raison que 
j'ignorais, j'étais toujours insatisfait.
											Malgré ce que je vivais et les choses
extraordinaires que je prenais en photo,
											cela devenait petit à petit
trop ordinaire à mes yeux.
											Je commençais à m'inquiéter
											du côté jetable de la photographie
dans le monde du numérique
											et je voulais vraiment produire des images
qui avaient de nouveau du sens.
											J'avais besoin d'un sujet passionnant.
									","
											Trabajé como fotógrafo
											18 años
											antes de comenzar 
el Proyecto de Microescultura.
											Y por aquel entonces, 
hice campañas publicitarias globales.
											Tuve la oportunidad de fotografiar 
a algunos de los iconos de mi generación,
											y viajaba por el mundo.
											Llegué a un punto en mi carrera 
al que soñaba llegar,
											y sin embargo, por alguna razón, 
todavía me sentía un poco insatisfecho.
											A pesar de las cosas extraordinarias 
que estaba filmando y experimentando,
											habían empezado a convertirse en algo 
un poco rutinario para mí.
											También me estaba preocupando
											sobre cómo la fotografía de usar y tirar 
comenzó a expandirse en el mundo digital,
											y quería producir de nuevo imágenes que 
tuvieran un sentido de estima y dignidad.
											Necesitaba un tema 
que fuera extraordinario.
									","
											""Mikro-heykel Projesi''ne
											başlamadan önce
											18 yıllık bir fotoğrafçıydım.
											Ve o zamanlarda, dünya çapında
reklam kampanyaları çekmiş,
											dönemimin ikonlarından bazılarını
fotoğraflama şansı yakalamıştım,
											aynı zamanda dünyayı geziyordum.
											Kariyerimde hayal ettiğim 
noktaya ulaşmıştım
											fakat yine de, bir sebepten dolayı
tam tatmin olmamıştım.
											Fotoğrafladığım olağanüstü şeyler
											ve yaşadığım onca tecrübe,
bana biraz sıradan gelmeye başlamıştı.
											Ayrıca dijital çağda fotoğrafçılığın
											nasıl tek kullanımlık bir şey olmaya 
başladığına dair endişelerim vardı.
											Tekrardan değeri olan
fotoğraflar üretmek istiyordum.
											Ve olağanüstü hissettirecek bir konuya
ihtiyaç duydum.
									","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
											Sometimes I wish
I had the eyes of a child.
											And by that I mean,
I wish I could look at the world
											in the same as I did
when I was a small boy.
											I think there is a danger,
as we get older,
											that our curiosity becomes
slightly muted or dulled by familiarity.
											And as a visual creator,
one of the challenges for me
											is to present the familiar
in a new and engaging way.
									","
											Por vezes, desejava
ter os olhos de uma criança.
											Ou seja, desejava ver o mundo
											da mesma forma que via
quando era um rapazinho.
											Acho que há o perigo,
à medida que envelhecemos,
											de a nossa curiosidade ficar
calada ou embotada pela familiaridade.
											Enquanto criador visual,
um dos meus desafios
											é apresentar as coisas vulgares
de forma nova e atraente.
									","
											Des fois, je souhaite
avoir le regard d'un enfant.
											J'aimerais voir le monde
											comme quand j'étais petit garçon.
											Plus on grandit, plus il est dangereux
											que notre curiosité s'estompe
ou s'atténue par trop de banalités.
											Et en tant que créateur visuel,
l'un de mes défis
											est de présenter ces banalités
de façon nouvelle et captivante.
									","
											A veces desearía tener 
los ojos de un niño.
											Y con eso quiero decir, 
me gustaría poder mirar el mundo
											de la misma manera 
que cuando era pequeño.
											Creo que hay un peligro, 
a medida que envejecemos,
											que nuestra curiosidad se apague 
o embote por la familiaridad.
											Y como creador visual, 
uno de los desafíos para mí
											es presentar lo familiar 
de una manera nueva y atractiva.
									","
											Bazen bir çocuğun bakış açısına 
sahip olmayı diliyorum.
											Demek istediğim keşke dünyaya
tıpkı küçük bir çocukken
											baktığım gibi bakabilseydim.
											Bence yaşlandıkça şöyle bir tehlike var,
											merakımız aşinalıkla hafifçe 
susturuluyor ya da donuklaşıyor.
											Ve görsel bir yaratıcı olarak,
benim için zorluklardan biri
											tanıdık olanı 
yeni ve ilgi çekici bir yolla sunmaktır.

									","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
											Fortunately for me, though,
I've got two great kids
											who are still curious about the world.
											Sebastian — he's still curious
about the world, and in 2014, in spring,
											he brought in a ground beetle
from the garden.
											There was nothing particularly special
about this insect —
											you know, it was a common species.
											But he was still curious,
											and he brought it up to my office,
											and we decided to look at it
under his microscope.
											He had a little science kit for Christmas.
											And this is what we saw.
									","
											Mas, felizmente para mim,
tenho dois miúdos estupendos
											que ainda têm curiosidade
sobre o mundo.
											Sebastian ainda é curioso quanto ao mundo
											e, na primavera de 2014, trouxe do jardim
um escaravelho carabídeo.
											Não havia nada de especial neste inseto,
											era uma espécie vulgar.
											Mesmo assim, ele estava curioso
											e levou-o ao meu escritório.
											Decidimos observá-lo ao microscópio.
											Ele tinha recebido no Natal
um pequeno ""kit"" de ciências.
											Foi isto o que vimos.
									","
											Heureusement pour moi,
j'ai deux magnifiques enfants
											pour qui le monde reste une curiosité.
											Sébastian, est toujours curieux à propos
du monde, et au printemps 2014,
											il a rapporté un scarabée du jardin.
											L'insecte n'avait rien de particulier,
											c'est une espèce banale.
											Mais mon fils était curieux
											et il me l'a apporté dans mon bureau,
											et nous avons décidé
de le regarder au microscope.
											Il avait reçu un kit
scientifique pour Noël.
											Et voilà ce qu'on a vu.
									","
											Afortunadamente para mí, 
sin embargo, tengo dos hijos geniales
											que todavía sienten 
curiosidad por el mundo.
											Sebastian quien todavía siente curiosidad 
por el mundo, en primavera del 2014,
											trajo un escarabajo carábido del jardín.
											No había nada particularmente 
especial en este insecto,
											ya saben, era una especie común.
											Pero él todavía sentía curiosidad,
											lo trajo a mi oficina,
											y decidimos mirarlo bajo su microscopio.
											Tenía un pequeño kit 
de ciencia de las Navidades.
											Y esto es lo que vimos.
									","
											Şanslıyım ki benim için,
											dünyayı merak eden 2 harika çocuğa
sahibim.
											Sebastian— o hâlâ dünyayı merak ediyor
ve 2014 yılının baharında
											bahçeden bir karafatma getirdi.
											Bu böceğin 
hiçbir ayırt edici özelliği yoktu.
											Bilirsiniz, sıradan bir türdü.
											Ama o hâlâ meraklıydı
											ve onu alıp ofisime getirdi
											ve ona mikroskopla bakmaya
karar verdik.
											Noel için küçük bir bilim seti vardı.
											Ve gördüğümüz şey buydu.
									","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
											Now, when I first saw this,
it blew me away.
											Up here — this is the back
of the ground beetle.
											When I first saw it,
it reminded me of a galaxy.
											And all the time, this had just
been outside our window.
											You know, I was looking
for this extraordinary subject,
											and it took Seb's eyes and curiosity
to bring it in to me.
									","
											Quando vi isto, foi uma revelação.
											Aqui em cima — isto é o dorso
do escaravelho.
											Quando vi isto,
fez-me lembrar uma galáxia.
											E tinha estado há que tempos
do outro lado da janela.
											Eu estava a olhar
para este tema extraordinário,
											porque foram os olhos e a curiosidade
do Seb que mo tinham trazido.
									","
											Quand je vis ça, je fus subjugué.
											Là-haut, vous avez le dos du scarabée.
											En le voyant, ça m'a rappelé la galaxie.
											Pendant tout ce temps,
c'était juste dehors.
											Vous savez, je cherchais
cet incroyable sujet,
											et il aura fallu les yeux et la curiosité
de Seb pour me le trouver.
									","
											Al verlo por primera vez, 
me dejó alucinado.
											Aquí arriba, esta es la parte trasera 
del escarabajo carábido.
											Cuando lo vi por primera vez, 
me recordó a una galaxia.
											Y todo el tiempo, había estado 
fuera de nuestra ventana.
											Ya saben, yo estaba buscando 
este tema extraordinario,
											y los ojos y la curiosidad 
de Seb me lo trajeron.
									","
											Bunu ilk gördüğümde,
beni çok şaşırttı.
											Burası— bu karafatmanın arka tarafıydı.
											Onu ilk gördüğümde, 
bana bir galaksiyi hatırlattı.
											Sürekli,penceremizin dışındaydı.
											Bu olağan dışı konuyu araştırıyordum
											ve bu da Sebastian'ın meraklı bakışlarını
üzerime çekti.
									","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
											So I decided to photograph it for him,
and this is what I produced.
											I basically asked myself
two simple questions.
											The first one:
											Could I take all my knowledge and skill
of photographic lighting
											and take that onto a subject
that's five millimeters long?
											But also: Could I keep
creative control over that lighting
											on a subject that size?
											So I practiced
on some other found specimens,
											and I approached the Oxford University
Museum of Natural History
											to see if I could have access
to their collection,
											to progress the project.
											And I went up there for a meeting,
											and I showed them some of the images
that I'd been shooting,
											and they could see
the kind of detail I was able to get.
											I don't think they'd ever really seen
anything quite like it before,
											and from that point forward,
they gave me open access
											to their entire collection
											and the assistance of Dr. James Hogan,
their entomologist.
									","
											Decidi fotografá-lo para lho dar
e isto foi o que eu produzi.
											Fiz a mim mesmo duas simples perguntas.
											A primeira:
											Poderia usar todos
os meus conhecimentos e perícia
											de iluminação fotográfica
											e aplicar isso numa coisa
com 5 mm de comprimento?
											E também: Poderia manter
um controlo criativo dessa iluminação
											numa coisa daquele tamanho?
											Então, pratiquei
com outros especímenes encontrados
											e fui ao Museu de História Natural
da Universidade de Oxford
											para ver se podia ter acesso
à coleção deles,
											para avançar com o projeto.
											Fui lá a uma reunião
											e mostrei-lhes algumas das imagens
que eu tinha fotografado.
											Eles viram o tipo de pormenor
que eu conseguia obter.
											Acho que nunca tinham visto nada assim
											e a partir daí, deram-me livre acesso
a toda a sua coleção
											e o acompanhamento
do seu entomólogo, Dr. James Hogan.
									","
											Alors, je décidai de lui en faire
des photos et voilà le résultat.
											Je me suis posé deux simples questions.
											La première est :
											est-ce que je peux mettre toutes mes
compétences en lumière photographique
											et les appliquer à un sujet
de cinq centimètres de long ?
											Mais aussi : puis-je garder le contrôle
créatif de cette lumière
											sur un sujet de cette taille ?
											Alors je me suis entraîné
sur d'autres spécimens trouvés,
											et j'ai contacté le Musée d'histoire
naturelle de l'université d'Oxford
											pour voir si je pouvais avoir accès
à leur collection,
											afin d'améliorer le projet.
											Et j'ai eu un rendez-vous,
											et je leur ai montré
des images que j'avais prises
											et ils ont pu constater le nombre
de détails que je pouvais obtenir.
											Je ne suis pas sûr qu'ils aient déjà vu
quelque chose de ce genre.
											A partir de ce moment,
ils m'ont donné libre entrée
											à toute leur collection
											et l'aide de leur entomologiste,
Dr James Hogan.
									","
											Así que decidí fotografiarlo para él, 
y esto es lo que produje.
											Básicamente me hice 
dos preguntas simples.
											La primera:
											¿Podría poner todo mi conocimiento 
y habilidad de iluminación fotográfica
											en un modelo de cinco mm de largo?
											Pero también: ¿podría mantener 
el control creativo sobre esa iluminación
											en un modelo de ese tamaño?
											Así que practiqué 
con otros especímenes encontrados,
											y me acerqué al Museo de Historia Natural 
de la Universidad de Oxford
											para saber si podría 
tener acceso a su colección,
											para progresar en el proyecto.
											Y fui allí para una reunión,
											y les mostré algunas imágenes 
que había estado fotografiando,
											y pudieron ver el tipo de detalles 
que se pueden obtener.
											No creo que hayan visto algo así antes,
											y desde ese momento, 
me dieron acceso abierto
											a toda su colección
											con la asistencia del 
Dr. James Hogan, su entomólogo.
									","
											Ben de onun için bunu fotoğraflamaya 
karar verdim ve bu da yarattığım şey.
											Kendime iki basit soru sordum.
											Birincisi:
											Tüm fotografik aydınlatma bilgi 
ve becerilerimi alıp
											beş milimetre uzunluğunda olan 
bir obje üzerine aktarabilir miydim?
											Ama ayrıca: Yaratıcı kontrolü bu boyuttaki
											bir obje üzerinde tutabilir miydim?
											Ben de başka bulunmuş örnekler
üzerinde çalıştım,
											projeyi geliştirmek ve Oxford Üniversitesi
Doğal Tarih Müzesi ile
											koleksiyonuna erişmek için,
											iletişime geçtim.
											Ve görüşmek için oraya gittim
											ve onlara çekmiş olduğum
bazı görüntüleri gösterdim
											ve benim gözlemleyebildiğim detayları 
onlar da görebildi.
											Onların daha önce böyle bir şey 
gördüğünü zannetmiyorum
											ve o andan itibaren,
											tüm koleksiyona açık erişimine
											ve Entomolojist Dr. James Hogan'ın
yardımına izin verdiler.
									","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
"
","
","
","
","
","Mind-blowing, magnified portraits of insects",Levon Biss,7:48,"art,animals,creativity,insects,photography"
