en,pt,title,speaker,duration,tags
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											Nicole Paris: TEDYouth, make some noise!
									","
											Nicole Paris: TEDYouth, façam barulho!
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
											TEDYouth, make some —
									","
											(Aplausos)
											TEDYouth, façam baru...
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
									","
											(Som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing ends)
									","
											(Fim do som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											Are you ready?
									","
											Estão prontos?
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Cheers and applause)
									","
											(Aplausos)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											Are you ready?
									","
											Estão prontos?
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											Ed Cage: Yeah, yeah, yeah!
									","
											Ed Cage: Yeah, yeah, yeah!
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
									","
											(Som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Laughter)
									","
											(Risos)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											EC: Y'all like that? Let me show you
how we used to do it —
									","
											Gostaram? Deixem-me mostrar-vos 
como fazíamos...
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											NP: Get it pops, go ahead.
									","
											NP: Dá-lhe pai, dá-lhe.
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											EC: ... when I was growing up in the '90s.
									","
											EC: Quando eu era miúdo, nos anos 90.
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
									","
											(Som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing ends)
									","
											(Fim do som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Laughter)
									","
											(Risos)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
									","
											(Som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											NP: Pops, pops, pops, pops, pops, pops,
											hold up, hold up, hold up, hold up!
											Oh my God.
											OK, he's trying to battle me.
											Hold on, right now, hold on.
											Do you remember when you used
to beatbox me to sleep?
									","
											NP: Pai, pai, pai, pai, pai, pai,
											espera aí, espera aí, espera aí, espera!
											Oh, meu Deus!
											Ok, ele está a tentar desafiar-me.
											Espera ai, agora mesmo, espera.
											Lembras-te de quando me punhas
a dormir com o ""beatbox""?
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											EC: Yeah, yeah, I remember.
											That's when she was a little baby.
											We would do something like this.
									","
											EC: Sim, sim, lembro-me.
											Isso era quando ela era uma bebé.
											Nós fazíamos algo como isto.
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
											(Beatboxing)
									","
											(Som de Beatbox)
									",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
"
","
",A beatboxing lesson from a father-daughter duo,Nicole Paris and Ed Cage,7:01,"TEDYouth,art,music,performance,family,entertainment,live music"
