fr,en,de,tr,es,title,speaker,duration,tags
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Charles et Ray étaient une équipe. Ils étaient mari et femme.
											Malgré tous les efforts, récemment, du New York Times et de Vanity Fair,
											ils n'étaient pas frères.
											Et ils étaient très amusants.
											Vous savez, Ray était celle qui portait l'esperluette dans la famille.
											(Rires)
									","
											Charles and Ray were a team. They were husband and wife.
											Despite the New York Times' and Vanity Fair's best efforts recently,
											they're not brothers. (Laughter)
											And they were a lot of fun.
											You know, Ray was the one who wore the ampersands in the family.
											(Laughter)
									","
											Charles und Ray Eames waren ein Team. Sie waren Mann und Frau.
											Trotz der Bemühungen von New York Times und Vanitiy Fair es zu beweisen,
											sind sie keine Brüder.
											Sie haben viel Spass gemacht.
											Wisst ihr, Ray war diejenige in der Familie, die das Et-Zeichen getragen hat.
											(lacht)
									","
											Charles ve Ray ekiptiler. Onlar karı kocadıydılar.
											New York Times' a ve Vanity Fair'in son zamanlardaki çabalarına rağmen.
											onlar arkadaş değillerdir. (Gülüşmeler)
											Ve onlar çok eğlenceliydiler.
											Biliyorsunuz, Ray ailenin çılgınıydı.
											(Gülüşmeler)
									","
											Charles y Ray eran un equipo. Eran marido y mujer.
											A pesar de los mejores esfuerzos recientes del New York Times y Vanity Fair,
											no son hermanos.
											Y eran muy divertidos.
											Ray fue la única que usó la palabra ""ampersands"" en la familia.
											(Risas)
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Nous allons mettre l'accent sur Charles aujourd'hui. Parce que c'est le 100ème anniversaire de Charles.
											Mais quand je parle de lui, en fait je parle vraiment des deux en tant qu'équipe.
											Voici Charles quand il avait trois ans. Il aurait donc eu 100 ans en juin.
											Nous allons avoir de chouettes cérémonies pour commémorer ça.
											Le problème à propos de leur travail,
											c'est que la plupart des gens y accèdent par l'entrée ""mobilier"" —
											Je suppose que vous reconnaitrez cette chaise,
											comme quelques-unes des autres que je vais vous montrer.
											Mais pour commencer, nous passerons par l'entrée du Grand Chapiteau.
											La question à se poser, c'est pourquoi je vous montre tout ça ?
											Parce que ce sont Charles et Ray qui ont réalisé ce film?
											En fait, il s'agit d'un film de formation pour une école de cirque.
											Ils ont aussi pratiqué un numéro de clown à l'époque où l'avenir du meuble
											n'était pas d'aussi bon augure qu'il s'est avéré l'être par la suite.
											Voici une photographie de Charles. Regardons le clip suivant.
									","
											We are going to focus on Charles today, because it is Charles' 100th birthday.
											But when I speak of him, I'm really speaking of both of them as a team.
											Here's Charles when he was three. So he would be 100 this June.
											We have a lot of cool celebrations that we're going to do.
											The thing about their work
											is that most people come to the door of furniture —
											I suspect you probably recognize this chair
											and some of the others I'm going to show you.
											But we're going to first enter through the door of the Big Top.
											The whole thing about this, though, is that, you know, why am I showing it?
											Is it because Charles and Ray made this film?
											This is actually a training film for a clown college that they had.
											They also practiced a clown act when the future of furniture
											was not nearly as auspicious as it turned out to be.
											There is a picture of Charles. So let's watch the next clip.
									","
											Wir werden uns heute auf Charles konzentrieren. Weil es Charles 100. Geburtstag ist.
											Aber wenn ich von ihm spreche, spreche ich in Wirklichkeit von ihnen beiden als Team.
											Das ist Charles als er 3 Jahre alt war. Er wäre diesen Juni 100 Jahre alt.
											Wir haben viel zu feiern.
											Die Sache mit deren Arbeit ist die,
											dass viele Menschen an der Schwelle zu Möbeln–
											Ich gehe davon aus, dass ihr vermutlich diesen Stuhl erkennt,
											und einige andere, die ich euch zeigen werde.
											Aber wir werden zuerst durch das Zirkuszelt eintreten.
											Das Ganze geht um das hier, wisst ihr, warum ich das hier zeige?
											Ist es weil Charles den Film gemacht hat?
											Das ist tatsächlich ein Übungsfilm für eine Clownhochschule, die sie hatten.
											Sie haben auch ein Clown Sketch geprobt, als die Zukunft des Möbels
											nicht annähernd so rosig aussah wie es letztendlich geworden ist.
											Das ist ein Bild von Charles. Lass uns den nächsten Clip anschauen.
									","
											Bugün Charles'e odaklanacağız çünkü Charles'in 100. yaş günü.
											Ondan bahsederken aslında her ikisinden bir ekip olarak bahsediyorum.
											İşte Charles üç yaşındayken. Haziran'da 100 yaşında olacak.
											Çok çeşitli kutlamalar yapacağız.
											Onların işlerinin özelliği
											çoğu insan mobilyanın kapısına gelecektir—
											Bu bu sandalyeyi
											ve birazdan göstereceklerimi tanıyacağınızı düşünüyorum.
											Ama biz ilk olarak şirk kapısından içeri gireceğiz.
											Bunun hakkında herşeyi bilmenize rağmen bu filmi neden size gösteriyorum?
											Bu filmi Charles ve Ray yaptığı için mi?
											Bu film gerçekte palyaço okulu için yaptıkları bir eğitim filmi.
											Aynı zamanda onlar, mimarının geleceği şimdiki gibi parlak gözükmediği bir zamanda
											palyaçoluk da yaptılar.
											Bu Charles'in bir resmi. Şimdi diğer filmi izleyelim.
									","
											Nos vamos a centrar en Charles hoy. Porque es su 100º cumpleaños.
											Pero cuando hablo de él, realmente estoy hablando de ambos como equipo.
											Aquí está Charles cuando tenia 3 años. Habría cumplido 100 en junio.
											Tenemos muchas celebraciones interesantes que conmemorar.
											La cuestión sobre su trabajo
											es que la mayoría del público conoce su trabajo primero a través de sus muebles —
											Probablemente no reconozcan esta silla
											y algunas de las otras que les mostraré.
											Pero primero vamos a entrar a través de la puerta del Gran Top.
											Sin embargo, antes de nada... ¿por qué lo estoy mostrando?
											¿Es porque Charles y Ray hicieron esta película?
											De hecho, esta es una película de entrenamiento para una academia de payasos que ellos tenían.
											Ellos además ejercieron de payasos cuando el futuro del mueble
											no estaba cerca de ser propicio como se ha convertido.
											Aquí una foto de Charles. Así que miremos el siguiente videoclip.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Le film que nous allons voir est un film qu'ils ont fait pour l'Expo Universelle de Moscou.
									","
											The film that we're about to see is a film they made for the Moscow World's Fair.
									","
											Der Film, den wir gleich sehen werden, haben sie für die Weltausstellung in New York gemacht.
									","
											İzlemek üzere olduğumuz bu film Moskova Fuarı için yapılmış bir film.
									","
											La película que estamos a punto de ver fue realizada para la Feria Mundial de Moscú.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Vidéo: ""Ceci est la terre.
											Elle a beaucoup de contrastes.
											Elle est rude et elle est plate.
											Par endroits, elle est froide.
											Ailleurs, elle est chaude.
											Trop de pluie tombe sur certaines zones.
											Et pas assez sur d'autres.
											Mais les gens vivent sur cette terre.
											Et, comme en Russie,
											ils sont rassemblés dans les villes et les cités.
											Voici quelque chose de la façon dont ils vivent...""
									","
											Video: This is the land.
											It has many contrasts.
											It is rough and it is flat.
											In places it is cold.
											In some it is hot.
											Too much rain falls on some areas,
											and not enough on others.
											But people live on this land.
											And, as in Russia,
											they are drawn together into towns and cities.
											Here is something of the way they live.
									","
											Video: Das ist das Land.
											Es hat viele Kontraste.
											Es ist rau und es ist flach.
											An manchen Orten ist es kalt.
											An manchen anderen ist es heiss.
											In manchen Gegenden fällt zu viel Regen
											und nicht genug in anderen.
											Aber Menschen leben auf dieses Land.
											Und, wie in Russland,
											sind sie in Dörfern und Städten versammelt.
											Hier ist etwas über ihre Lebensweise.
									","
											Video: Bu ülke,
											bir çok tezatlıkların olduğu bir ülkedir.
											Hem inişli çıkışlı hem de düz.
											Bazı yerleri soğuktur,
											bazı yerleri de sıcak.
											Bazı bölgelere çok fazla yağmur yağar
											ve diğer yerlere de az yağar.
											Ama insanlar bu ülkede yaşarlar.
											Ve Rusya'da olduğu gibi,
											şehirlerde ve kasabalarda birlikte yaşarlar.
											İşte hayatta kalmanın yolu bu.
									","
											Vídeo: Esta es la tierra.
											Tiene muchos contrastes.
											Es áspera y es plana.
											Algunos lugares son fríos.
											Otros son calientes.
											Mucha lluvia cae en algunas áreas.
											y no suficiente en otras.
											Pero la gente vive en esta tierra.
											Y, como en Rusia,
											están juntos en pueblos y ciudades.
											Aquí hay algo sobre la forma en que viven.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
","
","
","
","
",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
"
											Eames Demetrios: Il s'agit là d'un film qui n'a presque jamais été vu aux États-Unis.
											Il était [projeté] sur sept écrans, sur 60 mètres de large.
											Et c'était au plus fort de la Guerre froide.
											Le ""Kitchen Debate"" entre Nixon et Khrouchtchev
											s'est déroulé à 15 mètres de l'endroit où on projetait ce film.
											Et même, comment [ce débat] avait-il commencé?
											Vous savez, ce débat sur les ""points communs"", la première ligne
											dans la narration de Charles était :
											""Ces mêmes étoiles qui brillent sur la Russie
											brillent sur les États-Unis. Vues du ciel,
											nos villes se ressemblent beaucoup. ""
											C'est cette relation à l'humain que Charles et Ray ont toujours trouvée partout.
											Et vous pouvez imaginer, et c'est même le sujet,
											qu'ils croyaient que l'esprit humain était capable de traiter ce nombre d'images
											parce que l'important était de saisir la Gestalt
											dont traitaient les images.
									","
											Eames Demetrios: Now, this is a film that was hardly ever seen in the United States.
											It was on seven screens and it was 200 feet across.
											And it was at the height of the Cold War.
											The Nixon-Khrushchev Kitchen Debate
											happened about 50 feet from where this was shown.
											And yet, how did it start?
											You know, commonality, the first line
											in Charles' narration was,
											""The same stars that shine down on Russia
											shine down on the United States. From the sky,
											our cities look much the same.""
											It was that human connection that Charles and Ray always found in everything.
											And you can imagine, and the thing about it is,
											that they believed that the human mind could handle this number of images
											because the important thing was to get the gestalt
											of what the images were about.
									","
											Eames Demetrios: Nun das ist ein Film, der in den USA kaum je gezeigt worden ist.
											Es wirde auf 7 Bildschirmen gezeigt und war 200 feet breit.
											Und es war der Höhepunkt des Kalten Krieges.
											Die Nixon-Krushchev Küchendebatte
											geschah etwa 50 feet von dem Ort, an dem das hier gezeigt wurde.
											Und jetzt, wie hat es angefangen?
											Wisst ihr, die Gemeinsamkeiten, die erste Zeile
											in Charles Erzählung war
											""Die gleichen Sterne, die auf Russland scheinen
											scheinen auch auf die USA. Vom Himmel aus
											sehen unsere Städte ziemlich identisch aus.""
											Es war diese menschliche Verbindung, die Charles und Ray immer in allem gefunden haben.
											Und ihr könnt euch denken, die Sache damit ist,
											dass sie glaubten dass der menschliche Verstand mit der Anzahl an Bildern umgehen könne
											weil es darum ging die Gestalt
											der Bilder zu begreifen.
									","
											Eames Demetrios: Bu Amerika'da neredeyse hiç gösterilmemiş bir film.
											Yedi ekranda gösterilirdi ve 60 metre genişliğindeydi.
											Ve Soğuk Savaşın doruklarındaydı.
											Nixon-Khruschev Kitchen müzakeresi
											filmin gösterildiği yerin 15 metre yakınında yapıldı.
											Peki nasıl başladı?
											Biliyorsunuz, benzerlik, ilk sırada
											Charles'in anlatımında,
											""Rusya'da parlayan yıldızlar
											Amerika'da da parlıyor. Gökyüzünden
											bakınca şehirlerimiz aynı görünüyor.""
											Charles ve Ray her zaman her şeyde insan için bir bağlantı buldular.
											Tasavvur edebilirsiniz,
											insan aklının bu kadar fotoğrafı işleyebileceğine inanıyorlardı
											çünkü önemli olan bu resimlerin
											nelerle ilgili olduğunu anlayabilmekti.
									","
											Eames Demetrios: Esta es una película que fue rara vez vista en los Estados Unidos.
											Se proyectaba en 7 pantallas y tenía 60 metros de ancho.
											Y esto ocurría en plena Guerra Fría.
											El debate de Nixon-Krushchev
											sucedió a 15 metros de donde fue mostrado.
											Y, ¿cómo empezó?
											Comúnmente, la primera línea
											en la narración de Charles era:
											""Las mismas estrellas que brillan en Rusia
											brillan en los Estados Unidos. Desde el cielo,
											nuestras ciudades se ven muy parecidas"".
											Era esa conexión humana que Charles y Ray encontraban en todo.
											Y pueden imaginar, y la cuestión es
											que ellos creían que la humanidad podía manejar este número de imágenes
											porque lo importante era obtener la Gestalt
											acerca de lo que eran las imágenes.
									",The design genius of Charles + Ray Eames,Eames Demetrios,15:08,"children,creativity,design,film,product design"
