en,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
											About once every century,
											a massive star somewhere in our galaxy

											runs out of fuel.
											This happens after millions of years 
of heat and pressure
											have fused the star’s hydrogen
											into heavier elements like helium,
carbon, and nitrogen— all the way to iron.
											No longer able to produce sufficient 
energy to maintain its structure,
											it collapses under its own gravitational 
pressure and explodes in a supernova.
											The star shoots most of its 
innards into space,
											seeding the galaxy with heavy elements.
											But what this cataclysmic eruption leaves
behind might be even more remarkable:
											a ball of matter so dense that 
atomic electrons
											collapse from their quantum orbits 
into the depths of atomic nuclei.
											The death of that star 
is the birth of a neutron star:
											one of the densest known objects 
in the universe,
											and a laboratory for the strange physics 
of supercondensed matter.
									","
											Cerca de uma vez por século,
											uma enorme estrela
algures na nossa galáxia
											fica sem combustível.
											Isto acontece ao fim de milhões de anos
de o calor e a pressão
											terem fundido o hidrogénio da estrela
											em elementos mais pesados,
com hélio, carbono e azoto
											— tudo na direção do ferro.
											Incapaz de continuar
a produzir energia suficiente
											para manter a sua estrutura,
											colapsa sob a sua pressão gravitacional
e explode numa supernova.
											A estrela dispara a maior parte
do seu conteúdo no espaço,
											semeando na galáxia os elementos pesados.
											Mas esta erupção cataclísmica
deixa atrás de si
											o que talvez seja mais notável:
											uma bola de matéria tão densa
que os eletrões atómicos colapsam
											das suas órbitas quânticas
nas profundezas dos núcleos atómicos.
											A morte dessa estrela é o nascimento
de uma estrela de neutrões,
											um dos objetos mais densos
conhecidos no Universo
											e um laboratório para a estranha física
da matéria supercondensada.
									","
											Une fois par siècle environ,
une étoile massive,
											quelque part dans notre galaxie,
											tombe en panne de carburant.
											Cela survient après
que des millions d'années
											de chaleur et de pression
											ont fait fusionner l'hydrogène de l'étoile
											en des éléments plus lourds
											comme l'hélium, le carbone
et l'azote - et cela jusqu'au fer.
											Incapable de continuer
de produire assez d'énergie
											pour soutenir sa structure,
											elle s'effondre sous sa propre
pression gravitationnelle
											et explose en une supernova.
											L'étoile propulse la plupart
de ses entrailles dans l'espace,
											ce qui ensemence la galaxie
en éléments lourds.
											Mais ce que cette éruption
cataclysmique laisse derrière elle
											semble bien plus insolite :
											une sphère de matière tellement dense
											que les électrons atomiques chutent
de leur orbite quantique
											jusqu'aux profondeurs du noyau atomique.
											La mort de cette étoile marque
la naissance d'une étoile à neutrons :
											l'un des objets connus
les plus denses de l'univers
											et un laboratoire de l'étrange physique
de la matière super-condensée.
									","
											Yaklaşık her yüzyılda bir,
											galaksimizin bir yerinde,
büyük bir yıldızın
											yakıtı tükenir.
											Bu, sıcaklık ve basıncın
milyonlarca yıl boyunca,
											yıldızın hidrojenini eriterek
helyum,
											karbon, azot, demir gibi ağır elementlere
dönüştürmesinden sonra gerçekleşir.
											Yapısını korumak için yeteri kadar
enerji sağlayamayan yıldız
											kendi kütleçekim kuvvetine yenilerek çöker
ve bir süpernova patlaması meydana gelir.
											Yıldızın içindeki maddeler
uzaya dağılarak
											galaksiyi ağır elementlerle doldurur.
											Fakat bu büyük patlamanın ardında
bıraktıkları daha da dikkate değerdir:
											Atomik elektronların kendi kuantum
yörüngelerinden atomik çekirdeğin
											derinliklerine çökmesine neden olacak
kadar yoğun bir madde topağı.
											Bu yıldızın ölümü sonucunda,
bir nötron yıldızı doğar.
											Nötron yıldızı, evrende bilinen 
en yoğun nesnelerden biridir
											ve sıkışmış maddelerin garip fiziğini
inceleyebileceğimiz bir laboratuvardır.
									",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
","
","
","
",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
											But what is a neutron star?
											Think of a compact ball inside of which 
protons and electrons fuse into neutrons
											and form a frictionless liquid 
called a superfluid—
											surrounded by a crust.
											This material is incredibly dense –
											the equivalent of the mass of a 
fully-loaded container ship
											squeezed into a human hair,
											or the mass of Mount Everest 
in a space of a sugar cube.
											Deeper in the crust, the neutron 
superfluid forms different phases
											that physicists call “nuclear pasta,”
											as it’s squeezed from lasagna 
to spaghetti-like shapes.
									","
											Mas o que é uma estrela de neutrões?
											Pensem numa bola compacta
											dentro da qual os protões e os eletrões
se fundem em neutrões
											e formam um líquido sem fricção
chamado um superfluido
											— rodeado por uma crosta.
											Este material é extremamente denso,
											equivalente à massa de um barco
de contentores totalmente carregado,
											comprimido num cabelo humano
											ou a massa do Monte Evereste
no espaço de um cubo de açúcar.
											Mais profundamente na crosta,
											o superfluido de neutrões
forma diferentes fases
											a que os físicos chamam ""pasta nuclear"",
											porque assumem formas
como as da lasanha ou do esparguete.
									","
											Mais qu'est-ce qu'une étoile à neutrons ?
											Imaginez une boule compacte
											dans laquelle les protons et les électrons
se fusionnent en neutrons
											et forment un liquide non-visqueux,
un superfluide, entouré d'une croûte.
											Cette matière est incroyablement dense :
											cela équivaut à la masse
d'un porte-conteneurs entièrement rempli
											entassée dans un cheveu humain
											ou à la masse de l'Everest
dans le volume d'un morceau de sucre.
											Au sein de la croûte, le superfluide
à neutrons forme différentes phases
											appelées « pâtes nucléaires »
par les physiciens
											car elles prennent des formes
de lasagnes ou de spaghetti.
									","
											Peki nötron yıldızı nedir?
											Proton ve elektronların
eriyerek nötronlara dönüştüğü
											ve ""tam akışkan"" adlı
sürtünmesiz sıvıyı oluşturduğu
											dışı kabukla kaplı 
bir küre düşünün.
											Bu madde son derece yoğundur -
											dolu bir konteyner gemisi 
kütlesinin sıkıştırılarak
											bir saç teli kadar küçültülmesine
											veya Everest Dağı'nın bir küp şeker kadar
sıkıştırılmasına eşdeğerdir.
											Nötron süperakışkanı, fizikçilerin 
""nükleer makarna"" adını verdikleri
											evrelerden geçerek
											lazanyanın spagettiye 
dönüşmesine benzeyen bir şekil alır.
									",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
","
","
","
",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
											The massive precursors to 
neutron stars often spin.
											When they collapse,
											stars that are typically millions of 
kilometers wide
											compress down to neutron stars that are
only about 25 kilometers across.
											But the original star’s angular 
momentum is preserved.
											So for the same reason that a figure 
skater’s spin accelerates
											when they bring in their arms,
											the neutron star spins much more 
rapidly than its parent.
											The fastest neutron star on record 
rotates over 700 times every second,
											which means that a point on its surface 
whirls through space
											at more than a fifth 
of the speed of light.
											Neutron stars also have the strongest 
magnetic field of any known object.
											This magnetic concentration
forms vortexes
											that radiate beams 
from the magnetic poles.
											Since the poles aren’t always aligned 
with the rotational axis of the star,
											the beams spin like lighthouse beacons,
											which appear to blink 
when viewed from Earth.
											We call those pulsars.
											The detection of one of these 
tantalizing flashing signals
											by astrophysicist Jocelyn Bell in 1967
											was in fact the way we indirectly
discovered neutron stars
											in the first place.
											An aging neutron star’s furious rotation
slows over a period of billions of years
											as it radiates away its energy in the form
of electromagnetic and gravity waves.
									","
											Os precursores maciços
para as estrelas de neutrões
											giram frequentemente.
											Quando colapsam,
											as estrelas que habitualmente
têm milhões de quilómetros de diâmetro,
											comprimem-se em estrelas de neutrões
que só têm 25 quilómetros de diâmetro.
											Mas o ímpeto angular da estrela
inicial mantém-se preservado.
											Pela mesma razão que um pião
feito por um patinador acelera,
											quando encolhe os braços,
											a estrela de neutrões gira
mais depressa que a sua criadora.
											A estrela de neutrões
mais rápida registada,
											gira mais de 700 vezes por segundo,
											o que significa que um ponto
na superfície
											gira através do espaço a mais
de um quinto da velocidade da luz,
											As estrelas de neutrões
também têm o campo magnético
											mais forte de qualquer objeto conhecido.
											Essa concentração magnética
forma vórtices que irradiam feixes de luz
											a partir dos polos magnéticos.
											Como os polos nem sempre estão alinhados
com o eixo de rotação da estrela,
											os feixes de luz giram como faróis
											que parecem piscar
quando se veem da Terra.
											Chamamos-lhes pulsares.
											A deteção de um desses sinais
cintilantes fascinantes
											pela astrofísica Jocelyn Bell em 1967
											foi, de facto, a forma como descobrimos
indiretamente as estrelas de neutrões.
											A rotação furiosa de um neutrão
em envelhecimento
											abranda ao longo de um período
de milhares de milhares de anos,
									","
											Les précurseurs massifs des étoiles
à neutrons sont souvent en rotation.
											En s'effondrant,
											les étoiles d'une envergure
de millions de kilomètres
											se compressent en étoiles à neutrons
qui ne font que 25 km de diamètre.
											Mais la quantité de mouvement angulaire
d'origine de l'étoile est conservée.
											Ainsi, de la même manière
qu'un patineur artistique tourne plus vite
											lorsqu'il rapproche ses bras,
											l'étoile à neutrons tourne
bien plus rapidement que son parent.
											La plus rapide que l'on connaisse
tourne plus de 700 fois par seconde,
											ce qui signifie qu'un point de sa surface
tourbillonne à travers l'espace
											à plus d'un cinquième
de la vitesse de la lumière.
											Les étoiles à neutrons possèdent aussi
le plus puissant champ magnétique connu.
											Cette concentration magnétique
crée des vortex
											qui propulsent des rayons
depuis les pôles magnétiques.
											Les pôles n'étant pas toujours alignés
avec l'axe de rotation de l'étoile,
											les rayons tournent
comme les lumières d'un phare,
											ce qui apparaît comme
un clignotement depuis la Terre.
											On appelle cela des pulsars.
											C'est en réalité la détection
de l'un de ces mystérieux clignotements
											par l'astrophysicienne
Jocelyn Bell en 1967
											qui nous a fait indirectement
découvrir les étoiles à neutrons.
											La rotation frénétique d'une étoile
ralentit pendant des milliards d'années
											en émettant son énergie sous forme d'ondes
électromagnétiques et gravitationnelles.
									","
											Nötron yıldızlarının öncüleri
genelde döner.
											Çöktükleri zaman,
											genellikle milyonlarca kilometre 
genişliğindeki yıldızlar,
											yalnızca 25 kilometre eninde olan
nötron yıldızlarına dönüşürler.
											Ama yıldız, kendi açısal
momentumunu korur.
											Tıpkı bir artistik patinajcının
ellerini kullanmasıyla birlikte
											dönüş hızının artması gibi,
											nötron yıldızı da yıldızın önceki
halinden çok daha hızlı döner.
											Bilinen en hızlı nötron yıldızı
saniyede 700 dönüş yapmaktadır.
											Bu da, yıldızın yüzeyindeki bir noktanın
											ışık hızının beşte birinden
daha hızlı döndüğü anlamına gelir.
											Ayrıca, nötron yıldızları bilinen
en güçlü manyetik alana sahiptir.
											Bu manyetik odaklanma,
											manyetik kutuplardan ışın saçan
girdaplar oluşturur.
											Kutuplar her zaman yıldızın 
dönme ekseniyle aynı doğrultuda değildir,
											bu yüzden ışınlar,
deniz feneri ışığı gibi döner.
											Dünyadan bakıldığında,
yanıp sönüyormuş gibi görünür.
											Bunlara pulsar denir.
											Bu yanıp sönen 
gizemli sinyallerden birinin
											1967'de astrofizikçi Jocelyn Bell 
tarafından keşfedilmesi,
											aslında nötron yıldızlarının da
											dolaylı keşfi olmuştur.
											Yaşlanmakta olan bir nötron yıldızı,
elektromanyetik ve yerçekim dalgaları ile
											enerjisini saçarken şiddetli dönüşü
milyarlarca yıllık bir süreçte yavaşlar.
									",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
","
","
","
",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
											But not all neutron stars 
disappear so quietly.
											For example, we’ve observed binary systems
											where a neutron star 
co-orbits another star.
											A neutron star can feed on 
a lighter companion,
											gorging on its more 
loosely bound atmosphere
											before eventually collapsing
cataclysmically into a black hole.
									","
											quando ele radia a sua energia
											sob a forma de ondas
eletromagnéticas e de gravidade.
											Mas nem todas as estrelas de neutrões
desaparecem tão tranquilamente.
											Por exemplo, observámos
sistemas binários
											em que uma estrela de neutrões
partilha a mesma órbita de outra estrela.
											Uma estrela de neutrões pode alimentar-se
de uma companheira mais leve,
											devorando a sua atmosfera mais rarefeita,
									","
											Mais toutes les étoiles à neutrons
ne disparaissent pas silencieusement.
											Par exemple, nous avons observé
des systèmes binaires
											où une étoile à neutrons co-orbite
autour d'une autre étoile.
											Une étoile à neutrons peut se nourrir
d'un voisin plus léger,
											en se gavant de son atmosphère peu liée
											avant de finalement s'écrouler
de façon cataclysmique en un trou noir.
									","
											Ama bütün nötron yıldızları
böyle sessizce yok olmazlar.
											Örneğin,
bir nötron yıldızının başka bir yıldızı
											yörüngesine aldığı ikili bir sistem
gözlemledik.
											Nötron yıldızı, sonunda
bir kara deliğe dönüşmeden önce
											kendisinden daha hafif bir yıldızın
											daha gevşek olan atmosferinden
beslenebilir.
									",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
","
","
","
",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
"
											While many stars exist as binary systems,
											only a small percentage of those end up 
as neutron-star binaries,
											where two neutron stars circle each other 
in a waltz doomed to end as a merger.
											When they finally collide, they send 
gravity waves through space-time
											like ripples from a stone 
thrown into a calm lake.
									","
											antes de acabar por se desintegrar
cataclismicamente num buraco negro,
											Enquanto muitas estrelas existem
enquanto sistemas binários,
											só uma pequena percentagem delas
											acabam como binários
de estrelas de neutrões,
											em que duas estrelas de neutrões 
se orbitam uma à outra
											numa valsa condenada a acabar numa fusão.
											Quando, por fim, colidem, enviam
ondas de gravidade através do espaço-tempo
									","
											Beaucoup d'étoiles forment
des systèmes binaires
											mais peu de ces derniers deviennent
des duos d'étoiles à neutrons,
											où deux étoiles à neutrons tourbillonnent
dans une valse vouée à finir en fusion.
											En se percutant, elles émettent des ondes
gravitationnelles à travers l'espace-temps
											comme les ondulations issues
de pierres jetées dans un lac calme.
									","
											İkili sistem şeklinde var olan
pek çok yıldız vardır.
											Fakat bunların yalnızca küçük bir kısmı
nötron yıldızı ikili sistemine dönüşür.
											İki nötron yıldızı, sonunda birleşecekleri
bir vals ile birbirinin etrafında döner.
											Sonunda çarpıştıklarinda uzay-zamandan 
yerçekimi dalgaları gönderirler,
											bu da durgun bir göle fırlatılan bir taşın
yarattığı dalgalara benzer.
									",The life cycle of a neutron star,David Lunney,5:02,"space,TED-Ed,universe,science,big bang"
