en,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
											When is seeing not believing?
											A couple years ago, my friend
sent me this photo from Ürümqi,
											which is the capital of Xinjiang
province in northwest China.
											On this particular day,
she couldn't believe her eyes.
											Checking the quality of the air outside
using this app on her iPad,
											the numbers were telling her
the air quality was good,
											one on a scale of 500.
											But when she looked outside,
she saw something much different.
											Yes, those are buildings
in the background.
									","
											¿Cuándo ver no es creer?
											Hace un par de años mi amigo 
me envió esta foto de Ürümqi,
											que es la capital de Xinjiang, 
una provincia en el Noroeste de China.
											Ese día en particular, 
ella no podía creer lo que veía.
											Chequeando la calidad de aire afuera, 
usando esta aplicación en su IPad
											los números le indicaban 
que la calidad del aire era buena
											uno en una escala de 500.
											Pero cuando miró afuera,
ella vio algo muy diferente
											Sñi, eso en el fondo son edificios.
									","
											Peut-on voir et ne pas croire ?
											Il y a quelques années, une amie
m'a envoyé cette photo d'Ürümqi,
											la capitale de la province de Xinjiang,
au nord-ouest de la Chine.
											Ce jour-là, elle ne pouvait pas
en croire ses yeux.
											En contrôlant la qualité de l'air
extérieur sur l'application de son iPad,
											les chiffres lui disaient que
la qualité de l'air était bonne :
											un sur une échelle de 500.
											Mais ce qu'elle voyait en regardant
dehors était très différent.
											Oui, ce sont des immeubles, au fond.
									","
											Gözlerimize ne zaman inanmayız?
											Birkaç sene önce bir arkadaşım
Urumçi'den bir fotoğraf gönderdi,
											burası Çin'in kuzeybatısındaki
Sincan bölgesinin başkenti.
											O gün, arkadaşım gözlerine inanamamıştı.
											Hava kalitesine bakmak için
iPad'inde bir uygulama vardı
											ve uygulamaya göre hava kalitesi iyiydi,
											500 üzerinden bir ölçeğe göre böyle.
											Ama dışarı baktığında gördüğü
durum çok daha farklıydı.
											Evet, arka planda aslında binalar var.
									","
											Wann ist Sehen nicht gleich Glauben?
											Vor ein paar Jahren schickte mir
eine Freundin dieses Bild von Ürümqi,
											der Hauptstadt der Provinz Xinjiang
im Nordwesten Chinas.
											An diesem bestimmten Tag
konnte sie ihren Augen nicht trauen.
											Als sie die Luftqualität draußen
mit dieser App auf dem iPad prüfte,
											zeigten ihr die Zahlen,
die Luftqualität sei gut,
											eins auf einer Skala bis 500.
											Als sie jedoch nach draußen blickte,
sah sie etwas vollkommen anderes.
											Ja, das sind Gebäude im Hintergrund.
									",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
","
","
","
","
",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Gelächter)
									",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
","
","
","
","
",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
											But the data were simply
not telling the truth
											of what people were seeing and breathing,
											and it's because they were
failing to measure PM2.5,
											or fine particulate pollution.
											When PM2.5 levels
went off the charts in 2012,
											or ""crazy bad,"" as the US Embassy
once described it in a tweet,
											Chinese denizens took to social media
											and they started to question why it was
that they were seeing this disconnect
											between official air quality statistics
											and what they were seeing
and breathing for themselves.
									","
											Pero los datos simplemente
no le estaban diciendo la verdad
											sobre lo que la gente veía y respiraba.
											Y es era porque estaban equivocados 
al medir PM 2,5
											o contaminación por partículas finas.
											Cuando los niveles PM 2,5 
fueron eliminados de los gráficos en 2012
											o ""crazy bad"", como lo describió la 
Embajada de EE.UU. en un tuit,
											los chinos tomaron los medios sociales
											y se empezaron a preguntar 
por qué estaban viendo esta desconexión
											entre las estadísticas oficiales 
de calidad del aire
											y lo que veían y respiraban ellos mismos.
									","
											Mais les données ne reflétaient
simplement pas la vérité
											de ce que les gens voyaient
et respiraient,
											et ce parce qu'elles ne mesuraient pas
les particules PM 2,5 –
											les particules fines de pollution.
											Quand les niveaux de PM 2,5
ont été retirés des indicateurs en 2012 –
											les « très mauvais » décrits par
l'ambassade des États-Unis dans un tweet –
											les citoyens ont fait appel
aux réseaux sociaux
											et ont commencé à se demander pourquoi
ils observaient cette déconnexion
											entre les chiffres officiels
											et ce qu'ils observaient
et respiraient eux-mêmes.
									","
											Uygulamanın verilerinin
gerçeklerle alakası yoktu,
											insanların görüp
soluduğu hava böyle değildi
											çünkü PM2.5 veya diğer adıyla
											partiküler madde ölçümü yapılmıyordu.
											2012'de PM2.5 seviyesi
normalin çok üstüne çıkıp
											ABD elçiliğinin bir tweetinde ""inanılmaz
kötü"" olarak nitelendirildiğinde
											Çin'de yaşayanlar sosyal medyada
											bu tutarsızlığın nedenini
sorgulamaya başladılar,
											resmî hava kalitesi istatistikleriyle
											içinde bulundukları hava
arasındaki tutarsızlığı.
									","
											Diese Daten entsprachen einfach
nicht der Wahrheit dessen,
											was die Leute sehen und atmen konnten,
											weil sie es nämlich unterließen,
											PM2,5, also Feinstaubbelastung zu messen.
											Als 2012 das PM2,5-Niveau
jenseits von Gut und Böse war
											oder ""wahnsinnig schlecht"", wie die
US-Botschaft es in einem Tweet beschrieb,
											gingen die chinesischen Bewohner
auf Social Media
											und begannen zu hinterfragen,
warum sie diese Diskrepanz sahen
											zwischen offiziellen Statistiken
der Luftqualität
											und dem, was sie sahen und atmeten.
									",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
","
","
","
","
",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
											Now, this questioning has led
											to an environmental awakening
of sorts in China,
											forcing China's government
to tackle its pollution problems.
											Now China has the opportunity
to become a global environmental leader.
											But the picture
that I'll paint for you today
											is one that's mixed.
											There are some signs
that are very promising,
											and there are other trends
that are more troubling
											that warrant closer attention.
											But now let's go back
to the story at hand.
									","
											Este cuestionamiento ha llevado
											a un despertar ambiental 
de algunos en China
											forzando al gobierno chino a 
enfrentar sus problemas de contaminación.
											China tiene ahora la oportunidad de 
convertirse en un líder ambiental global.
											Pero el cuadro que les mostraré hoy
											es uno que está mezclado.
											Hay algunos signos muy prometedores,
											y otras tendencias más problemáticas
											y requieren de atención cuidadosa.
											Pero ahora volvamos al relato.
									","
											Cette question a conduit
											à une prise de conscience
environnementale en Chine,
											qui a forcé les autorités chinoises à
s'attaquer aux problèmes de pollution.
											La Chine peut devenir
un leader mondial de l'environnement.
											Mais le portrait que je vais
vous en faire aujourd'hui
											est contrasté.
											Certains signes sont très prometteurs,
											d'autres tendances sont plus inquiétantes
											et requièrent notre attention.
											Mais reprenons le cours de l'histoire.
									","
											Bu sorgulama
											Çin'de çevre bilincinin oluşmasını sağladı
											ve Çin hükûmetini kirliliğe
karşı önlem almaya zorladı.
											Çin, çevreyi koruma konusunda
öncü olma fırsatına sahip.
											Ama bugün burada size anlatacağım tablo
											biraz daha karmaşık.
											Umut vadeden bazı işaretler var,
											ve diğer yandan daha çok ilgi gerektiren
											sorunlu trendler de var.
											Şimdi gidip hikâyeye yakından bakalım.
									","
											Nun hat dieses Hinterfragen sozusagen
											zu einem umweltbedingten Erwachen
in China geführt,
											das die chinesische Regierung dazu zwingt,
seine Umweltprobleme in Angriff zu nehmen.
											Nun hat China die Möglichkeit,
ein globales Vorbild für Umwelt zu werden.
											Das Bild, das ich Ihnen heute zeige,
											ist jedoch eines gemischter Gefühle.
											Es gibt einige vielversprechende Zeichen
											und es gibt andere Trends,
die beunruhigender sind
											und die eine erhöhte
Aufmerksamkeit erfordern.
											Nun lasst uns zurück zur Geschichte gehen.
									",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
","
","
","
","
",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
"
											I started to witness the beginnings
of China's green evolution
											when I was a PhD student
conducting fieldwork in China in 2011.
											I traveled all across the country
seeking answers to the question
											that I often got myself
from the skeptical outsider:
											What, you mean China is doing
something on the environment?
											They have environmental policies?
											What policies?
											At that time, PM2.5 data
was considered too politically sensitive
											and so the government
was keeping it secret,
											but citizens were becoming aware
of its harmful human health effects,
											and they were demanding
greater transparency
											on the part of the government.
											I actually started to see some of this
growing evolution and awareness myself
											cropping up all over China.
											Department stores, for example,
started to market these air purifiers
											that could filter out harmful PM2.5.
											Citizens were also adopting PM2.5
as the title of musical festivals.
									","
											Yo fui testigo de los inicios 
de la evolución verde en China.
											En 2011, cuando estudiaba un doctorado
y dirigía un trabajo de campo en China,
											viajé a través de todo el país 
buscando respuestas a la pregunta
											que usualmente me hago 
como extranjera escéptica:
											¿Qué? ¿Dices que China 
está haciendo algo con su ambiente?
											¿Tienen políticas ambientales?
											¿Qué políticas?
											En ese momento los datos PM 2,5 se 
consideraban muy sensibles politicamente
											y el gobierno los mantenía en secreto.
											Pero la población se estaba dando cuenta
de los efectos dañinos a la salud humana,
											y demandaban mayor transparencia
											al gobierno.
											De hecho, comencé a ver esa creciente 
evolución y conciencia yo misma
											apareciendo por toda China.
											La tiendas, por ejemplo,
empezaron a vender purificadores de aire
											que podían filtrar el dañino PM 2,5.
											Los ciudadanos usaban el PM 2,5 
como el título de un festival de música.
									","
											J'ai commencé à être témoin
de l'évolution verte de la Chine
											quand j'étais étudiante en thèse
en Chine en 2011.
											J'ai voyagé à travers tout le pays
pour chercher la réponse à la question
											que beaucoup de sceptiques se posaient :
											que fait vraiment la Chine
pour l'environnement ?
											A-t-elle une politique environnementale ?
											Quelle politique ?
											A cette époque, les données PM 2,5 étaient
vues comme trop politiquement sensibles,
											et le gouvernement les gardait secrètes,
											mais les citoyens prenaient conscience
de leurs effets nocifs sur la santé
											et réclamaient plus de transparence
											de la part du gouvernement.
											J'ai commencé à être moi-même témoin de
l'évolution de cette prise de conscience,
											qui grandissait partout en Chine.
											Des magasins ont, par exemple, commencé
à vendre ces purificateurs d'air
											qui pouvaient filtrer les particules
dangereuses de PM 2.5.
											Des citoyens ont même appelé
PM 2.5 des festivals de musique !
									","
											Çin'in çevreci hareketlerinin
başlangıcına bizzat tanıklık ettim,
											o sırada 2011'de, Çin'de alan çalışması
yapan bir doktora öğrencisiydim.
											Şüphecilerden kendime çıkardığım
soruya cevap arayarak
											ülkenin her bir yanını gezdim:
											Nasıl yani? Çin, çevre konusunda
bir şey yapıyor mu diyorsun?
											Çevresel politikaları mı var?
											Ne politikası?
											O sıralarda PM2.5 verileri
politik olarak fazla hassas görüldü
											ve hükûmet de bu yüzden
onu gizli tutuyordu,
											ancak vatandaşlar bunun insan sağlığına
zararlı etkilerinin farkına varıyordu
											ve hükûmetten talep ettikleri
											daha fazla şeffaflıktı.
											Çin'in her tarafında büyüyen
bu evrim ve farkındalığın bir kısmını
											kendim görmeye başladım.
											Örneğin mağazalar,
zararlı PM2.5'i filtreleyebilecek
											hava temizleyicileri
pazarlamaya başladılar.
											Vatandaşlar PM2.5'i müzik festivallerine
başlık olarak uyarlıyorlardı.
									","
											Ich begann die Anfänge Chinas
grüner Revolution zu beobachten,
											als ich als Dissertantin in China 2011
eine Felduntersuchung durchführte.
											Ich reiste durch das ganze Land
und suchte Antworten auf die Frage,
											die mir oft von skeptischen
Außenstehenden gestellt wurde:
											""Du meinst China tut was
für die Umwelt?
											Sie haben Umweltschutzstrategien?
											Welche Strategien?""
											Zu dieser Zeit wurden PM2,5-Daten
als politisch zu heikel angesehen,
											sodass die Regierung sie
zu einem Geheimnis machte,
											aber die Bürger wurden sich
der schädlichen Auswirkungen
											auf die menschliche Gesundheit klar
und forderten mehr Transparenz
											seitens der Regierung.
											Tatsächlich begann ich die wachsende
Entwicklung und das Bewusstsein zu sehen,
											die in ganz China auftauchten.
											Kaufhäuser begannen z. B.
diese Luftreiniger zu vermarkten,
											die schädliche PM2,5
herausfiltern konnten.
											Die Bürger machten sogar PM2,5
zum Namen von Musikfestivals.
									",How China is (and isn't) fighting pollution and climate change,Angel Hsu,12:18,"climate change,sustainability,green,china,future,alternative energy,technology,electricity,environment,science"
