en,tr,pt,de,fr,title,speaker,duration,tags
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											Well, I have known
many alpha males in my life,
											chimpanzee alpha males,
											and I'm going to talk
about what an alpha male is,
											because I think we can all learn
a lot from our close relatives
											where we have alpha males.
									","
											Hayatım boyunca 
pek çok alfa erkek tanıdım;
											alfa erkek şempanzeler
											ve alfa erkeğin ne olduğu
hakkında konuşacağım
											çünkü bence hepimiz, alfa erkeklere
sahip yakın akrabalarımızdan
											bu konuda çok şey öğrenebiliriz.
									","
											Conheci muitos machos alfa na vida,
											chimpanzés machos alfa
											e vou falar do que é um macho alfa
											porque penso que todos aprendemos
muito com os nossos parentes mais próximos
											em que existem machos alfa.
									","
											Ich habe in meinem Leben 
viele Alpha-Männer kennen gelernt,
											Schimpansen-Alpha-Männer.
											Ich möchte darüber sprechen,
was ein Alpha-Männchen ist,
											weil ich denke, dass wir alle viel von
unseren nahen Verwandten lernen können
											bei denen es Alpha-Männchen gibt.
									","
											J'ai connu de nombreux 
mâles alpha dans ma vie,
											chez les chimpanzés,
											et je vais parler de ce qu'est 
un mâle alpha,
											car je pense qu'on peut en apprendre
beaucoup sur cette espèce
											proche de la nôtre et dans laquelle
on trouve des mâles alpha.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											And as an example, I want to give you
Amos, a male that I knew
											who was a young male
and he was alpha male,
											he was very popular,
											but he got sick
											and he lost his position because,
you know, chimpanzee males
											they can spot from a mile away
if you are weak
											and they went for him,
											and he lost his position,
and then he got sicker and sicker
											until at some point we had to isolate him.
											The group lived on a grassy island,
											and we had to isolate him in a cage,
											but we cracked open the cage
so that the rest of the chimps
											still had access to him.
											And what happened was most touching.
											Other chimps would bring food to him,
											they would bring wood wool to him,
											which is this thing that they use
to sleep in and build nests out of,
											and females would put
the wood wool behind his back.
											He was leaning heavily against the wall,
											and the way we do with pillows
to patients in a hospital,
											they were putting
that stuff behind his back.
											And I thought, this is the way
to go for an alpha male.
											He was loved and respected,
and everyone was taking care of him,
											and this is not always how it goes,
											because some males don't end so well
when they lose their position.
									","
											Örnek olarak tanıdığım bir tanesi
Amos'ı örnek vereyim,
											genç ve alfa bir erkek,
											oldukça popülerdi,
											ama hastalandı
											ve konumunu kaybetti
çünkü erkek şempanzeler
											bir 1 km öteden zayıf
düştüğünüzü anlarlar,
											dolayısıyla üzerine geldiler,
											o da konumunu kaybetti
ve gitgide daha da hastalandı,
											ve biz de onu izole etmek zorunda kaldık.
											Bu grup çok yeşil bir adada yaşıyordu
											ve onu bir kafesin içine
almak zorunda kaldık
											ama kafesin bir yanını açık bıraktık ki
											diğer şempanzeler ona ulaşabilsin.
											Sonra yaşananlar çok etkileyiciydi.
											Diğer şempanzeler ona yiyecek,
											ahşap korunak getiriyorlardı,
											üzerinde uyumak ve yuva yapmak için
kullandıkları şeylerden.
											Dişiler de bu korunakları
arkasına yerleştiriyordu.
											Sıkı bir şekilde duvara dayanıyordu
											ve tıpkı bizim yatan bir hastamıza
yastıklarla yaptığımız gibi
											bu şeylerle sırtını besliyorlardı.
											İşte bir alfa erkeğe bu şekilde
muamele edilir, diye düşündüm.
											Seviliyor ve saygı duyuluyordu,
herkes de onunla ilgileniyordu,
											ancak her zaman böyle olmuyor
											çünkü alfa erkekler konumlarını
kaybettiklerinde iyi tepki vermiyorlar.
									","
											Como exemplo, apresento-vos
Amos, um macho que conheci
											que era um jovem macho
e era um macho alfa,
											era muito popular.
											Mas adoeceu
											e perdeu a sua posição
porque os chimpanzés machos
											detetam a milhas se estamos fracos
											e foram atrás dele.
											Ele perdeu a sua posição,
foi ficando cada vez mais doente
											até que tivemos que o isolar.
											O grupo vivia numa ilha de prados verdes
											e tivemos que o isolar numa jaula
											mas ele fez uma abertura na jaula
											e os outros chimpanzés
podiam contactar com ele.
											O que aconteceu foi comovente.
											Os outros chimpanzés
levavam-lhe comida,
											levavam-lhe aparas de madeira
											que é uma coisa que usam
para dormir e construir os ninhos
											e as fêmeas punham as aparas de madeira
por detrás das costas deles.
											Ele estava encostado à parede
											e, tal como nós pomos almofadas
aos doentes no hospital,
											elas punham aquilo
por detrás das costas dele.
											Pensei, é assim que se trata
de um macho alfa.
											Era amado e respeitado
e todos estavam a tratar dele.
											Nem sempre isto acontece
											porque alguns machos não reagem bem
quando perdem a sua posição.
									","
											Nehmen wir zum Beispiel Amos,
ein Männchen das ich schon kannte
											als er ein junges Alpha-Männchen war,
											er war sehr beliebt.
											Aber er wurde krank
											und er verlor seine Position,
weil Schimpansenmännchen
											aus einer Meile Entfernung
erkennen, wenn Sie schwach sind,
											und sie gingen auf ihn los,
											und er verlor seine Position,
und dann wurde er immer kränker,
											bis wir ihn irgendwann isolieren mussten.
											Die Gruppe lebte auf
einer grasbewachsenen Insel,
											und wir mussten ihn 
in einen Käfig sperren,
											aber wir öffneten den Käfig,
damit die anderen Schimpansen
											Zugang zu ihm hatten.
											Und was passiert ist, war sehr berührend.
											Andere Schimpansen brachten ihm Nahrung,
											sie brachten ihm Baumwolle,
											was sie zum Schlafen
und zum Nestbau benutzen,
											und die Weibchen legten die Baumwolle
hinter seinen Rücken.
											Er lehnte sich schwer gegen die Wand,
											und genauso wie wir Patienten
in einem Krankenhaus Kissen geben,
											stopften Sie das Zeug
hinter seinen Rücken.
											Ich dachte, so geht es
einem Alpha-Männchen.
											Es wurde geliebt und respektiert,
und alle kümmerten sich um ihn.
											Doch das ist nicht immer so,
											weil manche Männer nicht gut auf
den Verlust ihrer Position reagieren.
									","
											Comme exemple, je vous présente 
Amos, un jeune mâle que je connaissais
											qui était un jeune mâle alpha.
											Il était très populaire,
											mais il est tombé malade
											et il a perdu son statut
car les chimpanzés mâles
											peuvent repérer la faiblesse 
à plus d'un kilomètre,
											et ils s'en sont pris à lui.
											Il a perdu son statut,
il est devenu de plus en plus malade
											jusqu'au point où on a dû l'isoler.
											Le groupe vivait sur une île herbeuse,
											et on a dû l'isoler dans une cage,
											en la laissant entr'ouverte,
afin que les autres chimpanzés
											puissent encore aller le voir.
											Ce qu'il s'est passé était très touchant.
											Ils lui amenaient à manger,
											et de la laine de bois,
											qu'ils utilisent pour dormir 
et pour construire des nids,
											et que les femelles lui glissaient 
dans le dos.
											Il s'adossait lourdement contre le mur,
											et, comme on ferait avec des coussins
pour un patient alité,
											elles lui glissaient cela dans le dos.
											Je me suis dit que c'était la voie 
à suivre pour un mâle alpha.
											Il était aimé et respecté,
et tout le monde s'occupait de lui.
											Ça ne se passe pas toujours comme ça
											parce que certains mâles finissent mal
une fois leur statut perdu.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											So Amos was an example
of a male who was liked as a leader,
											and I think the term alpha male,
if you look it up on the internet,
											you will find all these business books
that tell you how to be an alpha male,
											and what they mean
is how to beat up others
											and beat them over the head
and let them know that you are boss
											and don't mess with me and so on.
											And basically an alpha male
for them is a bully.
											And I really don't like
that kind of description,
											because I am actually partly responsible
for the term ""alpha male""
											because I wrote this book
""Chimpanzee Politics,""
											which was recommended by Newt Gingrich
to freshmen congressmen.
											I don't know what good it did,
but he recommended that book to them,
											and after that the term
""alpha male"" became very popular.
											But I think it is used
in a mischaracterization.
											It's used in a very superficial way
											that doesn't relate
to what a real alpha male is.
											And so I'm here to explain what that is.
											The term itself goes back
actually much further.
											It goes back to the '40s and '50s,
research on wolves,
											and basically the definition
is very simple.
											The highest ranking male
is the alpha male.
											The highest ranking female
is the alpha female.
											Every primate group
has one alpha male, one alpha female,
											not more than that, there's only one.
											And I will explain how that goes.
									","
											Amos liderken sevilen bir alfa örneğiydi
											ve alfa erkek terimine
internetten baktığınızda
											size nasıl alfa olacağınızı anlatan
işletme kitaplarıyla karşılaşırsınız
											ve genelde başkalarını
yenmek üzerinedirler;
											başkalarını yenip onlara patron
olduğunuzu nasıl gösterirsiniz
											ve benimle uğraşmaya kalkma, gibi.
											Yani temel olarak alfa erkeği
bir zorba olarak tanımlıyorlar
											ve ben bu tanımlamayı hiç sevmiyorum
											çünkü ''alfa erkek'' teriminden
kısmen ben sorumluyum,
											çünkü ''Chimpanzee Politics''
kitabını ben yazdım,
											kitap, Newt Gingrich tarafından
yeni meclis üyelerine tavsiye edildi.
											Ne işe yaradı bilmiyorum
ama onlara bu kitabı tavsiye etti
											ve ''alfa erkek'' teriminin popülerlik
kazanması da böyle oldu.
											Ama yanlış bir sınıflandırmada
kullanıldığı kanısındayım.
											Üstünkörü bir şekilde kullanılıyor
											ve gerçek bir alfanın
ne anlama geldiğinigöstermiyor.
											Ben de ne olduğunu
anlatmak için buradayım.
											Bu terimin kendisi
çok daha eskiye dayanıyor.
											40'lı ve 50'li yıllarda kurtlar üzerinde
yapılan araştırmalara dayanıyor
											ve aslında tanım çok basit.
											En yüksek kıdeme sahip erkek alfa erkeği.
											En yüksek kıdeme sahip
dişi de alfa dişisi.
											Her primat grubunda bir alfa erkeği,
bir de alfa dişisi olur,
											bir taneden fazla olmaz.
											Bunun nasıl olduğunu açıklayacağım.
									","
											Mas Amos era um exemplo
de um macho que era querido enquanto líder
											e penso que, se procurarem na Internet,
											encontram montes de livros
que explicam como ser um macho alfa.
											O que eles ensinam
é como dominar os outros
											como dar-lhes na cabeça
e mostrar-lhes que somos o chefe,
											""não se metam comigo"", etc.
											Basicamente, um macho alfa
para eles é um rufia.
											Mas eu não gosto nada
desse tipo de descrição
											porque, em parte, sou responsável
pelo termo ""macho alfa""
											porque escrevi o livro
""Chimpanzee Politics""
											que foi recomendado por Newt Gingrich
aos congressistas novatos.
											Não sei o que bom adveio daí,
mas ele recomendou-lhes esse livro
											e, depois disso, o termo ""macho alfa""
tornou-se popular.
											Mas acho que foi usado
numa caracterização ambígua.
											Foi usado de forma superficial
											que não corresponde
ao que é realmente um macho alfa.


											Por isso, estou aqui
para explicar o que é.
											O próprio termo tem uma origem
muito mais antiga.
											Remonta à investigação em lobos
nos anos 40 e 50
											e, basicamente, a definição
é muito simples.
											O macho no topo da hierarquia
é o macho alfa.
											A fêmea no topo da hierarquia
é a fêmea alfa.
											Todos os grupos de primatas 
têm um macho alfa e uma fêmea alfa,
											e mais nenhum, só há um de cada.
											Vou explicar como as coisas se passam.
									","
											Amos war ein Beispiel für einen Mann,
der als Anführer gemocht wurde,
											doch wenn Sie den Begriff
Alpha-Mann im Internet nachschlagen,
											finden Sie all diese Business-Bücher,
die erklären, wie ein Alpha-Mann ist,
											und sie meinen damit,
wie man andere fertigmacht,
											sie einschüchtert und sie
wissen lässt, dass du der Boss bist
											und leg dich nicht
mit mir an, und so weiter.
											Im Grunde ist für sie 
ein Alpha-Männchen ein Tyrann.
											Ich mag diese Beschreibung gar nicht,
											weil ich teilweise mitverantwortlich
für den Begriff ""Alpha-Mann"" bin,
											denn ich schrieb das Buch
""Schimpansenpolitik"",
											das dann von Newt Gingrich neuen
Kongressabgeordneten empfohlen wurde.
											Ich weiß nicht, wofür das gut war,
aber er empfahl ihnen das Buch,
											und danach wurde der Begriff
""Alpha-Mann"" sehr populär.
											Doch ich denke, es wird falsch verwendet.
											Es wird sehr oberflächlich verwendet
											und hat nichts damit zu tun,
was ein echter Alpha-Mann ist.
											Ich bin hier, um zu erklären, was das ist.
											Der Begriff selbst geht
eigentlich viel weiter zurück.
											Es geht zurück auf die 40er und 50er
Jahre, auf die Erforschung von Wölfen.
											Im Grunde ist die Definition sehr einfach.
											Das ranghöchste Männchen
ist der Alpha-Mann.
											Das ranghöchste Weibchen
ist die Alpha-Frau.
											Jede Primatengruppe hat ein
Alpha-Männchen und ein Alpha-Weibchen,
											und nicht mehr, es gibt nur eins.
											Und das geht so.
									","
											Amos était un exemple de mâle
qui était aimé en tant que chef.
											Le terme de mâle alpha,
si vous le cherchez sur internet,
											vous trouverez tous ces livres de 
management sur comment en devenir un,
											ce qui signifie pour eux
comment battre les autres,
											leur taper sur la tête en leur 
montrant que vous êtes le chef,
											et « Ne me cherchez pas », etc.
											En gros, pour eux, un mâle alpha,
c'est un tyran.
											Et je n'aime pas vraiment 
ce type de description,
											car je suis partiellement à l'origine
de l'expression « mâle alpha »
											puisque j'ai écrit
« La Politique du chimpanzé »,
											qui a été recommandé par Newt Gingrich
aux nouveaux membres du Congrès.
											Je ne sais pas ce que ça leur a apporté,
mais il leur a recommandé ce livre,
											et ensuite, l'expression « mâle alpha »
est devenue très populaire.
											Mais je pense qu'elle est mal interprétée.
											Elle est employée de manière 
très superficielle,
											sans rapport avec ce qu'est
réellement un mâle alpha.
											Je suis donc là pour expliquer 
de quoi il s'agit.
											Le terme lui-même remonte 
à bien plus loin.
											Il vient des années 40 et 50,
de la recherche sur les loups,
											et sa définition est en fait très simple.
											Le mâle alpha est celui au plus haut rang.
											La femelle alpha est au plus haut rang.
											Tout groupe de primates a 
un mâle alpha, une femelle alpha,
											un seul, et c'est tout.
											Et je vais expliquer comment ça se passe.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											So first, the body language.
											What you see here is two male chimpanzees
who are the same size,
											but one is walking upright,
has his hair up,
											has a big rock in his hand,
and he's the alpha male.
											The other male is pant-grunting to him,
											is being submissive to him
and bowing for him,
											and that is the sort of ritual they need
to go through many times a day
											in order to have a stable relationship.
											I'll show you a video from the field.
											What you will see here
is a female pant-grunting to an alpha male
											and you will see how that goes.
											The male is approaching,
											she grunts at him.
									","
											Öncelikle beden dili.
											Burada aynı boyutlarda
iki erkek şempanze görüyorsunuz,
											biri dik pozisyonda yürüyor,
tüyleri havaya kalkmış,
											elinde büyük bir taş var
ve alfa erkek kendisi.
											Diğer erkek onu selamlayan
bir ses çıkarıyor,
											otoritesini kabul ediyor
ve onun önünde eğiliyor,
											dengeli bir ilişki yürütebilmek için
											bu ritüeli her gün
birkaç kez tekrarlamaları gerek.
											Size ortamlarından bir video göstereyim.
											Burada bir dişinin bir alfa erkeğini
											nasıl selamladığını göreceksiniz.
											Erkek ona doğru yaklaşıyor,
											dişi onu selamlıyor.
									","
											Primeiro, a linguagem corporal.
											Veem aqui dois chimpanzés machos
que são do mesmo tamanho
											mas um caminha ereto,
tem os pelos eriçados,
											tem uma grande pedra na mão,
é ele o macho alfa.
											O outro macho grunhe para ele,
											é-lhe submisso e faz-lhe reverências.
											É o tipo de ritual que precisam fazer
muitas vezes por dia
											para ter uma relação estável.
											Vou mostrar um vídeo do terreno.
											Estão a ver uma fêmea
a grunhir submissa para um macho alfa
											e vão ver como se vai passar.
											O macho vai-se aproximando,
											ela grunhe para ele.
									","
											Zuerst die Körpersprache.
											Was Sie hier sehen, sind zwei männliche
Schimpansen, die gleich groß sind,
											aber einer geht aufrecht,
seine Haare stehen ab,
											einen großen Stein in der Hand;
er ist der Alpha-Mann.
											Das andere Männchen grunzt ihm zu,
											ist ihm unterwürfig und
verbeugt sich vor ihm.
											Diese Art von Ritual müssen sie
viele Male am Tag durchlaufen,
											um eine stabile Beziehung zu haben.
											Ich werde Ihnen ein Video
aus dem Feld zeigen.
											Sie sehen gleich ein Weibchen,
das ein Alpha-Männchen angrunzt
											und das geht so.
											Das Männchen nähert sich,
											sie grunzt ihn an.
									","
											Premièrement, le langage corporel.
											Vous voyez ici deux mâles
chimpanzés de la même taille,
											mais l'un d'eux marche debout,
les poils hérissés,
											avec une grosse pierre en main :
c'est le mâle alpha.
											L'autre mâle émet un grognement haleté,
											il lui est soumis, 
et s'incline devant lui.
											C'est le type de rituel qui doit être
renouvelé plusieurs fois par jour
											pour garder une relation stable.
											Observons une vidéo prise sur le terrain.
											Vous verrez une femelle émettant 
un grognement haleté vers un mâle alpha
											et vous verrez ce qu'il se passe.
											Le mâle approche,
											elle grogne.
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
","
","
","
","
",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
"
											(Chimpanzee grunts)
									","
											(Şempanze ses çıkarıyor)
									","
											(Grunhidos)
									","
											(Schimpanse grunzt)
									","
											(Grognements de la femelle)
									",The surprising science of alpha males,Frans de Waal,15:54,"animals,biology,body language,primates,apes,communication,community,nature,science,politics,empathy,peace,biodiversity"
