en,fr,es,de,tr,title,speaker,duration,tags
"
","
","
","
","
",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
											This story starts with these two —
											my kids.
											We were hiking in the Oakland woods
											when my daughter noticed
a plastic tub of cat litter in a creek.
											She looked at me and said,
											""Daddy?
											That doesn't go there.""
									","
											Cette histoire démarre avec ces deux-là :
											mes enfants.
											En randonnée dans la forêt d'Oakland,
											ma fille a remarqué une litière
pour chat en plastique dans un ruisseau.
											Elle m'a regardé et a dit :
											« Papa ?
											Ça n'a pas sa place ici. »
									","
											Esta historia comienza con estos dos —

											mis hijos.
											Estábamos caminando
por los bosques de Oakland
											cuando mi hija vio en un arroyo 
un tubo de plástico de arena para gato.
											Me miró y dijo,
											""Papi,
											eso no va aquí"".
									","
											Die Geschichte beginnt 
mit diesen beiden —
											meinen Kindern.
											Wir wanderten in den Oakland Woods,
											als meine Tochter am Bach
ein Plastik-Katzenklo bemerkte.
											Sie sah mich an und sagte:
											""Papa?
											Das gehört da nicht hin.""
									","
											Bu hikaye şu ikisiyle başlıyor —
											benim çocuklarımla.
											Bir gün Oakland ormanında
yürüyüş yaparken,
											kızım derenin içinde, içi kedi kumu dolu
plastik bir leğen fark etti.
											Bana baktı ve dedi ki,
											""Babacığım!
											O şeyin derenin içinde ne işi var?""
									",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
","
","
","
","
",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
											When she said that,
it reminded me of summer camp.
											On the morning of visiting day,
											right before they'd let our anxious
parents come barreling through the gates,
											our camp director would say,
											""Quick! Everyone pick up
five pieces of litter.""
											You get a couple hundred kids
each picking up five pieces,
											and pretty soon, you've got
a much cleaner camp.
											So I thought,
											why not apply that crowdsourced
cleanup model to the entire planet?
											And that was the inspiration
for Litterati.
									","
											Lorsqu'elle a dit cela,
ça m'a fait penser à un camp d'été.
											Le matin du jour de visite,
											juste avant qu'ils ne laissent
rentrer nos parents anxieux,
											le directeur de camp a disait :
« Vite ! Chacun ramasse cinq déchets. »
											200 enfants qui ramassent
5 déchets chacun :
											le camp est rapidement 
beaucoup plus propre.
											J'ai donc eu une idée :
											pourquoi ne pas appliquer ce modèle
de nettoyage collaboratif à la planète ?
											Ce fut l'inspiration
à l'origine de Litterati.
									","
											Eso me recordó un campamento de verano.
											En la mañana del día de visitas,
											justo antes de que dejaran entrar 
a nuestros ansiosos padres,
											el director de campamento dijo:
											""¡Rápido! Recoja todos
cinco piezas de basura"".
											Tienes a un par de cientos de niños
recogiendo basura,
											y, muy pronto, se tiene un campo 
mucho más limpio.
											Entonces pensé,
											¿por qué no aplicar ese modelo
de limpieza multitudinario
											al planeta entero?
											Esa fue la inspiración para Litterati.
									","
											Als sie das sagte, 
dachte ich ans Ferienlager.
											Am Morgen des Besuchertages,
											kurz bevor sie unsere angespannten
Eltern durch die Tore ließen,
											sagte unser Campleiter:
											""Schnell! Jeder hebt
fünf Stücke Müll auf.""
											Wenn ein paar Hundert Kinder
jeweils fünf Stücke aufsammeln,
											ist das Ferienlager 
schnell viel sauberer.
											Also dachte ich:
											Warum nutzt man dieses Aufräumsystem
nicht für den ganzen Planeten?
											Das war die Inspiration für Litterati.
									","
											Bu sözü, bana gittiğim 
bir yaz kampını hatırlattı.
											Ziyaret günü sabahında,
											heyecanlı ailelerimiz kampın
kapısından içeri dalmadan hemen önce,
											kamp amirimiz: ""Çabuk olun!
											Herkes hemen beş parça
çöp toplasın."" dedi.
											Yüzlerce küçük çocuğun beşer parça
çöp topladığını düşünsenize,
											kampınız hemen tertemiz
bir yer haline gelir.
											Ben de düşündüm ki,
											bu temizleme modelini neden
tüm dünya üzerinde uygulamayalım ki?
											Ve bu, Litterati için
ilham kaynağı oldu.
									",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
","
","
","
","
",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
											The vision is to create
a litter-free world.
											Let me show you how it started.
											I took a picture of a cigarette
using Instagram.
											Then I took another photo ...
											and another photo ...
											and another photo.
											And I noticed two things:
											one, litter became artistic
and approachable;
											and two,
											at the end of a few days,
I had 50 photos on my phone
											and I had picked up each piece,
											and I realized that I was keeping a record
											of the positive impact
I was having on the planet.
											That's 50 less things that you might see,
											or you might step on,
											or some bird might eat.
									","
											La vision est de créer
un monde sans déchets.
											Voici comment cela a commencé...
											J'ai pris une photo d'une cigarette
sur Instagram.
											Puis j'ai pris une autre photo...
											et une autre photo...
											et une autre photo...
											J'ai remarqué deux choses :
											un, les déchets sont devenus
artistiques et accessibles ;
											deux,
											après quelques jours, j'avais 50 photos
											et j'avais ramassé chaque déchet.
											J'ai réalisé que je gardais une trace
											de l'influence positive
que j'avais sur la planète.
											Ce sont 50 choses de moins
que vous verrez,
											sur lesquelles vous marcherez
											ou qu'un oiseau mangera.
									","
											El objetivo es crear un mundo
libre de basura.
											Déjenme mostrarles cómo empezó.
											Tomé una foto de un cigarro
mediante Instagram.
											Luego tomé otra foto...
											y luego otra...
											y otra más.
											Y noté dos cosas:
											la primera, la basura se volvió
artística y accesible;
											y la segunda,
											después de unos días,
tenía 50 fotos en mi teléfono
											y había recogido cada una de esas piezas,
											y me di cuenta de que tenía un registro

											del impacto positivo
que tenía en el planeta.
											Son 50 cosas menos que pueden ver,
											que pueden pisar,
											o que un ave puede comer.
									","
											Die Vision ist, eine 
abfallfreie Welt zu erschaffen.
											So fing alles an.
											Ich machte mit Instagram 
ein Foto von einer Zigarette.
											Dann machte ich ein weiteres Foto ...
											und noch ein Foto ...
											und noch eins.
											Ich bemerkte zwei Dinge:
											Erstens wurde Abfall 
künstlerisch und zugänglich;
											und zweitens
											hatte ich nach paar Tagen 
50 Fotos auf meinem Handy,
											ich hatte jedes Stück aufgehoben
											und mir wurde klar, 
dass das der Beleg war,
											welche positiven Auswirkungen 
ich auf den Planeten hatte.
											Das sind 50 Sachen weniger, die man sieht,

											oder auf die man tritt,
											oder die ein Vogel frisst.
									","
											Hayalim, çöpten arınmış bir
dünya yaratmaktı.
											Nasıl başladığını anlatayım.
											İlk önce bir sigara fotoğrafı
çekerek Instagram'a koydum.
											Daha sonra bir başka fotoğraf çektim.
											Ve sonra bir tane daha...
											Derken bir tane daha.
											Ve iki şey farkettim:
											birincisi, çöp o anda sanatsal ve 
yaklaşılabilir bir şey haline gelmişti;
											ve ikincisi de,
birkaç günün sonunda
											telefonumda 50 kadar
fotoğraf birikmişti
											ve her bir fotoğrafı kaydederken
											farkettim ki, aslında evren üzerinde 

											yarattığım olumlu etkinin bir
kaydını tutuyordum.
											Bu, görebileceğiniz veya
üzerine basabileceğiniz,
											ya da kuşların yiyebileceği
											50 daha az şey demek.
									",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
","
","
","
","
",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
											So I started telling people
what I was doing,
											and they started participating.
											One day,
											this photo showed up from China.
											And that's when I realized
											that Litterati was more
than just pretty pictures;
											we were becoming a community
that was collecting data.
											Each photo tells a story.
											It tells us who picked up what,
											a geotag tells us where
											and a time stamp tells us when.
											So I built a Google map,
											and started plotting the points
where pieces were being picked up.
											And through that process,
the community grew
											and the data grew.
											My two kids go to school
right in that bullseye.
									","
											J'ai commencé à raconter aux gens
ce que je faisais
											et ils se sont mis à participer.
											Un jour,
											cette photo est arrivée de Chine.
											C'est là que j'ai réalisé
											que Litterati était plus
que de jolies photos,
											nous devenions une communauté
qui collectait des données.
											Chaque photo raconte une histoire.
											Elle nous dit qui a ramassé quoi,
											un géotag nous informe sur le lieu
											et un horodatage nous informe 
sur le moment.
											J'ai donc créé une carte sur Google Maps
											et y ai représenté les points
où les déchets étaient ramassés.
											Grâce à cette méthode,
la communauté a grandi
											et il y a eu plus de données.
											Mes deux enfants vont à l'école
dans ce cercle vide.
									","
											Así que empecé a contar a la gente 
lo que hacía,
											y comenzaron a participar.
											Y un día,
											esta foto apareció en China.
											Fue entonces cuando me di cuenta
											de que Litterati era más 
que solo fotos bonitas;
											nos estábamos convirtiendo en
una comunidad recolectora de datos.
											Cada foto cuenta una historia.
											Nos dice quién recogió qué,
											una ubicación nos dice dónde
											y un reloj nos dice cuándo.
											Entonces diseñé un mapa de Google,
											y marqué los puntos donde 
se recogían las piezas de basura.
											En ese proceso, la comunidad creció
											y los datos también.
											Mis dos hijos van a la escuela
justo en ese punto.
									","
											Also fing ich an, Leuten 
zu erzählen, was ich mache,
											und sie fingen an mitzumachen.
											Eines Tages
											kam dieses Foto aus China.
											Und da merkte ich,
											dass Litterati mehr als nur 
paar hübsche Bilder war;
											wir wurden eine Gemeinschaft, 
die Daten sammelte.
											Jedes Foto hat eine Geschichte.
											Es sagt uns, wer was aufgehoben hat,
											ein Geo-Tag sagt uns, wo,
											und eine Zeitangabe sagt uns, wann.
											Ich kreierte eine Google-Maps-Karte
											und stellte grafisch dar,
wo Abfall aufgehoben wurde.
											Durch dieses Vorgehen
wuchs die Gemeinschaft
											und die Daten wurden mehr.
											Meine zwei Kinder gehen genau 
hier in der Mitte zur Schule.
									","
											Böylece insanlara ne yaptığımı
anlatmaya başladım
											ve onlar da bana katılmaya başladılar.
											Bir gün,
											bu fotoğraf Çin'den gönderildi.
											Ve o zaman Litterati'nin
											sadece hoş fotoğraflardan
çok daha fazlası olduğunu fark ettim;
											çünkü biz zamanla bilgi biriktiren
bir topluluk haline geliyorduk.
											Her bir fotoğraf bir hikaye anlatıyor.
											Fotoğraflar bize kimin neyi çektiğini,
											coğrafi etiket nerede olduğunu,
											tarih bilgisi de ne zaman
çektiğini anlatıyor.
											Böylece bir Google Haritalar
uygulaması oluşturdum
											ve çöplerin toplandığı noktaları
haritada göstermeye başladım.
											Ve bu süreç boyunca
topluluk büyüdü,
											ve veri de büyüdü.
											Ve çocuklarım da bu farkındalıkla
okula gitmeye başladılar.
									",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
","
","
","
","
",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
"
											Litter:
											it's blending into
the background of our lives.
											But what if we brought it
to the forefront?
											What if we understood exactly
what was on our streets,
											our sidewalks
											and our school yards?
											How might we use that data
to make a difference?
									","
											Les déchets :
											ils se fondent dans le décor de notre vie.
											Mais si nous les amenions
au premier plan ?
											Et si nous comprenions exactement
ce qu'il y a dans nos rues,
											sur nos trottoirs
											et dans nos cours d'école ?
											Comment pourrions-nous utiliser
ces données pour changer les choses ?
									","
											Basura:
											se está mezclando con 
el trasfondo de nuestra vida.
											¿Qué pasa si la traemos al primer plano?
											¿Y si comprendiéramos exactamente
lo que está en nuestras calles,
											nuestras aceras
											y patios?
											¿Cómo usaríamos esos datos
para hacer un cambio?
									","
											Abfall:
											Er verschmilzt mit dem 
Hintergrund unseres Lebens.
											Aber was, wenn wir ihn sichtbar machen?
											Was, wenn wir genau verstehen, 
was auf den Straßen liegt,
											auf unseren Bürgersteigen
											und unseren Schulhöfen?
											Wie könnten wir diese Informationen
nutzen, um etwas zu verändern?
									","
											Çöp;
											hayatımızın arka planında
sürekli var olan bir şey.
											Bunu hayatımızın
ön planına alsak ne olur?
											Caddelerimizde, kaldırımlarımızın
üzerinde ve okul bahçelerindekilerin
											ne olduğunu
											tam olarak anlarsak ne olur?
											Bu bilgiyi bir fark yaratmak
için nasıl kullanabiliriz?
									",This app makes it fun to pick up litter,Jeff Kirschner,6:10,"cities,collaboration,communication,data,environment,community,entrepreneur,innovation,plastic,map,social change,pollution,TED Residency"
