en,es,fr,de,title,speaker,duration,tags
"
","
","
","
",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
											I get asked a lot what the difference
between my work is
											and typical Pentagon
long-range strategic planners.
											And the answer I like to offer is
											what they typically do is they think
about the future of wars
											in the context of war.
											And what I've spent 15 years
doing in this business —
											and it's taken me almost
14 to figure it out —
											is I think about the future of wars
in the context of everything else.
											So I tend to specialize
on the scene between war and peace.
											The material I'm going to show
you is one idea from a book
											with a lot of ideas.
											It's the one that takes me
around the world right now
											interacting with foreign
militaries quite a bit.
											The material was generated
in two years of work I did
											for the Secretary of Defense,
											thinking about a new
national grand strategy
											for the United States.
											I'm going to present a problem
											and try to give you an answer.
									","
											A menudo me preguntan
la diferencia entre mi trabajo
											y el del típico planificador
estratégico del Pentágono.
											Y la respuesta que me gusta dar es
											que ellos típicamente piensan
en el futuro de las guerras
											dentro del contexto de la guerra.
											Y lo que yo llevo haciendo durante 15 años
											(y me ha tomado casi 14
de ellos darme cuenta)
											es pensar en el futuro de las guerras
en el contexto de todo lo demás.
											Entonces tiendo a especializarme
en el escenario entre la guerra y la paz.
											El material que voy a mostrarles
es una idea para un libro.
											Bueno, muchas ideas.
											Es la que en este momento
me lleva por el mundo
											interactuando bastante
con ejércitos extranjeros.
											El material se generó durante dos
años de trabajo que hice
											para el Secretario de Defensa,
											imaginando una nueva
gran estrategia nacional
											para Estados Unidos.
											Voy a presentar un problema
											e intentaré darles una respuesta.
									","
											On me demande souvent quelle est la différence entre mon travail
											et celui des planificateurs typiques de stratégie à long terme du Pentagone.
											Et la réponse que j'aime donner est,
											que typiquement, ils imaginent le futur des guerres
											dans le contexte de la guerre.
											Et ce que je fais depuis 15 ans dans ce milieu —
											et ça m'a pris 14 ans pour m'en rendre compte —
											c'est que j'imagine le futur des guerres dans le contexte de tout ce qu'il y a autour.
											Alors j'ai tendance à me spécialiser dans l'espace entre la guerre et la paix.
											Ce que je vais vous montrer est une idée pour un livre.
											Enfin, beaucoup d'idées.
											C'est celle qui me pousse aujourd'hui à voyager autour du monde,
											et à interagir un peu avec les militaires étrangers.
											Ce que je vais vous montrer a été produit pendant les deux ans où j'ai travaillé
											pour le Ministère de la Défense,
											réfléchissant à une nouvelle grande stratégie nationale
											pour les États-Unis.
											Je vais vous présenter un problème
											et je vais essayer de vous apporter une réponse.
									","
											Oft fragt man mich nach dem Unterschied zwischen meiner Arbeit
											und der Arbeit der Strategen im Pentagon.
											Darauf antworte ich,
											dass diese Strategen meistens die Kriege der Zukunft
											fast ausschließlich als Krieg auffassen.
											In den letzten 15 Jahren habe ich hingegen
											- und 14 habe ich gebraucht, um das herauszufinden -
											über die Kriege der Zukunft im strategischen Zusammenhang nachgedacht,
											an der Schnittstelle zwischen Krieg und Frieden.
											Das folgende Material
											entspringt einem meiner Bücher.
											Diese Idee führt mich um die Welt,
											und ich habe mit so einigen Militärs zu tun.
											Ich habe das Material über zwei Jahre
											für den Verteidigungsminister gesammelt.
											Mein Ziel war es, für die USA über eine
											neue Langzeitstrategie nachzudenken.
											Ich zeige Ihnen ein Problem auf,
											und schlage Ihnen eine Lösung vor.
									",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
","
","
","
",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
											Here's my favorite bonehead concept
from the 1990s in the Pentagon:
											the theory of anti-access,
area-denial asymmetrical strategies.
											Why do we call it that?
											Because it's got all those
A's lined up I guess.
											This is gobbledygook for
											if the United States fights
somebody we're going to be huge.
											They're going to be small.
											And if they try to fight us
in the traditional, straight-up manner
											we're going to kick their ass,
											which is why people don't
try to do that any more.
											I met the last Air Force
General who had actually
											shot down an enemy plane in combat.
											He's now a one star General.
											That's how distant
we are from even meeting an air force
											willing to fly against ours.
											So that overmatched capability
creates problems —
											catastrophic successes
the White House calls them.
									","
											Esta es mi estupidez favorita
del Pentágono de los 90s;
											la teoría de las estrategias asimétricas
anti-acceso y de negación de área.
											¿Por qué la llamamos así?
											Porque tiene todas esas
iniciales repetidas, supongo.
											Este es un trabalenguas para decir que
											si EE.UU. lucha contra a-
lguien vamos a ser enormes
											y ellos pequeños.
											Y si ellos intentan pelear
en el sentido tradicional y directo
											les patearemos el trasero;
											que es por lo que ya nadie
trata de hacerlo.
											Conocí al último
General de la Fuerza Aérea responsable por
											derribar un avión enemigo en combate.
											Hoy es un general de una estrella.
											Así de lejanos estamos
de enfrentarnos a una fuerza aérea
											dispuesta a volar contra nosotros.
											Y esa capacidad abrumadora crea problemas:
											la Casa Blanca los llam-
a ""éxitos catastróficos"".
									","
											Voici mon concept idiot favori datant des années 1990 au Pentagone,
											la théorie des stratégies asymétriques d'anti-accès et d'aires non autorisées.
											Pourquoi est-ce que ça s'appelle comme ça ?
											Peut-être parce qu'il y a tous ces 'A' alignés.
											C'est du charabia pour dire que,
											si les États-Unis entrent en guerre avec quelqu'un, nous allons être grands,
											et ils vont être petits.
											Et s'ils essaient de nous combattre d'une façon traditionnelle, de manière directe,
											nous allons leur botter les fesses,
											c'est pourquoi les gens ne s'y risquent même plus.
											J'ai rencontré le dernier général de l'Air Force qui a réellement
											abattu un avion ennemi au combat.
											Il est désormais général une étoile.
											Voilà à quel point on est loin de rencontrer une force aérienne
											qui voudrait nous combattre.
											Alors cette surcapacité est génératrice de problèmes —
											la Maison Blanche les appelle des succès catastrophiques.
									","
											Hier mein Lieblingsholzweg des Pentagon aus den 1990ern:
											""Asymmetrische Raum- und Zugangsverweigerungsstrategien.""
											Weshalb nennen wir sie so?
											Es reiht so schön das ""A"" auf, schätze ich.
											Dieses Kauderwelsch soll sagen,
											dass die USA im Kriegsfall übermächtig sein werden
											und der Feind ziemlich schwach.
											Unter gleichen Bedingungen
											bekommt er einen Tritt in den Hintern.
											Deswegen macht das auch keiner mehr.
											Ich kenne den letzten General der US-Luftwaffe,
											der eigenhändig ein feindliches Flugzeug abgeschossen hat.
											Heute ist er Einsternegeneral.
											So weit sind wir davon weg, eine Luftwaffe zu finden,
											die überhaupt gegen uns antreten will.
											Diese übermachtige Schlagkraft schafft Probleme,
											das Weiße Haus nennt sie ""katastrophale Erfolge"".
									",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
","
","
","
",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
","
","
","
",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
											And we're trying to figure that out,
											because it is an amazing capability.
											The question is, what's the good
you can do with it?
											OK?
											The theory of anti-access, area-denial
asymmetrical strategies —
											gobbledygook that we sell to Congress,
											because if we just told them
we can kick anybody's asses
											they wouldn't buy us
all the stuff we want.
											So we say, area-denial, anti-access
asymmetrical strategies
											and their eyes glaze over.
									","
											Y estamos tratando de solucionarlo,
											porque es una capacidad extraordinaria.
											La pregunta es:
¿Qué de bueno se puede hacer con eso?
											¿Ok?
											La teoría de las estrategias asimétricas
anti-acceso y de negación de área
											(un trabalenguas
que le vendemos al Congreso,
											porque si sólo les dijéramos que podemos
patearle el culo a cualquiera
											no nos comprarían todo lo que queremos.)
											Entonces decimos: estrategias asimétricas
anti-acceso de negación de área
											y sus ojos se apagan.
									","
											Et nous essayons de résoudre ce problème,
											parce que c'est une capacité incroyable.
											La question est : qu'est ce qu'on peut faire de bien avec ?
											D'accord ?
											La théorie des stratégies asymétriques d'anti-accès et d'aires non autorisées —
											un charabia que l'on vend au Congrès,
											parce que si nous leur disons juste que nous pouvons botter les fesses de quiconque,
											ils ne nous achèteraient pas tout le matériel que nous voulons.
											Alors on leur dit : stratégies asymétriques d'anti-accès et d'aires non autorisées,
											et leurs yeux deviennent vitreux.
									","
											Daran arbeiten wir, denn
											diese Schlagkraft ist eigentlich nützlich.
											Nur, wie setzen wir sie am besten ein?
											Okay?
											Wir drehen dem Kongress das Kauderwelsch
											von asymmetrischen Raum- und Zugangsverweigerungsstrategien an,
											denn wenn wir niemanden mehr zum Verdreschen haben,
											beschaffen sie uns kein Kriegsgerät mehr.
											Deswegen brauchen wir nur ""Asymmetrische Raum- und Zugangsverweigerungsstrategien!"" zu sagen,
											um ihre Augen zum Leuchten zu bringen.
									",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
","
","
","
",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",Let's rethink America's military strategy,Thomas Barnett,23:22,"culture,global issues,military,peace,technology,terrorism,war"
