en,tr,pt,de,title,speaker,duration,tags
"
","
","
","
",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
											Imagine you and a friend are 
strolling through an art exhibit
											and a striking painting catches your eye.
											The vibrant red appears to you 
as a symbol of love,
											but your friend is convinced 
it's a symbol of war.
											And where you see stars in a romantic sky,
											your friend interprets global 
warming-inducing pollutants.
											To settle the debate, you turn to the
internet, where you read
											that the painting is a replica of 
the artist's first-grade art project:
											Red was her favorite color 
and the silver dots are fairies.
									","
											Bir arkadaşınızla, bir sanat 
sergisinde gezindiğinizi düşünün
											ve dikkat çekici bir resim 
gözünüze çarptı.
											Canlı kırmızı renk size
aşkın sembolü gibi geldi
											ama arkadaşınız savaşın
sembolü olduğunu iddia ediyor.
											Siz gökteki yıldızları romantik görürken
											arkadaşınız küresel ısınmaya sebep 
olan kirleticiler olarak yorumluyor.
											Tartışmayı sonlandırmak için
internete bakıyorsunuz, resmin,
											sanatçının birinci sınıf sanat projesinin 
bir kopyası olduğunu okuyorsunuz:
											Kırmızı en sevdiği renk, 
gri noktalar ise periler.
									","
											Imaginem que andam a passear
numa exposição de arte com um amigo
											e uma pintura surpreendente
chama a vossa atenção.
											O vermelho vivo faz-vos lembrar
um símbolo do amor,
											mas o vosso amigo está convencido
que é um símbolo da guerra.
											Onde veem estrelas num céu romântico
											o vosso amigo vê poluentes
responsáveis pelo aquecimento global.
											Para pôr fim ao debate,
vão à Internet, onde leem
											que a pintura é uma réplica do projeto
de arte do primeiro ano da artista.
											O vermelho era a sua cor preferida
e os pontos prateados são fadas.
									","
											Stell dir vor, du schlenderst mit einem
Freund durch eine Kunstausstellung
											und ein beeindruckendes Gemälde
fällt dir ins Auge.
											Das kräftige Rot scheint dir
ein Symbol der Liebe zu sein,
											aber dein Freund ist überzeugt,
dass es ein Symbol für Krieg ist.
											Und was du als Sterne an einem
romantischen Firmament erkennst,
											deutet dein Freund als Schadstoffe,
die die globale Erwärmung verursachen.
											Um den Streit beizulegen,
schaust du im Internet, wo du liest,
											das Bild ist die Replik eines Projekts
als die Künstlerin in der 1. Klasse war:
											Rot war ihre Lieblingsfarbe
und die silbernen Punkte sind Feen.
									",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
","
","
","
",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
											You now know the exact intentions 
that led to the creation of this work.
											Are you wrong to have enjoyed it 
as something the artist didn’t intend?
											Do you enjoy it less now 
that you know the truth?
											Just how much should 
the artist's intention
											affect your interpretation 
of the painting?
											It's a question that's been tossed around
											by philosophers and art critics for 
decades, with no consensus in sight.
									","
											Bu çalışmaya sebep olan niyeti
artık tam olarak biliyorsunuz.
											Sanatçının niyeti olmayan bir 
şeyden zevk almanız yanlış mı?
											Artık gerçeği bildiğiniz için
daha mı az zevk alıyorsunuz?
											Sanatçının niyeti resmi yorumlamanızı
											ne kadar etkilemeli?
											Onlarca yıldır filozofların 
ve sanat eleştirmenlerinin
											sorduğu bir soru bu, 
ortada henüz bir anlaşma yok.
									","
											Agora conhecem as intenções exatas
que levaram à criação daquela obra.
											É um erro tê-la apreciado como uma coisa
que a artista não tencionava fazer?
											Apreciam-na menos agora
que conhecem a verdade?
											Até que ponto a intenção da artista
											afeta a vossa interpretação da pintura?
											É uma questão que tem sido discutida
											por filósofos e críticos de arte
há décadas, sem consenso à vista.
									","
											Du kennst jetzt die genaue Absicht, die
zur Entstehung dieses Werkes führte.
											War es falsch, dass es dir gefallen hat,
obwohl die Künstlerin es anders meinte?
											Gefällt es dir weniger, jetzt,
da du die Wahrheit kennst?
											Wie viel genau sollte
die Absicht der Künstlerin
											deine Deutung des Gemäldes
beeinflussen?
											Diese Frage wurde schon viel diskutiert,
											von Philosophen und Kunstkritikern,
jahrzehntelang, ohne Einigung in Sicht.
									",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
","
","
","
",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
											In the mid-20th century,
											literary critic W.K. Wimsatt and 
philosopher Monroe Beardsley
											argued that artistic 
intention was irrelevant.
											They called this the Intentional Fallacy:
											the belief that valuing an artist's 
intentions was misguided.
											Their argument was twofold:
											First, the artists we study are 
no longer living,
											never recorded their intentions,
											or are simply unavailable to answer 
questions about their work.
											Second, even if there were a bounty 
of relevant information,
											Wimsatt and Beardsley believed
											it would distract us from the 
qualities of the work itself.
											They compared art to a dessert:
											When you taste a pudding,
											the chef's intentions don't affect whether
you enjoy its flavor or texture.
											All that matters, they said, 
is that the pudding ""works.""
									","
											20. yüzyıl ortalarında
											edebiyat eleştirmeni W.K. Wimsatt 
ve filozof Monroe Beardsley
											sanatsal niyetin konuyla ilgisinin 
olmadığını söylediler.
											Buna Kasıtlı Yanlış adını verdiler:
											Bir sanatçının niyetinin
yanlış yönlendireceğine inanmak.
											Argümanın iki yönü vardı:
											İlki, incelediğimiz sanatçılar 
artık yaşamıyordu,
											niyetlerini kaydetmemişlerdi
											veya kısacası çalışmaları hakkında 
cevap vermeye uygun değillerdi.
											İkincisi, ilgisi olan
bilgiyi sağlasalar bile,
											Wimsatt ve Beardsley
											bunun, çalışmanın özelliklerinden
dikkatimizi dağıttığına inanıyordu.
											Sanatı tatlıya benzettiler:
											Puding tattığınızda
											şefin niyeti, tadı veya
dokusundan zevk almanızı etkilemez.
											Önemli olan şey pudingin ""iyi"" olmasıdır.
									","
											Em meados do século XX,
											o crítico literário W.K. Wimsatt
e o filósofo Monroe Beardsley
											argumentaram que a intenção
do artista era irrelevante.
											Chamaram-lhe a ""Falácia Intencional"":
											a ideia que valorizar as intenções
de um artista era enganadora.
											Os seus argumentos eram de dois tipos.
											Primeiro, os artistas que estudamos
já não são vivos,
											nunca registaram as suas intenções
											ou não estão disponíveis para responder
a perguntas sobre a sua obra.
											Segundo, mesmo que houvesse
muitas informações relevantes,
											Wimsatt e Beardsley pensavam
											que isso nos desviaria
das qualidades da obra.
											Comparavam a arte a uma sobremesa.
											Quando saboreamos um pudim,
											as intenções do ""chef"" não afetam
que apreciemos o seu sabor ou textura.
											Só interessa, disseram,
que o pudim ""funcione"".
									","
											Mitte des 20. Jahrhunderts
											argumentierten der Kritiker W.K. Wimsatt
und der Philosoph Monroe Beardsley
											die Intention des Künstlers
sei irrelevant.
											Sie nannten das 
die Absichtsvolle Täuschung:
											Der Glaube, die Absichten des Künstlers
abzuschätzen, sei irreführend.
											Ihr Argument hatte zwei Säulen:
											Erstens: Die Künstler, die wir studieren,
sind nicht mehr am Leben,
											hielten nie ihre Absichten fest
											oder stehen einfach nicht zur Verfügung,
um Fragen über ihre Werke zu beantworten.
											Zweitens: Selbst wenn es eine Fülle
von relevanten Informationen gäbe,
											so Wimsatt und Beardsley,
											würde es von den Eigenschaften 
der Arbeit selbst ablenken.
											Sie verglichen Kunst mit einem Nachtisch.
											Wenn du einen Pudding isst,
											beeinflussen die Absichten des Koches nicht,
ob dir Geschmack und Konsistenz gefallen.
											Alles was zählt, so sagten sie, ist,
dass der Pudding ""funktioniert"".
									",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
","
","
","
",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
											Of course, what ""works"" for one person 
might not ""work"" for another.
											And since different interpretations 
appeal to different people,
											the silver dots in our painting could be 
reasonably interpreted as fairies,
											stars, or pollutants.
											By Wimsatt and Beardsley's logic, the
artist's interpretation of her own work
											would just be one among many equally
acceptable possibilities.
									","
											Elbette, biri için ""iyi"" olan,
diğeri için ""iyi"" olmayabilir.
											Farklı yorumlar 
farklı insanlara uygun düşebilir,
											resimdeki gri noktalar 
gerçekçi olarak periler,
											yıldızlar veya kirleticiler 
olarak yorumlanabilir.
											Wimsatt ve Beardsley'in mantığıyla, 

											sanatçının kendi
çalışması hakkındaki yorumu
											aynı derecede kabul edilebilir 
olasılıklardan sadece biri olacaktır.
									","
											Claro que o que ""funciona"" para uma pessoa
pode não ""funcionar"" para outra.
											Tal como interpretações diferentes
são apresentadas por pessoas diferentes,
											os pontos prateados na nossa pintura
podem ser interpretados razoavelmente
											como fadas, como estrelas
ou como poluição.
											Pela lógica de Wimsatt e de Beardsley,
											a interpretação do artista
quanto à sua obra
											seria apenas mais uma entre muitas
possibilidades igualmente aceitáveis.
									","
											Natürlich kann es bei einer Person
""wirken"", aber bei einer anderen nicht.
											Und weil verschiedene Deutungen 
verschiedene Menschen ansprechen,
											können die silbernen Punkte in unserem
Gemälde sowohl als Feen gedeutet werden,
											als auch als Sterne oder Schadstoffe.
											Nach Wimsatts und Beardsleys Argumentation
wäre die Deutung des Künstlers
											nur eine von vielen
gleichwertigen Möglichkeiten.
									",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
","
","
","
",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
"
											If you find this problematic,
											you might be more in line with Steven 
Knapp and Walter Benn Michaels,
											two literary theorists who rejected the
Intentional Fallacy.
											They argued that an artist's 
intended meaning
											was not just one possible interpretation,
											but the only possible interpretation.
											For example, suppose you're 
walking along a beach
											and come across a series of marks in the 
sand that spell out a verse of poetry.
											Knapp and Michaels believed the 
poem would lose all meaning
											if you discovered these marks were not 
the work of a human being,
											but an odd coincidence 
produced by the waves.
											They believed an intentional creator
											is what makes the poem subject to 
understanding at all.
									","
											Eğer bunu problemli buluyorsanız,
											Kasıtlı Yanlış'ı reddeden 
iki edebiyat kuramcısı Steven Knapp
											ve Walter Benn Michaels ile 
daha aynı çizgidesiniz.
											Onlar sanatçının niyet ettiği anlamın
											muhtemel yorumlardan biri değil,
											tek muhtemel yorum olduğunu söylediler.
											Örneğin, diyelim ki 
bir sahilde yürüyorsunuz
											ve kumda bir şiirin dizeleri
yazılı karalamalara rastladınız.
											Knapp ve Michaels, eğer bu karalamaların 
bir insan tarafından değil de
											büyük şans eseri dalgalar
tarafından yapıldığını keşfettiğinizde
											şiirin tüm anlamını 
yitireceğine inandılar.
											Kasıtlı bir yaratanın,
											şiiri anlamaya tabi yaptığına inandılar.
									","
											Se acham que isto é problemático,
											podem estar mais de acordo
com Steven Knapp e Walter Benn Michaels,
											dois teóricos literários que rejeitaram
a Falácia Intencional.
											Argumentaram que o sentido
da intenção de um artista
											não era apenas uma interpretação possível,
											mas a única interpretação possível.
											Por exemplo, suponham que
estão a passear numa praia
											e encontram uma série de marcas na areia
											que representam um verso de poesia.
											Knapp e Michaels creem
que o poema perderia todo o sentido
											se descobrissem que essas marcas
não eram fruto de um ser humano,
											mas uma estranha coincidência
produzida pelas ondas.
											Acreditavam que só um criador intencional
											torna o poema sujeito
a qualquer compreensão
									","
											Wenn du das problematisch findest,
											magst du eher Steven Knapp und
Walter Benn Michaels zustimmen,
											zwei Literaturwissenschaftlern, die
die Absichtsvolle Täuschung ablehnten.
											Sie argumentierten, die vom
Künstler beabsichtigte Bedeutung,
											sei nicht nur eine
mögliche Interpretation,
											sondern die einzig mögliche.
											Ein Beispiel: Stell dir vor,
du läufst einen Strand entlang
											und stößt auf eine Reihe von Zeichen
im Sand, die ein Gedicht ergeben.
											Knapp und Michaels glaubten,
ein Gedicht verliert seinen Sinn,
											wenn man herausfindet, dass die Zeichen
nicht von einem Menschen stammen,
											sondern ein seltsamer Zufall sind,
den die Wellen erstellt haben.
											Sie glaubten, ein absichtsvoller Schöpfer
											ist, macht das Gedicht
überhaupt erst verständlich.
									",Who decides what art means?,Hayley Levitt,4:21,"TED-Ed,art,history,culture,arts,painting,world cultures"
