fr,tr,de,en,es,title,speaker,duration,tags
"
","
","
","
","
",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
											Comme beaucoup d'architectes, David aime être sous les feux de la rampe
											mais il est discret, ou fait semblant de l'être,
											donc il préfère que je l'interroge plutôt que de faire un long discours.
											En fait, ce dont nous allons parler
											est un sujet qui se prête mieux à une conversation je pense,
											qu'à un exposé.
											Je crois que nous avons un sujet à visionner pour commencer.
									","
											Kurt Andersen: Çoğu mimar gibi David de ilgiyi üzerinde toplamak istiyor
											ama kendisi az konuşur — ya da en azından öyleymiş gibi davranıyor —
											o yuzden de konuşmak yerine benim sorular sormamı istedi.
											Aslında, hakkında konuşacağımız konuyu,
											sanırım, bir hitabetten ziyade
											daha uygun olacaktır.
											Ve sanırım söyleşinin ilerleyen zamanında bazı haber kesitleri izleyeceğiz.
									","
											Kurt Andersen: Wie viele Architekten 
steht David gern im Mittelpunkt,
											aber er ist zurückhaltend genug,
— oder er tut wenigstens so —
											dass er mich bat, ihn zu befragen,
statt vorzutragen.
											Worüber wir reden werden,
											ist ein Thema, das besser im Gespräch
											als in einem Vortrag behandelt wird.
											Wir zeigen erst einige 
Ausschnitte aus Nachrichten.
									","
											Kurt Andersen: Like many architects, David is a hog for the limelight
											but is sufficiently reticent — or at least pretends to be —
											that he asked me to question him rather than speaking.
											In fact what we're going to talk about,
											I think, is in fact a subject that is probably better served
											by a conversation than an address.
											And I guess we have a bit of news clip to precede.
									","
											Kurt Andersen: Como a muchos arquitectos, a David le gusta llamar la atención
											pero es lo suficientemente reticente — o al menos pretende serlo —
											que me ha pedido que lo interrogue en vez de conversar.
											De hecho, de lo que hablaremos,
											pienso, es ciertamente un tema que es probablemente mejor servido
											por una conversación que por un discurso.
											Y supongo que tenemos un pequeño fragmento noticioso como anticipo.
									",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
","
","
","
","
",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
											Depuis les attentats du 11 septembre sur le World Trade Center
											beaucoup de gens se sont rendus dans le centre de New York
											pour rendre hommage aux victimes, sur ce cimetière de 6 hectares.
											Aujourd'hui, comme l'explique Jim Axelrod de CBS, ils mettent la touche finale
											à une nouvelle installation pour que les visiteurs puissent voir.
									","
											Dan Rather: Dünya Ticaret Merkezine 11 Eylül'de yapılan saldırıdan beri
											birçok insan New York şehir merkezine 6.5 hektarlık mezarlığı görmeye
											ve hürmetlerini göstermek için akın ettiler.
											Şimdi, CBS'ten Jim Axelrod'un bildirdiğine göre, insanların gelip
											manzarayı izleyebilecekleri yeni bir yerin son rötuşları yapılıyor.
									","
											Dan Rather: Seit dem Anschlag am 
11. September auf das World Trade Center
											strömten viele Menschen nach Manhattan
											und erwiesen an der 4.000 qm großen 
Grabstätte die letzte Ehre.
											Laut Jim Axelrod von CBS 
wird bald letzte Hand angelegt,
											damit Menschen den Ort 
auf andere Art erleben können.
									","
											Dan Rather: Since the September 11th attack on the World Trade Center,
											many people have flocked to downtown New York to see
											and pay respects at what amounts to the 16-acre burial ground.
											Now, as CBS's Jim Axelrod reports, they're putting the finishing touches
											on a new way for people to visit and view the scene.
									","
											Dan Rather: Desde el ataque del 11 de Septiembre en el World Trade Center,
											muchas personas han visitado Nueva York en masa para presenciar,
											y presentar sus respetos, a lo que se constituye en un cementerio de 16 acres.
											Ahora, como reporta Jim Axelrod de CBS, se ponen los toques finales
											a una nueva manera para que la gente visite y admire la escena.
									",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
","
","
","
","
",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
											Oubliez l'Empire State Building ou la Statue de la Liberté
											A New York, le lieu
											où la foule est la plus compacte est Ground Zero.
									","
											Jim Axelrod: Empire State binasını ya da Özgürlük Anıtı'nı unutun —
											New York'ta yeni bir yer doğuyor.
											Bu kalabalığın en fazla olduğu yer — Sıfır Noktası.
									","
											Jim Axelrod: Vergessen Sie das 
Empire State Building oder die Freiheitsstatue.
											Es gibt einen neuen Ort in New York,
											wo die dichtesten Menschenmassen sind 
— Ground Zero.
									","
											Jim Axelrod: Forget the Empire State Building or the Statue of Liberty.
											There's a new place in New York
											where the crowds are thickest — Ground Zero.
									","
											Jim Axelrod: Olviden el Edificio Empire State o la Estatua de la Libertad —
											hay un nuevo lugar en Nueva York
											donde son mayores las multitudes — la Zona Cero
									",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
","
","
","
","
",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
											J'ai emmené ma belle-fille depuis Indianapolis.
											Parmi tous les sites touristiques de New York
											c'était ce qu'elle voulait voir.
									","
											Turist: Üvey kızımı Indianapolis'ten alıp buraya getirdim.
											Bu — New York şehrinin turistlik yerlerinin haricinde bir yerdi —
											Bu onun en favori seçimiydi.
									","
											Tourist: Ich habe meine Stieftochter 
aus Indianapolis hierhin gebracht.
											Von allen Touristenattraktionen 
in New York City
											war das ihre erste Wahl.
									","
											Tourist: I've taken my step-daughter here from Indianapolis.
											This was — out of all the tourist sites in New York City —
											this was her number-one pick.
									","
											Turista: He traído a mi hijastra aquí desde Indianápolis.
											Este fue — de todos los sitios turísticos en la Ciudad de Nueva York —
											su primera elección.
									",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
","
","
","
","
",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
"
											Des milliers de personnes font la queue sur Lower Broadway.
									","
											Jim Axelrod: Binlerce kişi şimdi Aşağı Broadway'de kuyruk oluşturdu.
									","
											JA: Tausende stehen jetzt auf 
dem unteren Broadway Schlange.
									","
											JA: Thousands now line up on lower Broadway.
									","
											JA: Miles ahora se alinean en el Bajo Brodway.
									",A memorial at Ground Zero,David Rockwell,24:37,"New York,architecture,cities,collaboration,culture,death,design,disaster relief,interview,memory,urban planning"
