tr,en,fr,title,speaker,duration,tags
"
","
","
","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
											Kendinize hiç sordunuz mu?
											Neden şirketler, gerçekten havalı şirketler,
											yenilik yapanlar, yaratıcılar,
											yeni ekonomi türündeki şirketler,
											Apple, Gooogle, Facebook gibi,
											tek bir ülkede,
											Amerika Birleşik Devletleri'nde ortaya çıkıyor?
											Genellikle ben bunu söylediğimde biri, ""Spotify!
											O Avrupalı."" Evet tabi.
											Onun, bu şirketler kadar büyük bir etkisi yok.
									","
											Have you ever asked yourselves why it is that
											companies, the really cool companies,
											the innovative ones, the creative,
											new economy-type companies —
											Apple, Google, Facebook —
											are coming out of one particular country,
											the United States of America?
											Usually when I say this, someone says, ""Spotify!
											That's Europe."" But, yeah.
											It has not had the impact that these other companies have had.
									","
											Vous êtes-vous déjà demandé 
comment cela se fait
											que les entreprises, 
les entreprises vraiment cools,
											celles qui sont novatrices, créatives,
											les nouvelles sociétés économiques du type
											Apple, Google, Facebook,
											viennent d'un pays en particulier,
											les Etats Unis d'Amérique ?
											D'habitude, quand je le dis, quelqu'un dit ""Spotify!
											c'est Européen"". Oui mais,
											il n'a pas eut l'impact que ces autres entreprises ont eu.
									","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
","
","
","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
											Benim işim ekonomistlik
											ve ben gerçekten şirketler, endüstri ve ülke seviyesinde
											yenilikçilik ile ekonomik büyüme arasındaki
											ilişkiyi inceliyorum
											ve dünyanın her yerinde politikacılarla çalışıyorum,
											özellikle Avrupa Komisyonu'ndakilerle,
											ancak yakın zamanlarda Çin gibi ilgi çeken yerlerde de
											ve size sölyebileceğim, hepsinin dilinin ucunda
											o soru var:
											Avrupa'nın Google'ı nerede?
											bu eski ekonomik büyüme modelinden,
											farklı bir anlayışa sahip olan
											Silikon Vadisi büyüme modelinin arkasındaki sır ne?
											Ve ilginç olan ise,
											21. yüzyılda olmamıza rağmen,
											genellikle pazara devlet karşıtlığına
											geliyoruz.
											Bundan modern yollarla bahsediliyor,
											ancak Silikon Vadisi gibi yerlerin arkasındaki fikir,
											sır, değişik tiplerdeki pazar oluşturma mekanizmaları,
											özel girişim, ister bu girişimci şirketlere
											yüksek riskli finans sağlayabilecek bir
											dinamik bir
											girişim sermayesi sektörü olsun,
											biz bunları geleneksel bankaların korktuğu
											gazeller olarak adlandırırız
											ya da birçok şirketin başarısız olmasının aksine
											gerçekten korkunç olan Ölüm Vadisi sürecini
											atlatabilecek ve şirketlerin
											yeniliklerini, ürünlerini göstebilmelerine gerçekten imkan veren
											değişik türdeki
											ticarileştirme politikaları.
									","
											Now what I do is I'm an economist,
											and I actually study the relationship
											between innovation and economic growth
											at the level of the company, the industry and the nation,
											and I work with policymakers worldwide,
											especially in the European Commission,
											but recently also in interesting places like China,
											and I can tell you that that question
											is on the tip of all of their tongues:
											Where are the European Googles?
											What is the secret behind the Silicon Valley growth model,
											which they understand is different
											from this old economy growth model?
											And what is interesting is that often,
											even if we're in the 21st century,
											we kind of come down in the end to these ideas
											of market versus state.
											It's talked about in these modern ways,
											but the idea is that somehow, behind places like Silicon Valley,
											the secret have been different types of market-making mechanisms,
											the private initiative, whether this be about
											a dynamic venture capital sector
											that's actually able to provide that high-risk finance
											to these innovative companies,
											the gazelles as we often call them,
											which traditional banks are scared of,
											or different types of really successful
											commercialization policies which actually allow these companies
											to bring these great inventions, their products,
											to the market and actually get over this
											really scary Death Valley period
											in which many companies instead fail.
									","
											Maintenant, ce que je fais, 
c'est que je suis une économiste,
											et en fait, j'étudie les relations
											entre l'innovation et la croissance économique
											au niveau de la société, l'industrie et la nation,
											et je travaille avec des législateurs dans le monde entier,
											surtout à la commission européenne,
											mais aussi récemment à certains endroits intéressant tel que la Chine,
											et je peux vous dire que cette question
											est sur le bout de toutes leur langues :
											où sont les Googles Européens ?
											Quel est le secret derrière 
le modèle de croissance de la Silicon Valley,
											ce qu'ils comprennent est différent
											de leur ancien modèle de croissance économique ?
											Et ce qui est intéressant est que souvent,
											même si on est au 21ème siècle,
											on en vient en quelque sorte 
à penser à ces idées
											du marché opposé à l'Etat.
											C'est discuté de ces façons modernes,
											mais l'idée qu'en quelque sorte, 
derrière ces endroits comme la Silicon Valley,
											le secret, c'était différents types de mécanismes 
pour faire du marché
											l'initiative privée, que ce soit à propos
											d'un secteur de capital-risque
											qui est en fait 
capable de fournir cette finance à haut risque
											à ces sociétés innovatives,
											les gazelles comme on les appelle souvent,
											dont les banques traditionnelles ont peur,
											ou différents types 
de politique de commercialisation
											très prospères qui permettent 
en fait à ces sociétés
											d'amener leurs inventions géniales, leurs produits,
											sur le marché et arrivent à outrepasser
											cette période effrayante 'vallée de la mort'
											dans lesquelles beaucoup de société ont échoué.
									","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
","
","
","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
											Fakat benim gerçekten ilgimi çeken, özellikle bu sıralar
											ve dünyanın her yerinde politik olarak olanlar yüzünden,
											kullanılan dil, anlatım tarzı,
											söylem, imgeler, kullanılan kelimeler.
											Biz genellikle
											alışılmışın dışına çıkabildiği için
											daha yenilikçi olan
											bu tarz kelimelerle özel sektörde karşılaşıyoruz.
											Onlar daha dinamik.
											Steve Jobs'un 2005 Stanford mezunlarında verdiği
											gerçekten ilham verici olan konuşmayı düşünün,
											orada yenilikçi olunabilmesi için
											aç kalmanız gerektiğini, ahmak kalmanız gerektiğini söyledi.
											Değil mi? Yani bu adamlar doğru şekilde aç olan
											ve ahmak olan renkli adamlar, değil mi?
											Ve Avrupa gibi yerlerde,
											bu daha adaletli olabilir,
											ABD'ye göre biraz daha iyi beslenip
											biraz daha iyi giyiniyor bile olabiliriz,
											ancak sorun bu lanet kamu sektörü.
											Biraz fazla büyük ve
											dinamik risk sermayesi ve
											ticarileşme gibi şeylerin olabileceği
											kadar verimli olmasına izin vermedi.
											Ve çok saygın gazetelerin dahi,
											benim abone olduklarım dahil,
											kullandıkları kelimeler
											Leviathan durumunda. Değil mi?
											Kocaman vantuzlu bir canavar.
											Bu editöryallerde bayağı belirginler.
											Onlar şey derler, ""Devlet,
											kamu yararı olduğunda böyle
											küçük pazar başarısızlıklarını ya da kirlilik gibi
											olumsuz dışsallıkları düzeltmek için gereklidir
											ama biliyor musunuz, internetten sonraki
											büyük devrim ne olacak?
											Biz hepimiz bunun yeşil bir şey olmasını umuyoruz
											ya da tüm bu nano teknoloji şeyler ve söylediklerine göre,
											""o şeylerin gerçekleşmesi için, sıradaki endüstri devriminin özel bir bölümüydü,""
											der, devlet, temellere sadık kal, değil mi?
											Altyapıya yatırım yap. Okullara yatırım yap.
											Temel araştırmalara bile yatırım yap, çünkü
											bu toplumca bilinir, aslında, kamu iyiliği için
											özel şirketlerin yatırım yapmak istemediklerine,
											yap, lakin biliyor musun?
											Geri kalanını devrimcilere bırak.""
											O renkli, alışılmışın dılında düşünenlere.
											Onlar çoğunlukla garaj filozofu olarak adlandırılırlar
											çünkü gerçekten bir kısmı garajlarda bir şeyler yaptılar
											kısmen bir efsane olmasına rağmen.
											Ve benim sizinle yapmak istediğim şey, aman Tanrım,
											sadece 10 dakika içerisinde,
											bu bitişiklik hakkında tekrar düşündürmek,
											çünkü bunun büyük, çok büyük, yenilik politikasının
											ötesinde çıkarımlar var,
											bu alan ise benim sıklıkla politikacılarla
											konuştuğum bir alana giriyor.
											Çok büyük çıkarımları var, burada elimizdeki
											tek kavram ile bile, nerede, ne zaman ve neden
											kamusal harcamalarından ve bu bitişiklik yüzünden
											bildiğimiz gibi, dışarıdan sağlanan
											değişik kamusal hizmetlerinden
											kamusal harcamayı azaltmamız gerektiği elimizde.
											Değil mi? Demek istediğim, belki de bizim ücretsiz okullarımız ya da sözleşmeli okullarımız olmalı
											böylece onları bu ağır ders programı gibi şeylerle aşıyı yüklemeden
											daha yenilikçi bir hale getirebiliriz.
											Yani böylece bu tarz kelimeler sürekli,
											bu bitişiklikler her yerden çıkıyor,
											sadece yenilik politikasında değil.
									","
											But what really interests me, especially nowadays
											and because of what's happening politically around the world,
											is the language that's used, the narrative,
											the discourse, the images, the actual words.
											So we often are presented
											with the kind of words like that the private sector
											is also much more innovative because it's able to
											think out of the box.
											They are more dynamic.
											Think of Steve Jobs' really inspirational speech
											to the 2005 graduating class at Stanford,
											where he said to be innovative,
											you've got to stay hungry, stay foolish.
											Right? So these guys are kind of the hungry
											and foolish and colorful guys, right?
											And in places like Europe,
											it might be more equitable,
											we might even be a bit better dressed
											and eat better than the U.S.,
											but the problem is this damn public sector.
											It's a bit too big, and it hasn't actually allowed
											these things like dynamic venture capital
											and commercialization to actually be able to really
											be as fruitful as it could.
											And even really respectable newspapers,
											some that I'm actually subscribed to,
											the words they use are, you know,
											the state as this Leviathan. Right?
											This monster with big tentacles.
											They're very explicit in these editorials.
											They say, ""You know, the state, it's necessary
											to fix these little market failures
											when you have public goods
											or different types of negative externalities like pollution,
											but you know what, what is the next big revolution
											going to be after the Internet?
											We all hope it might be something green,
											or all of this nanotech stuff, and in order for that stuff to happen,"" they say —
											this was a special issue on the next industrial revolution —
											they say, ""the state, just stick to the basics, right?
											Fund the infrastructure. Fund the schools.
											Even fund the basic research, because this is
											popularly recognized, in fact, as a big public good
											which private companies don't want to invest in,
											do that, but you know what?
											Leave the rest to the revolutionaries.""
											Those colorful, out-of-the-box kind of thinkers.
											They're often called garage tinkerers,
											because some of them actually did some things in garages,
											even though that's partly a myth.
											And so what I want to do with you in, oh God,
											only 10 minutes,
											is to really think again this juxtaposition,
											because it actually has massive, massive implications
											beyond innovation policy,
											which just happens to be the area
											that I often talk with with policymakers.
											It has huge implications, even with this whole notion
											that we have on where, when and why
											we should actually be cutting back on public spending
											and different types of public services which,
											of course, as we know, are increasingly being
											outsourced because of this juxtaposition.
											Right? I mean, the reason that we need to maybe have free schools or charter schools
											is in order to make them more innovative without being emburdened
											by this heavy hand of the state curriculum, or something.
											So these kind of words are constantly,
											these juxtapositions come up everywhere,
											not just with innovation policy.
									","
											Mais ce qui m'intéresse vraiment, 
surtout en ce moment
											et à cause de ce qui 
se passe politiquement dans le monde,
											c'est le langage qui est utilisé, le récit,
											le discours, les images, les mots.
											Donc on nous présente souvent
											ce genre de mots, tels que le secteur privé
											est aussi beaucoup plus innovant
parce qu'il est capable de
											penser différemment.
											Ils sont plus dynamiques.
											Pensez au discours très inspirant de Steve Jobs
											donné à la classe de dernière année 
de 2005 à l'université de Stanford,
											dans lequel il a dit que pour être innovant,
											il faut rester affamé, rester bête.
											Okay ? Donc ces gars sont en quelque sorte 
les gars qui ont faim,
											qui sont stupides et original, c'est ça ?
											Et dans les endroits comme l'Europe,
											ce serait plus juste,
											on est peut-être même un peu mieux habillés
											et on mange mieux que les U.S.,
											mais le problème c'est ce satané secteur public.
											Il est un peu trop gros,
et il n'a pas vraiment permis
											ces choses comme le capital-risque dynamique
											et la commercialisation pour être vraiment capable
											d'être aussi fructueux qu'il est possible.
											Et même les journaux très respectables,
											dont certains auxquels je suis abonnée,
											les mots qu'ils utilisent, vous savez, sont
											l'état comme un Leviathan. C'est vrai ?
											Ce monstre avec de grosses tentacules.
											Ils sont très explicites dans ces éditoriaux.
											Ils disent, « Vous savez, l'état, c'est nécessaire
											pour réparer ces petites échecs du marché
											quand vous avez des biens publics
											ou différent genre 
d'externalités négatives comme la pollution,
											mais vous savez quoi, 
quelle sera la grosse révolution
											après Internet ?
											On espère tous que 
ce sera quelque chose d'écologique,
											ou tout ces trucs de nanotechnologie, 
et pour que ces trucs se produisent, » ils disent —
											c'était un numéro spécial 
sur la prochaine révolution industrielle —
											ils disent, « l'état, tenez-vous en juste aux bases, non?
											Financez les infrastructures. Financez les écoles.
											Financez même les recherches de base, 
parce que c'est
											reconnu populairement, 
en fait, comme un grand bien public,
											dans lesquels les sociétés privées 
refusent d'investir,
											faites ça, mais vous savez quoi ?
											Laissez le reste aux révolutionnaires. »
											Ces penseurs originaux.
											Ils sont souvent appelés bricoleurs de garage,
											parce que certains d'entre eux 
ont en fait fait quelques trucs dans les garages,
											bien que ce soit en partie un mythe.
											Donc, ce que je veux faire avec vous 
en juste, oh mon Dieu,
											encore 10 minutes,
											est de vraiment réfléchir à cette association,
											parce que ça a en fait d'énormes implications
											au-delà de la politique d'innovation,
											ce qui se trouve être le domaine
											dont je parle souvent avec les législateurs.
											Ceci a des implications énormes, 
même avec toute cette notion
											que nous avons concernant 
où, quand et pourquoi
											on devrait en fait réduire les dépenses publiques
											et les différents types de services publics qui,
											bien évidemment, comme nous le savons, 
sont de plus en plus
											sous-traités à cause de cette association.
											C'est vrai ? Je veux dire, la raison pour laquelle 
nous devrions peut-être avoir des écoles gratuites
											ou des écoles privées sous contrats 
serait dans le but de les rendre plus innovantes
											sans être gênées par ce poids du cursus de l'état, 
ou quelque chose comme ça.
											Ce genre de mots est constant,
											ces associations se retrouvent partout,
											pas seulement dans la politique d'innovation.
									","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
","
","
","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
											Ve bu yüzden tekrar düşünün,
											bana inanmamanız için hiçbir sebep yok,
											o yüzden cebinizde olan en akıllı
											devrimci şeyleri düşünün
											ve onu açmayın, ama onu çıkarmak isteyebilirsiniz, iPhone'nunuzu.
											iPhone'daki devrimci
											alışılmışında düşünülen güzel şeyleri
											kimin para sağladığını sorun.
											Telefonunuzu aptal bir telefon yerine
											aklıllı bir telefon yapan nedir?
											Dünyanın her yerininde gezinebilmenizi
											sağlayan İnternet, düyanın her yerinde
											nerede olduğunuzunu gösterden GPS
											herkes için kolay kullanımlı
											bir telefon haline getiren
											dokunmatik ekran.
											Bunlar iPhone ile ilgili çok zekice, devrimsel şeyler
											ve bunların hepsi devlet tarafından desteklendi.
											Demek istediğim, İnternet
											DARPA, Birleşik Devletler Savunma Bakanlığı tarafından,
											GPS askeriyenin Navstar programı tarafından desteklendi.
											Aslında Siri bile DARPA tarafından desteklendi.
											Dokunmatik ekran, CIA ve NSF'nin
											Delaware Üniversitesi'ndeki iki devlet üniversitesi
											araştırmacısına verilen hibelerle desteklendi.
											Şimdi şöyle düşünüyor olmalısınız,"" Bu kadın şimdi
											'savunma' ve 'askeriye' kelimesini çok fazla kullandı,""
											ancak ilginç olan ise bunun her sektörde
											ve her bakanlıkta gerçekten doğru olduğu.
											Benim şahsi olarak detaylı şekilde
											inceleme imkanu bulduğum
											İlaç sektörü,
											yenilikçi ile yenilikçi olmayan şeylerle ilgili
											soruyu sormak için mükemmel
											çünkü her ve tüm ilaçlar ne kadar yenilikçi
											ya da değişken olmasına göre ayrılabilir.
											Önem derecesine sahip yeni moleküler entitiler
											yenilikçi olan yeni ilaçlardır
											ancak mevcut ilaçlara yapılan ufak değişiklikler
											Viagra, değişik renk, değişik dozaj,
											daha az yenikikçi olanlardır.
											Gerçek şu ki, önem derecesine sahip yeni
											moleküler entitilerin %75'i aslında sıkıcı
											Kafkacı kamu sektörü laboratuarları tarafından destekleniyor.
											Bu demek değil ki büyük ilaç firmaları yenilik için harcama yapmıyorlar.
											Yapıyorlar. Pazarlama için harcama yapıyorlar.
											AR-GE'nin Geliştirme kısmına para harcıyorlar.
											Çok problemli bir iş olan, kendi
											hisselerini satın almak için çok para harcıyorlar.
											Aslında, yakın zamanda Pfizer ve Amgen gibi şirketler
											AR-GE'sine yaptığı harcamadan çok daha fazlasını
											hisselerini geri almak için harcadı
											ancak bu benim tamamen başka bir TED konuşması konusu
											bunu bir gün anlatmaktan mutluluk duyarım.
									","
											And so to think again,
											there's no reason that you should believe me,
											so just think of some of the smartest
											revolutionary things that you have in your pockets
											and do not turn it on, but you might want to take it out, your iPhone.
											Ask who actually funded the really cool,
											revolutionary thinking-out-of-the-box
											things in the iPhone.
											What actually makes your phone
											a smartphone, basically, instead of a stupid phone?
											So the Internet, which you can surf the web
											anywhere you are in the world;
											GPS, where you can actually know where you are
											anywhere in the world;
											the touchscreen display, which makes it also
											a really easy-to-use phone for anybody.
											These are the very smart, revolutionary bits about the iPhone,
											and they're all government-funded.
											And the point is that the Internet
											was funded by DARPA, U.S. Department of Defense.
											GPS was funded by the military's Navstar program.
											Even Siri was actually funded by DARPA.
											The touchscreen display was funded
											by two public grants by the CIA and the NSF
											to two public university researchers at the University of Delaware.
											Now, you might be thinking, ""Well, she's just said
											the word 'defense' and 'military' an awful lot,""
											but what's really interesting is that this is actually true
											in sector after sector and department after department.
											So the pharmaceutical industry, which I am personally
											very interested in because I've actually had the fortune
											to study it in quite some depth,
											is wonderful to be asking this question
											about the revolutionary versus non-revolutionary bits,
											because each and every medicine can actually be
											divided up on whether it really is revolutionary or incremental.
											So the new molecular entities with priority rating
											are the revolutionary new drugs,
											whereas the slight variations of existing drugs —
											Viagra, different color, different dosage —
											are the less revolutionary ones.
											And it turns out that a full 75 percent
											of the new molecular entities with priority rating
											are actually funded in boring, Kafka-ian public sector labs.
											This doesn't mean that Big Pharma is not spending on innovation.
											They do. They spend on the marketing part.
											They spend on the D part of R&amp;D.
											They spend an awful lot on buying back their stock,
											which is quite problematic.
											In fact, companies like Pfizer and Amgen recently
											have spent more money in buying back their shares
											to boost their stock price than on R&amp;D,
											but that's a whole different TED Talk which one day
											I'd be fascinated to tell you about.
									","
											Et donc, pour réfléchir encore,
											il n'y a pas de raison que vous me croyiez,
											donc pensez simplement 
à une des choses révolutionnaires
											les plus intelligentes 
que vous avez dans vos poches
											et ne l'allumez pas, 
mais vous pourriez vouloir le sortir, votre iPhone.
											Demandez-vous qui a en réalité financé ces très cools,
											révolutionnaires, originalement pensés,
											choses dans le iPhone.
											Qu'est ce qui fait de votre téléphone
											un smartphone, en gros, 
au lieu d'un stupide téléphone?
											Donc Internet, grâce auquel 
vous pouvez surfer sur la toile,
											où que vous soyez dans le monde ;
											le GPS, grâce auquel 
vous pouvez savoir où vous êtes,
											n'importe où dans le monde ;
											l'écran tactile, ce qui rend aussi le téléphone
											vraiment simple à utliser pour tout le monde.
											Ce sont les choses très intelligentes, 
révolutionnaires de l'iPhone,
											et elles ont été financées par le gouvernement.
											La conclusion c'est qu'Internet
											a été financé par DARPA, 
le département de la défense américaine.
											Le GPS a été financé 
par le programme militaire Navstar.
											Même Siri a en réalité été financé par DARPA.
											L'affichage à écran tactile à été financé
											par deux subventions publiques 
de la CIA et de la NSF
											données à deux chercheurs publics 
de l'université du Delaware.
											A présent, vous devez vous dire, 
« Bon, elle vient juste de dire
											les mots 'défense' et 'militaire' 
un nombre incalculable de fois, »
											mais ce qui est vraiment intéressant 
c'est que c'est tout à fait vrai
											secteur après secteur, 
et département après département.
											L'industrie pharmaceutique, 
qui m'intéresse personnellement
											car j'ai eu la chance de
											l'étudier de manière plutôt approfondie,
											est merveilleuse pour poser cette question
											concernant l'opposition des trucs révolutionnaires 
aux trucs non-révolutionaires,
											parce que tous médicaments 
et chaque médicament peuvent en fait être
											partagés en deux groupes : 
révolutionnaire ou évolutionnaire.
											Donc les nouvelles entités moléculaires prioritaires
											sont les nouveaux médicaments révolutionaires,
											alors que les variations légères 
de médicaments existants —
											Viagra, couleur différente, dosage différent —
											sont ceux qui sont les moins révolutionnaires.
											Et il s'avère que 75 pour cent
											des nouvelles entités moléculaires prioritaires
											sont en fait financées par les ennuyeux laboratoires 
des secteurs publiques kafkian.
											Ceci ne veut pas dire que 
les Big Pharma n'investissent pas dans l'innovation.
											Elles le font. Elles dépensent dans la partie marketing.
											Elles investissent dans le D de R&amp;D.
											Elles dépensent incroyablement beaucoup
pour racheter leurs actions,
											ce qui est un peu problématique.
											En fait, les sociétés comme Pfizer et récemment Amgen
											ont dépensé plus d'argent pour racheter leurs actions
											pour augmenter leurs prix que dans leur R&amp;D,
											mais ce serait une conférence de TED 
entièrement différente et qu'un jour
											je serai fascinée de vous en raconter.
									","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
","
","
","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
"
											Bunların içerisinde en ilginç olanı
											devletin, tum bu örneklerde
											market hatalarını düzeltmekten çok daha fazlasını yapmış olması.
											Pazarları şekillendirdi ve arattı.
											Sadece gene kamu yararı için olacak şekilde
											basit araştırmayı desteklemiyordu
											bu araştırmayı yapıyordu da.
											Hatta neredeyse, tam bir risk sermayedarıydı.
											Küçük şirketlere ilk aşamada destek veren
											SBIR ve SDTR programları
											özel risk sermayesine kıyasla
											çok daha fazla önemli olmakla kalmayıp
											daha da önemli hale geldi.
											Neden? Çünkü çoğumuzun bildiği gibi
											risk sermayesi oldukça kısa vadelidir.
											Yatırımlarının karşılıklarını üç ile beş yıl içerisinde isterler.
											Yenilik o süreden çok daha fazlasına ihtiyaç duyar
											15 ile 20 yıl aarası.
											Yani bu kavram.. Demek istediğim, konu bu, değil mi?
											Zorlu işlere kimin yatırım yaptığı?
											Tabii ki, sadece devlet değil.
											Özel sektör de bunu çok yapıyor.
											Ancak bize her zaman anlatılan
											devletin temeller için önemli olduğu
											ancak o tarz yüksek riskli
											devrimci farklı düşünceleri sağlamadığı.
											İnterneti desteklemekten, harcamaları yapmada
											ama ek olarak bu yatırımlar için
											stratejik vizyon düşünme, tüm bu sektörlerde
											devletin içerisinden geliyordu.
											Nanoteknoloji sektörünü bunu çalışmak için
											çok iyidir, çünkü kelimenin kendisi bile, nanoteknoloji
											devletin içerisinden gelmekte.
									","
											Now, what's interesting in all of this
											is the state, in all these examples,
											was doing so much more than just fixing market failures.
											It was actually shaping and creating markets.
											It was funding not only the basic research,
											which again is a typical public good,
											but even the applied research.
											It was even, God forbid, being a venture capitalist.
											So these SBIR and SDTR programs,
											which give small companies early-stage finance
											have not only been extremely important
											compared to private venture capital,
											but also have become increasingly important.
											Why? Because, as many of us know,
											V.C. is actually quite short-term.
											They want their returns in three to five years.
											Innovation takes a much longer time than that,
											15 to 20 years.
											And so this whole notion — I mean, this is the point, right?
											Who's actually funding the hard stuff?
											Of course, it's not just the state.
											The private sector does a lot.
											But the narrative that we've always been told
											is the state is important for the basics,
											but not really providing that sort of high-risk,
											revolutionary thinking out of the box.
											In all these sectors, from funding the Internet
											to doing the spending, but also the envisioning,
											the strategic vision, for these investments,
											it was actually coming within the state.
											The nanotechnology sector is actually fascinating
											to study this, because the word itself, nanotechnology,
											came from within government.
									","
											Maintenant, ce qui est intéressant dans tout ça
											c'est que l'état, dans tous ces exemples,
											faisait beaucoup plus que 
juste réparer les échecs du marché.
											En réalité, il créait et formait des marchés.
											Il ne finançait pas seulement la recherche de base,
											qui est une fois de plus un bien public typique,
											mais aussi la recherche appliquée.
											C'était même, dieu me pardonne, 
investisseur en capital-risque.
											Donc ces programmes SBIR et SDTR,
											qui donnent aux petites compagnies 
une finance à un stade précoce
											n'ont pas été seulement extrêmement importants
											comparés aux investisseurs en capital-risque privés,
											mais ils sont aussi devenus 
de plus en plus nombreux.
											Pourquoi ? Parce que, 
comme beaucoup d'entre nous le savent,
											V.C. est en fait plutôt à cours terme.
											Ils veulent des retours 
sur investissement en 3 à 5 ans.
											L'innovation prends tellement plus de temps que ça,
											de 15 à 20 ans !
											Donc cette notion — je veux dire, 
c'est ce dont on parle non ?
											Qui en fait finance les trucs durs ?
											Bien sûr, ce n'est pas seulement l'état.
											Le secteur privé en finance beaucoup.
											Mais ce qu'on nous a toujours dit
											c'est que l'état est important pour les trucs de bases,
											mais n'a pas vraiment 
cette façon de penser originale,
											et révolutionnaire, qui est à haut risque.
											Dans tous ces secteurs, du financement d'Internet
											à la dépense, mais aussi la visualisation,
											la vision stratégique, pour ces investissements,
											tout ça venait en fait de l'intérieur de l'état.
											Le secteur de la nanotechnologie 
est vraiment fascinant à étudier,
											parce que le mot lui-même, nanotechnologie,
											vient de l'intérieur du gouvernement.
									","Government — investor, risk-taker, innovator",Mariana Mazzucato,14:04,"business,economics,finance,government,innovation,investment,technology,women in business,markets"
