en,es,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
											You’re overseeing the delivery 
of crucial supplies to a rebel base
											deep in the heart of enemy territory.
											To get past Imperial customs, all
packages must follow a strict protocol:
											if a box is marked with 
an even number on the bottom,
											it must be sealed with a red top.
									","
											Estás supervisando la entrega de 
suministros cruciales a una base rebelde
											en el corazón del territorio enemigo.
											Para pasar la aduana imperial, todos
los paquetes siguen un estricto protocolo:
											si una caja está marcada con
un número par en la parte inferior
											debe estar sellada con una tapa roja.
									","
											Düşman bölgesinin içlerindeki
bir isyancı üssüne yapılan
											çok önemli erzak nakliyesine
nezaret ediyorsunuz.
											İmparatorluk gümrüğünden geçecek
tüm paketleri katı bir protokol bekliyor:
											Bir kutunun alt tarafı
bir çift sayı ile işaretli ise
											üstü kırmızı ile mühürlenmeli.
									","
											Estás a vigiar a entrega
de abastecimentos vitais
											a uma base de rebeldes
bem no meio de território inimigo.
											Para passar a alfândega imperial,
											todos os pacotes têm que obedecer
a um protocolo rigoroso:
											se uma caixa está marcada
com um número par na base,
											tem que ser selada
com uma tampa vermelha.
									","
											Vous supervisez une livraison
capitale de vivres à une base rebelle
											située au cœur du territoire ennemi.
											Pour passer les douanes de l'Empire, les
paquets doivent suivre une règle stricte :
											si le fond de la boite est marqué
par un numéro pair,
											elle doit être scellée
par un couvercle rouge.
									",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
","
","
","
","
",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
											The boxes are already being loaded 
onto the transport
											when you receive an urgent message.
											One of the four boxes 
was sealed incorrectly,
											but they lost track of which one.
											All the boxes are still 
on the conveyor belt.
											Two are facing down: 
one marked with a four,
											and one with a seven.
											The other two are facing up:
											one with a black top,
											another with a red one.
									","
											Las cajas están siendo 
cargadas en el transporte
											cuando recibes un mensaje urgente.
											Una de las cuatro cajas fue
sellada de forma incorrecta,
											pero perdieron la pista de cuál.
											Todas las cajas están aún
en la cinta transportadora.
											Dos están boca abajo;
una marcada con un 4,
											y una con un 7.
											Las otras dos están boca arriba:
											una con la tapa negra,
											otra con la tapa roja.
									","
											Tam kutular nakliye için yüklenirken
											acil bir mesaj gelir.
											Dört kutudan biri yanlış mühürlenmiştir,
											ancak hangisi olduğu bilinmiyor.
											Tüm kutular hâlâ taşıyıcı bant üzerinde.
											İkisinin altı yukarıda: 
Birisi dört ile mühürlenmiş
											ve diğeri yedi ile.
											Diğer ikisinin üstü yukarı bakıyor:
											Birinin üstü siyah
											ve diğerininki kırmızı.
									","
											As caixas já estão
a ser carregadas no transporte
											quando recebes uma mensagem urgente.
											Uma das quatro caixas
foi selada incorretamente,
											mas perdeu-se a indicação de qual delas era.
											As caixas já estão todas
no tapete rolante.
											Duas estão viradas para baixo:
uma está marcada com um quatro,
											e outra com um sete.
											As outras duas estão viradas para cima:
											uma com uma tampa preta
											e outra com uma tampa vermelha.
									","
											Toutes les boites sont déjà en train
d'être chargées dans le camion,
											lorsque vous recevez un message urgent.
											L'une des quatre boites a été mal fermée,
											mais ils ne savent plus laquelle.
											Toutes les boites sont toujours
sur le tapis roulant.
											Deux boites sont face vers le bas :
une marquée d'un 4,
											l'autre par un 7.
											Les deux autres sont
tournées vers le haut :
											l'une avec un couvercle noir,
											l'autre avec un couvercle rouge.
									",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
","
","
","
","
",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
											You know that any violation 
of the protocol
											will get the entire shipment confiscated
and put your allies in grave danger.
											But any boxes you pull off for inspection
won’t make it onto this delivery run,
											depriving the rebels 
of critically needed supplies.
											The transport leaves in a few moments,
with or without its cargo.
											Which box or boxes should you 
grab off the conveyor belt?
									","
											Sabes que cualquier violación
del protocolo significará
											que todo el cargamento sea confiscado
y pondrá a tus aliados en grave peligro.
											Pero cualquiera de las cajas que saques
para inspección no llegará a la entrega,
											privando a los rebeldes de
suministros críticos y necesarios.
											El transporte se marcha en breves 
momentos con o sin su cargamento.
											¿Cuál caja o cajas deberías retirar
de la cinta transportadora?
									","
											Herhangi bir protokol ihlalinin
tüm nakliyeye el konularak
											müttefikleri vahim bir tehlikeye
sokacağını biliyorsunuz.
											Ancak herhangi bir kutunun inceleme için 
alınması kutuyu bu nakliyeden çıkarıp
											isyancıları çok ihtiyaç duydukları
erzaktan mahrum bırakacak.
											Nakil aracı, kargolu ya da kargosuz
birkaç dakikada yola çıkacak.
											Hangi kutu ya da kutuları
taşıyıcı banttan almalısınız?
									","
											Sabes que qualquer violação ao protocolo
											implicará a confiscação
de todo o carregamento
											e porá os teus aliados em grande perigo.
											Mas qualquer caixa que tires
para inspeção, perderá o transporte
											e privará os rebeldes
											dos abastecimentos
desesperadamente necessários.
											O transporte sairá dentro de momentos
com carga ou sem ela.
											Qual é a caixa ou as caixas
que deves tirar do tapete rolante?
									","
											Vous savez que toute
violation du protocole
											fera confisquer la totalité du chargement,
ce qui mettra vos alliés en grand danger.
											Mais chaque boite que vous retirerez
pour inspection ne pourra pas être livrée,
											privant les rebelles de vivres
dont ils ont absolument besoin.
											Le camion part dans peu de temps,
avec ou sans son chargement.
											Quelle(s) boite(s) devriez-vous
enlever du tapis roulant ?
									",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
","
","
","
","
",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
											Pause the video now if you want
to figure it out for yourself!
											Answer in: 3
											Answer in: 2
											Answer in: 1
									","
											¡Pausa el vídeo si quieres 
resolverlo por ti mismo!
											Respuesta en: 3
											Respuesta en: 2
											Respuesta en: 1
									","
											Kendiniz düşünmek için
videoyu şimdi durdurun!
											Cevap için: 3
											Cevap için: 2
											Cevap için: 1
									","
											[Suspende aqui o vídeo
se quiseres resolver sozinho]
											Resposta em: 3
											Resposta em: 2
											Resposta em: 1
									","
											Mettez la vidéo en pause maintenant
si vous voulez trouver la solution !
											Réponse dans : 3
											Réponse dans : 2
											Réponse dans : 1
									",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
","
","
","
","
",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
"
											It may seem like you need to inspect 
all four boxes
											to see what’s on the other side of each.
											But in fact, only two of them matter.
									","
											Podría parecer que necesitas 
inspeccionar las cuatro cajas
											para ver qué hay en su otro lado.
											Pero de hecho, solo dos de ellas importan.
									","
											Kutuların diğer yüzünde
ne olduğunu anlamak için
											hepsini incelemek gerek gibi gelebilir.
											Ancak gerçekte sadece ikisi yeter.
									","
											Pode parecer necessário
inspecionar todas as quatro caixas
											para ver o que está do outro lado.
											Mas, na verdade, só interessam duas.
									","
											On pourrait croire que vous avez besoin
d'inspecter les quatre boites
											pour savoir ce qu'il y a de l'autre côté.
											Mais en fait, seules deux
comptent vraiment.
									",Can you solve the rebel supplies riddle?,Alex Gendler,4:37,"TED-Ed,education"
