en,es,tr,title,speaker,duration,tags
"
","
","
","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
											Now...
											let's go back in time.
											It's 1974.
											There is the gallery somewhere
											in the world,
											and there is a young girl, age 23,
											standing in the middle of the space.
											In the front of her is a table.
											On the table there are 76 objects
											for pleasure and for pain.
											Some of the objects are
											a glass of water, a coat, a shoe, a rose.
											But also the knife,
the razor blade, the hammer
											and the pistol with one bullet.
											There are instructions which say,
											""I'm an object.
											You can use everything on the table on me.
											I'm taking all responsibility —
even killing me.
											And the time is six hours.""
									","
											Ahora...
											retrocedamos en el tiempo.
											Es 1974.
											En alguna galería de arte
											del mundo,
											hay una chica joven, de 23 años,
											de pie en el centro del espacio.
											Delante de ella hay una mesa.
											Sobre la mesa hay 76 objetos
											para el placer y el dolor.
											Algunos de los objetos son
											un vaso de agua, un abrigo, 
un zapato, una rosa.
											Pero también un cuchillo, 
una hoja de afeitar, un martillo
											y una pistola con una bala.
											Hay instrucciones que dicen,
											""Soy un objeto.
											Todo lo de la mesa 
puede utilizarse en mí.
											Asumo toda la responsabilidad, 
incluso si me matan.
											Y tienen seis horas"".
									","
											Şimdi...
											zamanda geriye gidelim.
											1974 yılı.
											Dünyanın bir yerinde
											bir galeri var
											ve 23 yaşında bir genç kız var,
											alanın ortasında duruyor.
											Önünde ise bir masa var.
											Masada ise zevk ve acı için
											76 obje var.
											Objelerden bazıları
											bir bardak su, bir manto,
bir ayakkabı, bir gül.
											Ama bir bıçak, bir jilet, bir çekiç
											ve bir kurşunla bir tabanca da var.
											Şöyle diyen talimatlar var,
											""Ben bir objeyim.
											Masadaki her şeyi 
üzerimde kullanabilirsiniz.
											Bütün sorumluluğu alıyorum — 
öldürseniz bile.
											Ve zamanınız altı saat.""
									","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
","
","
","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
											The beginning of this
performance was easy.
											People would give me
the glass of water to drink,
											they'd give me the rose.
											But very soon after,
											there was a man who took the scissors
and cut my clothes,
											and then they took the thorns of the rose
and stuck them in my stomach.
											Somebody took the razor blade
and cut my neck and drank the blood,
											and I still have the scar.
											The women would tell the men what to do.
											And the men didn't rape me
because it was just a normal opening,
											and it was all public,
											and they were with their wives.
											They carried me around
and put me on the table,
											and put the knife between my legs.
											And somebody took the pistol and bullet
and put it against my temple.
											And another person took the pistol
and they started a fight.
									","
											El inicio de esta actuación fue fácil.
											La gente me daba 
el vaso con agua para beber,
											Me daba la rosa.
											Pero poco después,
											había un hombre que tomó 
las tijeras y me cortó la ropa,
											y luego arrancaron las espinas de la rosa 
y me las pegaron en el estómago.
											Alguien tomó la hoja de afeitar 
me cortó el cuello y bebió mi sangre
											y todavía tengo la cicatriz.
											Las mujeres decían 
a los hombres qué hacer.
											Y los hombres no me violaron 
porque era solo una inauguración normal,
											y era todo público,
											y estaban con sus esposas.
											Me cargaron y me pusieron sobre la mesa,
											y me pusieron el cuchillo entre las piernas.
											Y alguien tomó la pistola y la bala 
y me la puso en la sien.
											Y otra persona tomó la pistola 
y comenzó una pelea.
									","
											Bu performansa başlamak kolaydı.
											İnsanlar içmem için 
bir bardak su verdiler,
											gülü verdiler.
											Ama kısa bir süre sonra,
											makası alıp giysilerimi 
kesen bir adam oldu
											ve sonra gülün dikenlerini 
alıp karnıma sapladılar.
											Biri jleti alıp boynumu 
kesti ve kanı içti,
											hâlâ izi duruyor.
											Kadınlar adamlara ne 
yapacaklarını söyledi.
											Adamlar bana tecavüz etmedi, 
çünkü normal bir açılıştı,
											halka tamamen açıktı
											ve karılarıyla birlikteydiler.
											Beni taşıyıp masaya koydular
											ve bacaklarımın arasına bıçak koydular.
											Biri tabancayı ve mermiyi alıp 
şakaklarıma dayadı.
											Başka biri tabancayı aldı 
ve kavga etmeye başladılar.
									","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
","
","
","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
											And after six hours were finished,
											I...
											started walking towards the public.
											I was a mess.
											I was half-naked, I was full of blood
and tears were running down my face.
											And everybody escaped, they just ran away.
											They could not confront myself,
with myself as a normal human being.
											And then —
											what happened
											is I went to the hotel,
it was at two in the morning.
											And
											I looked at myself in the mirror,
											and I had a piece of gray hair.
											Alright —
											please take off your blindfolds.
									","
											Y después cumplirse las seis horas,
											yo...
											comencé a caminar hacia el público.
											Estaba hecha un desastre.
											Medio desnuda, llena de sangre 
y las lágrimas me corrían por la cara.
											Y todo el mundo se escapó, 
simplemente huyeron.
											No podían afrontarme 
como un ser humano normal.
											Y entonces —
											lo que pasó
											al irme al hotel, 
ya eran las dos de la mañana.
											Y...
											me miré en el espejo,
											y tenía un pedazo de pelo gris.
											Bien —
											por favor, sáquense 
las vendas de los ojos.
									","
											Altı saat bittikten sonra,
											ben...
											halka doğru yürümeye başladım.
											Darmadağandım.
											Yarı çıplaktım, kan revan içindeydim 
ve yüzümden yaşlar boşanıyordu.
											Herkes kaçtı, sadece kaçıp gittiler.
											Normal bir insan olarak 
benimle yüz yüze gelemediler.
											Ve sonra —
											olan şey,
											otele gittim, sabaha karşı ikiydi.
											Ve
											kendime aynada baktım
											ve bir tutam beyaz saçım vardı.
											Tamam —
											lütfen göz bağlarınızı çıkarın.
									","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
","
","
","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
											Welcome to the performance world.
											First of all, let's explain
what the performance is.
											So many artists,
so many different explanations,
											but my explanation
for performance is very simple.
											Performance is a mental
and physical construction
											that the performer makes
in a specific time
											in a space in front of an audience
											and then energy dialogue happens.
											The audience and the performer
make the piece together.
											And the difference between
performance and theater is huge.
											In the theater, the knife is not a knife
											and the blood is just ketchup.
											In the performance,
the blood is the material,
											and the razor blade or knife is the tool.
											It's all about being there
in the real time,
											and you can't rehearse performance,
											because you can't do many
of these types of things twice — ever.
											Which is very important,
the performance is —
											you know, all human beings
are always afraid of very simple things.
											We're afraid of suffering,
we're afraid of pain,
											we're afraid of mortality.
											So what I'm doing —
											I'm staging these kinds of fears
in front of the audience.
											I'm using your energy,
											and with this energy I can go
and push my body as far as I can.
											And then I liberate myself
from these fears.
											And I'm your mirror.
											If I can do this for myself,
you can do it for you.
									","
											Bienvenidos al mundo del arte efímero.
											En primer lugar, 
explicaré qué es el arte efímero.
											Muchos artistas dan 
muchas explicaciones diferentes,
											pero mi explicación del arte efímero
es muy simple.
											El arte efímero es 
una construcción mental y física
											que el artista hace 
en un momento determinado
											en un espacio en frente de una audiencia
											para que suceda el diálogo vital.
											El público y el artista componen 
juntos la pieza.
											Y la diferencia entre el arte efímero 
y el teatro es enorme.
											En el teatro, 
el cuchillo no es un cuchillo
											y la sangre es solo salsa de tomate.
											En el arte efímero, 
la sangre es el material,
											y la hoja de afeitar o el cuchillo 
es la herramienta.
											Todo es cuestión de estar allí 
en el tiempo real,
											y el arte efímero no se puede ensayar,
											porque no se puede hacer muchas 
de estas cosas dos veces, una vez.
											Lo cual es muy importante 
en el arte efímero.
											Uds. saben, los humanos siempre 
tenemos miedo de cosas muy simples.
											Tenemos miedo al sufrimiento, 
tenemos miedo al dolor,
											tenemos miedo a la muerte.
											Así que lo que hago
											es poner este tipo de temores 
en escena frente a la audiencia.
											Estoy usando su energía,
											y con esta energía puedo llevar 
a mi cuerpo al límite.
											Y luego me libero de estos temores.
											Y yo soy su espejo.
											Si puedo hacer esto sola, 
Uds. puede hacerlo por Uds. mismos.
									","
											Performans dünyasına hoş geldiniz.
											Öncelikle performansın 
ne olduğunu açıklayalım.
											Pek çok sanatçı, pek çok farklı açıklama,
											ama benim performans için 
açıklamam çok basit.
											Performans, sanatçının
belli bir zamanda,
											seyirci önündeki bir yerde
											yaptığı zihinsel ve fiziksel kurgudur
											ve sonra enerji diyaloğu gerçekleşir.
											Seyirci ve sanatçı eseri
beraberce çıkarırlar.
											Performans ve tiyatro arasındaki 
fark çok büyüktür.
											Tiyatroda bıçak, bıçak değildir
											ve kan da sadece ketçaptır.
											Performansta ise, kan materyaldir,
											jilet veya bıçak bir araçtır.
											Gerçek zamanlı olarak 
orada olmakla ilgilidir
											ve performansı prova edemezsiniz,
											çünkü bu tip şeyleri ikinci 
kez yapamazsınız — hiçbir şekilde.
											Bu çok önemli, performans —
											bilirsiniz, bütün insanlar her zaman 
çok basit şeylerden korkarlar.
											Acı çekmekten korkarız, acıdan korkarız,
											ölümden korkarız.
											Yani yaptığım şey,
											bu tip korkuları seyirci 
önünde sergilemek.
											Enerjinizi kullanıyorum
											ve bu enerjiyle gidip bedenimi 
olabildiğince çok zorlayabiliyorum.
											Sonra kendimi bu 
korkulardan özgürleştiriyorum.
											Ben sizin aynanızım.
											Eğer ben bunu kendim için yapabiliyorsam, 
siz de kendiniz için yapabilirsiniz.
									","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
","
","
","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
"
											After Belgrade, where I was born,
											I went to Amsterdam.
											And you know, I've been doing performances
											since the last 40 years.
											And here I met Ulay,
											and he was the person
I actually fell in love with.
											And we made, for 12 years,
performances together.
											You know the knife
and the pistols and the bullets,
											I exchange into love and trust.
											So to do this kind work
you have to trust the person completely
											because this arrow
is pointing to my heart.
											So, heart beating and adrenaline
is rushing and so on,
											is about trust, is about total trust
to another human being.
									","
											Después de Belgrado, donde nací,
											fui a Ámsterdam.
											Y he estado haciendo actuaciones
											en los últimos 40 años.
											Y ahí me encontré con Ulay,
											y él era de la persona 
que realmente me enamoré.
											Y durante 12 años, 
hemos hecho actuaciones juntos.
											Y el cuchillo, las pistolas y las balas,
											las puedo cambiar por amor y confianza.
											Para hacer este tipo de trabajo 
se debe confiar en la persona por completo
											porque esta flecha apunta a mi corazón.
											Por lo tanto, el corazón late y 
la adrenalina corre, etc.,
											es una cuestión de confianza, 
de una total confianza a otro ser humano.
									","
											Doğduğum yer olan Belgrad'dan sonra
											Amsterdam'a gittim.
											Biliyorsunuz, son 40 yıldır
											performanslar sergiliyorum.
											Burada Ulay'la tanıştım
											ve aslında âşık olduğum kişi oydu.
											12 yıl birlikte performans 
gerçekleştirdik.
											Bıçak, silah ve mermileri biliyorsunuz,
											onları sevgi ve güvenle değiştirdim.
											Bu tip işleri yapmak için, 
kişiye tamamen güvenmelisiniz,
											çünkü bu ok kalbime doğru işaret ediyor.
											Yani kalp çarpıyor ve adrenalin 
hücum ediyor vesaire,
											güvenle ilgili, başka bir insana 
tamamen güvenle ilgili.
									","An art made of trust, vulnerability and connection",Marina Abramović,15:51,"art,collaboration,communication,energy,fear,identity,performance art,society,self,vulnerability"
