en,pt,de,title,speaker,duration,tags
"
","
","
",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
											Take a look at this drawing.
											Can you tell what it is?
											I'm a molecular biologist by training,
											and I've seen a lot of these kinds of drawings.
											They're usually referred to as a model figure,
											a drawing that shows how we think
											a cellular or molecular process occurs.
											This particular drawing is of a process
											called clathrin-mediated endocytosis.
											It's a process by which a molecule can get
											from the outside of the cell to the inside
											by getting captured in a bubble or a vesicle
											that then gets internalized by the cell.
											There's a problem with this drawing, though,
											and it's mainly in what it doesn't show.
											From lots of experiments,
											from lots of different scientists,
											we know a lot about what these molecules look like,
											how they move around in the cell,
											and that this is all taking place
											in an incredibly dynamic environment.
									","
											Reparem neste desenho.
											Sabem dizer o que é?
											Eu sou uma bióloga molecular, 
por formação,
											e já vi vários desenhos destes.
											São conhecidos como figuras-modelo,
											um desenho que mostra
											como pensamos que ocorre um processo 
celular ou molecular.
											Este desenho, em particular,
											é de um processo designado
endocitose mediada por clatrina.
											É um processo através do qual 
uma molécula
											pode passar do exterior 
para o interior da célula,
											sendo capturada por uma bolha ou vesícula
											que depois é incorporada pela célula.
											Há, no entanto, um problema 
com este desenho,
											essencialmente por causa 
do que não mostra.
											A partir de várias experiências,
											de muitos cientistas,
											sabemos muito quanto ao aspeto 
destas moléculas,
											como se movem nas células,
											e que tudo isto acontece
											num ambiente incrivelmente dinâmico.
									","
											Schauen Sie mal diese Zeichnung hier.
											Erkennen Sie, was es ist?
											Ich bin ausgebildete Molekularbiologin
											und habe schon viele
solcher Zeichnungen gesehen.
											Man nennt sie Modellabbildungen,
											Zeichnungen, die zeigen,
											wie wir uns einen Zell- bzw. 
Molekularprozess vorstellen.
											Diese Zeichnung zeigt 
den sogenannten Vorgang
											der Clathrin-vermittelten Endozytose.
											Bei diesem Vorgang gelangt ein Molekül
											von außen in eine Zelle,
											indem es in einer Blase bzw. 
einem Vesikel gefangen wird,
											die dann von der Zelle aufgenommen wird.
											Das Hauptproblem an dieser Zeichnung
											besteht darin, dass sie nicht alles zeigt.
											Aus vielen Versuchen und von
											vielen verschiedenen Wissenschaftlern
											wissen wir viel über das 
Aussehen dieser Moleküle,
											wie sie sich in der Zelle bewegen,
											und dass sich alles
											in einer unglaublich 
dynamischen Umgebung abspielt.
									",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
","
","
",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
											So in collaboration with a clathrin
expert Tomas Kirchhausen,
											we decided to create a new kind of model figure
											that showed all of that.
											So we start outside of the cell.
											Now we're looking inside.
											Clathrin are these three-legged molecules
											that can self-assemble into soccer-ball-like shapes.
											Through connections with a membrane,
											clathrin is able to deform the membrane
											and form this sort of a cup
											that forms this sort of a bubble, or a vesicle,
											that's now capturing some of the proteins
											that were outside of the cell.
											Proteins are coming in now that
basically pinch off this vesicle,
											making it separate from the rest of the membrane,
											and now clathrin is basically done with its job,
											and so proteins are coming in now —
											we've covered them yellow and orange —
											that are responsible for taking
apart this clathrin cage.
											And so all of these proteins
can get basically recycled
											and used all over again.
									","
											Em colaboração com Tomas Kirchhausen,
um especialista em clatrina,
											decidimos criar uma nova 
espécie de figura-modelo
											que mostrasse tudo isto.
											Começamos fora da célula.
											Agora estamos a olhar para dentro.
											A clatrina consiste nestas
moléculas de ""três pernas""
											que podem organizar-se em formas 
do tipo de bolas de futebol.
											Através de ligações com uma membrana,
											a clatrina pode deformá-la
											e formar esta espécie de taça
											com este aspeto de bolha ou vesícula,
											que agora capta algumas das proteínas
											que estavam fora da célula.
											Surgem proteínas que basicamente
destacam esta vesícula,
											separando-a do resto da membrana.
											Agora a clatrina concluiu a sua função.
											Surgem agora proteínas,
											— colorimo-las de amarelo e laranja —
											responsáveis por separar 
esta ""gaiola"" de clatrina.
											Todas estas proteínas podem ser 
basicamente recicladas
											e usadas várias vezes.
									","
											Zusammen mit dem Clathrin-Experten 
Tomas Kirchhausen haben wir beschlossen,
											eine neue Form der Modellabbildung
zu entwickeln,
											die das alles darstellt.
											Wir beginnen außerhalb der Zelle.
											Jetzt sehen wir sie von innen.
											Clathrine sind dreibeinige Moleküle,
											die sich selbst in fußballähnliche
Formen angliedern können.
											Durch die Verbindungen zur Membran
											kann ein Clathrin die Membran verformen.
											So entsteht ein Körbchen,
											das dann zu einer Art Blase 
oder Vesikel wird.
											Diese fängt nun einige der Proteine
											außerhalb der Zelle ein.
											Die Proteine dringen nun ein und 
klemmen im Grunde das Vesikel ab.
											Dadurch wird es vom Rest 
der Membran getrennt.
											Das Clathrin hat nun an sich 
seine Aufgabe getan.
											Nun kommen die Proteine,
											in Gelb und Orange,
											die das Clathrin-Gehäuse zerlegen.
											All diese Proteine können 
nun im Grunde recycelt
											und wieder verwendet werden.
									",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
","
","
",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
											These processes are too small to be seen directly,
											even with the best microscopes,
											so animations like this provide a really powerful way
											of visualizing a hypothesis.
									","
											Estes processos são demasiado pequenos
para serem vistos diretamente,
											mesmo com os melhores microscópios,
											pelo que as animações como esta 
possibilitam
											um modo poderoso 
de visualizar uma hipótese.
									","
											Diese Prozesse sind sogar 
für das beste Mikroskop zu klein,
											um gesehen zu werden,
											und darum sind diese Animationen 
so überaus nützlich,
											um Hypothesen zu veranschaulichen.
									",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
","
","
",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
											Here's another illustration,
											and this is a drawing of how a researcher might think
											that the HIV virus gets into and out of cells.
											And again, this is a vast oversimplification
											and doesn't begin to show
											what we actually know about these processes.
									","
											Aqui está outra ilustração.
											Isto é um desenho de como um 
investigador poderá pensar
											que o vírus VIH entra e sai das células.
											Isto é uma grande simplificação
											e já não é suficiente para ilustrar
											o que realmente sabemos 
sobre estes processos.
									","
											Hier ist noch eine Darstellung.
											Sie zeigt die Vorstellung 
eines Forschers darüber,
											wie das HIV-Virus in und aus Zellen kommt.
											Nochmal, dies ist eine 
starke Vereinfachung
											und zeigt nicht annähernd,
											was wir alles über diese Prozesse wissen.
									",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
","
","
",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
"
											You might be surprised to know
											that these simple drawings are the only way
											that most biologists visualize
their molecular hypotheses.
											Why?
											Because creating movies of processes
											as we think they actually occur is really hard.
											I spent months in Hollywood
learning 3D animation software,
											and I spend months on each animation,
											and that's just time that most
researchers can't afford.
											The payoffs can be huge, though.
											Molecular animations are unparalleled
											in their ability to convey a great deal of information
											to broad audiences with extreme accuracy.
											And I'm working on a new project now
											called ""The Science of HIV""
											where I'll be animating the entire life cycle
											of the HIV virus as accurately as possible
											and all in molecular detail.
											The animation will feature data
											from thousands of researchers
collected over decades,
											data on what this virus looks like,
											how it's able to infect cells in our body,
											and how therapeutics are
helping to combat infection.
									","
											Poderão ficar surpreendidos
											ao saber que estes simples 
desenhos
											são a única forma 
de a maioria dos biólogos visualizar
											as suas hipóteses moleculares.
											Porquê?
											Porque é difícil criar filmes 
dos processos,
											tal como pensamos 
que realmente ocorrem.
											Passei meses em Hollywood a estudar
""software"" de animação 3D,
											e gastei meses em cada animação.
											A maioria dos investigadores 
não dispõe desse tempo.
											As vantagens podem, 
no entanto, ser grandes.
											As animações moleculares não têm paralelo
											na sua capacidade de transmitir 
muita informação
											a vastas audiências e com grande precisão.
											Estou agora a trabalhar num projeto novo
											chamado ""A ciência do VIH""
											onde farei a animação do ciclo 
de vida completo do vírus VIH
											de forma tão precisa quanto possível
											e com detalhe molecular.
											A animação incluirá dados
											recolhidos ao longo de décadas
por milhares de investigadores,
											dados sobre o aspeto do vírus,
											de como consegue infetar 
as células do nosso corpo
											e de como os medicamentos 
ajudam a combater a infeção.
									","
											Es mag Sie verwundern,
											dass diese einfachen Zeichnungen 
für die meisten Biologen
											der einzige Weg sind, ihre molekularen 
Hypothesen zu veranschaulichen.
											Warum?
											Weil es wirklich sehr schwer ist,
											über hypothetische Prozesse
einen Film zu machen.
											Ich war monatelang in Hollywood,
											um 3D-Animationssoftware zu erlernen.
											Ich brauchte Monate für jede Animation.
											Diese Zeit haben die meisten 
Forscher einfach nicht.
											Die Mühe lohnt sich jedoch enorm.
											Molekulare Animationen sind einmalig,
											wenn es darum geht, 
große Mengen an Informationen
											an ein breites Publikum in
sehr genauer Weise zu übermitteln.
											Mein neues Projekt im Moment
											heißt ""The Science of HIV""
[HIV-Wissenschaft].
											Meine Animation soll dabei
so genau wie möglich
											den gesamten Lebenszyklus des HIV-Virus
bis ins kleinste Molekül zeigen.
											Die Animation wird Fakten darstellen,
											die Tausende von Forschern 
über Jahrzehnte gesammelt haben,
											z. B. Informationen über 
das Aussehen des Virus,
											wie es die Zellen unseres 
Körpers infizieren kann
											und wie Medikamente bei der 
Bekämpfung der Infektion helfen.
									",How animations can help scientists test a hypothesis,Janet Iwasa,5:06,"TED Fellows,biology,science,technology,visualizations,open-source,molecular biology,science and art,crowdsourcing,medical research,communication,software,animation"
