en,fr,pt,title,speaker,duration,tags
"
","
","
",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
											This chimpanzee stumbles 
across a windfall of overripe plums.
											Many of them have split open,
											drawing him 
to their intoxicating fruity odor.
											He gorges himself
											and begins to experience some… 
strange effects.
											This unwitting ape 
has stumbled on a process
											that humans will eventually harness
											to create 
beer, wine, and other alcoholic drinks.
									","
											Ce chimpanzé tombe
sur une aubaine de prunes blettes.
											Nombre d'entre elles se sont ouvertes,
											l'attirant par leur odeur
fruitée enivrante.
											Il se gave et commence
à ressentir des effets étranges.
											A son insu, ce singe
est tombé sur un processus
											que les humains finiront par exploiter
											pour produire créer de la bière, du vin
et d'autres boissons alcoolisées.
									","
											Este chimpanzé encontra uma pechincha
inesperada de ameixas demasiado maduras.
											Muitas delas já estão rachadas,
											atraindo-o com o seu aroma
frutado inebriante.
											Delicia-se com elas e começa a sentir
uns efeitos esquisitos.
											Este macaco inconscientemente
encontrou um processo
											que os seres humanos
acabarão por dominar
											para criar cerveja, vinho 
e outras bebidas alcoólicas.
									",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
","
","
",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
											The sugars in overripe fruit 
attract microscopic organisms
											known as yeasts.
											As the yeasts feed on the fruit sugars 
they produce a compound called ethanol—
											the type of alcohol 
in alcoholic beverages.
											This process is called fermentation.
											Nobody knows exactly when
											humans began 
to create fermented beverages.
											The earliest known evidence 
comes from 7,000 BCE in China,
											where residue in clay pots
											has revealed that people 
were making an alcoholic beverage
											from fermented rice, millet, 
grapes, and honey.
									","
											Les sucres dans les fruits trop mûrs
attirent des organismes microscopiques
											connus sous le nom de levures.
											Alors que les levures se nourrissent
des sucres des fruits,
											elles produisent un composé
appelé éthanol -
											le type d'alcool présent
dans les boissons alcoolisées.
											Ce processus s'appelle la fermentation.
											Personne ne sait exactement
quand les humains ont commencé
											à produire des boissons fermentées.
											Les premières traces connues remontent
à la Chine de 7 000 ans avant J.C.
											où des résidus dans des pots de glaise
											ont révélé que les gens
produisaient une boisson alcoolisée
											à partir de riz, de millet,
de raisins et de miel fermentés.
									","
											O açúcar dos frutos demasiado maduros
atrai organismos microscópicos,
											conhecidos por leveduras.
											Quando as leveduras se alimentam
do açúcar dos frutos,
											produzem um composto chamado etanol
											— o tipo de álcool das bebidas alcoólicas.
											Este processo chama-se fermentação.
											Ninguém sabe exatamente
											quando os seres humanos começaram
a criar bebidas fermentadas.
											Os indícios mais antigos conhecidos
provêm da China, em 7000 a.C.,
											onde os resíduos em potes de barro
											revelaram que as pessoas
fabricavam uma bebida alcoólica
											a partir de arroz, painço,
uvas e mel fermentados.
									",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
","
","
",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
											Within a few thousand years,
											cultures all over the world 
were fermenting their own drinks.
											Ancient Mesopotamians and Egyptians 
made beer throughout the year
											from stored cereal grains.
											This beer 
was available to all social classes,
											and workers 
even received it in their daily rations.
											They also made wine,
											but because the climate 
wasn’t ideal for growing grapes,
											it was a rare and expensive delicacy.
									","
											En quelques milliers d'années,
											les cultures à travers le monde
faisaient fermenter leurs boissons.
											Les anciens Mésopotamiens et les Égyptiens
produisaient de la bière toute l'année
											à partir de grains de céréales
qu'ils conservaient.
											Cette bière était proposée
à toutes les classes sociales
											et les travailleurs en recevaient même
dans leurs rations quotidiennes.
											Ils produisaient également du vin
											mais le climat n'était pas idéal
pour faire pousser du raisin,
											c'était un délice fin et cher.
									","
											Ao fim de uns milhares de anos,
											as culturas de todo o mundo
fermentavam as suas bebidas.
											Os antigos mesopotâmios e egípcios
faziam cerveja, durante todo o ano
											a partir de cereais armazenados.
											Esta cerveja estava acessível
a todas as classes sociais
											e os trabalhadores até a recebiam
nas suas rações diárias.
											Também faziam vinho
											mas, como o clima não era o ideal
para o cultivo de uvas,
											era uma bebida rara e cara.
									",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
","
","
",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
											By contrast, in Greece and Rome, 
where grapes grew more easily,
											wine was as readily available 
as beer was in Egypt and Mesopotamia.
											Because yeasts 
will ferment basically any plant sugars,
											ancient peoples made alcohol
											from whatever crops and plants 
grew where they lived.
											In South America, 
people made chicha from grains,
											sometimes adding hallucinogenic herbs.
											In what’s now Mexico, 
pulque, made from cactus sap,
											was the drink of choice,
											while East Africans 
made banana and palm beer.
											And in the area that’s now Japan, 
people made sake from rice.
											Almost every region of the globe 
had its own fermented drinks.
									","
											En revanche, en Grèce et à Rome
où les raisins poussaient plus facilement,
											le vin était aussi facile à trouver
que la bière en Égypte et en Mésopotamie.
											Puisque les levures fermentent
les sucres de n'importe quelle plante,
											les peuples anciens
produisaient de l'alcool
											à partir de n'importe quelle culture
ou plante poussant où ils vivaient.
											En Amérique du Sud, les gens produisaient
de la chicha à partir de graines,
											ajoutant parfois
des plantes hallucinogènes.
											A l'actuel Mexique, le pulque,
à base de sève de cactus,
											était la boisson de prédilection
											alors que les Africains de l'Est
faisaient de la bière
											à base de banane et de palmier.
											Dans la région
qui est aujourd'hui le Japon,
											les gens faisaient du saké
à partir de riz.
											Presque chaque région du monde
a ses propres boissons alcoolisées.
									","
											Em contraste, na Grécia e em Roma,
onde as uvas cresciam mais facilmente,
											o vinho era tão acessível como a cerveja
no Egito e na Mesopotâmia.
											Como as leveduras fermentam
quaisquer açúcares vegetais,
											os povos antigos faziam álcool
											a partir de quaisquer plantas
que se davam onde viviam.
											Na América do Sul, as pessoas
faziam chicha a partir de cereais,
											acrescentando, por vezes,
ervas alucinogénias.
											Na zona onde é hoje o México,
o pulque, feito a partir da seiva do cato
											era a bebida de eleição,
											enquanto os africanos ocidentais
faziam cerveja de banana e de palma.
											Na área onde é hoje o Japão,
as pessoas faziam saqué a partir do arroz.
											Quase todas as regiões do globo
tinham as suas bebidas fermentadas.
									",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
","
","
",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
"
											As alcohol consumption 
became part of everyday life,
											some authorities latched onto effects 
they perceived as positive—
											Greek physicians 
considered wine to be good for health,
											and poets 
testified to its creative qualities.
											Others were more concerned 
about alcohol’s potential for abuse.
											Greek philosophers promoted temperance.
											Early Jewish and Christian writers 
in Europe integrated wine into rituals
											but considered excessive intoxication 
a sin.
											And in the middle east, 
Africa, and Spain,
											an Islamic rule 
against praying while drunk
											gradually solidified 
into a general ban on alcohol.
									","
											Alors que la consommation d'alcool
s'est intégrée à la vie quotidienne,
											certaines autorités se sont saisies
des effets perçus comme positifs :
											les médecins grecs considéraient
le vin bon pour la santé
											et les poètes attestaient
de ses qualités créatives.
											D'autres s'inquiétaient plus
											d'une potentielle
consommation abusive d'alcool.
											Les philosophes grecs
encourageaient à la modération.
											En Europe, les premiers auteurs
juifs et chrétiens
											ont intégré le vin aux rituels
											mais considéraient une ivresse excessive
comme étant un péché.
											Au Moyen-Orient, en Afrique et en Espagne,
											une règle islamiste
contre la prière en état d'ébriété
											s'est peu à peu renforcée pour devenir
une interdiction générale de l'alcool.
									","
											À medida que o consumo do álcool
passava a fazer parte da vida quotidiana,
											algumas autoridades elogiavam
os seus efeitos como sendo positivos.
											Os médicos gregos consideravam
que o vinho era bom para a saúde
											e os poetas atestavam
as suas qualidades criativas.
											Outros preocupavam-se mais
com o potencial do álcool para o abuso.
											Os filósofos gregos pregavam a temperança.
											Os primeiros escritores
judeus e cristãos, na Europa
											integraram o vinho nos seus rituais
											mas consideravam a embriaguez
como um pecado.
											No Médio Oriente, em África e em Espanha,
											instituiu-se uma regra islâmica
contra a oração sob o efeito da bebida
											que acabou numa proibição geral do álcool.
									",A brief history of alcohol,Rod Phillips,4:56,"TED-Ed,education,animation,history,culture,food,world cultures"
