en,tr,de,title,speaker,duration,tags
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
											Back in the 1980s, actually,
I gave my first talk at TED,
											and I brought some of the very,
very first public demonstrations
											of virtual reality ever to the TED stage.
											And at that time, we knew
that we were facing a knife-edge future
											where the technology we needed,
											the technology we loved,
											could also be our undoing.
											We knew that if we thought
of our technology
											as a means to ever more power,
											if it was just a power trip,
we'd eventually destroy ourselves.
											That's what happens
											when you're on a power trip
and nothing else.
									","
											Aslında ilk TED konuşmamı
1980'lerde yapmıştım,
											sanal gerçekliğin bazı ilk deneyimlerini
											TED sahnesine ilk ben getirmiştim.
											Daha o zamandan geleceğin 
bıçak sırtında olduğunu biliyorduk,
											ihtiyaç duyduğumuz
											ve o çok sevdiğimiz teknolojinin
											sonumuz olabileceğini biliyorduk.
											Sahip olduğumuz teknolojiyi
daha fazla güç amacıyla kullanırsak
											bunun yalnızca bir güç yolculuğu olacağını
											ve işin sonunda kendimizi
yok edeceğimizi biliyorduk.
											Bir güç yolculuğunda
											başınıza gelecek olanlar 
bundan ibaret olur.
									","
											Damals in den 80ern
hielt ich meine erste Rede bei TED,
											wobei ich eine der ersten
öffentlichen Demonstrationen
											von ""Virtual Reality""
auf die TED-Bühne brachte.
											Damals war uns bewusst, dass uns
eine extrem unsichere Zukunft bevorsteht,
											in der die benötigte Technologie,
											die Technologie, die wir liebten,
											uns auch zum Verhängnis werden könnte.
											Wir wussten, würden wir unsere Technologie
											als Mittel zu noch mehr Macht betrachten,
											würden wir uns selbst zerstören,
falls es nur ein Machttrip wäre.
											So etwas passiert,

											wenn man nur auf Macht aus ist.
									",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
											So the idealism
											of digital culture back then
											was all about starting with
that recognition of the possible darkness
											and trying to imagine
a way to transcend it
											with beauty and creativity.
									","
											O zamanların dijital kültürü,
											muhtemel karanlığın farkına varıp
											bunu güzellik ve yaratıcılıkla
baskılamanın bir yolunu bulmaktı.
									","
											Folglich beschäftigte sich das Idealbild
											der damaligen digitalen Kultur
											insbesondere mit dem Erkennen
dieser möglichen Dunkelheit
											und dem Versuch, einen Weg zu finden,
											diese durch Schönheit
und Kreativität zu überwinden.
									",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
											I always used to end my early TED Talks
with a rather horrifying line, which is,
											""We have a challenge.
											We have to create
a culture around technology
											that is so beautiful, so meaningful,
											so deep, so endlessly creative,
											so filled with infinite potential
											that it draws us away
from committing mass suicide.""
											So we talked about extinction
as being one and the same
											as the need to create an alluring,
infinitely creative future.
											And I still believe
that that alternative of creativity
											as an alternative to death
											is very real and true,
											maybe the most true thing there is.
									","
											TED konuşmalarımı hep
dehşet veren bir sözle bitirmişimdir:
											''Önümüzde bir zorluk var.
											Teknolojinin etrafını
çok güzel, çok anlamlı
											çok derin, yaratıcılıkla dolup taşan
											sınırsız potansiyele sahip
bir kültürlü donatmalıyız,
											öyle bir kültür olmalı ki

											bizi kendimizi yok etmekten alıkoysun.''
											Cezbedici ve çok yaratıcı bir gelecek
yaratma ihtiyacımızı
											soyumuzun tükenmesiyle bağdaştırdık.
											Ben hâlâ bir yaratıcılık alternatifinin
											yok olmaya bir alternatif olduğunun
											gerçek ve doğru olduğu kanısındayım,
											hatta belki de tek doğru.
									","
											Ich habe meine ersten TEDTalks gewöhnlich
mit einer entsetzlichen Zeile beendet:
											""Wir haben eine Herausforderung.
											Wir müssen eine Kultur um
Technologie herum erzeugen,
											die so schön, so bedeutsam,
											so tiefgründig, so endlos kreativ,
											und mit so endlosem
Potenzial gefüllt ist,
											dass sie uns davon abbringt,
Massensuizid zu begehen.""
											Also sprachen wir vom Aussterben als
ein und und demselben wie dem Bedürfnis,
											eine verheißungsvolle,
unendlich kreative Zukunft zu schaffen.
											Ich glaube nach wie vor,
dass diese alternative Kreativität
											als Alternative zum Tod
											sehr real und wahr ist
											und sogar der absoluten
Wahrheit entspricht.
									",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
											In the case of virtual reality —
											well, the way I used to talk about it
											is that it would be something like
											what happened when people
discovered language.
											With language came new adventures,
new depth, new meaning,
											new ways to connect,
new ways to coordinate,
											new ways to imagine,
new ways to raise children,
											and I imagined, with virtual reality,
we'd have this new thing
											that would be like a conversation
											but also like waking-state
intentional dreaming.
											We called it post-symbolic communication,
											because it would be like just directly
making the thing you experienced
											instead of indirectly
making symbols to refer to things.
									","
											Sanal gerçeklik konusunda
											ne zaman konuşmaya başlasam
											insanların dili keşfettiklerinde olanlar
gibi şeyler anlatırdım.
											Dille birlikte yeni maceralar,
yeni bir derinlik ve anlam,
											yeni irtibat ve ortaklık yolları,
											yeni hayal gücü,
çocuk yetiştirmede yeni yollar türedi
											ve ben de sanal gerçeklikle
sahip olacağımız yeni şeyin
											sohbet ederken uyanık hâlde
											kasıtlı rüya görmek gibi
bir şey olacağını sanırdım.
											Buna post sembolik iletişim diyorduk,
											çünkü tecrübe ettiğiniz bir şeyi
doğrudan ortaya çıkarmak gibi olacaktı,
											dolaylı yoldan sembollerle
onu anlatmak artık olmayacaktı.
									","
											Im Falle von ""Virtual Reality""—
											so habe ich früher darüber geredet,
											wäre es in etwa so,
											wie als die Menschen
die Sprache entdeckten.
											Mit der Sprache kamen neue Abenteuer,
neue Tiefgründigkeit, neue Bedeutungen,
											neue Wege sich zu verbinden,
zu koordinieren,
											neue Wege, sich etwas vorzustellen
oder Kinder aufzuziehen,
											und mit ""Virtual Reality""
hätten wir diese neue Sache,
											die wie eine Unterhaltung,
											aber auch wie ein Wachzustand
absichtlichen Träumens wäre.
											Wir nennen es postsymbolische
Kommunikation,
											weil es genauso ist, als würde man
direkt das tun, was man erfahren hat,
											anstatt indirekt Zeichen zu machen,
um sich auf Dinge zu beziehen.
									",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
											It was a beautiful vision,
and it's one I still believe in,
											and yet, haunting that beautiful vision
											was the dark side
of how it could also turn out.
									","
											Harika bir vizyondu
ve ben buna hâlâ inanıyorum,
											ama bu vizyonun peşini bırakmayan
											o karanlık kısım da
bu uğurda ortaya çıkabilir.
									","
											Es war eine schöne Vision und eine,
an die ich nach wie vor glaube,
											und doch wurde diese schöne Vision
											von der dunklen Seite verfolgt,
in die sie sich auch verwandelt könnte.
									",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
"
","
","
",How we need to remake the internet,Jaron Lanier,14:54,"big problems,communication,future,humanity,computers,culture,social change,Internet,society,social media,virtual reality,technology"
