en,tr,title,speaker,duration,tags
"
","
",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
											I wanted to be a psychologist
since I was a teenager,
											and I spent years pursuing that one goal.
											I opened my private practice
as soon as I was licensed.
											It was a risky move, not getting a day job
at a hospital or a clinic,
											but within one year,
my practice was doing quite well
											and I was making more money
than I ever made before.
											Of course, I was a full-time
student my entire life.
									","
											Gençliğimden bu yana
hep psikolog olmak istemiştim
											ve bu tek amaç peşinde yıllar harcadım.
											Lisansımı alır almaz da
kendi ofisimi açtım.
											Bir hastanede düzenli bir işe girmektense
bu yaptığım riskliydi
											ama bir yıl içinde işim çok iyi gidiyordu
											ve daha önce hiç kazanmadığım kadar
para kazanıyordum.
											Tabii hayatım boyunca
tam zamanlı öğrenciydim.
									",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
","
",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
											(Laughter)
									","
											(Gülme sesleri)
									",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
","
",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
											I could have worked at McDonald's
											and made more money
than I ever made before.
									","
											McDonalds'da çalışarak da
											daha önce hiç kazanmadığım
kadar kazanabilirdim.
									",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
","
",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
											That one-year mark
came on a Friday night in July.
											I walked home to my apartment
											and got into the elevator with a neighbor
who was a doctor in the ER.
											The elevator rose,
											then it shuddered
and stalled between floors.
											And the man who dealt
with emergencies for a living
											began poking at the buttons
and banging on the door, saying,
											""This is my nightmare,
this is my nightmare!""
											And I was like,
""And this is my nightmare.""
									","
											Temmuz ayının bir Cuma günü
tam bir yılı doldurdum.
											Evime yürüdüm
											ve acil serviste doktor olan
komşumla asansöre bindim.
											Asansör yükseldi,
											sonra sarsıldı ve iki kat arasında kaldı.
											Ve işi acil durumlarla baş etmek olan adam
											düğmelere basarak ve kapıya vurarak
											''Kabusum başıma geldi!'' diyordu.
											''Bu da benim kabusum'' diye iç geçirdim.
									",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
","
",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
"
											(Laughter)
									","
											(Gülme sesleri)
									",How to turn off work thoughts during your free time,Guy Winch,12:29,"work,work-life balance,happiness,time,choice,goal-setting,personal growth"
