en,tr,es,title,speaker,duration,tags
"
","
","
",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
											""Can you taste words?""
									","
											""Kelimelerin tadını alabiliyor musun?""
									","
											¿Puede saborear las palabras?""
									",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
","
","
",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
											It was a question
that caught me by surprise.
											This summer, I was giving a talk
at a literary festival,
											and afterwards, as I was signing books,
											a teenage girl came with her friend,
											and this is what she asked me.
											I told her that some people
experience an overlap in their senses
											so that they could hear colors
											or see sounds,
											and many writers were fascinated
by this subject, myself included.
											But she cut me off, a bit impatiently,
and said, ""Yeah, I know all of that.
											It's called synesthesia.
We learned it at school.
											But my mom is reading your book,
											and she says there's lots
of food and ingredients
											and a long dinner scene in it.
											She gets hungry at every page.
											So I was thinking,
											how come you don't
get hungry when you write?
											And I thought maybe,
maybe you could taste words.
											Does it make sense?""
									","
											Soruya hazırlıksız yakalanmıştım.
											Bu yaz konuşmacı olarak 
bir edebiyat festivalindeydim
											ve konuşmadan sonra kitap imzalıyordum,
											yanında arkadaşıyla genç bir kız geldi
											ve bana bu soruyu sordu.
											Kıza bazı insanlarda duyuların birbiri
içine geçebildiğini ve böylece
											renklerin seslerini duyabildiklerini
											veya sesleri görebildiklerini
											ve bu konunun ben dahil pek çok yazarı 
büyülediğini anlatmaya başlamıştım ki
											sabırsızlanıp sözümü kesti ve
""Evet, biliyorum bunları.
											Buna sinestezi deniyor,
okulda öğrenmiştik.
											Ama annem sizin kitaplarınızı okur,
											kitaplarınızda bol bol yemekler
ve yemek malzemeleri oluyormuş,
											uzun yemek sahneleri
anlatıyormuşsunuz
											ve bunları okudukça acıkıyor.
											Yani aklıma şu gelmişti;
											bunları yazarken siz acıkmıyor musunuz?
											Sonra da, belki de siz kelimelerin
tadını alabiliyorsunuz diye düşündüm.
											Mantıklı mı söylediklerim? "" dedi.
									","
											Fue una pregunta que me tomó desprevenida.
											Este verano estaba dando una charla 
en un festival literario
											y después, mientras firmaba libros,
											vino una chica adolescente con una amiga,
											y me preguntó esto.
											Le dije que algunas personas experimentan 
una superposición sensorial,
											de manera que pueden oír colores
											o ver sonidos
											y que muchos escritores están fascinados 
por el tema, yo incluida.
											Pero me interrumpió con cierta 
impaciencia y dijo: ""Sí, eso lo sé.
											Se llama sinestesia. 
Lo aprendimos en la escuela.
											Pero mi madre está leyendo su libro
											y dice que hay mucha comida e ingredientes
											y una larga secuencia de una cena.
											Le entra hambre en cada página.
											Así que estaba pensando,
											¿cómo es que a Ud. 
no le entra hambre cuando escribe?
											Y pensé que a lo mejor Ud. 
podía saborear las palabras.
											¿Tiene esto sentido?""
									",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
","
","
",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
											And, actually, it did make sense,
											because ever since my childhood,
											each letter in the alphabet
has a different color,
											and colors bring me flavors.
											So for instance, the color purple
is quite pungent, almost perfumed,
											and any words that I associate with purple
											taste the same way,
											such as ""sunset"" — a very spicy word.
											But I was worried that if I tell
all of this to the teenager,
											it might sound either too abstract
											or perhaps too weird,
											and there wasn't enough time anyhow,
											because people were waiting in the queue,
											so it suddenly felt like
what I was trying to convey
											was more complicated and detailed
											than what the circumstances
allowed me to say.
											And I did what I usually do
in similar situations:
											I stammered, I shut down,
and I stopped talking.
											I stopped talking because
the truth was complicated,
											even though I knew, deep within,
											that one should never, ever
remain silent for fear of complexity.
									","
											Yani, aslında çok mantıklıydı;
											çünkü çocukluğumdan beri
											alfabedeki her harfin bana göre
farklı bir rengi vardır
											ve renkler bana tatları çağrıştırır.
											Mesela mor renk, epeyce acımsı,
neredeyse kokulu bir renktir
											ve bu nedenle, mor ile ilişkilendirdiğim
											her kelime aynı tadı verir.
											Örneğin, ""gün batımı"" 
bol acılı bir kelimedir.
											Ancak endişem şuydu ki;
kıza bütün bunları anlatmaya kalksam
											ya çok soyut kalacaklardı
											ya da fazlasıyla tuhaf.
											Ayrıca bunu yapmaya vakit de yoktu;
											insanlar kuyrukta bekliyordu.
											Birden, aslında anlatmaya 
çalıştığım şeyin o ortamda
											anlatılamayacak kadar karmaşık
											ve ayrıntılı olduğunu fark ettim
											ve böyle durumlarda 
başıma gelen şey oldu:
											Kekelemeye başladım,
kendimi kapattım ve sustum.
											Sustum, çünkü bu karmaşık bir gerçekti

											ve üstelik bir kişinin 
karmaşıklıktan korkup
											sessiz kalmasını asla onaylamayacağımı
ta derinden bilirken, ben sessiz kaldım.
									","
											Y efectivamente tenía sentido,
											porque desde que era niña,
											cada letra del alfabeto 
tiene un color diferente,
											y los colores me recuerdan sabores.
											Así que por ejemplo, el morado 
es bastante acre, casi perfumado,
											y todas las palabras 
que asocio con el morado
											tienen el mismo sabor,
											como ""ocaso"", una palabra muy especiada.
											Pero me preocupaba que 
si le decía todo esto a la chica,
											podría sonar o demasiado abstracto
											o quizá demasiado raro
											y de todas formas no tenía tiempo,
											porque la gente 
estaba esperando en la cola,
											así que de repente me sentí 
como si lo que intentaba transmitir
											fuera más complicado y detallado
											de lo que las circunstancias 
me permitían decir.
											E hice lo que suelo hacer 
en situaciones como esta:
											balbuceé, me cerré en banda 
y dejé de hablar.
											Dejé de hablar, porque 
la verdad era complicada,
											aun sabiendo, en lo profundo,
											que uno jamás debería quedarse callado 
por miedo a las complicaciones.
									",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
","
","
",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
											So I want to start my talk today
											with the answer that I was not able
to give on that day.
											Yes, I can taste words —
											sometimes, that is, not always,
											and happy words have
a different flavor than sad words.
											I like to explore: What does
the word ""creativity"" taste like,
											or ""equality,""
											""love,"" ""revolution?""
									","
											Bu nedenle konuşmama,
											o gün cevaplayamadığım o soruya
cevap vererek başlamak istiyorum.
											Evet, kelimelerin tadını alabiliyorum
											-yani bazen, her zaman değil-
											ve mutlu kelimelerin tadı
mutsuz olanlardan farklı.
											Bunları keşfetmek hoşuma gidiyor:
""Yaratıcılık"" kelimesinin tadı nasıldır
											veya ""eşitlik""
											""aşk"", ""devrim""?
									","
											Así que hoy quiero empezar mi charla
											con la respuesta que 
no fui capaz de dar aquel día.
											Sí, puedo saborear las palabras...
											a veces, es decir, no siempre,
											y las palabras felices y tristes 
tienen sabores diferentes.
											Me gusta explorar: ¿Qué sabor tiene
la palabra ""creatividad""
											o ""igualdad"",
											""amor"", ""revolución""?
									",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
","
","
",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
"
											And what about ""motherland?""
											These days, it's particularly
this last word that troubles me.
											It leaves a sweet taste on my tongue,
											like cinnamon, a bit of rose water
											and golden apples.
											But underneath, there's a sharp tang,
											like nettles and dandelion.
											The taste of my motherland, Turkey,
											is a mixture of sweet and bitter.
									","
											Peki, ya ""ana vatan""?
											Özellikle son kelime şu sıralar
bana zahmetli geliyor.
											Dilimde, tarçın, biraz gül suyu
											ve sarı elma gibi
											tatlı bir çeşni bırakıyor
											ama altında ısırgan ve karahindiba gibi
											keskin, kekre bir tat saklıyor.
											Benim ana vatanım Türkiye'nin tadı
											tatlıyla acının bir karışımı.
									","
											¿Y qué pasa con ""patria""?
											Estos días, la que me preocupa 
en particular es esta última.
											Deja en mi lengua un sabor dulce,
											como a canela, un poco de agua de rosas
											y manzanas doradas.
											Pero debajo, hay una fragancia penetrante
											como de ortiga y diente de león.
											El sabor de mi patria, Turquía,
											es una mezcla de dulce y amargo.
									",The revolutionary power of diverse thought,Elif Shafak,21:58,"culture,complexity,global issues,identity,humanity,leadership,politics,social change,society,writing,women,democracy"
