tr,pt,fr,title,speaker,duration,tags
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											Tashka Yawanawá (Keskin nefes)
									","
											(Sopro)
									","
											Tashka Yawanawá (Forte expiration)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Keskin nefes)
									","
											(Sopro)
									","
											(Forte expiration)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Keskin nefes)
									","
											(Sopro)
									","
											(Forte expiration)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Keskin nefes)
									","
											(Sopro)
									","
											(Forte expiration)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Şarkı)
									","
											(Canto)
									","
											(Chant)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Şarkı sona erer)
									","
											(Fim do canto)
									","
											(Le chant se termine)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											(Keskin nefes)
									","
											(Sopro)
									","
											(Forte expiration)
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											Ben Tashka Yawanawa.
											Burada karımla birlikteyim.
											Brezilya Amazon'unda
											Acre eyaletinde bulunan
											Yawanawa kabilesinden geliyorum.
											Buraya gelmem birkaç gün sürdü.
											Az önce, bizi yağmur ormanlarının ruhuna
											tekrardan bağlayan bir şarkı söyledim.
											Çok eski zamanlardan beri
											kabilem Yawanawa bölgesinde yaşıyor.
											Doğanın nasıl olduğuna dair
											bütünsel bir yol görüyoruz.
											Bizlere göre; doğa tüm insanlığa aittir.
											Bizler çevreyi, ormanı;
											canlı olarak görürüz.
											Her şey, her zaman 
bir meydan okumadır.
									","
											Eu sou Tashka Yawanawá.
											Estou aqui com a minha mulher.
											Venho da comunidade Yawanawá,
											que está localizada
no estado do Acre
									","
											Je suis Tashka Yawanawá.
											Je suis ici avec ma femme.
											Je viens de la communauté Yawanawá,
											qui est située dans l'État d'Acre
											dans l'Amazonie brésilienne.
											Il faut quelques jours pour arriver ici.
											Je viens de finir de chanter la chanson
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											Çoğunlukla şimdi, çünkü bir çoğunuzun 
bildiğini düşünüyorum,
											Amazon ormanları yanıyor.
									","
											na Amazónia brasileira.
											Leva alguns dias para chegar aqui.
											Fiz esta canção
											para restabelecermos a ligação
com o espírito da floresta tropical.
											Desde tempos antigos
											o meu povo vive no território Yawanawá.
											Vemos essa forma abrangente
											de como a natureza é.
											A natureza, para nós,
pertence a toda a humanidade.
											E nós, os Yawanawá,
											vemos o ambiente, a floresta,
como seres vivos.
											Mas tudo é sempre um desafio.
									","
											qui nous reconnecte
avec l'esprit de la forêt tropicale.
											Depuis la nuit des temps,
											mon peuple vit
dans le territoire Yawanawá.
											Nous voyons cette approche holistique
											de la nature.
											La nature, pour nous,
appartient à toute l'humanité.
											Et nous, les Yawanawá, voyons
											l'environnement, la forêt, comme vivant.
											Mais tout est toujours un défi.
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
											Bu durum hepimizi etkiliyor.
											Amazon'un yok oluyor olması 
sadece yerli halkı etkilemiyor.
											Çünkü hepimiz bir bütünüz.
											Kabilemde ne yaparsak yapalım,
eğer ben her şeyi yakarsam,
											yılbaşında kar buraya ulaştığında,
											hepiniz etkilenirsiniz.
											Eğer burayı kirletirseniz,
											yağmur benim ülkeme ulaştığında,
biz bu durumdan etkileneceğiz.
											Eskiden, hepimizin evrensel bir köye 
ait olduğunu söylerdim.
											Eskiden, Amazon'un insanlığa ait olduğunu,
											hatta yerli halkın ilgilendiği gibi 
ilgilenmeleri gerektiğini söylerdim.
											İşte bu yüzden bugün,
											bizleri uyandırma ve birleştirme zamanı.
											Biz Yawanawa kabilesi olarak
üzerimize düşeni yapıyoruz.
											Biz, toprak ana ile ilgileniyoruz.
											Sözü eşime bırakıyorum.
									","
											Principalmente agora,
acho que a maioria de vocês sabe
											que a Amazónia está em chamas.
											Isso afeta-nos a todos.
											Destruir a Amazónia
não afeta só os indígenas,
											porque todos estamos interligados.
											Qualquer coisa que eu faça
na minha comunidade, se eu queimar tudo,
											isso vai afetar a chegada
da neve aqui no Natal.
											Se vocês poluírem aqui,
											isso vai afetar a chegada da chuva
no meu país.
											Costumava dizer que todos nós
pertencemos a uma aldeia global.
											Costumava dizer que a Amazónia
pertence à humanidade,
											e que a humanidade
também precisa de a cuidar,
											assim como os indígenas fazem no mundo.
											E por essa razão,
											hoje é o momento para acordar,
para nos unirmos.
											Nós, os Yawanawá, estamos
a fazer a nossa parte.
											Nós cuidamos da Mãe Terra.
											E agora, vou passar para a minha mulher.
									","
											Surtout maintenant, parce que
je pense que beaucoup d'entre vous
											savent que, en ce moment,
l'Amazonie brûle.
											On est tous concernés.
											Détruire l'Amazonie n'affecte
pas seulement les indigènes,
											parce que nous sommes tous connectés.
											Quoi que nous fassions dans
ma communauté, si je brûle tout,
											ça va vous affecter ici,
											quand la neige arrivera à Noël.
											Si vous polluez ici,
											ça va nous affecter, quand la pluie
arrivera dans mon pays.
											J'avais l'habitude de dire que
nous appartenons tous au village mondial.
											J'avais l'habitude de dire,
l'Amazonie appartient à l'humanité,
											et aussi que l'humanité doit s'en occuper
comme le font les indigènes.
											Et, pour cette raison,
											aujourd'hui est le moment
de nous réveiller, de nous unir.
											Nous, les Yawanawá faisons notre part.
											Nous prenons soin de la Planète Mère.
											Et maintenant, je cède la place
à ma femme.
									",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
"
","
","
",The Amazon belongs to humanity — let's protect it together,Tashka and Laura Yawanawá,5:52,"community,conservation,indigenous peoples,humanity,activism,society,social change,South America"
