pt,tr,en,fr,title,speaker,duration,tags
"
","
","
","
",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
											Como humanos, está na nossa natureza
											querer melhorar a nossa saúde
e minimizar o nosso sofrimento.
											O que quer que a vida nos reserve,
											seja cancro, diabetes, doença cardíaca,
											ou até ossos partidos,
nós queremos melhorar.
											Actualmente, sou chefe 
num laboratório de biomateriais,
											e estou realmente fascinada 
pelo modo como os humanos
											têm usado estes materiais no corpo
de formas realmente criativas,
											ao longo dos tempos.
									","
											Biz insanların doğasında
											acılarımızı azaltıp sağlığımızı iyileştirmek vardır
											Hayatta karşımıza ne çıkarsa çıksın
											kanser, şeker hastalığı, kalp hastalıkları
											ya da kemik kırıkları olsun, daima iyileşmeye çalışırız.
											Şu anda bir biyomateryaller laboratuarının başındayım.
											Materyallerin insanların bedenlerinde
											yaratıcı şekillerde kullanılması
											beni gerçekten büyülüyor.
									","
											As humans, it's in our nature
											to want to improve our health 
and minimize our suffering.
											Whatever life throws at us,
											whether it's cancer, diabetes, heart disease,
											or even broken bones, we want to try and get better.
											Now I'm head of a biomaterials lab,
											and I'm really fascinated by the way that humans
											have used materials in really creative ways
											in the body over time.
									","
											Nous autres, êtres humains, c'est dans notre nature
											de vouloir améliorer notre santé 
et minimiser notre souffrance.
											Qu'importe ce que la vie nous réserve,
											que ce soit le cancer, le diabète, 
une maladie cardiaque
											ou même des os cassés, 
nous essayons toujours d'aller mieux.
											Je suis responsable d'un laboratoire
de biomatériaux
											et je suis fascinée par la créativité
											dont les hommes ont constamment fait preuve
											dans l'utilisation de ces matériaux
dans le corps humain.
									",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
","
","
","
",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
											Considerem, por exemplo,
esta bela concha de nácar azul.
											Foi utilizada pelos maias
											como dente postiço.
											Não sabemos ao certo porque o faziam.
											É resistente. É durável.
											Mas também tem outras 
propriedades muito boas.
											De facto, quando colocada
no osso do maxilar,
											pode integrar-se no maxilar.
											Sabemos agora,
											com tecnologia de imagem
muito sofisticada,
											que parte dessa integração
resulta do facto
											de que este material é desenhado
											de um modo muito específico,
tem uma química bela,
											tem uma bela arquitectura.
											Penso que, de muitos modos,
podemos pensar
											no uso do nácar azul e nos maias
											como a primeira verdadeira aplicação
											da tecnologia ""bluetooth"".
									","
											Örneğin, şu güzel mavi sedef kabuğunu ele alalım
											Bu, aslında Maya'lar tarafından
											yapay diş olarak kullanılmıştır.
											Bunu neden yaptıklarını bilmiyoruz.
											Sert. Dayanıklı.
											Fakat başka güzel özellikleri de var.
											Örneğin, çene kemiğine yerleştirildiğinde,
											çeneyle kaynaşabiliyor
											ve şimdi yeni gelişen
											görüntüleme teknikleri sayesinde biliyoruz ki,
											bu kaynaşma kısmen
											bu malzemenin çok özgün bir tasarımının olmasından,
											güzel bir kimyasının
											ve yapısının olmasından kaynaklanıyor.
											Bence pek çok açıdan
											Mayaların mavi sedef kabuğu kullanmalarının
											ilk gerçek bluetooth (mavi diş)
											uygulaması olduğunu düşünebiliriz.
									","
											Take, for example, this beautiful blue nacre shell.
											This was actually used by the Mayans
											as an artificial tooth replacement.
											We're not quite sure why they did it.
											It's hard. It's durable.
											But it also had other very nice properties.
											In fact, when they put it into the jawbone,
											it could integrate into the jaw,
											and we know now with very sophisticated
											imaging technologies
											that part of that integration comes from the fact
											that this material is designed
											in a very specific way, has a beautiful chemistry,
											has a beautiful architecture.
											And I think in many ways we can sort of think
											of the use of the blue nacre shell and the Mayans
											as the first real application
											of the bluetooth technology.
									","
											Prenez, par exemple, 
ce beau coquillage nacré.
											Les Mayas l'utilisaient
											comme dent artificielle.
											Nous ne sommes pas vraiment sûrs 
de savoir pourquoi.
											C'est dur. C'est résistant.
											Mais ça a aussi d'autres vertus
plutôt intéressantes.
											En effet, quand ils la mettaient 
dans la mâchoire,
											cela pouvait s'intégrer ensemble,
											and nous savons maintenant 
avec les techniques d'imagerie numérique
											très sophistiquées aujourd'hui,
											que l'intégration vient en partie du fait
											que le matériau est conçu
											de manière très spécifique,
											que sa chimie a une superbe architecture.
											Je pense qu'à bien des égards, 
nous pouvons presque
											considérer les Mayas et leur utilisation 
du coquillage bleu nacré
											comme la vraie première application
											de la technologie Bluetooth.
									",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
","
","
","
",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
											(Risos)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
","
","
","
",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
											Mas se pensarmos como,
ao longo da história,
											as pessoas usaram diferentes
materiais no corpo,
											com frequência os médicos 
foram muito criativos.
											Concretizaram coisas.
									","
											Ama tarih boyunca
											farklı materyallerin insan bedeninde nasıl kullanıldığını düşünürsek
											bu insanların oldukça yaratıcı
											hekimler olduğunu görebiliriz.
											Ne kolaylarına gelmişse onu kullanmışlar.
									","
											But if we move on and think throughout history
											how people have used different 
materials in the body,
											very often it's been physicians
											that have been quite creative.
											They've taken things off the shelf.
									","
											Mais si on continue et on réflechit à la façon 
dont, au cours de l'histoire,
											les gens ont utilisé différents matériaux 
dans le corps humain,
											bien souvent ce sont les médecins
											qui ont été les plus créatifs.
											Ils ont dépoussiéré les choses.
									",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
","
","
","
",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
"
											Um dos exemplos que prefiro
											é o de Sir Harold Ridley,
											famoso oftalmologista
											— pelo menos tornou-se
um famoso oftalmologista. —
											Durante a 2ª Guerra Mundial,
reparou que
											os pilotos que regressavam 
das suas missões,
											tinham pequenas lascas
											alojadas nos olhos.
											Mas o mais interessante
											é que o material não causava 
nenhuma inflamação.
											Então prestou atenção e descobriu
											que o material era 
de pequenas lascas de plástico
											provenientes da canópia dos Spitfires.
											Isso levou a que propusesse esse material
											para novas lentes intraoculares.
											É designado por PMMA e é agora usado
											em milhões de pessoas todos os anos
											e ajuda a prevenir cataratas.
									","
											En sevdiğim örneklerden biri
											Sir Harold Ridley'dir.
											Kendisi ünlü bir göz doktoruydu,
											ya da en azından ünlü bir göz doktoru oldu.
											2. Dünya Savaşı sırasında
											görevlerden dönen pilotların
											gözlerine saplanmış
											çok küçük materyal parçacıkları
											olduğunu gördü.
											Ancak işin ilginç yanı bu
											materyallerin
											hiç bir enfeksiyon tepkisi yaratmamasıydı.
											Bu durumu incelerken
											bu küçük plastik parçacıkların
											uçakların tepesindeki kapaktan geldiğini fark etti.
											Bu bulgu sonucunda bu malzemeyi
											göz içi lenslerde kullanmayı önerdi.
											Bu malzeme PMMA olarak adlandırılıyor ve günümüzde
											her yıl milyonlarca insan
											tarafından kullanılarak kataraktı önlüyor.
									","
											One of my favorite examples
											is that of Sir Harold Ridley,
											who was a famous ophthalmologist,
											or at least became a famous ophthalmologist.
											And during World War II, what he would see
											would be pilots coming back from their missions,
											and he noticed that within their eyes
											they had shards of small bits of material
											lodged within the eye,
											but the very interesting thing about it
											was that material, actually, wasn't causing
											any inflammatory response.
											So he looked into this, and he figured out
											that actually that material was little shards of plastic
											that were coming from the canopy of the Spitfires.
											And this led him to propose that material
											as a new material for intraocular lenses.
											It's called PMMA, and it's now used
											in millions of people every year
											and helps in preventing cataracts.
									","
											L'un de mes exemples préférés,
											c'est Sir Harold Ridley,
											qui était un ophtalmologiste célèbre,
											ou qui, du moins, est devenu 
un ophtamologue célèbre.
											Et pendant la 2nde Guerre Mondiale,
ce qu'il voyait,
											c'était des pilotes qui revenaient de mission,
											et il remarquait qu'ils avaient
											des éclats de petits matériaux
											logés dans l'oeil,
											mais ce qui était vraiment intéressant,
											c'est qu'en réalité, ce matériau 
n'entraînait pas de
											réaction inflammatoire.
											Alors il fit des recherches et il réalisa
											qu'en fait, ce matériau était 
des petits éclats de plastique
											provenant de la carcasse des Spitfires.
											Et ça l'a conduit à proposer ce matériau
											comme un nouveau matériau 
pour les lentilles intraoculaires.
											Ce sont les PMMA, c'est maintenant utilisé
											sur des millions de personnes chaque année
											et ça permet d'éviter les cataractes.
									",A new way to grow bone,Molly Stevens,14:52,"biotech,medicine,science,technology,synthetic biology,molecular biology,medical research,biomechanics,materials,design,biology,engineering,future,health,health care"
