es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
											Quisiera empezar con una pregunta:
											¿Cuándo fue la última vez que fueron llamados ""infantiles""?
											Para los niños como yo
											que nos llamen ""infantiles"" es una cosa frecuente.
											Cada vez que hacemos un pedido irracional,
											mostramos un comportamiento irresponsable
											o manifestamos cualquier otro rasgo
											de ser ciudadanos Norteamericanos normales,
											nos dicen que somos infantiles,
											y esto realmente me molesta.
											Al fin y al cabo, veamos estos sucesos:
											Imperialismo y colonización,
											guerras mundiales, George W. Bush.
											Pregúntense: ¿Quiénes son los responsables? Los adultos.
									","
											Vou começar com uma pergunta:
											Qual foi a última vez 
que vos chamaram infantis?
											É frequente que crianças como eu,
											sejam chamadas infantis.
											Sempre que fazemos exigências irracionais,
											temos um comportamento irresponsável,
											ou apresentamos qualquer outro sinal
											de sermos um cidadão americano normal,
											chamam-nos infantis,
											o que me incomoda muito.
											Afinal, reparem nestes acontecimentos:
											Imperialismo e colonização,
											guerras mundiais, George W. Bush.
											Perguntem: de quem é a responsabilidade?
											Dos adultos!
									","
											Bir soru ile başlamak istiyorum:
											En son ne zaman ""çocuksu"" olarak nitelendirildiniz?
											Benim gibi çocuklar için,
											çocuksu olarak nitelenmek normal bir durumdur.
											Her gerçek dışı isteğimizde,
											sorumsuz davranışımızda
											ya da normal bir Amerikan
											vatandaşının hareketini sergilediğimizde,
											çocuksu olarak adlandırılıyoruz,
											bu gerçekten de canımı sıkıyor.
											Şu olaylara bir bakın:
											Emperyalizm ve sömürgeleştirme,
											dünya savaşları, George W. Bush.
											Kendinize sorun: Kim sorumlu? Yetişkinler.
									","
											Je souhaite commencer avec une question:
											A quand remonte la dernière fois que l'on vous a traité de gamin?
											Pour des enfants comme moi,
											être traité de gamin est assez fréquent.
											Chaque fois que nous faisons une demande irrationnelle,
											faisons preuve d'un comportement irresponsable,
											ou que nous montrons
											que nous sommes des citoyens américains normaux,
											on nous traite de gamin,
											et ça m'ennuie vraiment.
											Après tout, jetons un coup d'oeil à ces faits:
											L'impérialisme et la colonisation,
											les guerres mondiales, George W. Bush.
											Demandez-vous: La faute à qui ? Aux adultes.
									","
											Ich möchte mit einer Frage beginnen:
											Wann war das letzte Mal, dass Sie kindisch genannt wurden?
											Für Kinder wie mich,
											ist es eine häufig wiederkehrende Erfahrung, kindisch genannt zu werden.
											Jedes Mal wenn wir irrationale Ansprüche stellen,
											unverantwortliches Verhalten an den Tag legen
											oder andere Anzeichen machen,
											dass wir normale Amerikanische Bürger sind,
											werden wir kindisch genannt,
											etwas das mich wirklich stört.
											Schauen Sie nur einmal auf folgende Vorkommnisse:
											Imperialismus und Kolonisation,
											Weltkriege, George W. Bush.
											Fragen Sie sich selbst: Wer ist verantwortlich? Erwachsene.
									",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
","
","
","
","
",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
											¿Qué hemos hecho nosotros los niños?
											Bueno, Ana Frank llegó a millones
											con su impactante relato del Holocausto,
											Ruby Bridges ayudó a ponerle fin a la segregación en los Estados Unidos,
											y, más recientemente,
											Charlie Simpson ayudó a recaudar
											120.000 libras para Haití
											en su pequeña bicicleta.
											Así que, como lo demuestran estos ejemplos,
											la edad es irrelevante.
											Los rasgos a los que hace referencia la palabra ""infantil""
											son tan frecuentes en adultos
											que deberíamos eliminar esta palabra discriminatoria
											a la hora de criticar comportamientos
											asociados con la irresponsabilidad y la irracionalidad.
									","
											Agora, o que fizeram as crianças?
											Ora, Anne Frank comoveu milhões
											com o seu poderoso
testemunho do Holocausto.
											Ruby Bridges ajudou a acabar
com a segregação nos EUA.
											e, mais recentemente,
											Charlie Simpson ajudou a angariar
											120 000 libras para o Haiti
											na sua pequena bicicleta.
											Como vocês podem ver por esses exemplos,
											a idade não tem absolutamente
nada a ver com o assunto.
											As características
que a palavra infantil denota
											são tão frequentemente
vistas nos adultos
											que deveríamos abolir
esta palavra discriminatória
											quando se destina
a criticar comportamentos
											associados com irresponsabilidade
e irracionalidade.
									","
											Peki çocuklar ne yaptılar?
											Anne Frank Yahudi Soykırımı hakkındaki
											yazıları ile milyonları etkiledi,
											Ruby Bridges ABD'de ırk ayrımının bitmesine yardım etti,
											ve, son zamanlarda,
											Charlie Simpson küçük bisikleti ile
											Haiti için 120,000 pound
											toplanmasına yardım etti.
											Bu örneklerle de anlayabileceğiniz gibi,
											yaşın bu durumla hiçbir ilgisi yok.
											Çocuksu diye hitap etmek
											yetişkinlerde sıkça görülen bir durum,
											bu yüzden sorumsuz ve gerçek
											dışı düşünceleri eleştirirken yapılan
											bu yaş ayrımı yapan kelimeyi yasaklamalıyız.
									","
											Maintenant, qu'ont fait les enfants ?
											Anne Frank a ému des millions de personnes
											avec son puissant récit de l'holocauste,
											Ruby Bridges a aidé à mettre fin à la ségrégation aux Etats-unis,
											et, plus récemment,
											Charlie Simpson a aidé à lever
											120 000 £ pour Haiti
											sur son petit vélo.
											Ainsi, comme le montrent de tels exemples,
											l'âge ne présage pas du résultat.
											Les comportements considérés comme ""gamins""
											sont si souvent observés chez les adultes
											que nous devrions abolir ce mot qui discrimine en fonction de l'âge
											pour tout ce qui touche à la critique d'un comportement
											associé à l'irresponsabilité et à la pensée irrationnelle.
									","
											Und was haben Kinder gemacht?
											Nun ja, Anne Frank hat Millionen
											mit ihrer kraftvollen Darstellung des Holocausts berührt,
											Ruby Bridges hat mit geholfen die Rassentrennung in den USA zu beenden,
											und erst kürzlich,
											hat Charlie Simpson geholfen
											120.000 Pfund für Haiti
											auf seinem kleinen Fahrrad zu sammeln.
											Wie Sie an solchen Beispielen belegt sehen
											hat das Alter absolut nichts damit zu tun.
											Die Charakteristiken die das Wort kindisch anspricht
											sind so oft in Erwachsenen zu sehen,
											dass wir dieses das Alter diskriminierende Wort abschaffen sollten
											wenn es dazu kommt, Verhalten zu kritisieren,
											das mit Verantwortungslosigkeit und irrationalem Denken assoziiert wird.
									",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
","
","
","
","
",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
","
","
","
","
",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
											Gracias.
									","
											Obrigada.
									","
											Teşekkürler.
									","
											Merci.
									","
											Vielen Dank.
									",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
","
","
","
","
",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
"
											Por otro lado, ¿quién dice
											que ciertos tipos de pensamiento irracional
											no son exactamente lo que necesita el mundo?
											Puede ser que ustedes hayan tenido grandes planes,
											pero no los llevaron adelante porque pensaron:
											""Eso es imposible"", o ""eso es muy costoso"",
											o ""eso no me beneficiará"".
											Para bien o para mal, los niños no tenemos tantos impedimentos
											a la hora de pensar en razones por las cuales no hacer algo.
											Los niños pueden estar llenos de sueños inspiradores
											y pensamientos esperanzadores,
											como mi deseo de que nadie pase hambre
											o que todo fuera gratis, como una utopía.
											¿Cuántos de ustedes aún tienen esos sueños
											y creen en las posibilidades?
											A veces el conocimiento de la historia
											y de los fracasos pasados de los ideales utópicos
											pueden ser una carga
											porque se sabe que si todo fuese gratis,
											los alimentos se agotarían,
											y la escasez llevaría al caos.
											Por otro lado,
											los niños aún soñamos con la perfección.
											Y eso es algo bueno, porque para
											poder hacer algo realidad,
											primero debemos soñarlo.
									","
											Repito, quem disse
											que certos pensamentos irracionais,
											não são exatamente aquilo
de que o mundo precisa?
											Talvez vocês já tenham tido
grandes planos,
											mas pararam, pensando:
											isto é impossível, ou isto custa demasiado
											ou isto não me vai beneficiar.
											Para o melhor ou para o pior,
as crianças não são tão prejudicadas
											pelas razões de não fazer coisas.
											As crianças podem ser ricas
em aspirações inspiradoras
											e pensamentos cheios de esperança,
											como o meu desejo
de que ninguém passe fome,
											ou que tudo fosse gratuito,
como uma utopia.
											Quantos de vocês continuam a sonhar assim
											e a acreditar nas possibilidades?
											Às vezes, o conhecimento da história
											e os fracassos passados
dos ideais utópicos
											podem ser um fardo,
											porque sabemos que,
se tudo fosse gratuito,
											as reservas de comida se esgotariam,
											e escasseariam, o que levaria ao caos.
											Por outro lado, as crianças
continuam a sonhar com a perfeição.
											Isso é bom porque,
para tornar realidade qualquer coisa
											é preciso sonhar primeiro.
									","
											Ve tekrar soruyorum, kimi
											gerçek dışı düşüncelerin gerçekten
											dünyanın ihtiyacı olan şey olmadığını kim söylüyor?
											Belki önceden muazzam şeyler planladınız,
											ama şöyle düşünerek kendinizi durdurdunuz:
											Bu imkansız ya da bunun için çok para gerekli
											ya da bunun bana faydası olmaz.
											Ne olursa olsun, biz çocuklar, sıra ""neden yapmamalıyım""ı
											düşünmeye geldiğinde durdurulamayız.
											Çocuklar birçok ilham veren düşe ve
											ümitli düşüncelere sahip olabilirler,
											kimse aç kalmasın isteğim gibi
											ya da her şey bedava olsun ütopyam.
											Kaçınız hala bu tür hayaller kuruyorsunuz
											ve gerçekleşebileceklerine inanıyorsunuz?
											Bazen tarih bilgisi
											ve ütopik fikirlerin geçmiş başarısızlıkları
											bir yük olabilir
											çünkü biliyorsunuz ki eğer her şey
											bedava olsaydı, yemek stokları tükenirdi,
											kıtlık ve kaos oluşurdu.
											Diğer yandan,
											biz çocuklar hala mükemmeliği düşleyebiliriz.
											Ve bu iyi bir şey, çünkü eğer bir şeyi
											gerçekleştirmek istiyorsanız,
											öncelikle onu düşlemeniz gerekir.
									","
											De même, qui peut dire
											que certains types de pensée irrationnelle
											ne sont pas exactement ce dont le monde a besoin ?
											Peut-être avez-vous déjà eu des idées grandioses,
											mais vous vous êtes arrêtés en pensant:
											""C'est impossible"" ou ""Ça coûte trop cher""
											ou ""Ça ne m'apportera rien"".
											Pour le meilleur ou le pire, nous les enfants ne nous embarrassons pas autant
											quand nous réfléchissons aux raisons de ne pas faire les choses.
											Les enfants peuvent être plein
											d'aspirations inspiratrices et d'optimisme,
											comme mon souhait que personne n'ait faim
											ou d'une utopie du genre où tout serait gratuit.
											Combien d'entre vous rêvent encore comme ceci
											et croient que c'est possible?
											Parfois la connaissance de l'histoire
											et des échecs des idéaux utopistes passés
											peut être un fardeau
											car vous savez que si tout était gratuit,
											alors les stocks de nourriture deviendraient insuffisants
											et se feraient rare et cela mènerait au chaos.
											D'autre part,
											nous les enfants rêvons toujours de perfection.
											Et c'est une bonne chose
											car pour rendre quelque chose réel,
											il faut d'abord en rêver.
									","
											Andererseits, wer sagt,
											dass gewisse Typen von irrationalem Denken
											nicht genau das ist, was die Welt jetzt braucht?
											Vielleicht hatten Sie einmal große Pläne
											aber hielten sich zurück mit den Gedanken:
											Das ist unmöglich oder das kostet zu viel,
											oder das nutzt mir nichts.
											Wie auch immer, wir Kinder lassen uns nicht so sehr behindern
											von Gedanken, warum wir Dinge nicht tun sollten.
											Kinder können voller inspirierender Sehnsüchte
											und hoffnungsvollen Denkens sein,
											wie mein Wunsch, dass niemand hungern soll
											oder dass alles kostenlos wäre, eine Art Utopie.
											Wie viele von Ihnen träumen noch so
											und glauben an die Möglichkeiten?
											Manchmal kann das Wissen von Geschichte
											und vergangenen Fehlschlägen von utopischen Idealen,
											eine Belastung sein
											denn Sie wissen, dass wenn alles kostenlose wäre,
											würden die Essenslager aufgebraucht
											und knapp werden und dies zu Chaos führen.
											Wir Kinder hingegen,
											träumen noch von Perfektion.
											Und das ist etwas Gutes,
											denn um etwas Realität werden zu lassen,
											muss man erst davon träumen.
									",What adults can learn from kids,Adora Svitak,8:12,"children,creativity,education,intelligence"
