en,pt,fr,title,speaker,duration,tags
"
","
","
",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
											The good news is that your experimental robo-ants
											are a success!
											The bad news is that you accidentally
											just gave them the ability to shoot deadly lasers
											…and you can’t turn it off.
											You have five minutes to stop them
											before the lasers go online.
									","
											Felizmente que as tuas formigas robôs
experimentais são um êxito.
											O pior é que, sem querer,
											deste-lhes a capacidade
de disparar lasers mortíferos...
											e não consegues desligá-los.
											Tens cinco minutos para as deter
											antes de os raios lasers se ativarem.
									","
											La bonne nouvelle, c'est que
vos robots fourmis expérimentaux
											sont une réussite !
											La mauvaise, c'est que, accidentellement,
											vous leur avez donné la capacité
de tirer des rayons lasers mortels
											et ne pouvez pas la désactiver.
											Vous avez cinq minutes pour les arrêter
											avant que les lasers ne s'activent.
									",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
","
","
",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
											Until then,
											all of your robo-ants will walk
											inside their habitat at a speed of
											exactly 1 meter per minute.
											If they bump into each other or hit a dead end,
											they’ll instantly turn around
											and walk back the way they came.
											When five minutes are up,
											they’ll turn on their lasers,
											break free,
											and stream out into the world,
											carving a path of destruction as they go.
									","
											Até lá, todas as formigas robôs
											vão andar dentro do seu ""habitat""
											a uma velocidade de, exatamente,
um metro por minuto.
											Se se chocarem ou chegarem
a um beco sem saída
											dão meia volta, instantaneamente
											e voltam para trás.
											Ao fim dos cinco minutos,
ativarão os raios lasers,
											e escaparão para o mundo exterior,
											deixando um rasto de destruição
por todo o lado onde passarem.
									","
											Jusque-là,
											tous vos robots fourmis marcheront
											au sein de leur habitat à une vitesse
											d'exactement un mètre par minute.
											S'ils se rentrent dedans
ou arrivent à une impasse,
											ils feront instantanément demi-tour
											et iront vers où ils sont venus.
											Après cinq minutes,
											ils allumeront leurs lasers,
											s'échapperont
											et iront courir le monde,
											semant la destruction sur leur passage.
									",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
","
","
",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
											Your one chance to stop them is to insert
											the two emergency vacuum nozzles into the habitat
											and suck the ants up before they break free.
											The nozzles can press into any one location
											in the habitat through a membrane covering
											its front side, and any ants that walk past
											will be sucked up and deactivated.
											You can’t move the nozzles once they’re placed
											without leaving a hole that the robo-ants
											would pour out of, so choosing the
											right spots will be key.
									","
											A tua única hipótese de as deter
											é introduzir as duas ponteiras
de vácuo de emergência no ""habitat""
											e sugares as formigas
antes de elas se libertarem.
											As ponteiras podem ser colocadas
em qualquer parte do ""habitat""
											através de uma membrana
que cobre a parte superficial.
											Qualquer formiga que passe por elas
será sugada e desativada.
											Não podes mover as ponteiras,
depois de colocadas
											sem deixares um buraco
por onde as formigas robôs sairão.
											Portanto, a escolha dos locais corretos
é fundamental.
									","
											Votre seule chance
de les arrêter est d'insérer
											les deux embouts aspirateurs
d'urgence dans leur habitat
											et d'aspirer les fourmis
avant qu'elles ne s'échappent.
											Les embouts peuvent
être pressés n'importe où
											dans l'habitat à travers une membrane
qui couvre le dessus
											et toute fourmi marchant dessous
											sera aspirée et désactivée.
											Vous ne pouvez pas déplacer les embouts
											sans laisser un trou
que les robots fourmis
											utiliseraient pour sortir,
											le choix des bons endroits
est donc clé.
									",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
","
","
",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
											The habitat is made out of meter-long tubes.
											When the robots reach an intersection,
											they will pick randomly whether to go
											left, right, or forward.
											They only go backward if they hit
											hit another robo-ant or a dead end.
									","
											O ""habitat"" é feito de tubos
com um metro de comprimento.
											Quando os robôs chegam a um cruzamento,
											continuarão numa direção, ao acaso:
											para a esquerda, para a direita
ou em frente.
											Só voltarão para trás
se chocarem com outra formiga robô
											ou chegarem a um beco sem saída.
									","
											L'habitat est composé
de tubes d'un mètre de long.
											Quand les robots
atteignent une intersection,
											ils choisiront aléatoirement d'aller
											à gauche, à droite ou tout droit.
											Ils ne font demi-tour
											que s'ils se cognent à un autre robot
ou arrivent à cul-de-sac.
									",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
","
","
",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
"
											Unfortunately, there are hundreds of them
											inside the habitat, and if even one escapes,
											it’ll do a lot of damage.
									","
											Infelizmente, há centenas delas
no interior do ""habitat""
											e mesmo que escape só uma
ela fará muitos estragos.
									","
											Malheureusement, il y en a des centaines,
											et même si l'un s'échappe,
											cela fera beaucoup de dégâts.
									",Can you solve the killer robo-ants riddle?,Daniel Finkel,4:10,"TED-Ed,math"
