en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
											A mother and her son trek 
across an endless desert.
											Wearing special skin-tight suits 
to dissipate heat and recycle moisture,
											the travelers aren’t worried 
about dying of thirst.
											Their fears are much greater.
											The pair try to walk without rhythm,
											letting the vibrations of their footsteps 
blend into the shifting sands.
											But soon, the sound of the desert 
is drowned out by a louder hissing.
											As a mound of sand races towards them,
											the pair’s unnatural gait 
turns into a sprint.
											The two clamber into a nearby rock face,
											as a sandworm 400 meters long 
bursts from the desert floor.
											This is the world of ""Dune.""
									","
											Une mère et son fils traversent à pied
un désert interminable.
											Portant des combinaisons
moulantes spéciales
											pour dissiper la chaleur
et récupérer l'humidité,
											les voyageurs n'ont pas peur
de mourir de soif.
											Leurs peurs sont bien plus grandes.
											Le duo essaye de marcher sans rythme,
											laissant les vibrations de leurs pas
se mêler aux sables mouvants.
											Très vite, le son du désert est noyé
par un sifflement plus fort.
											Alors qu'une montagne de sable
se précipite vers eux,
											la démarche inhabituelle du duo
se transforme en sprint.
											Ils grimpent tous deux
sur une paroi rocheuse voisine,
											alors qu'une tempête de sable
de 400 mètres de long
											jaillit du sol désertique.
											C'est l'univers de « Dune ».
									","
											Bir anne ile oğlu sonsuz bir çöle 
doğru yolculuk ediyorlar.
											Gezginler, ısı yaymak 
ve nemi geri kazanmak amacıyla
											özel dar kostümler giydikleri için 
susuzluktan ölmekten endişelenmiyorlar.
											Onların korkusu çok daha büyük.
											Bu çift, adımlarındaki titreşimin
											yer değiştiren kumlara karışmasına
izin vererek ahenksiz yürümeye çalışıyor.
											Fakat çok geçmeden, çölün sesi
daha yüksek tıslama sesiyle bastırılıyor.
											Bir kum yığını onlara doğru ilerliyor.
											Çiftin garip yürüyüşü
koşuşturmaya dönüşüyor.
											400 metre uzunluğundaki
kum yığını çölde patladığı için
											yakındaki sarp bir kayalığa
güçlükle tırmanıyorlar.
											İşte bu ""Dune"" dünyası.
									","
											Uma mãe e o seu filho
atravessam um deserto sem fim.
											Usando fatos especiais, colados à pele
											que dissipam o calor
e reciclam a humidade,
											os viajantes não têm medo
de morrer de sede.
											Os receios deles são muito maiores.
											Os dois tentam andar sem ritmo,
											para as vibrações dos seus passos
se misturarem nas areias instáveis.
											Em breve, o som do deserto
é abafado por um silvo mais forte.
											Quando um monte de areia
se precipita na direção deles,
											a marcha irregular dos dois
transforma-se numa corrida.
											Os dois sobem a uma parede
de rocha ali perto,
											quando um verme da areia
de 400 metros de comprimento
											irrompe da superfície do deserto.
											É este o mundo de Duna.
									","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
","
","
","
","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
											Written by Frank Herbert 
and published in 1965,
											""Dune"" takes place 
in a far-flung future,
											where humanity rules the stars 
in a giant feudal empire.
											This medieval motif goes beyond 
just the government.
											Unlike most interstellar sci-fi,
											Herbert's humans conquered 
the stars without any computers.
											Following an ancient war with robots,
											humanity has forbidden 
the construction of any machine
											“in the likeness of a human mind.”
											But rather than stifling their expansion,
											this edict forced humans 
to evolve in startling ways—
											becoming biological computers, psychic 
witches, and prescient space pilots.
											Members of these super-powered factions
											are regularly employed 
by various noble houses,
											all competing for power and new planets 
to add to their kingdoms.
									","
											Écrite par Frank Herbert
et publiée en 1965,
											« Dune » se déroule dans un futur lointain
											où l'humanité règne sur les étoiles
dans un empire féodal gigantesque.
											Ce motif médiéval
va au-delà du gouvernement.
											Contrairement à la majorité
de la SF interstellaire,
											les êtres humains de Herbert
ont conquis le monde sans ordinateurs.
											A la suite d'une ancienne guerre
avec les robots,
											l'humanité a interdit
la construction de toute machine
											« ressemblant à un esprit humain ».
											Mais au lieu de freiner leur expansion,
											cet édit a forcé les êtres humains
à évoluer de façons surprenantes -
											devenant des ordinateurs biologiques,
des sorciers psychiques
											et des pilotes spatiaux visionnaires.
											Les membres de ces factions
dotées de super-pouvoirs
											sont régulièrement engagés
par diverses maisons nobles,
											rivalisant toutes pour le pouvoir
											et de nouvelles planètes
à ajouter à leur royaume.
									","
											Frank Herbert'in yazdığı
ve 1965'te yayımlanan ""Dune""
											insanlığın yıldızlara hükmettiği
											dev bir feodal imparatorluktaki
uzak gelecekte geçiyor.
											Bu orta çağ motifi 
sadece hükûmetin ötesine geçiyor.
											Çoğu yıldızlararası
bilim kurguların aksine
											Herbert'in insanları hiçbir bilgisayar
olmadan yıldızları ele geçiriyorlar.
											Robotlarla yapılan kadim
bir savaşın akabinde,
											insanlık ""insan zihninin tasvirine"" 
dayanarak makinelerin üretimini yasaklıyor
											ama bu bildiri gelişmelerini
bastırmak yerine
											insanları biyolojik bilgisayarlara,
medyumlara ve öngörülü uzay pilotlarına
											dönüştürerek korkutucu şekillerde
evrim geçirmeye zorladı.
											Süper güçlü bu grupların üyeleri
											asilzadeler tarafından 
sürekli çalıştırılır,
											hepsi güç için ve krallıklarına 
yeni gezegenler kazandırmak için yarışır.
									","
											Escrito por Frank Herbert
e publicado em 1965,
											Duna ocorre num futuro remoto,
											em que a humanidade governa as estrelas
num gigantesco império feudal.
											Este tema medieval passa
para além do governo.
											Ao contrário da ficção
científica interestelar,
											os seres humanos de Herbert
conquistaram o universo sem computadores.
											Na sequência duma antiga
guerra com robôs,
											a humanidade proibiu
a construção de qualquer máquina
											""à imagem de um espírito humano"".
											Mas, em vez de travar a sua expansão
											esta proibição forçou os seres humanos
a evoluir de formas impressionantes,
											tornando-se computadores biológicos,
feiticeiros psíquicos
											e pilotos espaciais clarividentes.
											Os membros destas fações
dotados de superpoderes
											são utilizados regularmente
pelas diversas casas nobres,
											que lutam pelo poder e por novos planetas
											para aumentarem os seus reinos.
									","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
","
","
","
","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
											But almost all these superhuman skills 
rely on the same precious resource:
											the spice.
											This mystical crop also known as “melange”
is essential for all space travel,
											making it the cornerstone 
of the galactic economy.
											And it only grows 
on the desert planet Arrakis,
											a dangerous and inhospitable world 
whose native inhabitants
											have long rebelled against the empire.
									","
											Mais toutes ces aptitudes surhumaines
reposent sur la même précieuse ressource :
											l’Épice.
											Cette plante mystique,
aussi connue sous le nom de « Mélange »,
											est essentielle à tout voyage
dans le temps,
											ce qui en fait la pierre angulaire
de l'économie galactique.
											Elle pousse uniquement
sur la planète des sables Arrakis,
											un monde dangereux et inhospitalier
dont les habitants autochtones
											se sont depuis longtemps
rebellés contre l'empire.
									","
											Ama bu insanüstü becerilerin neredeyse
hepsi aynı kıymetli kaynağa dayanır:
											Baharata.
											""Melanj"" olarak da bilinen bu gizemli
ürün bütün uzay seyahatleri için zorunlu.
											Bu da onu galaksi ekonomisinin
temel taşı yapıyor.
											Bu ürün sadece çöl gezegeni
Arrakis'te yetişiyor.
											Burası tehlikeli ve sert
iklimli olan bir dünyanın
											uzunca süre imparatorluğa
isyan eden yerlilerinin gezegeni.
									","
											Quase todas estas aptidões sobre-humanas
assentam no mesmo recurso precioso:
											a Especiaria.
											Esta cultura mística,
também conhecida por ""melange"",
											é essencial para todas
as viagens espaciais,
											tornando-se na pedra basilar
da economia galáctica.
											Só cresce no planeta desértico Arrakis,
											um mundo perigoso e inóspito
											cujos habitantes nativos
se revoltaram há muito contra o império.
									","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
","
","
","
","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
											Arrakis, also called Dune, 
is the setting for Herbert’s novel,
											which follows Paul 
of the noble House Atreides.
											The book begins with Paul’s family
being assigned control of Dune
											as part of an elaborate plot 
by their sworn enemies:
											the sadistic slave drivers 
of House Harkonnen.
											The conflict between these houses upends 
the delicate political balance on Arrakis.
											Soon, Paul is catapulted
into the middle of a planetary revolution,
											where he must prove himself capable 
of leading— and surviving—
											on this hostile desert world.
									","
											Arrakis, aussi appelée « Dune »,
est le décor du roman d'Herbert
											qui suit Paul,
											de la noble Maison des Atréides.
											Le livre commence avec le contrôle
de Dune étant affecté à la famille de Paul
											dans le cadre d'un complot sophistiqué
élaboré par leurs ennemis jurés :
											les conducteurs d'esclaves sadiques
de la Maison Harkonnen.
											Le conflit entre ces maisons
renverse le fragile équilibre politique
											sur Arrakis.
											Très vite, Paul est catapulté en plein
milieu d'une révolution planétaire
											où il doit prouver qu'il est capable
de diriger - et de survivre -
											dans cet univers désertique et hostile.
									","
											Arrakis'in diğer adı olan Dune,
Herbert'in romanının geçtiği yer.
											Bu roman, Atreides Asilzade
Hanedanı üyesi Paul'dan sonra gelir.
											Kitap, Dune gezegenini hakimiyetine alma
görevi verilen Paul'un ailesi ile başlar,
											ayrıca can düşmanları olan
Harkonnen hanedanının
											sadist köle amirlerinin 
detaylı olay örgüsünün parçasıdır.
											Hanedanlar arasındaki çatışma Arrakis'teki
hassas politik dengeyi altüst eder.
											Çok geçmeden, Paul liderlik yapabildiğini
ve bu saldırgan çöl dünyasında
											hayatta kalabildiğini kendine
ispat etmesi gereken
											bir gezegen devriminin
ortasında öne çıkarılır.
									","
											Arrakis, também chamado Duna, 
é o cenário do romance de Herbert
											que acompanha Paul, 
da nobre Casa Atreides.
											O livro começa com a atribuição
do controlo de Duna à família de Paul,
											o que faz parte duma conjura elaborada
pelos seus maiores inimigos:
											os sádicos condutores de escravos
da Casa Harkonnen.
											O conflito entre estas Casas altera
o frágil equilíbrio político em Arrakis.
											Em breve, Paul é catapultado
para o meio duma revolução planetária,
											em que tem de demonstrar ser capaz
de liderar — e de sobreviver —
											naquele mundo deserto e hostil.
									","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
","
","
","
","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
"
											But Arrakis is not simply 
an endless sea of sand.
											Herbert was an avid environmentalist,
											who spent over five years creating 
Dune’s complex ecosystem.
											The planet is checkered with climate 
belts and wind tunnels
											that have shaped its rocky topography.
											Different temperate zones produce 
varying desert flora.
											And almost every element of Dune’s 
ecosystem works together
											to produce the planet’s essential export.
									","
											Mais Arrakis n'est pas seulement
une interminable mer de sable.
											Herbert était un fervent
environnementaliste
											qui a passé plus de cinq ans à créer
l'écosystème complexe de Dune.
											La planète est quadrillée
de zones climatiques et de tunnels venteux
											qui ont façonné sa typographie rocheuse.
											Différentes températures
engendrent une flore désertique variable.
											Presque tous les éléments
de l'écosystème de Dune coopèrent
											pour produire le principal
produit d'exportation de la planète.
									","
											Ama Arrakis basit ve sonsuz
bir kum denizi değil.
											Herbert, Dune gezegeninin
karmaşık ekosistemini
											yaratmak için beş seneden fazla
zaman harcayan gayretli bir çevreciydi.
											Gezegen, kayalıklı coğrafi
yapısına şekil veren
											iklim kuşakları 
ve rüzgar tünelleriyle kaplı.
											Farklı ılıman iklim kuşakları
değişken çöl florası üretiyor.
											Dune'un ekosisteminin neredeyse
her unsuru gezegenin temel ihracatını
											gerçekleştirmek için birlikte çalışıyor.
									","
											Mas Arrakis não é apenas
um interminável mar de areia.
											Herbert era um feroz ambientalista
											que passara mais de cinco anos
a criar um complexo ecossistema em Duna.
											O planeta está dividido
por zonas climáticos e túneis de vento
											que modelaram a sua topografia rochosa.
											Diversas zonas temperadas produzem
uma diversificada flora do deserto.
											Quase todos os elementos do ecossistema
de Duna funcionam em conjunto
											para produzirem a exportação
essencial do planeta.
									","Why should you read ""Dune"" by Frank Herbert?",Dan Kwartler,4:47,"TED-Ed,animation,education,science fiction,books,literature,novel,book"
