en,pt,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
											Just over a year ago,
											for the third time in my life,
I ceased to exist.
											I was having a small operation,
and my brain was filling with anesthetic.
											I remember a sense
of detachment and falling apart
											and a coldness.
											And then I was back,
drowsy and disoriented,
											but definitely there.
											Now, when you wake from a deep sleep,
											you might feel confused about the time
or anxious about oversleeping,
											but there's always a basic sense
of time having passed,
											of a continuity between then and now.
											Coming round from
anesthesia is very different.
											I could have been under
for five minutes, five hours,
											five years or even 50 years.
											I simply wasn't there.
											It was total oblivion.
											Anesthesia —
it's a modern kind of magic.
											It turns people into objects,
											and then, we hope, back again into people.
											And in this process
											is one of the greatest remaining
mysteries in science and philosophy.
									","
											Há apenas um ano,
											pela terceira vez na minha vida,
											eu deixei de existir.
											Fui submetido a uma pequena cirurgia,
											e o meu cérebro ficou cheio de anestesia.
											Lembro-me da sensação
de distanciamento e de desmaio
											e de sentir frio.
											E depois, voltei,
sonolento e desorientado,
											mas definitivamente de volta.
											Quando acordamos
de um sono profundo,
											podemos sentir-nos confusos
em relação ao tempo
											ou ansiosos por dormirmos demais,
											mas há sempre a sensação
de que passou tempo,
											de uma continuidade
entre o antes e o agora.
											Acordar de uma anestesia
é muito diferente.
											Eu poderia ter estado assim
por cinco minutos, cinco horas,
											cinco anos, ou até 50 anos.
											Eu simplesmente não estive lá.
											Foi um esquecimento total.
											A anestesia - é uma magia moderna.
											Transforma as pessoas em objetos,
											e depois, esperamos nós,
em pessoas novamente.
											E neste processo

											reside um dos últimos grandes mistérios 
da ciência e da filosofia.
									","
											Hace poco más de un año,
											por tercera vez en mi vida, 
dejé de existir.
											Tuve una pequeña operación y 
mi cerebro estaba lleno de anestesia.
											Recuerdo una sensación 
de desapego, desmoronamiento
											y una frialdad.
											Y entonces volví, 
somnoliento y desorientado,
											pero definitivamente volví.
											Cuando uno se despierta 
de un sueño profundo,
											puede que se sienta confundido 
por la hora o afligido por dormir mucho.
											Pero siempre hay una sensación básica 
del tiempo que ha pasado,
											de una continuidad entre entonces y ahora.
											La vuelta de la anestesia 
es muy diferente.
											Podría haber estado así 
cinco minutos, cinco horas,
											cinco años o incluso 50 años.
											Simplemente no estaba.
											Fue un olvido total.
											La anestesia es un tipo moderno de magia.
											Convierte a la gente en objetos,
											y luego, le devuelve
de nuevo la vida a la gente.
											Y en este proceso
											es uno de los mayores misterios 
en la ciencia y la filosofía.
									","
											Il y a un peu plus d'un an,
											j'ai cessé d'exister
pour la troisième fois.
											Je subissais une opération et mon cerveau
se remplissait d'anesthésiant.
											Je me souviens d'une sensation
de détachement, de désintégration
											et de froid.
											Je suis revenu à mes esprits,
somnolant et désorienté,
											mais tout à fait présent.
											Après un sommeil profond,
											on peut avoir oublié l'heure
ou se sentir anxieux d'avoir trop dormi,
											mais on garde toujours la notion
du passage du temps,
											d'une continuité
entre l'avant et le maintenant.
											La sortie d'une anesthésie
est très différente.
											J'aurais pu être endormi
cinq minutes, cinq heures,
											cinq ans ou même 50 ans.
											Je n'étais simplement pas là.
											C'était le néant total.
											L'anesthésie est une sorte
de magie moderne.
											Elle transforme les personnes en objets,
											puis, espérons-le, en personnes à nouveau.
											Dans ce processus
											se trouve l'un des plus grands mystères
scientifiques et philosophiques.
									","
											Bir yılı aşkın süre önce,
											hayatımda üçüncü defa,
var oluşum kesintiye uğradı.
											Ufak bir ameliyattaydım
ve beynim anestezi ile uyuşmuştu.
											Bir kopma, ayrı düşme
ve soğukluk hissiyatına kapıldığımı
											anımsıyorum.
											Mahmur ve kendimden geçmiş
bir şekilde kendime geldim,
											kendimdeydim.
											Derin bir uyku sonrası,
											zaman karmaşası yaşayabilirsiniz
veya fazla uyumuş olma endişesi olabilir,
											ama her zaman
zamanın geçtiği temel algısı vardır,
											öncesi ve o an ile aradaki sürerlilik.
											Anesteziden uyanmak çok tuhaf.
											5 dakika, 5 saat, 5 yıl ve hatta 50 yıl
											geçmiş olabilir.
											Orada yoktum.
											Tamamen boşluktaydım.
											Anestezi, büyünün modern yöntemi;
											insanları nesneye çeviriyor
											ve sonrasında, tekrar
insana çevirmesini bekliyoruz.
											Bu aşamada,
											bilimin ve felsefenin çözemediği
o gizem baki kalıyor:
									",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
","
","
","
","
",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
											How does consciousness happen?
											Somehow, within each of our brains,
											the combined activity
of many billions of neurons,
											each one a tiny biological machine,
											is generating a conscious experience.
											And not just any conscious experience —
											your conscious experience
right here and right now.
											How does this happen?
									","
											Como é que se dá a consciência?
											De alguma forma, no nosso cérebro,
											a atividade combinada de muitos
milhares de milhões de neurónios,
											cada um deles, uma pequena
máquina biológica,
											está a gerar uma experiência consciente.
											E não uma experiência consciente qualquer
											— a experiência consciente
do ""aqui e agora"".
											Como é que isso acontece?
									","
											¿Cómo se da la conciencia?
											De alguna manera, en cada uno 
de nuestros cerebros,
											la actividad combinada 
de miles de millones de neuronas,
											cada una, una minúscula 
máquina biológica,
											genera una experiencia consciente.
											Y no solo cualquier 
experiencia consciente,
											sino su experiencia consciente 
aquí y ahora mismo.
											¿Cómo sucede esto?
									","
											Comment fonctionne la conscience ?
											À l'intérieur de chacun de nos cerveaux,
											l'activité conjuguée
de milliards de neurones,
											chacun d'entre eux étant
une petite machine biologique,
											génère une expérience consciente.
											Et pas n'importe quelle expérience —
											l'expérience consciente
de l'ici et du maintenant.
											Comment est-ce possible ?
									","
											Bilinç nasıl gerçekleşir?
											Öyle ki, her birimizin beyninde
											milyarlarca nöronların birleşik eylemleri,
											her biri mini bir biyolojik makine olarak
											bilinç deneyimi üretiyor.
											Herhangi bir bilinç deneyimi de değil,
											tam o anda ve o yerdeki bilinç deneyimi.
											Peki bu nasıl oluyor?
									",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
","
","
","
","
",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
											Answering this question is so important
											because consciousness
for each of us is all there is.
											Without it there's no world,
											there's no self,
											there's nothing at all.
											And when we suffer, we suffer consciously
											whether it's through
mental illness or pain.
											And if we can experience
joy and suffering,
											what about other animals?
											Might they be conscious, too?
											Do they also have a sense of self?
											And as computers get faster and smarter,
											maybe there will come a point,
maybe not too far away,
											when my iPhone develops
a sense of its own existence.
									","
											Responder a essa pergunta
é muito importante
											porque a consciência
para cada um de nós
											é tudo o que existe.
											Sem ela, não existe mundo,
											não existe o ""eu"",
											não existe nada.
											E quando sofremos,
sofremos conscientemente,
											seja por doença mental ou dor.
											E se nós podemos experienciar
a alegria e o sofrimento,
											o que dizer sobre outros 
animais?
											Talvez eles também sejam
conscientes?
											Eles também têm a noção de ""eu""?
											E à medida que os computadores
se tornam mais rápidos e inteligentes,
											talvez cheguemos ao ponto,
muito em breve,
									","
											Responder a esta pregunta 
es muy importante
											porque la conciencia para cada uno 
de nosotros es todo lo que existe.
											Sin ella no hay mundo,
											no hay yo,
											no hay nada en absoluto.
											Y cuando sufrimos, 
sufrimos conscientemente.
											Ya sea por una enfermedad mental 
o por dolor.
											Y si podemos experimentar 
alegría y sufrimiento,
											¿qué pasa con otros animales?
											¿Son conscientes también?
											¿También tienen un sentido de sí mismos?
											Y conforme las computadoras son 
cada vez más rápidas e inteligentes,
											quizá llegará un momento, 
quizá muy lejano,
											en el que mi iPhone desarrolle 
un sentido de su propia existencia.
									","
											Il est important
de répondre à cette question
											parce que la conscience
est tout ce que nous avons.
											Sans elle, il n'y aurait pas de monde,
											pas d'identité,
											il n'y aurait absolument rien.
											Par exemple,
nous souffrons consciemment,
											que ce soit d'une maladie
mentale ou d'une douleur physique.
											Si nous faisons l'expérience
de la joie et de la souffrance,
											qu'en est-il des autres animaux ?
											Sont-ils conscients ?
											Ont-ils une notion de l'identité ?
											Les ordinateurs deviennent
plus rapides et plus intelligents.
											Viendra-t-il un moment,
peut-être dans un futur proche,
											où mon iPhone développera
la notion de sa propre existence ?
									","
											Bu soruyu cevaplamak çok mühim,
											çünkü her birimizdeki bilinç durumu
her şey demektir.
											Onsuz bir dünya yok,
											benlik yok,
											hiçbir şey yok.
											Acı çektiğimizde,
bilinçli olarak acı çekiyoruz;
											zihinsel hastalık veya acı dolayısıyla.
											Eğer bizler neşeyi ve acıyı
deneyimleyebiliyorsak,
											peki ya diğer hayvanlar?
											Onlar da bilinçli olabilir mi?
											Onlarda da benlik algısı var mıdır?
											Bilgisayarlar hızlandıkça
ve daha akıllı hâle geldikçe,
											belki de çok da uzakta olmayan
öyle bir noktaya geleceğiz ki,
											iPhone'um kendi varlığının
algısına kavuşacak.
									",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
","
","
","
","
",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
											I actually think the prospects
for a conscious AI are pretty remote.
											And I think this because
my research is telling me
											that consciousness has less to do
with pure intelligence
											and more to do with our nature
as living and breathing organisms.
											Consciousness and intelligence
are very different things.
											You don't have to be smart to suffer,
but you probably do have to be alive.
									","
											de o meu iPhone desenvolver
a noção da sua própria existência.

											Na verdade, eu acho
que as perspetivas
											de uma consciência de IA
são bastante remotas.
											E acho isso porque a minha pesquisa

											diz-me que a consciência
tem menos a ver com a inteligência pura
											e mais a ver com a nossa própria natureza,
											enquanto organismos que vivem e respiram.
											Consciência e inteligência
são coisas bastante diferentes.
											Não precisamos de ser inteligentes 
para sofrermos,
											mas, provavelmente,
precisamos de estar vivos.
									","
											En realidad creo que la perspectiva 
de una IA consciente es bastante remota.
											Y lo creo porque mi investigación sugiere
											que la conciencia tiene menos que ver 
con la inteligencia
											y más con nuestra naturaleza 
como organismo vivo que respira.
											La conciencia y la inteligencia 
son cosas muy diferentes.
											No tienes que ser inteligente para sufrir, 
pero probablemente tienes que estar vivo.
									","
											Je crois sincèrement que la perspective
d'une IA consciente est assez éloignée.
											Je le crois parce que ma recherche me dit
											que la conscience a moins à voir
avec l'intelligence pure
											et plus à voir avec notre nature
en tant qu'organismes vivants.
											La conscience et l'intelligence
sont très différentes.
											Il ne faut pas être intelligent
pour souffrir, seulement vivant.
									","
											Bilinçli yapay zekâ fikrinin oldukça uzak
bir ihtimale dayandığını düşünüyorum.
											Bu şekilde düşünüyorum,
çünkü araştırmalarıma göre
											bilinçlilik saf zekâdansa,
daha çok bizlerin doğamızdaki
											yaşayan ve nefes alan organizmalar
olmamızla alakalı bir durum.
											Bilinç ile zekâ çok ayrı konular.
											Acı çekmek için zeki olmanıza gerek yok,
fakat canlı olmanız gerekir.
									",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
","
","
","
","
",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
"
											In the story I'm going to tell you,
											our conscious experiences
of the world around us,
											and of ourselves within it,
											are kinds of controlled hallucinations
											that happen with, through
and because of our living bodies.
									","
											Na história que vos vou contar,
											as nossas experiências conscientes
do mundo ao nosso redor
											e de nós dentro dele,
											são tipos de alucinações controladas
											que acontecem com, através
e por causa dos nossos corpos vivos.
									","
											En la historia que voy a contar,
											nuestra experiencia consciente 
del mundo que nos rodea,
											y de nosotros mismos en ella,
											son tipos de alucinaciones controladas
											que suceden con, a través 
y por medio de nuestros cuerpos vivos.
									","
											Je vais vous raconter une histoire
											où nos expériences conscientes du monde
et de nous-mêmes en son sein
											sont des sortes
d'hallucinations contrôlées
											qui surviennent avec, à travers
et grâce à nos corps vivants.
									","
											Sizlerle paylaşacağım hikâyede,
											bizleri sarmalayan bu dünyanın
ve içerisindeki bizlerin
											bilinç deneyimleri,
											canlı bedenlerimiz ile birlikte
											ve onun dolayısıyla gerçekleşen
bir nevi kontrollü halüsinasyonlardır.
									",Your brain hallucinates your conscious reality,Anil Seth,17:01,"brain,cognitive science,humanity,mind,neuroscience,science"
