es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
											Este es un río.
											Este es un arroyo.
											Este es un río.
											Esto está pasando en todo el país.
											Hay decenas de miles de kilómetros
											de arroyos secos en Estados Unidos.
											En este mapa,
											las zonas coloreadas representan conflictos acuíferos.
											Hay problemas similares en el Este también.
											Las razones varían de estado a estado,
											pero sobre todo en los detalles.
											Hay 6.400 km de arroyos secos
											sólo en Montana.
											Normalmente albergarían peces y otra vida silvestre.
											Son las venas del ecosistema
											y a menudo están vacías.
									","
											Bu bir nehir.
											Bu bir dere.
											Bu bir nehir.
											Bu ülkenin her dört bir yanında oluyor.
											Amerika Birleşik Devletleri'nde
											on binlerce mil kurumuş dere var.
											Bu haritada,
											renkli alanlar su anlaşmazlıklarını temsil ediyor.
											Benzer sorunlar doğuda da ortaya çıkıyor.
											Nedenler eyaletten eyalete farklılaşsalar da,
											ama genelde detaylarda.
											Sadece Montana'da 6.400 kilometre
											kurumuş dere var.
											Normalde balık ve diğer vahşi yaşamı desteklerler.
											Ekosistemin damarlarıdırlar
											ve genelde boş damarlardır.
									","
											C'est une rivière.
											C'est un cours d'eau.
											C'est une rivière.
											Ça se passe dans tout le pays.
											Il y a des dizaines de milliers de kilomètres
											de cours d'eau asséchés aux Etats-Unis.
											Sur cette carte,
											les zones colorées représentent des conflits d'eau.
											Des problèmes similaires émergent aussi à l'est.
											Les raisons varient d'un état à un autre,
											mais principalement dans les détails.
											Il y a 6500 kilomètres de cours d'eau asséchés
											rien que dans le Montana.
											En temps normal, ils feraient vivre des poissons et d'autres animaux sauvages.
											Ce sont les veines de l'écosystème,
											et ce sont souvent des veines vides.
									","
											Das ist ein Fluss.
											Das ist ein Bach.
											Das ist ein Fluss.
											Es geschieht überall im Land.
											Es gibt in den Vereinigten Staaten
											zehntausende Meilen entwässerte Flussläufe.
											Auf dieser Karte
											repräsentieren die farbigen Gebiete Konflikte um Wasserrechte.
											Ähnliche Probleme ergeben sich auch im Osten.
											Die Gründe unterscheiden sich vom Bundesstaat zu Bundesstaat,
											aber hauptsächlich im Detail.
											Es gibt 6.500 Kilometer entwässerter Flussläufe
											allein in Montana.
											Normalerweise würden sie Fisch und andere Wildtiere ernähren.
											Es sind die Adern des Ökosystems –
											häufig leere Adern.
									",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
","
","
","
",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
											Quiero contarles la historia
											de uno de estos arroyos
											porque es el arquetipo de una historia más grande.
											Este es Prickly Pear Creek.
											Pasa por una zona poblada
											desde East Helena hasta Lake Helena.
											Alberga peces silvestres
											como la trucha degollada, la marrón,
											y la arco iris.
											Casi todos los años
											desde hace más de 100 años
											se ha visto así en verano.
											¿Cómo llegamos a esto?
											Bueno, comenzó a finales del 1800
											cuando empezaron a llegar pobladores a lugares como Montana.
											En resumen, había mucha agua
											y no muchas personas.
											Pero a medida que se presentaba más gente buscando agua
											la gente que llegó primero se preocupó un poco
											y en 1865 Montana aprobó su primera Ley de Aguas.
											Básicamente decía: quien esté cerca del arroyo
											puede compartirlo.
											Curiosamente, muchos aparecieron queriendo compartir el arroyo
											y la gente que llegó primero
											se preocupó tanto que trajo a sus abogados.
											Hubo pleitos que sentaron precedentes
											en 1870 y 1872,
											ambos atañían a Prickly Pear Creek.
											Y en 1921
											la Corte Suprema de Montana
											falló en un caso de Prickly Pear;
											decía que la gente que llegó primero
											tenía derechos primarios, o superiores, sobre el agua.
											Estos derechos superiores son la clave.
									","
											Size bu derelerden
											sadece bir tanesinin hikayesini anlatmak istiyorum,
											çünkü bu daha büyük bir hikayenin modeli.
											Bu Prickly Pear Çayı.
											Yoğun nüfuslu bir bölge içinden
											Doğu Helena'dan Helena Gölü'ne akıyor.
											Cutthroat, dere ve gökkuşağı alabalıkları dahil olmak üzere
											vahşi balıklara
											yaşam ortamı sunuyor.
											Yüzyıldan fazla zamandır,
											neredeyse her yıl
											bu çay yazın böyle görünüyor.
											Nasıl bu noktaya geldik?
											Bu 1800'lerin sonunda
											insanlar Montana gibi yerlere yerleşmeye başladıkları zaman başladı.
											Özetle, çok su vardı
											ve çok da insan yoktu.
											Ama su isteyen daha çok insan ortaya çıktıkça
											oraya ilk gelmiş olanlar biraz endişelendiler,
											ve 1985'te Montana ilk su yasasını çıkardı.
											Bu yasa temel olarak, dere kıyısındaki herkesin
											dereyi paylaşabileceğini söylüyordu.
											Gariptir ki, dereyi paylaşmak isteyen pek çok insan ortaya çıktı
											ve oraya ilk gelmiş olanlar
											avukatlarını devreye sokacak kadar endişelendiler.
											1870 ve 1872'de
											Prickly Pear Çayı'yla ilgili
											emsal teşkil davaları oldu.
											1921'de
											Montana Temyiz Mahkemesi,
											Prickly Pear'la ilgili bir davada
											oraya ilk gelmiş olanların
											öncelikli ya da kıdemli su hakları olduğuna karar verdi.
											Bu öncelikli su hakları kilit nokta.
									","
											Je veux vous raconter l'histoire
											d'un seul de ces cours d'eau
											parce qu'il est un archétype d'une histoire plus grande.
											Voici Prickly Pear Creek.
											Il traverse une région peuplée
											depuis East Helena jusqu'au Lake Helena.
											Il fait vivre des poissons sauvages
											dont des truites fardées, des truites Fario
											et des truites arc-en-ciel.
											Presque chaque année
											depuis plus de cent ans,
											voilà à quoi il ressemblait en été.
											Comment en est-on arrivé là?
											Et bien, tout a commencé à la fin des années 1800
											quand les gens ont commencé à s'installer dans des endroits comme le Montana.
											En bref, il y avait beaucoup d'eau
											et il n'y avait pas beaucoup de gens.
											Mais alors que plus de gens sont arrivés et ont eu besoin d'eau,
											les gens qui étaient là les premiers se sont un peu inquiétés,
											et en 1865, le Montana a voté sa première loi sur l'eau.
											En gros, elle disait que toute personne près du cours d'eau
											pouvait s'y approvisionner.
											Bizarrement, beaucoup de gens sont arrivés en voulant profiter du cours d'eau,
											et les gens qui étaient là les premiers
											se sont assez inquiétés pour appeler leurs avocats.
											Il y a eu des procès qui ont fait jurisprudence
											en 1870 et 1872,
											dans les deux cas au sujet de Prickly Pear Creek.
											Et en 1921,
											la cour suprême de Montana
											a rendu un jugement dans un procès concernant Prickly Pear
											selon lequel les gens qui étaient là les premiers
											avaient des droits prioritaires sur l'eau.
											Ces droits prioritaires sur l'eau sont essentiels.
									","
											Ich möchte euch die Geschichte
											von nur einem dieser Flussläufe erzählen,
											weil es beispielhaft ist für das übergeordnete Bild.
											Das ist der Prickly-Pear-Bach.
											Er läuft durch eine bewohnte Gegend
											zwischen East Helena und dem Lake Helena.
											Er führt Wildfisch,
											einschließlich Cutthroat-Forellen,
											See- und Regenbogen-Forellen.
											Fast jedes Jahr
											seit mehr als hundert Jahren,
											sieht es so aus, wie jeden Sommer.
											Wie ist es soweit gekommen?
											Nun, es begann im späten 19. Jahrhundert,
											als sich Menschen an Orten wie Montana niederließen.
											Kurz gesagt, es gab jede Menge Wasser
											und nicht sehr viele Menschen.
											Als aber mehr Menschen auftauchten und Wasser beanspruchten,
											wurden die Leute, die zuerst da waren, etwas besorgt;
											und dann hat Montana 1865 das erste Wassergesetz verabschiedet.
											Es besagte im Kern, dass jeder in der Nähe eines Baches
											daran teilhaben darf.
											Wie seltsam, dass da aber ziemlich viele Menschen erschienen, die am Bach teilhaben wollten.
											Diejenigen, die zuerst dort waren,
											wurden so beunruhigt, dass sie ihre Anwälte ins Spiel brachten.
											Es gab gerichtliche Präzedenzfälle
											in den Jahren 1870 und 1872,
											beide über den Prickly-Pear-Bach.
											1921 entschied dann
											der oberste Gerichtshof von Montana
											in einem Fall bezüglich des Prickly-Pear,
											dass diejenigen, die zuerst dort waren,
											höherrangige Vorzugsrechte am Wasser hatten.
											Darum geht es, um diese Vorzugsrechte.
									",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
","
","
","
",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
											El problema es que hoy todo el Oeste
											tiene este aspecto.
											Algunos de estos arroyos
											tienen pedidos de 50 a 100 veces más agua
											que la del caudal del arroyo.
											Y los titulares de derechos superiores
											si no hacen uso de su derecho al agua
											corren el riesgo de perderlo
											con el valor económico que eso implica.
											Entonces no tienen incentivo para conservar.
											No se trata sólo de la cantidad de personas;
											el sistema mismo desincentiva la conservación
											porque uno puede perder el derecho al agua si no lo usa.
											Así, luego de décadas de demandas
											y 140 años de experiencia
											todavía tenemos esto.
											Es un sistema roto.
											Se desincentiva la conservación
											porque si uno no usa el derecho al agua
											puede perderlo.
											Y estoy seguro que todos saben, esto ha creado grandes conflictos
											entre las comunidades agrícolas y los ambientalistas.
									","
											Sorun şu ki şu an Batı'nın dört bir yanında
											bu, böyle görünüyor.
											Bu çayların bazıları üzerinde
											dere yatağında mevcut olan sudan
											50 ile 100 kat daha fazla hak iddiası var.
											Öncelikli su haklarını elinde bulunduranlar,
											su haklarını kullanmazlarsa,
											su haklarını ve onla gelen ekonomik değeri
											kaybetme riskine giriyorlar.
											Bu nedenle, korumaya yönelik onları teşvik edici bir şeyleri yok.
											Yani bu sadece kaç insan olduğuyla ilgili değil,
											sistemin kendisi, korumaktan cayılmasına yol açıyor,
											çünkü su hakkınızı, eğer kullanmazsanız, kaybedebilirsiniz.
											Yani on yıllar süren davalardan
											ve 140 yıllık deneyimden sonra, şimdi
											elimizde hâlâ bu var.
											Bu bozuk bir sistem.
											Burada korumaktan caydırma var,
											çünkü, eğer su hakkınızı kullanmazsanız,
											su hakkınızı yitirebilirsiniz.
											Eminim ki hepiniz biliyorsunuz, bu tarımsal ve çevreci topluluklar arasında
											kayda değer anlaşmazlıklara yol açtı.
									","
											Le problème est que dans tout l'ouest maintenant
											voilà à quoi il ressemble.
											Certaines de ces criques
											ont besoin de 50 à 100 fois plus d'eau
											qu'il n'y a dans le cours d'eau.
											Les détenteurs prioritaires des droits,
											s'ils n'utilisent pas leurs droits sur l'eau,
											ils risquent de les perdre,
											et la valeur économique qui va avec.
											Ils n'ont donc pas envie d'économiser.
											Donc le problème ne se résume pas au nombre de gens ;
											le système lui-même pousse à ne pas économiser
											parce qu'on peut perdre son droit à l'eau si on ne l'utilise pas.
											Donc après des décennies de procès
											et désormais 140 ans d'expérience,
											nous avons toujours ceci.
											C'est un système en panne
											On dissuade d'économiser,
											parce que, si on n'utilise pas son droit à l'eau,
											on peut le perdre.
											Et je suis sûr que vous savez tous que ça a créé d'importants conflits
											entre les communautés agricoles et écologistes.
									","
											Das Problem ist, dass es jetzt im Westen überall
											so aussieht wie hier:
											Für einige dieser Bäche
											wurden 50 bis 100 Mal mehr Wasserrechte vergeben
											als der Bach überhaupt führt.
											Und die Vorzugswasserrechteinhaber,
											die ihre Wasserrechte nicht ausnutzen
											riskieren, diese zu verlieren –
											zusammen mit dem ökonomischem Wert, der damit einhergeht.
											Sie haben also keinerlei Anreiz, sparsam damit umzugehen.
											Es geht daher nicht nur um die Anzahl der Menschen;
											das System selbst schafft einen negativen Anreiz zum Wasser sparen,
											weil man ungenutzte Wasserrechte verlieren kann.
											Hier sind wir also, nach Jahrzehnten von Gerichtsprozessen
											und 140 Jahren an Erfahrung,
											und sind nicht weiter gekommen.
											Das System funktioniert nicht.
											Es gibt einen Anreiz, Wasser nicht zu konservieren,
											weil man die Wasserrechte verlieren kann,
											wenn man sie ungenutzt lässt.
											Ich bin sicher ihr wisst alle, dies hat zu bedeutenden Konflikten
											zwischen Landwirtschaft und Umweltschützern geführt.
									",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
","
","
","
",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
											Bueno, aquí voy a cambiar de marcha.
											A muchos de Uds les agradará saber
											que el resto de la presentación es gratis.
											Y alguno se alegrará al saber que hay cerveza de por medio.
											(Risas)
											Hay algo más que está sucediendo en el país
											y es que las empresas están empezando a ocuparse
											de su huella hídrica.
											Les preocupa asegurar un suministro adecuado de agua,
											están tratando de usar de manera muy eficiente el agua
											y les preocupa saber cómo afecta su uso
											del agua a la imagen de sus marcas.
											Bueno, es un problema nacional,
											pero les voy a contar otra historia de Montana
											que trata de la cerveza.
											Apuesto a que no sabían que lleva 5 pintas de agua
											hacer 1 pinta de cerveza.
											Si se incluye todo el drenaje,
											lleva más de 100 pintas de agua hacer 1 pinta de cerveza.
									","
											Tamam. Bu noktada konuyu değiştireceğim.
											Çoğunuzun, şunu bilmek hoşuna gidecektir ki
											sunumun geri kalanı bedava.
											Bazılarınızın da şunu bilmek hoşuna gidecektir ki sunum birayla ilgili.
											(Kahkaha)
											Ülkenin dört bir yanında olan bir şey daha var.
											Şirketler su ayak izleri hakkında
											endişelenmeye başladılar.
											Yeterli su temin etmek konusunda kaygılılar,
											su kullanımlarında olabildiğince verimli olmaya çalışıyorlar,
											ve su kullanımlarının marka imajlarını nasıl etkilediğiyle
											ilgili olarak endişeleniyorlar.
											Tabi, bu ulusal bir sorun,
											ama size Montana'dan başka bir hikaye anlatacağım
											ve bu birayla ilgili.
											Bahse girerim ki bir litre bira yapmak için
											5 litre su harcandığını bilmiyorsunuzdur.
											Tüm boşa akmaları hesaba katarsanız,
											bir litre bira için yüz litre su gerekiyor.
									","
											Bon, je vais changer de vitesse ici.
											La plupart d'entre vous seront heureux d'apprendre
											que le reste de la présentation est gratuit.
											Et certains d'entre vous seront ravis d'apprendre qu'elle inclut de la bière.
											(Rires)
											Il se passe autre chose dans le pays,
											et c'est que les entreprises commencent à s'inquiéter
											de leur empreinte eau.
											Elles s'inquiètent de s'assurer un approvisionnement adéquat d'eau,
											elles essayent d'être vraiment efficientes dans leur utilisation de l'eau,
											et elles s'inquiètent de comment leur utilisation d'eau
											affecte l'image de leur marque.
											Et bien, c'est un problème national,
											mais je vais vous raconter une autre histoire du Montana,
											qui parle de bière.
											Je parie que vous ne saviez pas qu'il faut 2 litres et demi d'eau,
											pour faire un demi litre de bière.
											Si vous prenez toute l'eau ponctionnée,
											il faut plus de 50 litres d'eau pour faire un demi litre de bière.
									","
											Okay. Ich werde jetzt hier einmal umschalten.
											Ihr werdet sicher gern hören,
											dass der Rest dieser Präsentation kostenlos ist.
											Und einige von euch wird es freuen, dass es dabei unter anderem um Bier geht.
											(Gelächter)
											Es geschieht noch etwas anderes, im ganzen Land,
											nämlich das Unternehmen beginnen,
											sich um ihren Wasserverbrauch Gedanken zu machen.
											Sie sorgen sich darum, eine adäquate Wasserversorgung sicherzustellen,
											sie bemühen sich um einen effizienten Wassereinsatz
											und machen sich Gedanken darüber, wie ihr Wasserverbrauch
											das Image ihrer Marke beeinflusst.
											Nun, es ist ein nationales Problem,
											aber ich werde euch eine weitere Geschichte aus Montana erzählen,
											in der es um Bier geht.
											Ich wette, ihr wusstet nicht, dass man fünf Liter Wasser benötigt,
											um einen Liter Bier herzustellen.
											Wenn man alle Abflüsse mitzählt,
											benötigt man für die Produktion eines Liters Bier mehr als einhundert Liter Wasser.
									",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
","
","
","
",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
"
											Ahora bien, los cerveceros de Montana
											ya han hecho un montón
											para reducir su consumo de agua
											pero todavía usan millones de litros.
											Digo, hay agua en la cerveza.
											¿Qué pueden hacer ellos
											con esta huella hídrica remanente
											que puede afectar seriamente
											al ecosistema?
											Estos ecosistemas son muy importantes
											para los cerveceros de Montana y sus clientes.
											Después de todo hay una correlación fuerte
											entre el agua y la pesca.
											Y, para algunos, hay una correlación fuerte
											entre la pesca y la cerveza.
											(Risas)
											Por eso los cerveceros de Montana y sus clientes están preocupados
											y están buscando alguna manera de abordar el problema.
									","
											Şimdi, Montana'daki bira üreticileri
											zaten su tüketimlerini azaltmak için
											epey çok şey yaptılar,
											ama yine de milyonlarca litre su kullanıyorlar.
											Demek istediğim, biranın içinde su var.
											Peki ekosistem üzerinde
											ciddi etkileri olabilecek
											bu geriye kalan su ayak izi hakkında
											ne yapabilirler?
											Ekosistemler Montanalı bira üreticileri ve müsterileri
											için çok önemliler.
											Ne de olsa, su ve balıkçılık arasında
											güçlü bir ilişki var;
											ve bazıları için balıkçılık ve bira arasında
											güçlü bir ilişki var.
											(Kahkaha)
											Bu yüzden Montanalı bira üreticileri ve müşterileri endişeliler,
											ve sorunu çözecek bir yol arıyorlar.
									","
											Et les brasseurs du Montana
											ont déjà beaucoup fait
											pour réduire leur consommation d'eau.
											mais ils utilisent encore des millions de litres d'eau.
											Je veux dire, la bière contient de l'eau.
											Donc que peuvent-ils faire
											pour cette empreinte eau restante
											qui peut avoir de graves effets
											sur l'écosystème?
											Ces écosystèmes sont vraiment très importants
											pour les brasseurs du Montana et leurs clients.
											Après tout, il y a un lien solide
											entre l'eau et la pêche.
											Et pour certains, il y a un lien solide
											entre la pêche et la bière.
											(Rires)
											Donc, les brasseurs du Montana et leurs clients sont inquiets,
											et ils cherchent un moyen de s'attaquer au problème.
									","
											Die Brauereien in Montana
											haben bereits viel getan,
											um ihren Wasserverbrauch zu reduzieren,
											aber sie verbrauchen immer noch Millionen von Litern an Wasser.
											Also, natürlich ist Wasser im Bier.
											Aber was können sie tun
											bezüglich dieses verbleibenden Wasserverbrauchs,
											der ernsthafte Auswirkungen
											auf das Ökosystem haben kann?
											Diese Ökosysteme sind von zentraler Bedeutung
											für die Brauereien in Montana, und ihre Kunden.
											Schließlich gibt es eine enge Verbindung
											zwischen Wasser und Fischfang.
											Und für so manchen auch eine enge Verbindung
											zwischen Fischfang und Bier.
											(Gelächter)
											Die Brauereien von Montana und ihre Kunden sind also besorgt,
											und sie suchen nach einem Weg, dem Problem beizukommen.
									",How to keep rivers and streams flowing,Rob Harmon,8:46,"TEDx,business,environment,global issues,innovation,nature,sustainability,water,rivers"
