en,es,de,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											2014, July 5,
											the Ukrainian army entered
Sloviansk city in eastern Ukraine.
											They gathered all the locals
in Lenin Square.
											Then, they organized
the public crucifixion
											of the son of a pro-Russia militant.
											He was only three years old.
											Refugee Galina Pyshnyak told this story
to Russia's First TV channel.
									","
											5 de julio de 2014,
											el ejército ucraniano entró a la ciudad
de Sloviansk, en el este de Ucrania.
											Reunieron a todos los pobladores
en la Plaza Lenin.
											Luego, organizaron la crucifixión pública
											del hijo de un militante pro-Rusia.
											Él tenía tan solo tres años.
											La refugiada Galina Pyshnyak
contó la historia
											al canal de televisión ruso 1TV.
									","
											Am 5. Juli 2014 drang
die ukrainische Armee
											in die Stadt Slowiansk
in der Ostukraine ein.
											Sie versammelte alle Einwohner
auf dem Leninplatz.
											Dann veranstaltete sie
											die öffentliche Kreuzigung
des Sohnes eines prorussischen Kämpfers.
											Er war erst drei Jahre alt.
											Das erzählte die Vertriebene Galina
Pyshnyak auf Russlands erstem TV-Kanal.
									","
											5 Haziran 2014,
											Ukrayna ordusu doğu Ukrayna'daki
Sloviansk şehrine girdi.
											Yerel halkı 
Lenin Meydanı'na topladılar.
											Daha sonra Rusya taraftarı
milis güçlerinden birinin oğlunu
											orada, halkın gözleri önünde
çarmıha gerdiler.
											Oğlan ancak üç yaşındaydı.
											Mülteci Galina Pyshnyak bu hikâyeyi
Rusya birinci devlet kanalına anlattı.
									","
											Le 5 juillet 2014,
											l'armée ukrainienne est entrée
											dans la ville de Sloviansk,
											dans l'Est de l'Ukraine.
											Ils ont réuni tous les habitants
											sur la place Lénine.
											Puis ils ont organisé
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											In fact, this incident never happened.
											I visited Sloviansk.
											There is no Lenin Square.
											In reality, Galina's husband was an active
pro-Russia militant in Donbass.
									","
											En realidad, este incidente nunca ocurrió.
											Yo visité Sloviansk.
											No hay ninguna Plaza Lenin.
											En realidad, el esposo de Galina
											era un activo militante
pro-Rusia en Donbáss.
									","
											Doch dieses Ereignis fand nie statt.
											Ich war in Slowiansk.
											Es gibt keinen Leninplatz.
											In Wirklichkeit war Galinas Mann
ein prorussischer Kämpfer in Donbass.
									","
											Gerçekte bu olay hiç yaşanmadı.
											Ben Sloviansk'ı ziyaret ettim.
											Orada Lenin Meydanı yok.
											Gerçekte Galina'nın kocası Donbass'da
çalışan bir Rusya taraftarı milisti.
									","
											la crucifixion publique du fils
											d'un militant qui soutenait les Russes.
											Il avait seulement trois ans.
											Galina Psyshnyak, une réfugiée,
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											This is just one of many examples.
											Ukraine has been suffering
from Russian propaganda and fake news
											for four years now,
											but Russia is not
the only player in this space.
											Fake news is happening
all around the world.
											We all know about fake news.
											We see it and read it all the time.
											But the thing about fake news
											is that we don't always know
what is fake and what is real,
											but we base our decisions on facts
we get from the press and social media.
											When facts are false,
											decisions are wrong.
									","
											Este es solo uno de muchos ejemplos.
											Ucrania ha sufrido de la propaganda
y las falsas noticias rusas
											desde hace ya cuatro años,
											pero Rusia no es la única
que lo está haciendo.
											Las noticias falsas 
se esparcen por todo el mundo.
											Todos hemos oído noticias falsas,
las vemos y leemos todo el tiempo.
											Pero el problema de las noticias falsas
											es que no siempre sabemos
qué es falso y qué es real,
											pero nuestras decisiones 
se basan en hechos
											que recibimos de la prensa
y de las redes sociales.
											Cuando los datos son falsos,
											las decisiones son erradas.
									","
											Dies ist nur ein Beispiel von vielen.
											Seit vier Jahren leidet die Ukraine
unter russischer Propaganda und Fake News,
											aber Russland ist nicht
der einzige Akteur auf diesem Gebiet.
											Fake News gibt es weltweit.
											Wir alle kennen Fake News.
											Wir sehen und lesen sie ständig.
											Aber das Dilemma ist,
											dass wir nicht immer wissen,
was wahr und was falsch ist.
											Doch wir treffen Entscheidungen
											aufgrund von Fakten
aus Presse und sozialen Medien.
											Wenn die Fakten nicht stimmen,
											werden Entscheidungen falsch.
									","
											Bu birçok örnekten sadece biri.
											Ukrayna dört yıldır Rus propagandası
ve yalan haberlerinin
											acısını çekmektedir.
											Ama sadece Rusya 
bu oyunu oynamıyor.
											Yalan haberler dünyanın
her tarafında yayınlanıyor.
											Herkes yalan haberin
ne olduğunu bilir.
											Her zaman her yerde
görür ve okuruz.
											Yalan haberi normalinden 
ayrıştıran özellik
											onu okuduğumuzda gerçek mi 
yalan mı bilmememizdir.
											Kararlarımızı basın ve sosyal medyadan
edindiğimiz bilgilere göre veririz.
											Bilgiler hatalıysa
											yanlış kararlar veririz.
									","
											a raconté cette histoire
											à la première chaîne
de la télévision Russe.
											En réalité, cet incident
n'a jamais eu lieu.
											J'ai visité Sloviansk.
											Il n'y a pas de Place Lénine.
											En réalité, le mari de Galina était
											un militant pro-russe dans le Donbass.
											Ceci est juste un exemple
parmi tant d'autres.
											L'Ukraine est victime
de la propagande russe
											et des « fake news » depuis quatre ans.
											Mais la Russie n'est pas
											le seul acteur dans ce domaine.
											Ce phénomène de « fake news »
existe partout dans le monde.
											Nous le savons tous.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											A lot of people
stop believing anyone at all
											and this is even more dangerous.
											They easily become prey
to populists in elections,
											or even take up arms.
											Fake news is not only bad for journalism.
											It's a threat for democracy and society.
									","
											Muchos empiezan a dudar de todo
											y esto es aún más peligroso.
											Se vuelven presas fáciles
para los populistas en las elecciones,
											o incluso toman las armas.
											Las noticias falsas no son malas
solo para el periodismo,
											son una amenaza para
la sociedad y la democracia.
									","
											Viele Menschen glauben niemandem mehr,
											und das ist sogar noch gefährlicher.
											Sie werden bei Wahlen
leicht zum Opfer von Populisten
											oder greifen sogar zur Waffe.
											Fake News sind nicht nur schlecht
für den Journalismus,
											sondern eine Gefahr
für Demokratie und Gesellschaft.
									","
											Birçok insan artık
kimseye inanmıyor.
											Bu, daha da tehlikeli bir durum.
											Seçimlerde kolaylıkla
çoğulcuların yemi oluyorlar.
											Hatta bazen silahlanıyorlar bile.
											Yalan haber 
sadece gazetecilik için kötü değil.
											Demokrasi ve toplum için de 
bir tehdit.
									","
											On les voit et on les lit tout le temps.
											Mais leur particularité
											est qu'on ne sait pas toujours
											ce qui est faux et ce qui est réel,
											alors qu'on base nos décisions
sur les faits
											lus sur les journaux ou
sur les réseaux sociaux.
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
","
","
","
","
",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
"
											Four years ago, unmarked soldiers
											entered the Crimean Peninsula,
											and at the same time,
											Russian media was going crazy
with fake news about Ukraine.
											So a group of journalists, including me,
											started a website
to investigate this fake news.
											We called it StopFake.
											The idea was simple:
											take a piece of news,
check it with verifiable proof
											like photos, videos
and other strong evidence.
											If it turns out to be fake,
we put it on our website.
											Now, StopFake is an informational hub
											which analyzes propaganda
in all its phases.
											We have 11 language versions,
we have millions of views,
											We have taught more than 10,000 people
											how to distinguish true from false.
											And we teach fact checkers
all around the world.
									","
											Hace cuatro años, soldados sin distintivos
entraron a la península de Crimea
											y en el mismo momento,
											los medios rusos enloquecían
con noticias falsas sobre Ucrania.
											Así que un grupo de periodistas,
del que yo era parte,
											creó un sitio web para
investigar estas noticias falsas.
											Lo llamamos ""StopFake"".
											La idea era simple:
											tomar una noticia,
buscar pruebas de su veracidad,
											como fotos, videos
y otras evidencias concretas,
											y si resulta ser falsa,
la ponemos en nuestro sitio web.
											StopFake es ahora
un centro de información
											que analiza propaganda en todas sus fases.
											Tenemos versiones en 11 idiomas
y tenemos millones de visitas.
											Hemos enseñado a más de 10 000 personas
cómo distinguir lo verdadero de lo falso
											y hemos entrenado a verificadores
de información en todo el mundo.
									","
											Vor vier Jahren fielen Soldaten
ohne Hoheitsabzeichen
											auf der Halbinsel Krim ein.
											Zur gleichen Zeit tauchten
in den russischen Medien
											massenweise Fake News
über die Ukraine auf.
											Also beschloss eine Gruppe
von Journalisten — darunter auch ich —,
											eine Website zur Hinterfragung 
von Fake News zu starten.
											Wir nannten sie StopFake.
											Die Idee war einfach:
											Nimm eine Nachricht und überprüfe sie
mit eindeutigen Belegen,
											z. B. Fotos, Videos
oder anderen starken Beweisen.
											Erweist sie sich als falsch,
setzen wir sie auf die Website.
											StopFake ist heute
ein Informationszentrum,
											das Propaganda in jeder Form analysiert.
											Es gibt uns in elf Sprachen,
wir haben Millionen Besucher,
											wir haben schon über
10.000 Leuten beigebracht,
											das Wahre vom Falschen zu unterscheiden.
											Und wir unterweisen Faktenprüfer
überall auf der Welt.
									","
											Dört yıl evvel işaretsiz askerler
											Kırım Yarımadası'na girdi.
											Aynı süre zarfında
											Rus medyası Ukrayna hakkında çılgıncasına
yalan haber üretmekle meşguldü.
											Benim de dâhil olduğum
bir grup gazeteci
											bu yalan haberleri incelemek için
bir websitesi kurduk.
											Adını StopFake (SahteliğiDurdur) koyduk.
											Fikir basitti:
											bir haberin bir parçasını alıp
fotoğraf, video ve diğer güçlü
											kanıtlar gibi doğrulanabilir 
kanıtlarla denetlemek.
											Eğer sahte çıkarsa
sitemize koyuyoruz.
											StopFake propagandayı 

											her aşamasında inceleyen
bir veri aktarım merkezi.
											11 dilde iletişim kuran, 
milyonların izlediği bir sitemiz var.
											10.000'den fazla kişiye
											doğruyu yanlıştan ayırt etmeyi öğrettik.
											Bütün dünyada içerik teyit edenlere
eğitimler veriyoruz.
									","
											Quand les faits sont faux,
les décisions sont mauvaises.
											Beaucoup de gens arrêtent complètement
de croire qui que ce soit,
											et cela est encore plus dangereux.
											Ils deviennent facilement la proie 
des populistes pendant les élections
											ou prennent même les armes.
											Une « fake news » n'est pas
mauvaise que pour la presse
											mais est une menace
pour la démocratie et la société.
											Il y a quatre ans, des soldats anonymes
											sont entrés dans la péninsule de Crimée,
											et en même temps,
											les médias russes étaient remplis
de « fake news » sur l'Ukraine.
											Alors, un groupe de journalistes,
dont je fais partie,
											a développé un site internet
pour enquêter sur ces « fake news ».
											Nous l'avons appelé StopFake.
											L'idée était simple :
									",Inside the fight against Russia's fake news empire,Olga Yurkova,5:16,"government,news,politics,journalism,corruption,society,social media,social change,technology,communication,Internet,democracy,war,TED Fellows"
