en,de,tr,title,speaker,duration,tags
"
","
","
",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
											Most of us go through life trying
to do our best at whatever we do,
											whether it's our job, family, school
											or anything else.
											I feel that way. I try my best.
											But some time ago, I came to a realization
											that I wasn't getting much better
at the things I cared most about,
											whether it was being a husband or a friend
											or a professional or teammate,
											and I wasn't improving
much at those things
											even though I was spending a lot of time
											working hard at them.
											I've since realized from conversations
I've had and from research
											that this stagnation, despite hard work,
											turns out to be pretty common.
									","
											Die meisten von uns versuchen 
im Leben das Beste zu tun,
											ob es um unsere Arbeit geht,
die Familie, die Schule
											oder um etwas anderes.
											Mir geht es so. Ich tue mein Bestes.
											Vor einiger Zeit fiel mir auf,
											dass ich in den Dingen, die mir 
wichtig waren, nicht viel besser wurde,
											sei es als Ehemann oder Freund,
											als Fachmann oder Teamkollege.
											Ich verbesserte mich kaum,
											obwohl ich viel Zeit damit verbrachte
											und hart daran arbeitete.
											Aus Gesprächen und Untersuchungen
											entnahm ich, dass diese Stagnation,
obwohl man hart arbeitet,
											sehr verbreitet ist.
									","
											Çoğumuzun hayatı her şeyin
en iyisini yapmaya
											çalışarak geçiyor; 
işimizde, ailemizde, okulda,
											herhangi bir şeyde...
											Ben de elimden gelenin en 
iyisini yapmaya çalışıyorum.
											Fakat bir süre önce,
en fazla önem verdiğim
											şeylerde pek bir gelişme
sağlamadığımın farkına vardım,
											bu bir eş veya
bir arkadaş ya da
											bir profesyonel veya bir takım
arkadaşı olmak olabilir,
											bunlar üzerinde çalışmama
											ve fazlaca zaman ayırmama rağmen
											gelişim göstermiyordum.
											Ettiğim sohbetlerden ve
yaptığım araştırmalardan yola çıkarak
											sıkı çalışmaya rağmen bu kesatlığın
											oldukça yaygın olduğunu fark ettim.
									",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
","
","
",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
											So I'd like to share with you
some insights into why that is
											and what we can all do about it.
											What I've learned
is that the most effective people
											and teams in any domain
											do something we can all emulate.
											They go through life deliberately
alternating between two zones:
											the learning zone
and the performance zone.
									","
											Ich möchte Ihnen daher ein paar Einblicke
geben, warum das so ist
											und was wir tun können.
											Ich habe herausgefunden,
											dass die effektivsten Leute
und Teams auf jedem Gebiet
											etwas tun, dem wir nacheifern können.
											Sie wechseln in ihrem Leben 
bewusst zwischen zwei Zonen:
											der Lernzone und der Leistungszone.
									","
											Bunun nedenine ve bu konuda
ne yapabileceğimize dair
											anladıklarımı paylaşmak isterim.
											Öğrendiğim şey,
herhangi bir alandaki en etkili
											insanlar ve takımlar,
örnek alabileceğimiz
											bir şey yapıyorlar.
											Hayatlarını iki alan hâlinde 
tasarlayarak yaşıyorlar:
											öğrenme alanı ve performans alanı.
									",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
","
","
",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
											The learning zone
is when our goal is to improve.
											Then we do activities
designed for improvement,
											concentrating on what
we haven't mastered yet,
											which means we have to expect
to make mistakes,
											knowing that we will learn from them.
											That is very different from what we do
when we're in our performance zone,
											which is when our goal is to do something
as best as we can, to execute.
											Then we concentrate
on what we have already mastered
											and we try to minimize mistakes.
									","
											Lernzone bedeutet: Unser Ziel ist es,
uns zu verbessern.
											Dann tun wir Dinge, die auf
Verbesserung ausgelegt sind
											und konzentrieren uns darauf,
was uns noch nicht gelungen ist,
											d. h. wir müssen mit Fehlern rechnen
											und dabei wissen, 
dass wir daraus lernen werden.
											Das ist ganz anders, wenn wir 
in unserer Leistungszone sind,
											wenn unser Ziel lautet, etwas so gut
wie möglich auszuführen.
											Dann konzentrieren wir uns darauf,
was wir schon geschafft haben
											und versuchen, Fehler zu minimieren.
									","
											Öğrenme alanı,
kendimizi geliştirdiğimiz zamandır.
											Henüz uzmanlaşmadığımız 
bir konuya odaklanarak
											gelişim için tasarlanmış
aktiviteler yaparız, bu da
											hata yaparak öğreneceğimizi bilerek
											hata yapmayı beklediğimiz anlamına gelir.
											Bu, amacımızın bir şeyi olabildiğince
iyi şekilde yapmak, sergilemek olduğu
											performans alanında yaptığımız
şeyden çok farklıdır.
											Daha sonra uzmanlaştığımız
konuya odaklanırız
											ve hataları indirgemeye çalışırız.
									",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
","
","
",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
											Both of these zones
should be part of our lives,
											but being clear about
when we want to be in each of them,
											with what goal, focus and expectations,
											helps us better perform
and better improve.
											The performance zone maximizes
our immediate performance,
											while the learning zone
maximizes our growth
											and our future performance.
											The reason many of us don't improve much
											despite our hard work
											is that we tend to spend almost
all of our time in the performance zone.
											This hinders our growth,
											and ironically, over the long term,
also our performance.
									","
											Beide Zonen sollten Teil
unseres Lebens sein,
											aber uns sollte klar sein,
wann wir in einer der beiden sind
											und mit welchem Ziel,
Fokus und Erwartungen.
											Das verhilft uns zu besseren Leistungen
und Verbesserungen.
											Die Leistungszone maximiert
unsere unmittelbare Leistung,
											während die Lernzone unser Wachstum
											und unsere künftige Leistung maximiert.
											Der Grund, warum viele von uns sich
											trotz harter Arbeit kaum verbessern,
											ist, dass wir die meiste Zeit in unserer
Leistungszone verbringen.
											Das hindert unsere Entwicklung
											und ironischerweise auf lange Sicht
auch unsere Leistung.
									","
											Her iki alan da
yaşamlarımızın birer parçası olmalı
											fakat her birinde ne zaman, ne amaçla,
hangi odak ve beklentilerle
											bulunmak istediğimiz konusunda net olmak
											daha iyi performans göstermemizi
ve gelişmemizi sağlar.
											Performans alanı, anlık
performansımızı yükseltirken,
											öğrenme alanı da büyümemizi 
ve gelecekteki
											performansımızı yükseltir.
											Çoğumuzun sıkı çalışmaya rağmen
											yol alamamasının nedeni,
											vaktimizin neredeyse tamamını
performans alanında geçiriyor olmamızdır.
											Bu büyümemizi engeller
											ve ironiktir ki uzun vadede
performansımızı da engeller.
									",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
","
","
",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
"
											So what does the learning zone look like?
											Take Demosthenes, a political leader
											and the greatest orator
and lawyer in ancient Greece.
											To become great,
he didn't spend all his time
											just being an orator or a lawyer,
											which would be his performance zone.
											But instead, he did activities
designed for improvement.
											Of course, he studied a lot.
											He studied law and philosophy
with guidance from mentors,
											but he also realized that being a lawyer
involved persuading other people,
											so he also studied great speeches
											and acting.
											To get rid of an odd habit he had
of involuntarily lifting his shoulder,
											he practiced his speeches
in front of a mirror,
											and he suspended a sword from the ceiling
											so that if he raised his shoulder,
											it would hurt.
									","
											Wie sieht die Lernzone aus?
											Demosthenes etwa, ein Politiker
											und der größte Redner und Anwalt
im alten Griechenland.
											Um weiter zu kommen,
verbrachte er nicht die ganze Zeit
											als Redner oder Anwalt,
											was seiner Leistungszone 
entsprochen hätte.
											Stattdessen machte er Dinge,
um sich zu verbessern.
											Natürlich studierte er viel.
											Er studierte Recht und Philosophie
unter Anleitung von Mentoren,
											aber er merkte auch, dass er als Anwalt
andere Leute überzeugen musste,
											deshalb studierte er große Reden
											und die Schauspielerei.
											Um eine alte Gewohnheit loszuwerden —
er zog unfreiwillig eine Schulter hoch —
											übte er seine Reden vor einem Spiegel
											und hängte ein Schwert an die Decke,
											sodass es ihn, wenn er seine Schulter hob,
											schmerzen würde.
									","
											Peki, öğrenme alanı nasıl bir şeydir?
											Demostenes'i düşünün,
politik bir lider ve
											antik Yunan'daki en iyi konuşmacı
ve avukat.
											En iyi olmak için
tüm vaktini yalnızca bir konuşmacı
											veya avukat olarak geçirmedi,
											ki bu performans alanı olurdu.
											Bunun yerine, gelişim için
tasarlanan aktiviteler yaptı.
											Elbette çok çalıştı.
											Akıl hocalarının rehberliğinde
hukuk ve felsefe çalıştı
											fakat aynı zamanda avukat olmanın
insanları ikna etmeyi de içerdiğini
											fark ettiği için konuşma ve rol yapma
											üzerine de çalıştı.
											İstemsizce omzunu kaldırma
huyundan kurtulmak için
											ayna karşısında konuşma pratikleri yaptı
											ve omzunu kaldırdığı takdirde omzuna batıp
											canını acıtsın diye tavandan aşağı
											bir kılıç sarkıttı.
									",How to get better at the things you care about,Eduardo Briceño,11:22,"education,intelligence,goal-setting,mindfulness,performance,motivation,personal growth,self,TEDx,teaching,work-life balance,psychology"
