en,pt,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","
",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
											Dutch artist Piet Mondrian’s abstract,
rectangular paintings
											inspired mathematicians 
to create a two-fold challenge.
											First, we must completely cover a square
canvas with non-overlapping rectangles.
											All must be unique, so if we use a 1x4, 
we can’t use a 4x1 in another spot,
											but a 2x2 rectangle would be fine.
									","
											As pinturas abstratas e retangulares
do artista holandês Piet Mondrian
											inspiraram os matemáticos
a criar um duplo desafio.
											Primeiro, temos que cobrir totalmente
uma tela quadriculada
											com quadriláteros que não se sobreponham.
											Todos eles têm que ser diferentes.
											Assim, se usares um com 1x4,
não podes usar outro igual noutro local
											mas podes usar um retângulo com 2x2.
									","
											Hollandalı sanatçı Piet Mondrian’ın
soyut, geometrik resimleri
											matematikçilere iki aşamalı bir bilmece 
yaratmaları için ilham kaynağı oldu.
											Kare şeklindeki bir tuvali üst üste 
gelmeyecek dikdörtgenlerle kaplamalıyız.
											Her biri farklı olmalı, yani 1x4 
kullandıysak, başka bir yerde 4x1
											kullanamayız ama 2x2'lik bir kareyi 
kullanabiliriz.
									","
											Las pinturas rectangulares del artista
abstracto danés Piet Mondrian
											inspiraron a los matemáticos 
a crear un doble desafío.
											Primero, completar un lienzo
cuadrado con rectángulos no superpuestos.
											Todos deben ser únicos; si usamos un 1x4
no podemos usar un 4x1 en otro punto,
											pero un rectángulo 2x2 estaría bien.
									","
											Les peintures rectangulaires et abstraites
de l'artiste néerlandais Piet Mondrian
											ont inspiré aux mathématiciens
la création d'un double défi :
											nous devons recouvrir une toile carrée
de rectangles ne se chevauchant pas.
											Tout doit être unique : si on utilise
un 1x4, on ne peut pas utiliser un 4x1,
											mais un rectangle de 2x2 conviendrait.
									",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
","
","
","
","
",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
											Let’s try that.
											Say we have a canvas measuring 4x4.
											We can’t chop it directly in half,
											since that would give us 
identical rectangles of 2x4.
											But the next closest option 
- 3x4 and 1x4 - works.
									","
											Vamos experimentar.
											Digamos que temos
uma tela que mede 4x4.
											Não podemos dividi-la ao meio,
diretamente,
											porque isso dar-nos-ia
retângulos iguais com 2x4.
											Mas a opção mais próxima
- 3x4 e 1x4 - funciona.
									","
											Haydi deneyelim.
											4x4 ölçülerinde bir tuvalimiz
olduğunu düşünelim.

											Onu direkt olarak ikiye bölemeyiz,
											çünkü eğer öyle yaparsak aynı ölçüde, 
iki adet 2x4 dikdörtgen elde etmiş oluruz.
											Ama buna en yakın seçenek 
- 3x4 ve 1x4 - işimize yarar.
									","
											Probémoslo.
											Digamos que tenemos 
un lienzo que mide 4x4.
											No podemos partirlo por la mitad,
											ya que nos daría 
rectángulos idénticos de 2x4.
											Pero la siguiente opción 
más cercana: 3x4 y 1x4 funciona.
									","
											Essayons cela.
											Imaginons que nous ayons une toile de 4x4.
											Nous ne pouvons pas
la diviser en 2,
											car cela nous donnerait
2 rectangles identiques de 2x4.
											Mais l'option la plus proche,
3x4 et 1x4 fonctionne.
									",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
","
","
","
","
",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
											That was easy, but we’re not done yet.
											Now take the area 
of the largest rectangle,
											and subtract the area of the smallest.
											The result is our score,
											and the goal is to get 
as low a score as possible.
											Here, the largest area is 12 
and the smallest is 4,
											giving us a score of 8.
									","
											Isto foi fácil, mas ainda não acabámos.
											Agora, calculem a área
do retângulo maior,
											e subtraiam a área do mais pequeno.
											O resultado é a nossa pontuação.
											O objetivo é obter a pontuação
mais baixa possível.
											Aqui, a área maior é 12
e a mais pequena é 4
											o que nos dá uma pontuação de 8.
									","
											Buraya kadar kolaydı, 
ama işimiz henüz bitmedi.
											Şimdi, en geniş 
dikdörtgenin alanından,
											en küçük olanın alanını çıkaralım.
											Çıkan sonuç bizim puanımız
											ve amacımız ise alabileceğimiz
en az puanı almak.
											Burada en büyük alan 12
ve en küçük alan 4,
											8 puan elde etmemizi sağlıyor.
									","
											Esto fue fácil, pero no hemos acabado.
											Ahora tomamos el área 
del rectángulo más grande,
											y sustraemos el área del más pequeño.
											El resultado es nuestra puntuación
											y el objeto es conseguir 
la puntuación más baja posible.
											Aquí, el área más grande es 12
y el más pequeño es 4,
											dándonos un resultado de 8.
									","
											C'était facile, mais ce n'est pas terminé.
											Prenons maintenant l'aire
du plus grand rectangle
											et ôtons-lui l'aire du plus petit.
											Le résultat est notre score,
											le but étant d'obtenir
le plus petit score possible.
											Ici, l'aire la plus large est 12,
la plus petite 4,
											nous donnant ainsi le score de 8.
									",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
","
","
","
","
",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
											Since we didn’t try to go 
for a low score that time,
											we can probably do better.
											Let’s keep our 1x4
											while breaking the 3x4 
into a 3x3 and a 3x1.
											Now our score is 9 minus 3, or 6.
											Still not optimal, but better.
									","
											Como não tentámos obter
uma pontuação baixa desta vez
											talvez consigamos fazer melhor.
											Mantemos o retângulo de 1x4
											e dividimos o retângulo com 3x4
em dois: 3x3 e 3x1.
											Agora, a pontuação é 9
menos 3, ou seja, 6.
											Ainda não é a pontuação ótima,
mas já está melhor.
									","
											Henüz az puan almayı
denemedik,
											muhtemelen 
bundan daha iyisini yapabiliriz.
											1x4’ü koruyarak

											3x4’ü, 3x3
ve 3x1’e ayıralım.

											Şimdi ise puanımız, 9 eksi 3, yani 6.

											Hâlâ mükemmel değil, ama daha iyi.

									","
											Como no intentamos obtener 
un resultado menor esta vez,
											probablemente podemos hacerlo mejor.
											Mantengamos nuestro 1x4
											mientras dividimos el 3x4
en un 3x3 y un 3x1.
											Ahora nuestro resultado es 9 menos 3, o 6.
											Aún no es óptimo, pero vamos mejorando.
									","
											Comme nous n'avons pas cherché à faire
le plus petit score ici,
											nous pouvons faire mieux.
											Gardons notre 1x4
											et cassons le 3x4 en un 3x3 et 3x1.
											Notre score est maintenant
de 9 moins 3, soit 6.
											Ce n'est toujours pas le meilleur,
mais c'est déjà mieux.
									",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
","
","
","
","
",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
"
											With such a small canvas, 
there are only a few options.
											But let’s see what happens
when the canvas gets bigger.
											Try out an 8x8; 
what’s the lowest score you can get?
									","
											Com uma tela tão pequena
só há poucas opções.
											Vejamos o que acontece 
quando a tela é maior.
											Experimenta uma com 8x8.
Qual é a pontuação mais baixa possível?
									","
											Bu kadar küçük bir tuval üzerinde
oldukça az seçeneğimiz var.
											O hâlde daha büyük bir tuvalde 
denediğimizde ne olduğuna bir bakalım.
											8x8 üzerinde deneyelim,
elde edebileceğimiz en az puan kaç olurdu?
									","
											Con un lienzo tan pequeño
solo tenemos un par de opciones.
											Pero veamos qué pasa cuando
el lienzo se hace más grande.
											Prueba un 8x8, ¿cuál es el resultado
más bajo que puedes obtener?
									","
											Avec de petites toiles,
il n'y a que peu de possibilités.
											Voyons ce qu'il se passe
avec une plus grande toile.
											Essayons une 8x8. Quel est le plus petit
score que vous atteignez ?
									",Can you solve the Mondrian squares riddle?,Gordon Hamilton,4:37,"TED-Ed,math"
