es,en,de,title,speaker,duration,tags
"
","
","
",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
											Soy casi una fanática loca.
											Siempre supe que la era del diseño 
estaba sobre nosotros,
											casi como una Revelación.
											Si está soleado, pienso:
											""Oh, los dioses tuvieron un buen día de diseño"".
											O si voy a una muestra y veo 
una pieza hermosa de un artista,
											muy hermosa, digo
											que es tan bueno porque trataba de diseñar
											para entender qué tenía que hacer.
									","
											I'm almost like a crazy evangelical.
											I've always known that the age of design is upon us,
											almost like a rapture.
											If the day is sunny, I think,
											""Oh, the gods have had a good design day.""
											Or, I go to a show and I see a beautiful piece by an artist,
											particularly beautiful, I say
											he's so good because he clearly looked to design
											to understand what he needed to do.
									","
											Ich bin fast wie eine 
verrückte Protestantin.
											Ich wusste schon immer, dass 
das Zeitalter des Designs gekommen ist,
											fast wie eine Entrückung.
											Bei Sonnenschein
denke ich:
											""Oh, die Götter hatten
einen guten Design-Tag.""
											Bei einer Show sehe ich ein schönes
Ausstellungsstück eines Künstlers,
											ein besonders schönes, 
so sage ich:
											""Er ist so gut, weil er 
eindeutig zu kreieren versuchte,
											um zu verstehen, 
was er tun musste.""
									",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
","
","
",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
											Realmente creo que el diseño
											es la forma más elevada de la expresión creativa.
											Por eso les hablo hoy sobre la era del diseño,
											y en la era del diseño
											aún hay muebles bonitos, carteles,
											autos rápidos, lo que ven en el MoMA.
											En verdad, lo que quisiera explicar
											al público y a los visitantes del MoMA es que
											las sillas más interesantes
											están en realidad hechas por un robot,
											como esta hermosa silla de Dirk Vander Kooij,
											en la que un robot deposita una sustancia
que parece dentífrico,
											hecha con partes de refrigeradores reciclados
											,como si fuera un gran caramelo, 
y hace una silla con eso.
											O el buen diseño son las fuentes digitales 
que utilizamos todo el tiempo
											y que se vuelven parte de nuestra identidad.
											Quiero que la gente entienda
											que el diseño es muchísimo más que sillas bonitas,
											que es, antes que nada, todo lo que nos rodea
											en nuestra vida.
									","
											So I really do believe that design
											is the highest form of creative expression.
											That's why I'm talking to you today about the age of design,
											and the age of design is the age in which design
											is still cute furniture, is still posters,
											is still fast cars, what you see at MoMA today.
											But in truth, what I really would like to explain
											to the public and to the audiences of MoMA is that
											the most interesting chairs are the ones
											that are actually made by a robot,
											like this beautiful chair by Dirk Vander Kooij,
											where a robot deposits a toothpaste-like slur
											of recycled refrigerator parts,
											as if he were a big candy, and makes a chair out of it.
											Or good design is digital fonts that we use all the time
											and that become part of our identity.
											I want people to understand
											that design is so much more than cute chairs,
											that it is first and foremost everything that is around us
											in our life.
									","
											Ich glaube wirklich,
dass Design
											die höchste Form des 
kreativen Ausdrucks ist.
											Darum rede ich heute 
über das Zeitalter des Designs.
											In so einem Zeitalter,
in dem Design
											noch stets schöne
Möbel und Poster ist,
											schnelle Autos, was Sie 
heute im MoMA sehen.
											Aber eigentlich möchte
ich wirklich
											der Öffentlichkeit und
dem MoMA-Publikum zeigen,
											dass die interessantesten 
Stühle diejenigen sind,
											die von einem Roboter 
gemacht wurden,
											so wie dieser schöne Stuhl 
von Dirk Vander Kooij,
											wo ein Roboter, ähnlich wie
bei einer Zahnpastatube,
											eine Masse aus
recycelten Kühlschrankteilen,
											als wäre es ein großes Bonbon, 
zu einem Stuhl formt.
											Digitale Schriften, die wir
ständig nutzen, sind gutes Design
											und sie wurden Teil 
unserer Identität.
											Menschen sollen verstehen,
											dass Design viel mehr ist 
als nur schöne Stühle,
											dass es vor allem das ist, 
was sich um uns herum
											in unserem Leben befindet.
									",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
","
","
",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
											Y es interesante que mucho 
de lo que estamos hablando
											esta noche no es solo sobre el diseño 
sino sobre el diseño interactivo.
											De hecho, el diseño interactivo
es lo que he estado tratando
											de agregar a la colección 
del Museo de Arte Moderno
											desde hace unos años, y comenzamos sin timidez,
											siendo bien explícitos, con obras como la de
											Martin Wattenberg, cómo una máquina
											juega al ajedrez con sigo misma,
como ven aquí,
											o de Lisa Strausfeld y sus compañeros, 
la interfaz Sugar
											para OLPC 
[una computadora portátil por niño],
											los instrumentos musicales Tenori-On de Toshio Iwai,
											Shadow Monsters de Philip Worthington,
											los libros reactivos de John Maeda,
											y ,también, I Want You To Want Me, 
de Jonathan Harris y Sep Kamvar.
											Estas fueron algunas de las primeras 
adquisiciones que realmente
											introdujeron la idea de diseño interactivo al público.
									","
											And it's interesting how so much of what we're talking about
											tonight is not simply design but interaction design.
											And in fact, interaction design is what I've been trying
											to insert in the collection of the Museum of Modern Art
											for a few years, starting not very timidly
											but just pointedly with works, for instance,
											by Martin Wattenberg — the way a machine
											plays chess with itself, that you see here,
											or Lisa Strausfeld and her partners, the Sugar interface
											for One Laptop Per Child,
											Toshio Iwai's Tenori-On musical instruments,
											and Philip Worthington's Shadow Monsters,
											and John Maeda's Reactive Books,
											and also Jonathan Harris and Sep Kamvar's I Want You To Want Me.
											These were some of the first acquisitions that really
											introduced the idea of interaction design to the public.
									","
											Interessanterweise ist
hier heute Vieles
											nicht einfach Design,
sondern Interaktionsdesign.
											Tatsächlich versuche ich
seit einigen Jahren,
											es in die Sammlung des 
Museum of Modern Art
											zu integrieren, 
nicht sehr zaghaft,
											sondern demonstrativ mit 
Werken, zum Beispiel
											von Martin Wattenberg – 
wie eine Maschine
											mit sich selbst Schach spielt, 
die Sie hier sehen.
											Lisa Strausfeld und ihre Partner, 
die ""Sugar-Oberfläche""
											für ""One Laptop Per Child"".
											Toshio Iwais 
""Tenori-On Musikinstrumente"".
											Philip Worthingtons 
""Schattenmonster"".
											John Maedas 
""Reagierende Bücher"".
											Jonathan Harris und Sep Kamvars
""Ich will, dass du mich willst"".
											Dies waren einige der 
ersten Akquisitionen, die
											die Idee des Interaktionsdesigns
der Öffentlichkeit vorstellten.
									",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
","
","
",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
											Más recientemente, traté de profundizar aún más
											en el diseño interactivo, con ejemplos
											que emocionalmente son muy sugestivos
											y que realmente explican 
el diseño interactivo a un punto
											que es casi indiscutible.
											Wind Map, de Wattenberg y Fernanda Viégas,
											es realmente fantástico; 
no sé si alguna vez lo han visto.
											Se ve el territorio de los Estados Unidos
											como si se fuera un campo de trigo 
barrido por los vientos
											y realmente nos da una imagen gráfica
											de lo que pasa con los vientos
en los Estados Unidos.
									","
											But more recently, I've been trying really to go even deeper
											into interaction design with examples
											that are emotionally really suggestive
											and that really explain interaction design at a level
											that is almost undeniable.
											The Wind Map, by Wattenberg and Fernanda Viégas,
											I don't know if you've ever seen it — it's really fantastic.
											It looks at the territory of the United States
											as if it were a wheat field that is procured by the winds
											and that is really giving you a pictorial image
											of what's going on with the winds in the United States.
									","
											Zuletzt wollte ich noch etwas
tiefer einsteigen,
											Beispiele für 
Interaktionsdesign finden,
											die emotional wirklich 
vielsagend sind
											und die Interaktionsdesign 
auf einer Ebene erklären,
											die fast nicht zu leugnen ist.
											""Die Windkarte"" von Wattenberg 
und Fernanda Viégas,
											Ich weiß nicht, ob Sie es kennen –
es ist wirklich fantastisch.
											Es sieht das Gebiet
der Vereinigten Staaten
											als wäre es ein Weizenfeld, 
mit dem der Wind spielt
											und das ergibt eine
bildliche Darstellung
											der in den Vereinigten Staaten 
herrschenden Winde.
									",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
","
","
",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
"
											Hace poco, empezamos a adquirir videojuegos,
											y ahí se armó la gorda
											de un modo muy interesante. (Risas)
											Algunos todavía creen que hay 
un punto alto y uno bajo.
											Y eso es realmente lo que me parece tan intrigante
											de las reacciones que hemos tenido sobre la unción
											de los videojuegos en la colección del MoMA.
											La New York Magazine siempre lo entiende.
											Me encantan. 
Estamos en la misma sintonía.
											Estamos en la alta cultura, 
que es atrevida, que es valiente,
											y brillante, que es maravillosa.
											Tímidamente, hemos estado más alto en la diagonal en otras situaciones,
											pero está bien. Está bien. Está bien. Está bien. (Risas)
									","
											But also, more recently, we started acquiring video games,
											and that's where all hell broke loose
											in a really interesting way. (Laughter)
											There are still people that believe that there's a high and there's a low.
											And that's really what I find so intriguing
											about the reactions that we've had to the anointment
											of video games in the MoMA collection.
											We've — No, first of all, New York Magazine always gets it.
											I love them. So we are in the right quadrant.
											We are in the Highbrow — that's daring, that's courageous —
											and Brilliant, which is great.
											Timidly, we've been higher on the diagonal in other situations,
											but it's okay. It's good. It's good. It's good. (Laughter)
									","
											Kürzlich begannen wir
Videospiele zu erwerben
											und dann brach
die Hölle los,
											auf eine sehr interessante 
Art und Weise. (Lachen)
											Manche Menschen denken noch
immer in Kategorien.
											Das finde ich
so faszinierend
											an den Reaktionen, 
die wir bezüglich der Aufnahme
											von Videospielen in die 
Sammlung des MoMA hatten.
											Vorab: New York Magazine 
kapiert es immer.
											Ich liebe sie. Wir sind im 
richtigen Quadranten.
											Wir sind in der Hochkultur –
das ist gewagt, das ist mutig –
											und brillant, 
das ist großartig.
											Schüchtern, wir waren sonst
höher auf der Diagonalen,
											aber das ist okay. 
Es ist gut. (Lachen)
									",Why I brought Pac-Man to MoMA,Paola Antonelli,18:42,"art,design,gaming,museums"
