en,fr,es,pt,title,speaker,duration,tags
"
","
","
","
",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
											So when I was a little girl,
											a book sat on the coffee table
in our living room,
											just steps from our front door.
											And the living room is a first impression.
											Ours had white carpet
											and a curio of my mother's
most treasured collectibles.
											That room represented the sacrifices
of generations gone by
											who, by poverty or by policy,
											couldn't afford a curio of collectibles
											let alone a middle class house
to put them in.
											That room had to stay perfect.
											But I would risk messing up
that perfect room every day
											just to see that book.
											On the cover sat a woman
named Septima Clark.
											She sat in perfect profile
with her face raised to the sky.
											She had perfect salt-and-pepper cornrows
											platted down the sides of her head,
											and pride and wisdom
just emanated from her dark skin.
									","
											Quand j'étais petite,
											il y avait un livre sur la table basse
dans notre salon,
											à quelques pas de la porte d'entrée.
											Le salon est une première impression.
											Le nôtre avait de la moquette blanche
											et les plus précieux bibelots de ma mère.
											La pièce représentait les sacrifices
des générations passées
											qui, du fait de la pauvreté
ou de la législation,
											ne pouvait pas se permettre
d'avoir des bibelots
											et encore moins une maison
de classe moyenne où les mettre.
											La pièce devait demeurer parfaite.
											Mais chaque jour, je risquais
d'y mettre du désordre
											simplement pour voir ce livre.
											Sur la couverture, une femme
du nom de Septima Clark était assise.
											Elle était assise parfaitement de profil,
son visage levé vers le ciel,
											ses tresses poivre et sel parfaites
											plaquées sur les côtés de la tête ;
											la fierté et la sagesse
émanaient de sa peau mate.
									","
											Cuando era una niña,
											había un libro sobre la mesita
de la sala de estar,
											muy cerca de la puerta principal.
											La sala de estar da la primera impresión.
											Nuestra sala tenía una alfombra blanca
											y un conjunto de las más preciadas
piezas de colección de mi madre.
											Esa sala representaba los sacrificios
de generaciones pasadas
											que, ya sea por la pobreza o por política,
											no podían comprar objetos de ese tipo,
											muchos menos una familia de clase 
media para exhibirlas en su casa.
											Esa sala tenía que mantenerse perfecta.
											Pero todos los días me arriesgaba
a desordenar esa sala perfecta
											solo para ver ese libro.
											En la cubierta había una mujer
llamada Septima Clark.
											Tenía un perfil perfecto,
con la cara levantada hacia el cielo.
											Llevaba unas trenzas entrecanas
											perfectamente hechas
en cada costado de la cabeza,
											y de su piel oscura 
irradiaba orgullo y sabiduría.
									","
											Quando eu era criança,
											havia sempre um livro pousado
na mesa de apoio na sala de estar,
											a alguns passos da porta de entrada.
											A sala de estar é uma primeira impressão.
											A nossa tinha uma carpete branca
											e uma coleção dos objetos
mais preciosos para a minha mãe.
											Aquela divisão representava
os sacrifícios de gerações anteriores
											que, por pobreza ou política,
											não tinham condições de ter
uma coleção de objetos de valor
											e, muito menos, uma casa
razoável para os guardar.
											Aquela sala tinha de estar perfeita.
											Mas todos os dias eu arriscava-me
a desorganizar aquela sala perfeita
											só para ver aquele livro.
											Na capa havia uma mulher
chamada Septima Clark.
											Estava num perfil perfeito,
com o rosto voltado para o céu.
											Tinha trancinhas grisalhas perfeitas
											em ambos os lados da cabeça
											e o orgulho e a sabedoria
emanavam da sua pele escura.
									",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
","
","
","
",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
											Septima Clark was an activist
and an educator,
											a woman after whom I'd eventually
model my own career.
											But more than all the words
she ever spoke,
											that single portrait of Septima Clark,
											it defined confidence for me
											before I ever even knew the word.
									","
											Septima Clark était une activiste
et une éducatrice,
											un modèle selon lequel
j'allais façonner ma propre carrière.
											Mais au-delà de tous les mots
qu'elle a prononcés,
											ce seul portrait de Septima Clark
											a défini ma notion de confiance en moi
											avant même que je ne connaisse le mot.
									","
											Septima Clark fue activista y educadora,
											una mujer a quien al final seguiría
de ejemplo en mi propia carrera.
											Pero más que todas las palabras 
que ella pudo haber dicho,
											ese retrato de Septima Clark en particular
me hizo saber lo que es la confianza,
											incluso antes de conocer la palabra.
									","
											Septima Clark foi uma ativista
e uma educadora.
											uma mulher que me inspirou
na construção da minha carreira.
											Mas, mais do que as palavras
por ela proferidas,
											aquele retrato de Septima Clark
											definia a confiança para mim
											mesmo antes de eu conhecer essa palavra.
									",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
","
","
","
",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
											It may sound simple,
											but confidence is something
that we underestimate the importance of.
											We treat it like a nice-to-have
instead of a must-have.
											We place value on knowledge and resources
											above what we deem to be
the soft skill of confidence.
											But by most measures,
we have more knowledge
											and more resources now
than at any other point in history,
											and still injustice abounds
and challenges persist.
											If knowledge and resources
were all that we needed,
											we wouldn't still be here.
											And I believe that confidence
is one of the main things
											missing from the equation.
									","
											Cela peut sembler simple,
											mais nous sous-estimons l'importance
de la confiance en soi.
											Nous la traitons comme une chose
utile plutôt que nécessaire.
											Nous attribuons plus de valeur
aux connaissances et aux ressources
											qu'à ce que nous considérons être
le savoir-être de la confiance ne soi.
											Mais à presque tous les égards,
nous avons plus de savoir
											et de ressources actuellement
que n'importe quand durant l'histoire
											et l'injustice foisonne
et les défis persistent.
											Si le savoir et les ressources
étaient ce dont nous avions besoin,
											nous n'en serions plus là.
											La confiance en soi
est l'une des principales choses
											qui manquent dans l'équation.
									","
											Puede sonar elemental,
											pero la confianza es algo 
cuya importancia subestimamos.
											La consideramos como algo deseable,
y no como algo obligatorio.
											Valoramos más 
el conocimiento y los recursos
											que esa habilidad que juzgamos
blanda, que es la confianza.
											En muchos sentidos, tenemos 
más conocimiento y más recursos ahora
											que en cualquier
otro momento de la historia
											y, aun así, siguen persistiendo
la injusticia y la adversidad.
											Si todo lo que necesitáramos 
fueran conocimientos y recursos,
											ya no estaríamos aquí.
											Y creo que la confianza es 
una de las principales cosas
											que hacen falta en la ecuación.
									","
											Pode parecer simples,
											mas a confiança é algo
a que não damos grande importância.
											Tratamo-la como ser bom ter
em vez de ser essencial ter.
											Atribuímos mais valor
ao conhecimento e aos recursos
											do que à confiança que consideramos
ser uma capacidade menor.
											Mas, segundo quase todas as medidas,
temos mais conhecimentos
											e mais recursos agora
do que alguma vez na história,
											e mesmo assim abunda a injustiça
e persistem os desafios.
											Se o conhecimento e os recursos
fossem tudo o que precisamos,
											já não estaríamos aqui.
											E acredito que a confiança
é uma das coisas mais importantes
											que está a faltar na equação.
									",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
","
","
","
",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
											I'm completely obsessed with confidence.
											It's been the most important
journey of my life,
											a journey that,
to be honest, I'm still on.
											Confidence is the necessary spark
before everything that follows.
											Confidence is the difference
between being inspired
											and actually getting started,
											between trying and doing until it's done.
											Confidence helps us keep going
even when we failed.
											The name of the book on that coffee table
was ""I Dream A World,""
											and today I dream a world
where revolutionary confidence
											helps bring about our
most ambitious dreams into reality.
									","
											Je suis obsédée par la confiance ne soi.
											Cela a été le périple
le plus important de ma vie,
											un périple que je suis encore
en train d'effectuer.
											La confiance en soi est l'étincelle
nécessaire avant tout ce qui suit.
											La confiance en soi est la différence
entre le fait d'être inspiré
											et le fait de commencer,
											entre le fait d'essayer
et de faire jusqu'à ce que ce soit fait.
											La confiance en nous nous aide à avancer
même quand nous échouons.
											Le nom du livre sur la table basse
était : « Je rêve d'un monde »
											et aujourd'hui je rêve d'un monde
où une confiance en nous révolutionnaire
											nous aide à réaliser
nos rêves les plus ambitieux.
									","
											Estoy enteramente 
obsesionada con la confianza.
											Ha sido el viaje 
más importante de mi vida;
											un viaje que, para ser sincera, 
sigo haciendo.
											La confianza es la chispa necesaria
para emprender lo que sea.
											La confianza es la diferencia 
entre sentirse inspirado
											y empezar realmente algo,
											entre intentar algo
y hacerlo hasta el final.
											La confianza nos permite 
continuar aunque fallemos.
											El nombre de ese libro sobre la mesa
se titulaba 'I Dream a World',
											y hoy sueño con un mundo
donde la confianza revolucionara
											nos permita hacer realidad 
nuestros sueños más ambiciosos.
									","
											Sou obcecada pela confiança.
											tem sido o percurso
mais importante da minha vida,
											um percurso em que,
para ser honesta, ainda me encontro.
											A confiança é a chama necessária
antes de tudo o que se segue.
											A confiança é a diferença
entre estar inspirado
											e realmente começar algo,
											entre tentar e fazer até estar pronto.
											A confiança ajuda-nos a continuar,
mesmo quando falhamos.
											O nome do livro em cima daquela mesinha
era ""I Dream A World""
											e hoje eu sonho com um mundo
onde uma confiança revolucionária
											ajudará a realizar
os nossos sonhos mais ambiciosos.
									",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
","
","
","
",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
"
											That's exactly the kind of world
that I wanted to create in my classroom
											when I was a teacher,
											like a Willy Wonka world
of pure imagination,
											but make it scholarly.
											All of my students were black or brown.
											All of them were growing up
in a low-income circumstance.
											Some of them were immigrants,
some of them were disabled,
											but all of them were the very last people
											this world invites to be confident.
											That's why it was so important
that my classroom be a place
											where my students could build
the muscle of confidence,
											where they could learn to face each day
with the confidence you need
											to redesign the world
in the image of your own dreams.
											After all, what are academic skills
without the confidence to use those skills
											to go out and change the world.
									","
											C'est exactement le genre de monde
que je voulais créer dans ma classe
											quand j'étais enseignante,
											comme un monde de pure imagination
à la Willy Wonka,
											mais scolaire.
											Tous mes élèves étaient noirs ou métis.
											Ils grandissaient tous
dans un milieu à faibles revenus.
											Certains étaient des immigrants,
certains étaient handicapés,
											mais ils étaient tous
les dernières personnes
											que ce monde invite
à avoir confiance en elles.
											C'est pourquoi il était si important
que ma classe soit un lieu
											où mes élèves puissent développer
le muscle de leur confiance en eux,
											où ils puissent apprendre
à faire face à chaque jour
											avec la confiance en eux nécessaire
											à repenser le monde
à l'image de leurs rêves.
											Après tout, que sont
les compétences académiques
											sans la confiance en soi
pour employer ces compétences
											pour changer le monde ?
									","
											Esa era la clase de mundo
que quería crear en mi clase
											cuando era docente,
											como un mundo de imaginación pura
al estilo de Willy Wonka,
											pero mediante la docencia.
											Todos mis estudiantes 
eran negros o morenos.
											Todos pertenecían
a entornos de bajos ingresos.
											Algunos eran inmigrantes,
otros discapacitados,
											pero todos eran los últimos en ser 
alentados para desarrollar su confianza.
											Por eso era tan importante 
que mi clase fuese un lugar
											para que mis estudiantes pudieran
fortalecer el músculo de la confianza,
											pudieran aprender a enfrentar
el día a día con la confianza necesaria
											para reconstruir el mundo 
según sus propios sueños.
											Porque ¿para qué sirven 
las competencias académicas
											si no se tiene la confianza de usarlas
para salir y cambiar el mundo?
									","
											Esse é exatamente o mundo
que gostava de criar na minha sala de aula
											quando era professora,
											um mundo como o de Willy Wonka,
de pura imaginação,
											mas torná-lo académico.
											Todos os meus alunos
eram negros ou mestiços.
											Todos estavam a crescer
numa situação de baixos rendimentos.
											Alguns deles eram imigrantes,
alguns tinham deficiências,
											mas todos eles eram as últimas pessoas
											que este mundo convida a ser confiantes.
											Por isso, era tão importante
que a minha sala de aula fosse um local
											onde os meus alunos podiam exercitar
o músculo da confiança,
											onde podiam aprender a enfrentar
cada dia, com a confiança necessária
											para conceber o mundo
à imagem dos seus sonhos.
											Afinal de contas, o que são habilitações 
académicas sem a confiança para as usar,
											para sair e mudar o mundo?
									",How to build your confidence — and spark it in others,Brittany Packnett,13:30,"personal growth,community,potential,communication,society"
