en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
											(Imitates fishing cat)
									","
											(Imitation du cri d'un chat pêcheur)
									","
											(Balıkçı kedisi taklidi)
									","
											(Imitação de um gato-pescador)
									",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
","
","
","
",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
											That's my impersonation of a fishing cat,
											which actually sounds more like this.
									","
											Voici mon imitation
du cri d'un chat pêcheur
											qui en réalité ressemble plutôt à cela.
									","
											Bu benim bir balıkçı kedisi canlandırmam.
											Aslında sesi daha çok böyle çıkıyor:
									","
											Esta é a minha personificação
de um gato-pescador
											mas que se exprime mais ou menos assim.
									",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
","
","
","
",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
											(Prerecorded fishing cat sounds)
									","
											(Son enregistré du cri d'un chat pêcheur)
									","
											(Kaydedilmiş balıkçı kedisi sesi)
									","
											(Som do gato-pescador)
									",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
","
","
","
",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
											It's a cat that loves water,
											loves to fish,
											and lives in some of the most unique
and valuable ecosystems on earth:
											the wetlands and mangrove forests
of South and Southeast Asia.
											Aren't they fishing awesome?
									","
											C'est un félin qui adore l'eau,
											il aime pêcher
											et vit dans certains des écosystèmes
les plus rares et précieux sur Terre :
											les zones humides et les mangroves
d'Asie du Sud et du Sud-Est.
											Ne sont-ils pas « senchationnels » ?
									","
											Bu suyu seven bir kedi türü,
											balık avlamayı da sever
											ve dünyadaki en değerli ve en özgün
eko sistemlerden bazılarında yaşar:
											Güney Asya'nın ve Güneydoğu Asya'nın
sulak alanlarında ve mangrov ormanlarında.
											Muhteşem avlanmıyorlar mı?
									","
											É um gato que adora água,
											adora pescar
											e vive num dos ecossistemas
mais especiais e mais valiosos da terra,
											as zonas húmidas e as florestas de mangais
da Ásia do Sul e do Sudeste.
											Não pescam maravilhosamente?
									",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
","
","
","
",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risos)
									",The link between fishing cats and mangrove forest conservation,Ashwin Naidu,5:39,"conservation,sustainability,community,animals,science,climate change,environment,TED Fellows"
