en,tr,pt,title,speaker,duration,tags
"
","
","
",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
											We can cut violent deaths
around the world
											by 50 percent in the next three decades.
											All we have to do
is drop killing by 2.3 percent a year,
											and we'll hit that target.
									","
											Gelecek 30 yıl içinde 
dünyadaki kasıtlı ölümleri
											%50 oranında azaltabiliriz.
											Yapmamız gereken tek şey, ölümlerin
her yıl %2,3 oranında düşmesini sağlamak.
											O zaman hedefi yakalarız.
									","
											Nós podemos diminuir
as mortes violentas em todo o mundo
											em 50% nas próximas três décadas.
											Tudo o que precisamos de fazer é diminuir
os assassínios em 2,3% ao ano
											e vamos atingir esta meta.
									",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
","
","
",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
											You don't believe me?
											Well, the leading epidemiologists
and criminologists around the world
											seem to think we can, and so do I,
											but only if we focus on our cities,
especially the most fragile ones.
									","
											İnandırıcı gelmedi mi?
											Dünyanın önde gelen 
epidemiyolog ve kriminologları
											yapabileceğimizi düşünüyor,
ben de aynı fikirdeyim.
											Ancak, şehirlerimize odaklanmamız
gerekiyor, özellikle en kırılgan olanlara.
									","
											Não acreditam em mim?
											Os maiores epidemiologistas
e criminologistas de todo o mundo
											parecem acreditar que podemos,
e eu também,
											mas só se nos focarmos nas nossas cidades,
especialmente nas mais frágeis.
									",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
","
","
",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
											You see, I've been thinking
about this a lot.
											For the last 20 years, I've been working
											in countries and cities
ripped apart by conflict,
											violence, terrorism, or some
insidious combination of all.
											I've tracked gun smugglers
from Russia to Somalia,
											I've worked with warlords
in Afghanistan and the Congo,
											I've counted cadavers in Colombia, in 
Haiti, in Sri Lanka, in Papua New Guinea.
											You don't need to be
on the front line, though,
											to get a sense that our planet
is spinning out of control, right?
											There's this feeling that international
instability is the new normal.
											But I want you to take a closer look,
											and I think you'll see that
the geography of violence is changing,
											because it's not so much our nation states
that are gripped by conflict and crime
											as our cities: Aleppo, Bamako, Caracas, 
Erbil, Mosul, Tripoli, Salvador.
											Violence is migrating to the metropole.
									","
											Aslında bu, uzun zamandır
düşündüğüm bir konu.
											Son yirmi yıldan beri
çatışma, şiddet,
											terörizm ya da bunların sinsice birleşip
											paramparça ettiği ülkelerde ve 
şehirlerde çalışıyorum.
											Rusya’dan Somali’ye kadar silah 
kaçakçılarını takip ettim,
											Afganistan ve Kongo’da savaş 
ağalarıyla çalıştım,
											Kolombiya’da, Haiti’de, Sri Lanka’da, 
Papua Yeni Gine’de ceset saydım.
											Dünyamızın kontrolden çıktığını 
anlamak için
											cephe hattında olmak
gerekmiyor, değil mi?
											Uluslararası istikrarsızlığın
yeni normal olduğuna dair bir his var.
											Sizler için meseleyi biraz daha açayım ki
											şiddetin zamanla nasıl eksen
değiştirdiğini göresiniz.
											Bizler Halep, Bamako, Karakas,
Erbil, Musul, Trablusşam, Salvador gibi
											şehirlerde olduğu kadar
şiddet ve suçla iç içe olmadık.
											Şiddet metropollere yöneliyor.
									","
											Acontece que eu tenho pensado
muito sobre o assunto.
											Nos últimos 20 anos, tenho trabalhado
											em países e cidades
destruídas por conflitos,
											por violência, terrorismo ou alguma
combinação perversa destes fatores.
											Viajei com contrabandistas
da Rússia para a Somália,
											trabalhei com chefes militares
no Afeganistão e no Congo,
											contabilizei cadáveres na Colômbia,
											no Haiti, no Sri Lanka,
na Papua Nova Guiné.
											Mas não é preciso estar
na frente de batalha
											para ter a sensação
que o planeta enlouqueceu.
											Há uma sensação de que
a instabilidade internacional é normal.
											Eu quero que observem melhor,
											e acredito que verão que a geografia
da violência está a mudar de lugar
											porque não são os nossos países
que estão tão presos a conflitos e crimes
											como as nossas cidades: Aleppo, Bamako,
Caracas, Erbil, Mossul, Trípoli, Salvador.
											A violência está a migrar
para as metrópoles.
									",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
","
","
",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
											And maybe this is to be expected, right?
											After all, most people today,
they live in cities, not the countryside.
											Just 600 cities, including 30 megacities,
account for two thirds of global GDP.
											But when it comes to cities,
											the conversation is
dominated by the North,
											that is, North America, Western Europe,
Australia and Japan,
											where violence is 
actually at historic lows.
											As a result, city enthusiasts, they talk
about the triumph of the city,
											of the creative classes, and the mayors
that will rule the world.
											Now, I hope that mayors
do one day rule the world,
											but, you know, the fact is,
											we don't hear any conversation, really,
about what is happening in the South.
											And by South, I mean
Latin America, Africa, Asia,
											where violence in some
cases is accelerating,
											where infrastructure is overstretched,
											and where governance is sometimes
an aspiration and not a reality.
									","
											Aslında bu beklenen bir şeydi, değil mi?
											Günümüzde insanların büyük bir 
kısmı kırsaldan ziyade kentlerde yaşıyor.
											30 mega şehri içine alan 600 büyük şehir, 
küresel GSMH’nın üçte ikisine sahip.
											Fakat geçmişten bugüne
şiddetin düşük
											seviyelerde olduğu şehirlere geldiğimizde
											Kuzey yarım kürenin
üstünlüğü ile karşılaşırız.
											Yani; Kuzey Amerika, Batı Avrupa,
Avustralya ve Japonya.
											Sonuç olarak; bir şehri sevenler,
şehrin kazanımları, üretken sınıfları ve
											dünyayı yönetecek belediye
başkanları hakkında konuşmayı severler.
											Umarım bir gün dünyayı
yöneten başkanları da görürürüz.
											Fakat, asıl mesele şu:

											Güneyde neler döndüğüne dair 
kimse çıkıp bir çift söz söylemiyor.
											Güney derken; Latin Amerika, 
Afrika, Asya gibi
											şiddetin tırmandığı,
											altyapının alarm verdiği
											ve idari erkin varlığının değil
özleminin duyulduğu yerleri kastediyorum.
									","
											Talvez isso fosse esperado.
											Afinal, a maior parte das pessoas hoje
vive nas cidades e não no interior.
											Apenas 600 cidades,
incluindo 30 megacidades
											concentram 2/3 do PIB mundial.
											E quando se fala de cidades,
											o assunto é dominado pelo Norte:
											os EUA, o Canadá, a Europa Ocidental,
a Austrália e o Japão,
											onde a violência atingiu
uma baixa histórica.
											Como resultado, os entusiastas das cidades
falam sobre o triunfo da cidade,
											das classes criativas, dos ""mayors""
que governarão o mundo.
											Eu espero que os ""mayors""
governem o mundo um dia,
											mas, na verdade,
											não ouvimos nenhuma conversa
sobre o que está a acontecer no Sul.
											E por Sul, refiro-me
à América Latina, a África, a Ásia,
											onde a violência, nalguns casos, 
está a acelerar,
											onde as infraestruturas das cidades
são insuficientes,
											onde a governação é muitas vezes
um sonho, não uma realidade.
									",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
","
","
",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
"
											Now, some diplomats
and development experts and specialists,
											they talk about 40 to 50 fragile states
											that will shape security
in the 21st century.
											I think it's fragile cities which will
define the future of order and disorder.
											That's because warfare
and humanitarian action
											are going to be
concentrated in our cities,
											and the fight for development,
											whether you define that
as eradicating poverty,
											universal healthcare,
beating back climate change,
											will be won or lost in the shantytowns,
slums and favelas of our cities.
											I want to talk to you about four megarisks
											that I think will define
fragility in our time,
											and if we can get to grips with these,
											I think we can do something
with that lethal violence problem.
									","
											Bazı diplomatlar, şehir uzmanları 
ve konuyla ilgili diğer uzmanlar
											21. yüzyılın güvenliğini şekillendirecek 
40 ila 50 arası
											kırılgan şehir olduğunu söylüyorlar.
											Şahsen, gelecekte düzeni de karmaşayı da
bu şehirlerin belirleyeceğini düşünüyorum.
											Çünkü savaş ve insanî yardım eylemleri
											şehirlerimizde yoğunlaşacak,
											gelişim için savaş,
											fakirliği ortadan kaldırma,
genel sağlık hizmetleri,
											iklim değişiklikleriyle mücadele
diyebilirsiniz,
											şehirlerimizin gecekondu ve kenar mahalle-
lerinde kazanılacak ya da kaybedilecek.
											Size, günümüzdeki kırılganlığı
tanımlayacak
											dört büyük riskten bahsetmek istiyorum.
											Eğer biz bunların üstesinden 
gelebilirsek,
											ölümlere sebep olan şiddeti de 
halledebiliriz.
									","
											Alguns diplomatas e especialistas
em desenvolvimento
											falam de 40 a 50 estados fragilizados
											que vão definir a segurança no século XXI.
											Eu penso que estas cidades frágeis
definirão o futuro da ordem e desordem.
											Isso porque os conflitos
e as ações humanitárias
											concentrar-se-ão nas nossas cidades,
											e a luta pelo desenvolvimento,
											quer seja definida como
erradicação da pobreza,
											direito à saúde ou controlo
da alteração climática,
											será vencida ou perdida nas favelas,
nos bairros de lata das nossas cidades.
											Eu quero falar de quatro enormes riscos
											que eu penso que definirão
a fragilidade no nosso tempo
											e, se pudermos resolvê-los,
											acredito que poderemos diminuir
o problema mortal da violência.
									",How to protect fast-growing cities from failing,Robert Muggah,14:48,"cities,global issues,violence,war,youth,infrastructure"
