en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
											At no point did I think superheroes
would become such a huge part of my life.
											As a kid, I looked at them,
and I saw everything I wasn't.
											They had big muscles,
											supermodel good looks,
											and phenomenal cosmic powers.
											And me?
											I kind of looked like this,
											except shorter and with frizzier hair,
											and I never felt powerful.
											I was always just one big ball
of nervous, soft energy,
											and superheroes,
much like the bullies at school,
											didn't seem to have
a lot of room for that, for me.
											So I stayed away.
											And besides, who needs superheroes
											when you're surrounded
by Puerto Rican women from the Bronx?
									","
											En ningún momento pensé
											que las superheroínas serían
algo tan importante en mi vida.
											De niña las miraba y eran
todo lo que yo no era.
											Tenían grandes músculos,
											eran atractivas como supermodelos
											y poseían poderes cósmicos fenomenales.
											¿Y yo?
											Yo era así,
											solo que más pequeña
y con el cabello más rizado
											y nunca me sentí poderosa.
											Siempre fui una gran masa 
de energía dócil y nerviosa,
											y entre los superhéroes, que eran
como los chicos malos de la escuela,
											no había sitio para mí.
											Así que me mantenía al margen.
											Además, ¿quién necesita superhéroes
											cuando vives rodeada de mujeres 
puertorriqueñas del Bronx?
									","
											Süper kahramanların yaşamımı böylesine
kaplayacağı hayatta aklıma gelmezdi.
											Çocukken onlara baktığımda
bende olmayan ne varsa görürdüm.
											Kocaman kasları,
											süper model görüntüleri
											ve olağanüstü kozmik güçleri vardı.
											Ya ben?
											Ben yine böyleydim.
											Biraz daha kısa ve kabarık saçlı olanı...
											Ve hiç güçlü hissetmedim.
											Hassas, gergin bir enerji yumağıydım.
											ve tıpkı okuldaki zorbalar gibi
Kahramanlar arasında da
											böyle şeylere bana yer yok gibiydi.
											Ben de pek yanaşmadım.
											Dahası, Bronx
Porto Rikolu kadınlarla doluyken
											süper kahramanları kim ne yapsın?
									","
											A aucun moment, je n'ai pensé
											que les super-héros prendraient
une si grande place dans ma vie.
											Enfant, je les regardais
et je voyais tout ce que je n'étais pas.
											Ils avaient de gros muscles,
											un physique de mannequin
											et des pouvoirs cosmiques phénoménaux.
											Et moi ?
											Je ressemblais à cela,
											avec des cheveux
plus courts et plus frisés,
											et je ne me suis jamais sentie forte.
											J'ai toujours été une énorme boule
d'énergie nerveuse et douce
											et les super-héros,
comme les caïds à l'école,
											ne semblaient pas avoir de la place
pour cela, pour moi.
											Alors je gardais mes distances.
											En outre, qui a besoin de super-héros
											quand vous êtes entouré
de femmes portoricaines du Bronx ?
									",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
","
","
","
",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
","
","
","
",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
											My tías were cops and paramedics,
											my abuelas were seamstresses
and sold jewelry up the street,
											and my mom got her master's degree
											in education and taught kindergarten
in New York City public schools
											for over 30 years.
											So my superheroes were sitting
around the dinner table with me.
									","
											Mis tías eran policías y paramédicas,
											mis abuelas eras costureras
y vendían bisutería en la calle,
											y mi madre obtuvo 
una maestría en educación
											y fue maestra de kínder en las escuelas
públicas de la ciudad de Nueva York
											por más de 30 años.
											Así que yo me sentaba a la mesa
a comer con superheroínas.
									","
											Tía'larım polisti, sağlık ekibiydi;
											abuela'larım terziydi,
sokakta takı satarlardı;
											annem de eğitim doktorasını tamamlamıştı
											ve New York devlet okullarında 
ana sınıfı öğretmeniydi.
											Otuz yılı aşkın süre.
											Yani kahramanlarım 
benimle aynı sofradaydı.
									","
											Mes tantes étaient
policières et ambulancières,
											mes grands-mères étaient couturières
et vendaient des bijoux dans la rue
											et ma mère avait un master en éducation
											et a enseigné en maternelle
dans les écoles publiques de New York
											pendant plus de 30 ans.
											Mes super-héroïnes étaient assises
à la table du dîner avec moi.
									",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
","
","
","
",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
											And I don't know how much time
											you've spent with Puerto Rican
women from the Bronx,
											but we're also some
of the world's greatest storytellers.
											And I'd sit there
at my grandmother's dining room table
											and I'd listen to the women in my family
											tell these wild, rambunctious tales
about navigating their lives in the Bronx.
											And I wanted to be them so bad.
											But I wasn't tough like them either.
											So mostly, I listened,
											and I soaked it in,
											and I found myself gravitating
to the soft threads in their stories,
											and I wrote those down.
											The funny, the goofy, the gentle —
											those were my in to storytelling,
											so much so that I wrote
a young-adult novel
											called ""Juliet Takes a Breath,""
											about a chubby, queer
Puerto Rican girl from the Bronx
											navigating sexuality, family and identity.
											And on the strength of ""Juliet,""
											Marvel Comics tapped me
to write the solo series
											for their first-ever
Latina lesbian superhero,
											America Chavez.
									","
											No sé qué tanto
											Uds. conocen a las mujeres
puertorriqueñas del Bronx,
											pero también somos unas 
de las mejores narradoras del mundo.
											Me sentaba a la mesa
del comedor de mi abuela
											y escuchaba a las mujeres de mi familia
											sobre sus vidas llenas de aventuras
peligrosas y salvajes en el Bronx.
											Y quería ser como ellas,
											aunque no era tan fuerte.
											Así que casi siempre solo escuchaba
											y lo absorbía todo,
											y me vi atraída por las partes 
más tiernas de sus historias,
											y las anotaba.
											Lo gracioso, lo ridículo, lo tierno...
											eso fue lo que me llevó
a contar historias,
											tanto es así que escribí
una novela juvenil
											titulada ""Juliet Takes a Breath""
[Julieta se toma un respiro],
											sobre una chica puertorriqueña
regordeta y 'queer' del Bronx
											que explora su sexualidad,
su familia y su identidad.
											Gracias a la popularidad de Juliet,
											Marvel Comics we contactó para escribir
una serie dedicada exclusivamente
											a la primera superheroína latina lesbiana,
											América Chávez.
									","
											Bronx'tan
Porto Rikolu kadınlarla
											ne kadar zaman geçirdiniz bilmiyorum
											ama biz aynı zamanda 
dünyanın en iyi hikâye anlatıcılarıyızdır.
											Ben de orada 
büyükannemin sofrasında oturur
											ve ailemdeki kadınların
											Bronx'taki çılgın, şen şakrak 
hayat mücadelelerini dinlerdim.
											Onların yerinde olmayı çok isterdim.
											Ama onlar gibi sert değildim.
											O yüzden çoğunlukla dinledim
											ve özümsedim.
											Hikâyelerinin yumuşak 
kısımlarına çekildiğimi hissettim.
											Ve bunları yazıya döktüm.
											O komik, saçma, hassas kısımları...
											Benim öykücülüğe girişim onlarlaydı.
											Hatta bir genç yetişkin romanı yazdım.
											Adı ""Juliet Takes a Breath""
											Porto Rikolu tombul, eşcinsel bir kızın
											Bronx'ta aile ilişkileri
cinselliği ve kimliğiyle ilgiliydi.
											""Juliet""in başarısı üstüne
											Marvel ilk Latin ve lezbiyen 
süper kahramanlarının
											solo serisini yazmam için bana ulaştı.
											America Chavez.
									","
											Je ne sais pas combien de temps
											vous avez passé avec des femmes
portoricaines du Bronx,
											mais nous sommes aussi parmi
les meilleures conteuses d'histoires.
											J'étais assise là, à la table du dîner
chez ma grand-mère,
											et j'écoutais les femmes de ma famille
											raconter ces récits fous et animés
sur leur vie dans le Bronx.
											Je voulais tellement être comme elles.
											Mais je n'étais pas forte
comme elles non plus.
											J'écoutais surtout
											et je m'en imprégnais.
											Je me suis retrouvée à être attirée
par les bouts tendres de leurs histoires
											et je les ai écrits.
											L'amusant, le loufoque, le léger —
											ils furent ma voie vers la narration,
											tant et si bien que j'ai écrit
un roman pour jeunes adultes
											appelé « Juliette respire »
											parlant d'une fille portoricaine
du Bronx, joufflue et homosexuelle,
											se frayant un chemin entre sa sexualité,
sa famille et son identité.
											Sur la foi de « Juliette »,
											Marvel m'a demandé d'écrire
pour leur compte les histoires
											de la toute première
super-héroïne latine lesbienne,
											America Chavez.
									",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
","
","
","
",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
"
											Yeah!
									","
											¡Pues sí!
									","
											Evet!
									","
											Ouais !
									",The story of Marvel's first queer Latina superhero,Gabby Rivera,11:16,"creativity,humor,humanity,LGBT,self,identity,storytelling,culture,art,women,writing,race,society"
