en,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
											There is a narrative,
											an idea that with resilience,
grit and personal responsibility
											people can pull themselves up
and achieve economic success.
											In the United States
we call it the American dream.
											A similar narrative
exists all over the world.
											But the truth is that the challenges
of making this happen
											have less to do with what we do
											and more to do with the wealth position
in which we are born.
									","
											Bireylerin esneklik,
											cesaret ve kişisel sorumlulukla 
ayağa kalkıp
											ekonomik başarı
elde edeceklerine dair bir görüş var.
											Birleşik Devletler'de biz buna
Amerikan rüyası diyoruz.
											Buna benzer bir anlatı 
tüm dünyada mevcut.
											Fakat gerçek şu ki
bunu gerçekleştirirken karşılaşacağımız
											zorlukların yaptıklarımızla değil de
											içine doğduğumuz maddi durumla
daha çok ilgisi var.
									","
											Hay una narrativa,
											la idea de que, con resiliencia,
determinación y responsabilidad personal,
											las personas pueden motivarse
y alcanzar el éxito económico.
											En EE. UU. lo llamamos 
""el sueño americano"".
											Existe una narrativa similar 
en todo el mundo.
											Pero la verdad es que los desafíos
para hacerlo suceder
											tienen menos que ver con lo que hacemos
											y más con la posición de riqueza
en la que nacemos.
									","
											On raconte souvent
											qu'avec de la ténacité, du cran
et une responsabilité individuelle,
											un individu peut s'en sortir
et réussir sa vie.
											Aux États-Unis, on appelle cela
le rêve américain.
											L'histoire se répète dans le monde entier.
											La vérité, c'est que les défis
rencontrés avant de l'atteindre
											dépendent moins de nos actions
											que de notre situation financière
à notre naissance.
									","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
","
","
","
","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
											So I'm going to make the case
that the United States government,
											actually that any government,
											should create a trust account
for every newborn
											of up to 60,000 dollars,
											calibrated to the wealth
of the family in which they are born.
											I'm talking about an endowment.
											Personal seed capital,
a publicly established baby trust,
											what my colleague William Darity
at Duke University and I
											have referred to as baby bonds,
											a term that was coined by the late
historian from Columbia University,
											Manning Marable.
									","
											Bu yüzden ABD hükûmetinin, 
herhangi bir hükûmetin,
											her bir yeni doğan bebek için
											doğdukları ailenin maddi durumuna
göre ayarlanmış,
											60.000 dolara kadar,
											bir güven hesabı oluşturması 
gerektiğini öne süreceğim.
											Burada bahsettiğim bağış yapmak.
											Kişisel çekirdek sermaye,
halka açık bir bebek güvencesi,
											Duke Üniversitesi'nden
meslektaşım William Darity ve ben
											bunu bebek teminatı olarak adlandırıyoruz,
											bu terim, Columbia Üniversitesi'nden
bir tarihçi tarafından ortaya atıldı,
											merhum Manning Marable.
									","
											Por lo que argumentaré
que el gobierno de EE. UU.,
											en realidad, cualquier gobierno,
											debería crear una cuenta de fideicomiso 
para cada recién nacido
											de hasta USD 60 000,
											calculada según la riqueza de 
la familia en la cual nacieron.
											Hablo de un fondo.
											Un capital inicial personal, un fondo
establecido públicamente para bebés,
											a lo que mi colega William Darity
en la Universidad Duke y yo
											hemos llamado ""bonos para bebés"",
											un término acuñado por un historiador ya
fallecido de la Universidad de Columbia,
											Manning Marable.
									","
											Je vais démontrer
que le gouvernement américain,
											que tout gouvernement à vrai dire,
											devrait ouvrir un compte en fiducie
pour chaque nouveau-né
											d'un montant pouvant atteindre
jusqu'à 60 000 dollars,
											en fonction de la situation financière
familiale à sa naissance.
											Je parle de dotation.
											Un capital d'amorçage personnel,
une fiducie publique pour bébé,
											ce que mon collègue de l'université
de Duke, William Darity, et moi
											appelons des « baby bonds »,
											un terme inventé par un historien
de l'Université de Columbia,
											Manning Marable.
									","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
","
","
","
","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
											The reason why we should create
these trusts is simple.
											Wealth is the paramount indicator
of economic security and well-being.
											It provides financial agency,
economic security to take risk
											and shield against loss.
											Without capital, inequality is locked in.
											We use words like choice, freedom
to describe the benefits of the market,
											but it is literally wealth that gives us
choice, freedom and optionality.
											Wealthier families are better positioned
to finance an elite, independent school
											and college education,
											access capital to start a business,
											finance expensive medical procedures,
											reside in neighborhoods
with higher amenities,
											exert political influence
through campaign finance,
											purchase better legal counsel
											if confronted with an expensive
criminal justice system,
											leave a bequest
											and/or withstand financial hardship
resulting from any number of emergencies.
											Basically, when it comes
to economic security,
											wealth is both the beginning and the end.
									","
											Bebek teminatlarını 
yaratmamızın sebebi basit.
											Zenginlik, ekonomik güvence ve refahın
en önemli göstergesidir.
											Bu durum mali destek, risk almak için
gerekli ekonomik güvence ve
											kaybedileceklere karşı bir koruma sağlar.
											Sermaye olmadan eşitsizlik kaçınılmazdır.
											Piyasanın yararlarını tanımlamak için
seçim, özgürlük gibi sözcükler kullanırız
											ancak bize seçim, özgürlük ve isteğe
bağlılığı veren şey zenginliktir.
											Varlıklı aileler seçkin, bağımsız bir 
okul ve üniversite eğitimini
											finanse edebilir,
											bir iş başlatmak için
sermayeye erişebilir,
											pahalı bir tıbbi işlemi karşılayabilir,
											iyi imkânlara sahip mahallelerde 
yaşayabilir,
											kampanya finansmanı yoluyla
politikanın gücünü kullanabilir,
											masraflı bir ceza adalet sistemi ile 

											karşı karşıya kalındığında daha iyi 
bir hukuk danışmanına başvurabilir,
											miras bırakabilir ve/veya
											herhangi bir acil durumdan kaynaklanan 
mali bir sıkıntıya göğüs gerebilir.
											Yani demem o ki, ekonomik güvence 
söz konusu olduğunda
											bunun başı da sonu da varlıklı olmaktır.
									","
											La razón por la que debemos 
crear estos fondos es simple.
											La riqueza es el indicador fundamental
de seguridad económica y bienestar.
											Proporciona libertad financiera,
seguridad económica para tomar riesgos
											y protección contra las pérdidas.
											Sin capital, la desigualdad se mantiene.
											Usamos palabras como elección o libertad
para describir los beneficios del mercado,
											pero es la riqueza la que nos da 
elección, libertad y opcionalidad.
											Las familias más ricas pueden pagar 
una escuela privada de elite
											y una educación universitaria,
											acceder a capitales
para empezar un negocio,
											financiar tratamientos médicos caros,
											residir en vecindarios
con mejor infraestructura,
											ejercer influencia política a través
de la financiación de campañas,
											conseguir una mejor asesoría legal
											si deben enfrentarse con un sistema
de justicia criminal caro,
											dejar una herencia
											y resistir las dificultades financieras 
producidas por diferentes crisis.
											Básicamente, cuando se trata
de seguridad económica,
											la riqueza está tanto
al principio como al final.
									","
											La raison pour laquelle
nous devons créer ces fiducies est simple.
											La richesse est un indicateur essentiel
de la sécurité économique et du bien-être.
											Elle fournit un pouvoir financier
et une sécurité économique
											afin de prendre des risques
et de se protéger en cas d'échec.
											Sans capital, les inégalités persistent.
											On parle de choix et de liberté
pour décrire les avantages du marché
											mais c'est la richesse qui nous offre
le choix, la liberté et des options.
											Les familles les plus riches peuvent
financer une grande école indépendante
											et des études à l'université,
											accéder à des capitaux
pour créer une entreprise,
											financer des interventions
médicales coûteuses,
											habiter dans des quartiers
aux infrastructures développées,
											exercer une influence politique
à travers le financement d'une campagne,
											s'offrir les services
d'un conseiller juridique
											si elles doivent faire face aux coûts
élevés du système de justice pénale,
											faire un legs,
											et/ou faire face aux difficultés
financières suite à des crises.
											Lorsqu'il s'agit de sécurité économique,
											tout repose sur la richesse.
									","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
","
","
","
","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
											I will frame this conversation
in the context of the United States,
											but this discussion
applies virtually to any country
											facing increasing inequality.
									","
											Bu sohbeti Amerika Birleşik Devletleri 
bağlamında ele alacağım
											ancak bu tartışma eşitsizliğin
artmakta olduğu
											her ülke için geçerlidir.
									","
											Enmarcaré esta conversación
en el contexto de los EE. UU.,
											pero está discusión se aplica 
virtualmente a cualquier país
											que enfrente una desigualdad creciente.
									","
											Je vais construire mon discours
au regard du contexte américain
											mais il peut s'appliquer
à n'importe quel pays
											faisant face à des inégalités croissantes.
									","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
","
","
","
","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
"
											In the US, the top
10 percent of households
											hold about 80 percent
of the nation's wealth
											while the bottom 60 percent
owns only about one percent.
											But when it comes to wealth,
											race is an even stronger predictor
than class itself.
											Blacks and Latinos collectively
make up 30 percent
											of the United States population,
											but collectively own about seven percent
of the nation's wealth.
											The 2016 survey of consumer finance
											indicates that the typical black family
has about 17,000 dollars in wealth,
											and that's inclusive of home equity,
											while the typical white family
has about 170,000.
											That is indicative
of an absolute racial wealth gap
											where the typical black household
has about 10 cents for every dollar
											held by the typical white family.
									","
											ABD'de, % 10'luk bir dilimde olan 
en zengin aileler
											ülke servetinin %80'ine sahipken
											en alt dilimde olan %60 dilimindeki
aileler ise yalnızca %1'ine sahiptir.
											Fakat konu zenginlik olunca
											ırk sınıf ayrımının kendisinden bile 
daha güçlü bir öngöstergedir.
											Siyahlar ve Latinlerin toplamı 
ABD nüfusunun
											yüzde 30'unu oluşturmaktayken
											birlikte ülke servetinin yalnızca 
%7'sine sahipler.
											2016 tarihli bir tüketici finansmanı 
araştırması,
											sıradan siyahi bir ailenin varlığının 
yaklaşık 17.000 dolar olduğunu
											ve buna evlerinin de dahil olduğunu,
											beyaz bir ailenin ise 170.000 dolar 
civarında olduğunu gösteriyor.
											Bu, siyah bir ailenin, sıradan beyaz
bir ailenin elinde tuttuğu
											her bir dolar için, yaklaşık 10 sente
sahip olduğunun ve bu salt
											ırklar arası eşitsizliğin göstergesidir.
									","
											En EE. UU., el 10 % de los hogares
											poseen alrededor del 80 %
de la riqueza nacional
											mientras que el 60 % de 
la base solo posee un 1 %.
											Pero en cuanto a la riqueza,
											la raza es aún un predictor 
más fuerte que la clase misma.
											Los negros y los latinos
constituyen el 30 %
											de la población de EE.UU.,
											pero, colectivamente, poseen 
un 7 % de la riqueza nacional.
											La encuesta de 2016 sobre 
la financiación al consumo
											indica que la típica familia negra
tiene una riqueza de unos USD 17 000,
											y eso incluye el capital de vivienda,
											mientras que la típica familia blanca
tiene unos USD 170 000.
											Esto indica una gran 
brecha racial de riqueza
											donde el típico hogar negro posee 
unos 10 centavos por cada dólar
											que posee la típica familia blanca.
									","
											Aux États-Unis, les 10 %
des foyers les plus aisés
											détiennent environ
80 % de la richesse nationale,
											tandis que les 60 % des foyers les moins
aisés n'en détiennent que 1 %.
											Lorsqu'il s'agit de richesse,
											l'ethnie devient un indicateur
plus important que la classe sociale.
											Les Noirs et les Latinos représentent 30 %
											de la population américaine,
											mais ne détiennent qu'environ 7 %
de la richesse nationale.
											Un sondage datant de 2016
sur les crédits à la consommation
											montre qu'une famille noire type
possède un capital de 17 000 dollars,
											comprenant la valeur nette du patrimoine,
											tandis que celui d'une famille blanche
s'élève à 170 000 dollars.
											Cela démontre un écart de richesse
significatif selon l'ethnie.
											Là où un foyer noir type possède 10 cents,
un foyer blanc possède un dollar.
									","How ""baby bonds"" could help close the wealth gap",Darrick Hamilton,12:36,"economics,inequality,money,social change,society,government,global development,poverty,global issues,future,policy"
