en,pt,es,title,speaker,duration,tags
"
","
","
",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
											Many of us here use technology
in our day-to-day.
											And some of us rely
on technology to do our jobs.
											For a while, I thought of machines
and the technologies that drive them
											as perfect tools that could make my work
more efficient and more productive.
									","
											Muitos de nós aqui
usam a tecnologia dia-a-dia.
											E alguns de nós confiam na tecnologia
para fazer o nosso trabalho.
											Antigamente, eu pensava nas máquinas
e nas tecnologias que as governam
											como ferramentas perfeitas
											que podem tornar o meu trabalho
mais eficiente e mais produtivo.
									","
											Muchos de nosotros aquí usamos
la tecnología en nuestro día a día.
											Y algunos confiamos en la tecnología
para hacer nuestros trabajos.
											Por un tiempo, pensé en las máquinas
y las tecnologías que las impulsan
											como herramientas perfectas que
podrían hacer mi trabajo
											más eficiente y productivo
									",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
","
","
",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
											But with the rise of automation
across so many different industries,
											it led me to wonder:
											If machines are starting
to be able to do the work
											traditionally done by humans,
											what will become of the human hand?
											How does our desire for perfection,
precision and automation
											affect our ability to be creative?
									","
											Mas com o aumento da automação
em tantas diferentes indústrias,
											isso levou-me a pensar:
											Se as máquinas tornam
possível fazer o trabalho
											habitualmente feito
pelos seres humanos,
											o que acontecerá
com o trabalho manual humano?
											Como é que o nosso desejo
por perfeição, precisão e automação
											afeta a nossa capacidade
de sermos criativos?
									","
											Pero con el auge de la automatización
en tantas industrias diferentes
											me llevó a preguntarme:
											si las máquinas comienzan
a hacer el trabajo
											tradicionalmente hecho por humanos,
											¿qué saldrá de la mano humana?
											¿Cómo nuestro deseo de perfección,
precisión y automatización
											afecta nuestra habilidad
de ser creativos?
									",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
","
","
",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
											In my work as an artist and researcher,
I explore AI and robotics
											to develop new processes
for human creativity.
											For the past few years,
											I've made work alongside machines,
data and emerging technologies.
											It's part of a lifelong fascination
											about the dynamics
of individuals and systems
											and all the messiness that that entails.
											It's how I'm exploring questions about
where AI ends and we begin
											and where I'm developing processes
											that investigate potential
sensory mixes of the future.
											I think it's where philosophy
and technology intersect.
									","
											No meu trabalho
como artista e investigadora
											eu exploro a IA e a robótica
											para desenvolver novos processos
para a criatividade humana.
											Nos últimos anos,
											eu trabalhei com máquinas,
com dados e com tecnologias emergentes.
											Faz parte de um fascínio ao longo da vida
											sobre a dinâmica de indivíduos e sistemas
											e toda a complicação que isso implica.
											É assim que eu estou a explorar questões
sobre onde a IA termina e nós começamos
											e em que nós desenvolvemos processos
											que investigam potenciais
misturas sensoriais do futuro.
											Penso que é aí que se cruzam
a filosofia e a tecnologia.
									","
											En mi trabajo como artista e
investigadora exploro IA y robótica
											para desarrollar nuevos procesos
para la creatividad humana.
											Durante los últimos años,
											trabajé junto a máquinas, datos
y tecnologías emergentes.
											Es parte de una fascinación de por vida
											por las dinámicas de individuos y sistemas
											y todo el desorden que conlleva.
											Es cómo exploro preguntas
sobre dónde comienza y acaba la IA
											y dónde desarrollo procesos
											que investigan posibles mezclas
sensoriales del futuro.
											Creo que es dónde se cruzan
la filosofía y la tecnología.
									",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
","
","
",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
											Doing this work
has taught me a few things.
											It's taught me how embracing imperfection
											can actually teach us
something about ourselves.
											It's taught me that exploring art
											can actually help shape
the technology that shapes us.
											And it's taught me
that combining AI and robotics
											with traditional forms of creativity —
visual arts in my case —
											can help us think a little bit more deeply
											about what is human
and what is the machine.
											And it's led me to the realization
											that collaboration is the key
to creating the space for both
											as we move forward.
									","
											Fazendo esse trabalho,
eu aprendi algumas coisas.
											Aprendi que aceitar a imperfeição
											pode ensinar-nos algo sobre nós mesmos.
											Aprendi que explorar a arte
											pode ajudar a modelar
a tecnologia que nos modela.
											E aprendi que,
combinando a IA e a robótica
											com formas tradicionais de criatividade
— as artes visuais no meu caso —
											pode ajudar-nos a pensar
um pouco mais profundamente
											no que é o ser humano
e no que é a máquina.
											Isso levou-me à compreensão
											de que a colaboração é a chave
para criar o espaço para as duas coisas,
											à medida que avançamos.
									","
											Hacer este trabajo me
enseñó un par de cosas.
											Me enseñó cómo aceptar la imperfección
											en realidad puede enseñarnos
algo de nosotros mismos.
											Me enseñó que explorar el arte
											puede ayudarnos a moldear
la tecnología que nos moldea.
											Y me enseñó que combinando AI y robótica
											con formas tradicionales de
creatividad, artes visuales en mi caso,
											puede enseñarnos a pensar
un poco más profundamente
											sobre qué es un humano y
qué es la máquina.
											Y me ha llevado a entender
											que la colaboración es la clave
para crear un espacio para ambos
											a medida que avanzamos.
									",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
","
","
",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
"
											It all started with a simple
experiment with machines,
											called ""Drawing Operations
Unit: Generation 1.""
											I call the machine ""D.O.U.G."" for short.
											Before I built D.O.U.G,
											I didn't know anything
about building robots.
											I took some open-source
robotic arm designs,
											I hacked together a system
where the robot would match my gestures
											and follow [them] in real time.
											The premise was simple:
											I would lead, and it would follow.
											I would draw a line,
and it would mimic my line.
									","
											Tudo começou com uma simples
experiência com máquinas,
											chamada ""Unidade de Operações
de Desenho: Geração 1.""
											Chamei D.O.U.G. a essa máquina
para encurtar.
											Antes de construir a D.O.U.G.,
											eu não sabia nada
sobre construção de robôs
											Agarrei num código-fonte aberto
para projetos robóticos de braço,
											copiei um sistema em que o robô
seguiria os meus gestos
											e segui-los-ia em tempo real.
											A premissa era simples:
											Eu lideraria e ele seguiria.
											Eu desenharia uma linha
e ele imitaria a minha linha.
									","
											Todo comenzó con un simple
experimento con máquinas.
											llamado ""Drawing Operations
Unit: Generation 1""
											Llamé a la máquina D.O.U.G, para abreviar.
											Antes de construir a D.O.U.G
											nos sabía nada sobre construir robots.
											Tomé algunos diseños de brazo
robótico de código abierto,
											hackeé un sistema en el que
el robot copiaba mis gestos
											y los seguía en tiempo real.
											La premisa era simple:
											Yo dirigiría y él seguiría.
											Yo dibujaría una línea y
él imitaría mi línea.
									",Why I draw with robots,Sougwen Chung,8:30,"robots,art,beauty,humanity,creativity,future,technology,collaboration,culture"
