en,pt,tr,title,speaker,duration,tags
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											I started teaching MBA students
											17 years ago.
											Sometimes I run into
my students years later.
											And when I run into them,
a funny thing happens.
											I don't remember just their faces;
											I also remember where exactly
in the classroom they were sitting.
											And I remember who
they were sitting with as well.
											This is not because I have
any special superpowers of memory.
											The reason I can remember them
											is because they are creatures of habit.
											They are sitting with their
favorite people in their favorite seats.
											They find their twins,
they stay with them for the whole year.
									","
											Comecei a dar aulas a alunos
de Administração de Empresas
											há 17 anos.
											Por vezes cruzo-me
com os meus alunos anos depois.
											E quando me cruzo com eles,
algo engraçado acontece.
											Não me lembro apenas das caras deles.
											Lembro-me do lugar exato
onde se sentavam na sala.
											Também me lembro
de com quem se sentavam.
											Não é que eu tenha
quaisquer superpoderes de memória.
											A razão por que consigo lembrar-me deles
											é porque eles são criaturas de hábitos.
											Sentam-se com as pessoas favoritas
nos lugares favoritos.
											Encontram as suas almas gémeas,
ficam com elas durante o ano inteiro.
									","
											İşletme bölümünde yüksek lisans 
dersleri vermeye başladım
											bundan 17 yıl önce.
											Yıllar sonra öğrencilerime rastlıyorum

											ve şu komik olay gerçekleşiyor.
											Sadece yüzlerini değil,
											sınıfta nerede ve kiminle oturduklarını
											bile hatırlıyorum.
											Hafızamın özel süper güçleri
olduğundan değil.
											Onları hatırlıyor olmamın nedeni
											alışkanlıkları olan insanlar olmaları.
											Hep sevdikleri yerde ve sevdikleri 
kişilerle oturuyorlar.
											İkizlerini bulmuşlar,
bütün yıl onlarla birlikteler.
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											Now, the danger of this
for my students is they're at risk
											of leaving the university
with just a few people
											who are exactly like them.
											They're going to squander their chance
for an international, diverse network.
											How could this happen to them?
											My students are open-minded.
											They come to business school precisely
so that they can get great networks.
									","
											O perigo disto para os meus alunos
é que correm o risco
											de sair da universidade
apenas com algumas pessoas
											que são exatamente como eles.
											Vão desperdiçar a oportunidade
de uma rede internacional e diversa.
											Como lhes acontece isto?
											Os meus alunos têm mente aberta.
											Vêm para a faculdade de negócios
justamente para integrar redes ótimas.
									","
											Bunun tehlikesi ise şu;
öğrencilerim üniversiteden
											kendilerine oldukça benzeyen 
sadece birkaç arkadaşla
											ayrılma riski altındalar.
											Uluslararası ve çeşitli gruplardan
yararlanma şansını yitirecekler.
											Bu nasıl oluyor peki?

											Öğrencilerim açık görüşlü.

											Muhteşem bağlar kurabilmek için
işletme fakültesindeler.
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											Now, all of us socially narrow
in our lives, in our school, in work,
											and so I want you to think about this one.
											How many of you here
brought a friend along for this talk?
											I want you to look
at your friend a little bit.
											Are they of the same nationality as you?
											Are they of the same gender as you?
											Are they of the same race?
											Really look at them closely.
											Don't they kind of look like you as well?
									","
											Todos nós nos limitamos socialmente
na vida, na escola, no trabalho
											e por isso quero que pensem nisto.
											Quantos aqui presentes trouxeram
um amigo para esta palestra?
											Quero que olhem para
o vosso amigo por um momento.
											Ele é da mesma nacionalidade que vocês?
											É do mesmo sexo?
											É da mesma etnia?
											Olhem para ele atentamente.
											Não é até parecido consigo?
									","
											Hepimiz sosyal bakımdan daralıyoruz
hayatımızda, okulda, iş yerinde
											ve bunu bir düşünmenizi istiyorum.
											Kaç kişi bir arkadaşını 
bu konuşma için getirdi?
											Arkadaşınıza birazcık bakmanızı
istiyorum.
											Sizinle aynı milletten mi?
											Sizinle aynı cinsiyette mi?
											Sizinle aynı ırkta mı?
											Gerçekten yakından bir bakın.
											Size biraz benziyor mu?
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											The muscle people are together,
											and the people with the same hairstyles
											and the checked shirts.
									","
											Quem é musculado está junto,
											as pessoas com
os mesmos penteados
											e as camisas axadrezadas.
									","
											Kankalar birlikte
											ve saç stilleri aynı
											ve ekose gömlekleri de.
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
											We all do this in life.
											We all do it in life, and in fact,
there's nothing wrong with this.
											It makes us comfortable to be
around people who are similar.
											The problem is when
we're on a precipice, right?
											When we're in trouble,
when we need new ideas,
											when we need new jobs,
when we need new resources —
											this is when we really pay a price
for living in a clique.
									","
											Todos fazemos isto na vida.
											Todos o fazemos e, de facto,
não tem nada de mal.
											Estar com pessoas similares
faz-nos sentir confortáveis.
											O problema é quando
estamos num precipício.
											Quando estamos aflitos
e precisamos de novas ideias,
											de novos empregos,
de novos recursos
											é quando realmente pagamos um preço
por vivermos num grupo fechado.
									","
											Hepimiz bunu yapıyoruz.
											Aslında bunda yanlış bir şey yok.
											Benzer insanlarla birlikte olmak 
bizi rahatlatır.
											Sorun şu, uçurumun kenarında 
olduğumuzda
											başımız dertteyse, yeni fikirler lazımsa
											yeni bir işe, yeni kaynaklara
ihtiyacımız varsa,
											işte o zaman bir grupta yaşadığımız için
bunun bedelini öderiz.
									",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
"
","
","
",The secret to great opportunities? The person you haven't met yet,Tanya Menon,14:06,"TEDx,collaboration,communication,community,relationships,personal growth"
