en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											""These are the times,""
											said Thomas Paine,
											""that try men's souls.""
											And they're trying ours now.
									","
											« Ce sont des temps »,
											a dit Thomas Paine,
											« qui mettent à l'épreuve
l'âme des hommes. »
											Ils mettent la nôtre à l'épreuve.
									","
											""Dies sind Zeiten"",
											sagte Thomas Paine,
											""die des Menschen Seele prüfen.""
											Und zurzeit werden unsere geprüft.
									","
											''Bu zamanlar, insanın ruhunu
											test eden zamanlar.''
											demişti Thomas Paine.
											Ve şimdi de bizimki test ediliyor.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											This is a fateful moment
in the history of the West.
											We've seen divisive elections
and divided societies.
											We've seen a growth of extremism
											in politics and religion,
											all of it fueled by anxiety,
uncertainty and fear,
											of a world that's changing
almost faster than we can bear,
											and the sure knowledge
that it's going to change faster still.
											I have a friend in Washington.
											I asked him, what was it like
being in America
											during the recent presidential election?
											He said to me, ""Well,
											it was like the man
											sitting on the deck of the Titanic
											with a glass of whiskey in his hand
											and he's saying,
'I know I asked for ice —
									","
											C'est un moment fatidique
dans l'histoire occidentale.
											Nous avons vu des élections conflictuelles
et des sociétés divisées.
											Nous avons vu une montée de l'extrémisme
											en politique et en religion,
											tout cela alimenté par l'anxiété,
l'incertitude et la peur
											d'un monde qui change presque plus vite
que nous ne pouvons le supporter
											et la certitude qu'il va
changer encore plus vite.
											J'ai un ami à Washington.
											Je lui ai demandé :
« C'était comment en Amérique
											durant les récentes
élections présidentielles ? »
											Il m'a dit : « Eh bien,
											c'était comme l'homme
											assis sur le pont du Titanic
											avec un verre de whisky à la main
											et disant : ""Je sais
que j'ai demandé de la glace —
									","
											Das ist ein verhängnisvoller Moment
in der Geschichte des Westens.
											Wir haben spaltende Wahlen
und gespaltene Gesellschaften erlebt.
											Es gibt eine Zunahme von Extremismus
											in Politik und Religion,
											alle angetrieben von Sorge,
Unsicherheit und Angst
											vor einer Welt, die sich schneller
verändert, als wir ertragen können,
											und dem sicheren Wissen, das sie sich
sogar noch schneller verändern wird.
											Ich habe einen Freund in Washington.
											Ich fragte ihn, wie es ist,
in den USA zu sein,
											während der jüngsten
Präsidentschaftswahlen.
											Er sagte zu mir:
											""Es ist wie der Mann,
											der auf dem Deck der Titanik saß,
											mit einem Glass Whiskey in seiner Hand,
											und er sagte: 'Ich weiß, ich bat um Eis —
									","
											Bugün Batı'nın tarihi için 
bir kader anı.
											Bölücü seçimler ve 
bölünmüş toplumlar görüyoruz.
											Aşırı hareketlerin yükselişini 
görmekteyiz
											hem siyaset hem din alanlarında.
											Bunları da besleyinin, 
ayak uyduramadığımız
											hızda değişen dünyamızdan

											ve bu değişimin kaldırabileceğimizden
hızlı olacağının yarattığı
											endişe, belirsizlik ve korku.

											Washington'da bir arkadaşım var,
											ona son seçimlerde Amerika'da
											olmanın nasıl birşey olduğunu 
sordum.
											Bana dedi ki,
											''Titanik gemisinin güvertesinde
											elinde viskisi ile oturan adamın
											''buz istediğimden eminim —-'
											fakat bu saçmalık!''
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											but this is ridiculous.'""
									","
											mais là, c'est ridicule."" »
									","
											aber das ist lächerlich.'""
									","
											demesi gibi birşey.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
","
","
","
","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
"
											So is there something we can do,
											each of us,
											to be able to face
the future without fear?
											I think there is.
											And one way into it is to see
											that perhaps the most simple way
into a culture and into an age
											is to ask: What do people worship?
											People have worshipped
so many different things —
											the sun, the stars, the storm.
											Some people worship many gods,
some one, some none.
											In the 19th and 20th centuries,
											people worshipped the nation,
											the Aryan race, the communist state.
											What do we worship?
											I think future anthropologists
											will take a look at the books we read
											on self-help, self-realization,
											self-esteem.
											They'll look at the way
we talk about morality
											as being true to oneself,
											the way we talk about politics
											as a matter of individual rights,
											and they'll look at this wonderful
new religious ritual we have created.
											You know the one?
											Called the ""selfie.""
											And I think they'll conclude
that what we worship in our time
											is the self, the me, the I.
									","
											Y a-t-il quelque chose
que nous pouvons faire,
											chacun d'entre nous,
											pour pouvoir faire face
au futur sans peur ?
											Je crois que oui.
											Une façon de le faire est de voir
											que peut-être que le chemin le plus direct
pour pénétrer une culture ou un ère
											est de demander :
« Qu'est-ce que les gens vénèrent ? »
											Les gens ont vénéré tant de choses :
											le soleil, les étoiles, la tempête.
											Certains vénèrent plusieurs dieux,
d'autres un seul, d'autres aucun.
											Aux XIXe et XXe siècles,
											les gens vénéraient la nation,
											la race aryenne, l’État communiste.
											Que vénérons-nous ?
											Je pense que les futurs anthropologues
											considéreront les livres que nous lisons
											sur le développement personnel,
l'épanouissement personnel,
											l'estime de soi.
											Ils considéreront la façon
dont nous parlons de moralité
											comme étant fidèle à soi-même,
											la façon dont nous parlons de politique
											comme étant une question
de droits individuels
											et ils considéreront ce formidable nouveau
rite religieux que nous avons créé.
											Vous voyez ?
											On l'appelle le « selfie ».
											Je pense qu'ils concluront
que ce que nous vénérons à notre époque,
											c'est le soi, le moi, le je.
									","
											Gibt es also etwas, das wir tun können,
											jeder von uns,
											um der Zukunft ohne Angst zu begegnen?
											Ich denke, es gibt etwas.
											Ein Weg dahin ist zu erkennen,
											dass der vielleicht einfachste Weg
in eine Kultur und eine Epoche
											die Frage ist: Was Menschen verehren?
											Menschen haben so viele
verschiedene Dinge verehrt:
											die Sonne, die Sterne, den Sturm.
											Manche beten viele Götter an,
manche einen, manche keinen.
											Im 19. und 20. Jahrhundert
											verehrten Menschen die Nation,
											die arische Rasse,
den kommunistischen Staat.
											Was verehren wir?
											Ich denke, zukünftige Anthropologen
											werden sich ansehen,
welche Bücher wir lesen:
											über Selbst-Hilfe, Selbst-Erkenntnis,
											Selbst-Achtung.
											Sie betrachten, wie wir Moral definieren,
											also sich selbst treu zu sein,
											die Art, wie wir Politik definieren,
											als eine Frage der individuellen Rechte.
											Sie sehen sich die wunderbaren religiösen
Rituale an, die wir geschaffen haben.
											Kennen Sie das eine?
											""Selfie"" genannt.
											Sie werden wohl zu dem Schluss kommen,
wir verehrten in unserer Zeit
											das Selbst, das Mich und das Ich.
									","
											Yapabileceğimiz bir şey var mı,
											bireyler olarak,
											yani geleceği korkuyla karşılamamak
için?
											Bence var.
											Bunu görmenin bir şekli
											kültürlere ve çağımıza
şunu sormak olacaktır:
											İnsanlar neye tapıyor?
											İnsanlar çağlar boyunca 
farklı şeylere taptılar —
											güneşe, yıldızlara, fırtınaya.
											Bazı insanlar birden fazla
tanrıya tapınır,
											bazıları bir taneye, bazıları ise hiç.
											19. ve 20. yüzyıllarda
											insanlar milletlerine tapındılar,
											Aryan ırkına, komunizme.
											Biz neye tapıyoruz?
											Sanırım gelecekteki antropologlar
											okuduğumuz kitaplara bakacaklar,
											yani kişisel yardım ve özgüven üstüne
											olanlara.
											Bizlerin ahlâk hakkında konuşma
şeklimizin
											insanların kendine dürüst olması 
olarak bakacaklar,
											siyaset hakkında konuşmalarımızı
											insan haklarıyla âlakalı oluşuna
bakacaklar
											ve bu yeni yarattığımız dinî 
rituele bakacaklar.
											Hangisi biliyor musunuz?
											Buna ''selfie'' diyorlar.
											Sanırım çağımızda tapındığımız
şeyin bireyin,
											benim, kendimin olduğu
sonucuna varacaklar.
									","How we can face the future without fear, together",Rabbi Lord Jonathan Sacks,12:36,"community,fear,future,global issues,humanity,peace,personal growth,politics,social change,religion"
