en,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											I'd like you to imagine
what it would feel like
											if, for two whole minutes,
your left arm was continuously flapping,
											your eyes were constantly rolling,
											your jaw was clenching so hard
											that it felt like your teeth
were about to break,
											and every ten seconds,
											you were forced to let out
a loud, high-pitched screech.
									","
											Nasıl hissederdiniz
hayal etmenizi istiyorum;
											eğer iki dakika boyunca
sol kolunuz durmadan atsaydı,
											gözleriniz sürekli devrilseydi,
											çeneniz adeta dişleriniz kırılacakmış gibi
											sertçe kasılsaydı,
											her on saniyede bir
											çok tiz bir çığlık sesi çıkarsaydınız.
									","
											Gostava que imaginassem a sensação
											de ter espasmos no braço esquerdo,
durante dois minutos seguidos,
											os olhos a revolver continuamente,
											a mandíbula a fechar-se com tanta força
											que parece que os dentes
estão prestes a partir-se
											e a cada dez segundos,
											somos forçados a soltar
um grito agudo.
									","
											J'aimerais que vous imaginiez 
ce que ça donnerait
											si, pendant deux minutes entières, votre
bras gauche se battait continuellement,
											vos yeux roulaient constamment
											
votre mâchoire se serrait si fort
											que c'était comme
si vos dents allaient se briser
											et toutes les dix secondes,
											vous étiez forcé de laisser sortir
un cri fort et aigu.
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											(Tic)
									","
											(Tik)
									","
											(Tique)
									","
											(Tic)
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											This is how I lived
at the young age of six,
											every waking moment, seven days a week.
									","
											Altı gibi küçük bir yaşta
hayatım bu durumdaydı,
											her dakika, haftanın yedi günü.
									","
											Era assim que eu vivia 
quando tinha seis anos,
											em qualquer altura,
sete dias por semana.
									","
											Voici comment j'ai vécu
à l'âge de six ans,
											à chaque instant, tous les jours.
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											(Tic)
									","
											(Tik)
									","
											(Tique)
									","
											(Tic)
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											And these were only some of my symptoms.
									","
											Bunlar semptomlarımın sadece bazılarıydı.
									","
											Estes são apenas alguns dos meus sintomas.
									","
											Et ce ne sont que quelques-uns
de mes symptômes.
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											When these symptoms surfaced,
my life literally changed overnight.
											I could no longer go to school,
see my friends or even eat out,
											because my tics would attract
the attention of everyone in the room.
											In search for a cure, we flew to New York
											to meet with the best pediatric
neuropsychologist my parents could find.
									","
											Bu semptomlar ortaya çıktığında
hayatım bir gecede değişti.
											Artık okula veya yemeğe gidemiyordum,
arkadaşlarımı göremiyordum
											çünkü tiklerim odadaki herkesin
dikkatini çekiyordu.
											Bir tedavi arayışında, ailemin bulabildiği
											en iyi çocuk nöropsikologlarını
görmek için New York'a gittik.
									","
											Quando esses sintomas surgiram,
a minha vida mudou do dia para a noite.
											Não podia ir à escola,
estar com os amigos ou até mesmo sair,
											porque os meus tiques
atraíam a atenção de todos.
											À procura de uma solução, 
voámos para Nova Iorque,
											para consultar o melhor
neurologista psiquiátrico
											que os meus pais pudessem encontrar.
									","
											Quand ces symptômes sont apparus,
ma vie a vraiment changé en un clin d'œil.
											Je ne pouvais plus aller à l'école,
voir mes amis ou même aller au restaurant,
											parce que mes tics attireraient 
l'attention de tout le monde.
											À la recherche d'un remède,
on est allé voir à New York
											le meilleur pédo-neuropsychologue
que mes parents avaient trouvé.
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
											(Tic)
									","
											(Tik)
									","
											(Tique)
									","
											(Tic)
									",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
"
","
","
","
",What it's like to have Tourette's — and how music gives me back control,Esha Alwani,9:55,"TED-Ed,performance,live music,music,personal growth"
