tr,de,title,speaker,duration,tags
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											Konuşmak için 21 dakikanız olduğu zaman,
											2 milyon yıl gerçekten uzun bir süre gibi geliyor.
											Fakat evrim açısından, 2 milyon yıl hiçbir şey.
											İnsan beyni 2 milyon yılda ağırlığının 3 katına çıktı.
											Habilis'in 566 gramlık beyninden,
											şu an herkesin kulakları arasındaki 1500 gramlık et dilimine geldik.
											Doğa neden bizim böyle bir beyne sahip olmamızı istedi?
									","
											Wenn man 21 Minuten zu reden hat,
											erscheinen zwei Millionen Jahre wie eine sehr lange Zeit.
											Aus Evolutionssicht sind zwei Millionen Jahre jedoch nichts.
											Und trotzdem hat sich die Masse des menschlichen Gehirns in zwei Millionen Jahren verdreifacht –
											von einem 600-Gramm-Gehirn unserer Vorfahren, Habilis,
											zu fast 1,4 kg Hackbraten, die jeder hier zwischen seinen Ohren hat.
											Warum war die Natur so besessen davon, dass wir solch ein großes Gehirn haben?
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											Beynin boyut olarak üç katına çıktığında,
											sadece 3 kat büyük hale gelmediği, yeni yapıların oluştuğu anlaşıldı.
											Beynin bu kadar çok büyümesinin bir nedeni de yeni bir kısım,
											frontal lob. Daha doğrusu prefrontal korteks.
											Peki prefrontal korteks ne yapıyor da
											insan kafatasının mimarisi değişiyor?
									","
											Es stellte sich heraus, dass durch die Verdreifachung der Masse
											das Gehirn nicht nur dreimal größer wird – es erhält auch neue Strukturen.
											Ein Hauptgrund für die Vergrößerung unseres Gehirns ist ein neuer Teil,
											der Frontallappen. Im Speziellen ein Teil mit dem Namen Präfrontaler Cortex.
											Was ist es, das ein Präfrontaler Cortex für einen tut, dass es
											eine komplette architektonische Überarbeitung des menschlichen Schädels in einem Augenzwinkern evolutionärer Zeit gerechtfertigt?
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											Aslında prefrontal korteks çok iş yapıyor,
											ama en önemlisi
											onun bir tecrübe simülatörü olması.
											Pilotlar uçuş simülatörlerinde pratik yaparlar ki
											uçaklarda gerçek hata yapmasınlar.
											İnsanoğlu, bir şeyi gerçek hayatta yaşamadan
											kafasında tecrübe etme
											gibi muhteşem bir adaptasyona sahip.
											Bu, bizim atalarımızın ve hiçbir hayvanın
											biz gibi yapamadığı bir hile. Bu mükemmel bir adaptasyon.
											Ayakta durma, konuşma gibi şeyler,
											türümüzü ağaçların içinden
											alışveriş mağazalarına soktu.
									","
											Naja, es stellte sicher heraus, dass der Präfrontale Cortex einige Dinge macht,
											aber eine der wichtigsten Aufgaben ist,
											dass es ein Erfahrungssimulator ist.
											Flugpiloten üben im Flugsimulator,
											sodass sie keine wirklichen Fehler in Flugzeugen machen.
											Menschen haben diese geniale Anpassung,
											dass sie Erfahrungen in ihren Köpfen haben können,
											bevor sie diese im wirklichen Leben testen.
											Das ist ein Trick, den keiner unserer Vorfahren konnte
											und den kein anderes Tier in diesem Stile tun kann. Das ist eine geniale Anpassung.
											Das ist auf einem Level mit dem Daumen, aufrechtem Stehen und Sprache
											als eines der Dinge, die unsere Spezies aus den Bäumen
											und in die Einkaufspassagen getrieben hat.
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											(Gülüşmeler) — Hepiniz bunu yaptınız.
											Biliyorsunuz ki,
											Ben and Jerry'nin karaciğer-soğanlı dondurması yok.
											Hazırlayıp daha sonra iğrenç olduğunu gördükleri için yok değil.
											Koltuğunuzdan kalkmadan, o dondurmanın kokusunu kafanızda oluşturup,
											iğrenç olduğunu anlayabilirsiniz.
									","
											(Lachen) Sie haben das alle schon gemacht.
											Ich meine:
											„Ben and Jerry's“ haben kein Leber-Zwiebel-Eis.
											Das liegt nicht daran, dass sie es gemacht und versucht haben und sagten ""Igitt!"",
											sondern weil man, ohne seinen Stuhl zu verlassen,
											den Geschmack simulieren und Igitt sagen kann ohne es zu machen.
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											Haydi tecrübe simülatörleriniz nasıl çalışıyor, onu görelim.
											Konuşmaya devam etmeden önce, hemen küçük bir tespit yapalım.
											Sizi iki farklı geleceğe davet ediyorum.
											Bunları simüle etmeye çalışın ve hangisini tercih edeceğinizi söyleyin.
											Birisi piyango. Yaklaşık 314 milyon dolar.
											Ve diğeri ise belden aşağısının felç olma durumu.
											Biraz düşünün.
											Aslında düşünmeye gerek olmadığını düşünüyorsunuz.
									","
											Lassen Sie uns testen, wie gut Ihre Erfahrungssimulatoren funktionieren.
											Lassen Sie uns eine kurze Diagnose durchführen, bevor ich mit dem Vortrag weitermache.
											Hier sind zwei verschiedene Zukunftsszenarien und ich lade Sie ein, sie abzuwägen.
											Sie können versuchen, sie zu simulieren und mir dann sagen, welche davon Sie bevorzugen.
											Eine ist, im Lotto zu gewinnen – so etwa 314 Millionen Dollar.
											Die andere ist, querschnittsgelähmt zu werden.
											Ich gebe Ihnen einen kurzen Moment Bedenkzeit.
											Sie denken wahrscheinlich, Sie brauchen keine Bedenkzeit.
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
											İlginç bir şekilde, bu iki grup insanın
											mutlu olma yüzdeleri bilgileri var elimizde.
											Bu tam sizin beklediğiniz yüzdeler, değil mi?
											Ama gerçek bu değil. Bunları ben uydurdum!
									","
											Interessanterweise gibt es Daten dieser beiden Gruppen von Leuten,
											Daten darüber, wie glücklich sie sind.
											Das ist genau, was Sie erwartet haben, oder?
											Aber das sind nicht die Daten. Ich habe sie erfunden.
									",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
"
","
",The surprising science of happiness,Dan Gilbert,21:16,"brain,choice,culture,evolution,happiness,psychology,science"
