en,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
											In half a century of trying to help prevent wars,
											there's one question that never leaves me:
											How do we deal with extreme violence
											without using force in return?
											When you're faced with brutality,
											whether it's a child facing a bully on a playground
											or domestic violence —
											or, on the streets of Syria today,
											facing tanks and shrapnel,
											what's the most effective thing to do?
											Fight back? Give in?
											Use more force?
									","
											En 50 años de tentativas para evitar las guerras,
											hay una pregunta que me persigue:
											¿Cómo lidiar con la violencia extrema
											sin recurrir a la fuerza a cambio?
											Cuando nos enfrentamos a la brutalidad,
											ya sea cuando un niño se enfrenta a un agresor en un patio de recreo
											o violencia doméstica
											o en las calles de Siria hoy,
											al enfrentar tanques y metralla.
											¿Qué es lo más efectivo?
											¿Pelear? ¿Rendirse?
											¿Utilizar más fuerza?
									","
											Meio século
a tentar ajudar a prevenir guerras
											e há uma pergunta
que nunca me abandona:
											Como lidamos com violência extrema
											sem usar a força?
											Quando se deparam com brutalidade,
											quer seja uma criança
a enfrentar um bully no parque infantil
											ou violência doméstica
											ou, como hoje nas ruas da Síria,
											a enfrentar tanques e estilhaços
											qual é a coisa mais eficaz
que podem fazer?
											Contra-atacar? Desistir?
											Usar mais força?
									","
											Après un demi-siècle d'efforts pour éviter les guerres,
											une question m'obsède :
											comment faire face à une violence extrême
											sans recourir à la force en retour ?
											Lorsque vous êtes face à la brutalité,
											qu'il s'agisse d'un enfant face à une brute sur un terrain de jeu
											ou de violence domestique,
											ou, dans les rues de la Syrie aujourd'hui,
											face aux blindés et aux obus,
											quelle est la meilleure chose à faire ?
											Se battre ? Abandonner ?
											Utiliser plus de force ?
									","
											Ein halbes Jahrhundert versuche ich
bereits, Kriege zu vermeiden.
											Eine Frage begleitet mich immer:
											Wie gehen wir mit extremer Gewalt um,
											ohne Gegengewalt einzusetzen?
											Wenn wir Brutalität ausgesetzt sind –
											ob nun ein Kind auf dem 
Schulhof schikaniert wird,
											oder häusliche Gewalt –
											oder ob die Straßen
wie heute in Syrien
											voller Panzer und Schrapnell sind,
											was ist der effektivste Umgang damit?
											Zurückschlagen? Aufgeben?
											Mehr Gewalt einsetzen?
									",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
","
","
","
","
",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
											This question: ""How do I deal with a bully
											without becoming a thug in return?""
											has been with me ever since I was a child.
											I remember I was about 13,
											glued to a grainy black and white television in my parents' living room
											as Soviet tanks rolled into Budapest,
											and kids not much older than me
											were throwing themselves at the tanks
											and getting mown down.
											And I rushed upstairs and started packing my suitcase.
									","
											Esta pregunta: «¿Cómo puedo lidiar con un agresor
											sin convertirme en uno?»
											me persigue desde niña.
											Recuerdo que tenía unos 13 años,
											estaba pegada a un televisor en blanco y negro de imagen granulosa en la sala de mis padres
											cuando los tanques soviéticos llegaron a Budapest
											y unos niños no muy mayores que yo
											se arrojaban a los tanques
											para que estos les pasaran por encima.
											Subí corriendo las escaleras y comencé a empacar.
									","
											Esta pergunta:
""Como lidar com um bully
											sem nos tornarmos também num?""
											tem estado comigo
desde que era criança.
											Lembro-me de ter cerca de 13 anos,
											estava colada à televisão a preto e branco
da sala dos meus pais
											a ver os tanques soviéticos
a avançar sobre Budapeste
											e crianças não muito mais velhas
do que eu
											a atirarem-se aos tanques
											e serem massacradas.
											Corri para o andar de cima
e comecei a fazer a minha mala.
									","
											Cette question : « Comment faire face à une brute
											sans pour autant devenir un voyou en retour ? »
											m'obsède depuis mon enfance.
											Je me souviens que j'avais environ 13 ans,
											collée à une télévision noir et blanc à l'image granuleuse dans le salon de mes parents
											alors que les chars soviétiques entraient dans Budapest,
											et que des enfants, pas beaucoup plus vieux que moi,
											se jetaient sur les chars
											et se faisaient rouler dessus.
											Je me suis précipitée à l'étage et j'ai commencé à faire ma valise.
									","
											Die Frage, wie ich 
mit einem Peiniger umgehe,
											ohne dabei selbst 
zum Verbrecher zu werden,
											beschäftigt mich schon 
seit meiner Kindheit.
											Ich erinnere mich noch: 
Ich war etwa 13
											und klebte im Wohnzimmer meiner Eltern 
an einem griesigen Fernsehbild in Schwarz-Weiß,
											als die sowjetischen Panzer 
in Budapest einrollten
											und Kinder, nicht viel älter als ich,
											sich den Panzern entgegenwarfen
											und niedergemäht wurden.
											Und ich flitzte die Treppe hoch 
und packte meinen Koffer.
									",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
","
","
","
","
",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
											And my mother came up and said, ""What on Earth are you doing?""
									","
											Y mi madre se acercó y me dijo: «Qué crees que estás haciendo?».
									","
											A minha mãe seguiu-me e disse:
""Mas o que é que estás a fazer?
									","
											Ma mère est venue et m'a dit : « Qu'est-ce que tu fais donc ? »
									","
											Meine Mutter kam zu mir und fragte:
""Was in aller Welt machst du?""
									",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
","
","
","
","
",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
											And I said, ""I'm going to Budapest.""
									","
											Y le dije: «Voy a Budapest».
									","
											e eu disse: ""Vou para Budapeste"".
									","
											J'ai répondu : « Je vais à Budapest. »
									","
											Und ich: ""Ich gehe nach Budapest.""
									",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
","
","
","
","
",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
"
											And she said, ""What on Earth for?""
									","
											Y ella dijo: «¿Para qué?».
									","
											E ela disse: ""Fazer o quê?""
									","
											Elle a demandé : « Pour quoi faire ? »
									","
											Sie fragte: ""Wieso denn bloß?""
									",Fighting with nonviolence,Scilla Elworthy,15:47,"TEDx,activism,global issues,peace,terrorism,violence,war"
