en,pt,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
											When I was a child,
I knew I had superpowers.
											That's right.
									","
											Quando eu era pequena, 
eu sabia que tinha superpoderes.
											Eu sei.
									","
											Cuando era pequeña,
sabía que tenía superpoderes.
											Exacto.
									","
											Çocukken, süper güçlerimin
olduğunu biliyordum.
											Evet, gerçekten.
									","
											Enfant,
											je savais que j'avais
des super-pouvoirs.

											C'est vrai !
									",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
","
","
","
","
",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
","
","
","
","
",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
											I thought I was absolutely amazing
because I could understand
											and relate to the feelings
of brown people,
											like my grandfather,
a conservative Muslim guy.
											And also, I could understand
my Afghan mother, my Pakistani father,
											not so religious
but laid-back, fairly liberal.
											And of course, I could understand
											and relate to the feelings
of white people.
											The white Norwegians of my country.
											You know, white, brown, whatever —
											I loved them all.
											I understood them all,
											even if they didn't always
understand each other;
											they were all my people.
									","
											Pensava que era absolutamente espetacular
porque conseguia perceber
											e identificar-me com os sentimentos
das pessoas castanhas,
											como o meu avô,
um muçulmano conservador.
											E também, conseguia compreender
a minha mãe afegã, o meu pai paquistanês,
											não muito religiosos mas descontraídos,
bastante liberais.
											E claro, eu conseguia compreender
											e identificar-me com os sentimentos
das pessoas brancas,
											os noruegueses brancos do meu país.
											Sabem, brancos, castanhos, tanto faz,
											amava-os a todos.
											Compreendia-os a todos,
											mesmo quando eles nem sempre 
se entendiam;
											eram todos o meu povo.
									","
											Pensaba que era la mejor
porque era capaz de entender
											los sentimientos de los ""morenos"",
											como los de mi abuelo,
musulmán conservativo.
											Y también entendía a mi madre
afgana, a mi padre paquistaní,
											que no eran tan religiosos,
sino relativamente liberales.
											Por supuesto, 
también entendía
											los sentimientos
de los blancos.
											Los noruegos blancos de mi país.
											Ya sabéis, blancos, morenos...
											Les amaba a todos por igual.
											Yo les comprendía a todos,
											aunque no siempre se 
entendieran entre ellos.
											Todos eran mi gente.
									","
											İnanılmaz biri olduğumu düşünüyordum,
çünkü kahverengi insanların hislerini
											anlıyor ve onlarla empati kurabiliyordum
											tıpkı muhafazakar bir Müslüman olan
büyükbabamla olduğu gibi.
											Ve aynı zamanda, çok dindar olmayan ama,
oldukça liberal olan
											Afgan annemi ve Pakistanlı babamı da
anlayabiliyordum.
											Ve elbette, beyazların 
hislerini de anlayabiliyor
											ve onlarla empati kurabiliyordum.
											Ülkemin beyaz Norveçlileriyle.
											Beyaz, kahverengi, hangi renkten
olurlarsa olsunlar
											herkesi severdim.
											Hepsini anlardım,
											onlar birbirini her zaman 
anlayamasalar da,
											hepsi benim halkımdı.
									","
											Je pensais que c'était vraiment formidable
											car je pouvais comprendre et corréler
avec les sentiments des « marrons »,

											comme mon grand-père,
un musulman conservateur.
											Je pouvais, aussi, comprendre ma mère
afghane et mon père pakistanais,
											pas très religieux mais ouvert
et plutôt libéral.
											Et bien sûr, je pouvais corréler
avec les sentiments des « blancs »,
											les Norvégiens blancs de mon pays.
											Vous savez, blancs, marrons, qu'importe...
											je les aime tous.
											Je les comprenais tous, même si ce
n'était pas toujours le cas entre eux.

											Ils étaient tous des miens.
									",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
","
","
","
","
",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
											My father, though,
was always really worried.
											He kept saying that
even with the best education,
											I was not going to get a fair shake.
											I would still face discrimination,
according to him.
											And that the only way
to be accepted by white people
											would be to become famous.
											Now, mind you, he had this conversation
with me when I was seven years old.
											So while I'm seven years old, he said,
											""Look, so it's either got to be sports,
or it's got to be music.""
											He didn't know anything about sports —
bless him — so it was music.
											So when I was seven years old,
he gathered all my toys, all my dolls,
											and he threw them all away.
											In exchange he gave me
a crappy little Casio keyboard and —
									","
											O meu pai, no entanto,
estava sempre bastante preocupado.
											Ele continuava a afirmar que,
mesmo com a melhor educação,
											eu não iria receber um tratamento justo.
											De acordo com ele, 
eu continuaria a sofrer discriminação.
											E que a única maneira
de ser aceite pelas pessoas brancas
											seria tornando-me famosa.
											Atenção, ele teve esta conversa comigo
quando eu tinha sete anos.
											Então, apesar de eu ter sete anos,
ele disse:
											""Olha, tem de ser ou desporto,
ou música.""
											Ele não sabia nada sobre desporto
— abençoado seja — portanto foi a música.
											Então quando eu tinha sete anos,
ele juntou todos os meus brinquedos,
											todas as minhas bonecas
e deitou tudo fora.
											Em troca ele deu-me uma porcaria 
de um teclado Casio e...
									","
											Por el contrario, mi padre
siempre estaba preocupado.
											Repetía constantemente que,
incluso con la mejor educación,
											yo nunca iba a tener un trato justo.
											Según él, iba a enfrentarme
a la discriminación.
											Y la única forma de que
los blancos me aceptaran,
											era que me hiciera famosa.
											Tuvimos esta conversación
cuando yo tenía siete años.
											O sea, que con siete años, me dijo,
											""Tienes dos opciones:
o el deporte, o la música.""
											El pobre no tenía idea de deportes...
así que tocó música.
											A mis siete años, él cogió todos
mis juguetes y muñecas,
											y los tiró a la basura.
											A cambio me dio un
espantoso teclado Casio...
									","
											Fakat babam, hep endişeliydi.
											Sürekli olarak, en iyi eğitimi alsam bile
											bana adil ve eşit fırsatlar
tanınmayacağını söylüyordu.
											En iyi eğitimle bile, ona göre,
yine de ayrımcılığa maruz kalacaktım.
											Ve ona göre, beyaz insanlarca kabul
görebilmemin tek şartı
											ünlü olabilmemdi.
											Şu da var ki, benimle bu konuşmayı
yaptığında ben yedi yaşındaydım.
											Yani, ben yedi yaşındayken babam
bana dedi ki;
											""Bak, bunu ya sporla,
ya müzikle yapabilirsin.""
											Spor hakkında pek bilgisi yoktu
- çok şükür - öyleyse müzik olmalıydı.
											Böylece, yedi yaşındayken, bütün
oyuncaklarımı, bebeklerimi topladı
											ve hepsini attı.
											Onların yerine bana berbat,
küçük bir Casio org verdi ve —
									","
											Pourtant, mon père 
était toujours très inquiet.
											Il disait toujours que, 
même avec la meilleure éducation,
											je n'allais pas être traitée
avec équité.
											J'allais quand même, selon lui,
faire l'objet de discrimination,
											et que la seule façon d'être
acceptée par les blancs,

											serait de devenir célèbre.
											Notez bien qu'il a eu cette conversation
avec moi quand j'avais sept ans.
											(Riant)
											Donc... À sept ans, il me dit :
											« Écoute, c'est soit le sport,
soit la musique ! ».
											Il ne connaissait rien au sport 
- béni soit-il -, donc ce fut la musique.
											Donc, à sept ans, il rassembla
tous mes jouets, toutes mes poupées,
											et s'en débarrassa.
											En échange, il me donna 
un petit clavier Casio minable,

									",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
","
","
","
","
",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											et... (Rires) ... Oui !
									",What we don't know about Europe's Muslim kids,Deeyah Khan,20:11,"activism,children,community,Europe,identity,humanity,family,Middle East,society,motivation,terrorism,TEDx,social change,violence"
