en,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
											Dr. Martin Luther King, Jr.,
											in a 1968 speech where he reflects
upon the Civil Rights Movement,
											states, ""In the end,
											we will remember not the words of our enemies
											but the silence of our friends.""
									","
											O Dr. Martin Luther King Jr.,
											num discurso de 1968 em que reflete
											sobre o Movimento 
dos Direitos Civis, afirma:
											""No final,
											""não nos vamos lembrar das palavras 
dos nossos inimigos,
											""mas do silêncio dos nossos amigos.""
									","
											Dr. Martin Luther King,
											1968'deki bir konuşmasında,
İnsan Hakları Hareketi üzerine görüşlerini
											şöyle ifade eder: ""En sonunda,
											düşmanlarımızın sözlerini değil,
											dostlarımızın sessizliğini hatırlayacağız""
									","
											Martin Luther King
											dans un discours de 1968 où il évoque
le mouvement pour les droits civiques,
											affirme : « A la fin,
											on ne se souviendra pas
des mots de nos ennemis,
											mais du silence de nos amis.»
									",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
","
","
","
",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
											As a teacher, I've internalized this message.
											Every day, all around us,
											we see the consequences of silence
											manifest themselves in the form of discrimination,
											violence, genocide and war.
											In the classroom, I challenge my students
											to explore the silences in their own lives
											through poetry.
											We work together to fill those spaces,
											to recognize them, to name them,
											to understand that they don't
have to be sources of shame.
											In an effort to create a culture within my classroom
											where students feel safe sharing the intimacies
											of their own silences,
											I have four core principles posted on the board
											that sits in the front of my class,
											which every student signs
at the beginning of the year:
											read critically, write consciously,
											speak clearly, tell your truth.
									","
											Como professor, eu interiorizei
esta mensagem.
											Todos os dias, à nossa volta,
											vemos as consequências do silêncio
											manifestarem-se 
sob a forma de discriminação,
											de violência, de genocídio e de guerra.
											Na sala de aula, eu desafio os meus alunos
											a explorarem os silêncios 
nas suas próprias vidas
											através da poesia.
											Trabalhamos juntos para 
preencher os espaços,
											para reconhecê-los, nomeá-los
											para entender que eles não devem 
ser motivo de vergonha.
											Para criar uma cultura 
na minha sala de aula
											em que os alunos se sintam seguros 
ao dividir as intimidades
											dos seus próprios silêncios,
											temos quatro princípios base 
afixados no quadro
											que está na frente da minha sala de aulas,
											e que todos os alunos assinam 
no começo do ano:
											Leia criticamente.
Escreva conscientemente.
											Fale claramente. 
Conte a sua verdade.
									","
											Bir öğretmen olarak, 
ben bu mesajı içselleştirdim.
											Her gün çevremizde
											sessizliğin sonuçlarının
											kendilerini ayrımcılık,
											şiddet, soykırım ve savaş olarak 
dışa vurduğunu görüyoruz.
											Sınıfta, öğrencilerimi
											kendi hayatlarındaki sessizlikleri
											şiir yoluyla keşfetmeye teşvik ediyorum.
											O boşlukları doldurmak, fark etmek,
											adlandırmak ve onların illa ki birer
											utanç kaynağı olmadığını anlamak için 
beraber çalışıyoruz.
											Öğrencilerin kendilerini
kendi sessizliklerinin
											yakınlıklarını paylaşacak kadar 
güvende hissettikleri
											bir kültür oluşturma çabasıyla,
											Sınıfımında duran tahtaya, sene başında
											altına bütün öğrencilerin imza attığı
											4 ana prensibimi astım:
											eleştirel oku, bilinçli yaz,
											açık konuş, gerçeğini söyle.
									","
											En tant qu'enseignant,
j'ai intégré ce message.
											Tous les jours autour de nous,
											nous voyons que les conséquences
du silence
											se manifestent sous forme
de discrimination
											de violence, de génocide, de guerre.
											Dans ma classe, je mets
mes étudiants au défi
											d'explorer les silences de leur propre vie
											à travers la poésie.
											Nous travaillons ensemble 
pour remplir ces espaces
											pour les reconnaître, les nommer
											pour comprendre qu'ils ne doivent pas
leur faire honte.
											Je m'efforce de créer une culture
dans ma classe
											où les élèves sont en confiance 
pour partager l'intimité
											de leurs propres silences.
											J'ai 4 principes de base
affichés au tableau
											devant la classe,
											et que chaque élève signe
en début d'année :
											lire avec un œil critique, 
écrire en conscience
											parler clairement,
dire sa vérité.
									",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
","
","
","
",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
											And I find myself thinking a lot about that last point,
											tell your truth.
											And I realized that
											if I was going to ask my students to speak up,
											I was going to have to tell my truth
											and be honest with them about the times
											where I failed to do so.
									","
											E eu encontro-me a pensar no último ponto,
											conte a sua verdade.
											Percebi que,
											se eu ia pedir franqueza aos meus alunos,
											teria que contar a minha verdade
											e ser honesto com eles sobre os momentos
											em que não consegui fazê-lo.
									","
											Kendimi o son madde üzerine 
fazlaca düşünürken buldum,
											gerçeğini söyle.
											Anladım ki,
											eğer öğrencilerimden 
açıkça konuşmalarını
											isteyeceksem, ben de
kendi gerçeğimi söylemeli
											ve bunu yapamadığım
zamanlar hakkında
											onlara karşı dürüst olmalıydım.
									","
											Et j'ai beaucoup réfléchi 
sur ce dernier point :
											« Dire sa vérité »
											Et je me suis rendu compte
											que si j'allais demander à mes élèves
de s'exprimer,
											je devais dire ma vérité
											et être honnête avec eux
concernant les fois
											où je n'étais pas parvenu à le faire.
									",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
","
","
","
",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
											So I tell them that growing up,
											as a kid in a Catholic family in New Orleans,
											during Lent I was always taught
											that the most meaningful thing one could do
											was to give something up,
											sacrifice something you typically indulge in
											to prove to God you understand his sanctity.
											I've given up soda, McDonald's, French fries,
											French kisses, and everything in between.
											But one year, I gave up speaking.
											I figured the most valuable thing I could sacrifice
											was my own voice, but it was like I hadn't realized
											that I had given that up a long time ago.
											I spent so much of my life
											telling people the things they wanted to hear
											instead of the things they needed to,
											told myself I wasn't meant to be anyone's conscience
											because I still had to figure out being my own,
											so sometimes I just wouldn't say anything,
											appeasing ignorance with my silence,
											unaware that validation doesn't need words
											to endorse its existence.
											When Christian was beat up for being gay,
											I put my hands in my pocket
											and walked with my head
down as if I didn't even notice.
											I couldn't use my locker for weeks
because the bolt on the lock
											reminded me of the one I had put on my lips
											when the homeless man on the corner
											looked at me with eyes up merely searching
											for an affirmation that he was worth seeing.
											I was more concerned with
touching the screen on my Apple
											than actually feeding him one.
											When the woman at the fundraising gala
											said ""I'm so proud of you.
											It must be so hard teaching
those poor, unintelligent kids,""
											I bit my lip, because apparently
we needed her money

											more than my students needed their dignity.
									","
											Assim, conto-lhes que ao crescer,
											numa família católica de Nova Orleães,
											durante a Quaresma, sempre ouvi
											que a melhor coisa que podíamos fazer
											era privarmo-nos de qualquer coisa,
											sacrificar qualquer coisa 
de que realmente gostássemos,
											para provar a Deus 
que entendíamos a sua santidade.
											Privei-me de refrigerantes, 
de McDonald's, de batatas fritas,
											de beijos na boca, de tudo o mais.
											Mas um ano, eu privei-me de falar.
											Percebi que a coisa 
mais valiosa que podia sacrificar
											era a minha voz, mas era como se 
eu não tivesse percebido
											que me tinha privado dela
havia muito tempo.
											Passei tanto tempo da minha vida
											a dizer às pessoas o que elas queriam ouvir
											e não o que precisavam de ouvir.
											Achava que não podia
ser a consciência de ninguém
											porque ainda tinha 
que descobrir a minha.
											Por isso, às vezes eu não dizia nada,
											escondendo a ignorância 
com o meu silêncio,
											sem saber que ""quem cala
											""consente"".
											Quando Christian 
foi espancado por ser ""gay"",
											meti as mãos nos bolsos
											e desandei de cabeça baixa como se 
não tivesse reparado.
											Não usei o meu armário da escola 
durante semanas, porque o cadeado
											lembrava-me o que 
eu tinha colocado nos meus lábios
											quando o sem-abrigo da esquina
											olhou para mim procurando apenas
											um sinal de que merecia ser visto.
											Eu preferia mexer no meu Apple (maçã)
											do que em dar-lhe uma a comer.
											Quando a mulher, 
na angariação de fundos, disse:
											""Orgulho-me de si.
											""Deve ser tão difícil ensinar 
crianças pobres, sem inteligência,""
											eu mordi os lábios, porque 
precisávamos mais do dinheiro dela
											do que os meus alunos 
precisavam de dignidade.
									","
											Bunun üzerine onlara 
New Orleans'lı Katolik
											bir ailenin çocuğu olarak büyürken,
											Büyük Perhiz boyunca bana her zaman
											yapılabilecek en 
anlamlı şeyin,
											Tanrının kutsallığını anladığını
											ona ispatlamak için
bir şeylerden vazgeçmek,
											haz aldığın bir şeyi feda etmek olduğunun
											tembihlendiğini söyledim. 
Ben gazozu, McDonald's'ı,
											bıraktım; Fransız öpücüğünü 
ve aradaki her şeyi bıraktım.
											Fakat bir yıl, konuşmayı da bıraktım.
											Feda edebileceğim en değerli şeyin
											kendi sesim olduğunu anladım ama bundan
											uzun zaman önce vazgeçmiş 
olduğumu fark etmemiştim.
											Hayatımın büyük bölümünü
											insanlara duymaları gereken şeyler yerine
											duymak istediklerini
söyleyerek geçirdim;
											kimsenin vicdanı olmama gerek yok dedim;
											çünkü önce kendim olmayı çözmeliydim;
											bu yüzden bazen hiçbir şey söylemezdim,
											cehaleti sessizliğimle yatıştırdım,
											doğrulamanın varlığını onaylamak için
											kelimelerin gereksiz olduğundan habersizce
											Christian eşcinsel olduğu için dövüldüğünde
											ellerime cebime koydum
											ve hiç farketmemişim gibi başım öne eğik halde yürüdüm.
											Haftalarca dolabımı kullanamadım çünkü kilitteki sürgü
											köşedeki evsiz adam gözleriyle bana bakıp
											yalnızca görmeyi hakeden birisi olduğuna
											dair bir ifade aradığında
											dudaklarıma koyduğum kilidi hatırlattı.
											Onu besleyecek elmadan çok, Apple'ımın
											ekranına dokunmayı dert ediyordum.
											bağış toplama şenliklerindeki kadın,
											""Seninle gurur duyuyorum.

											Bu fakir, akılsız çocuklara 
öğretmenlik yapmak
											çok zor olmalı"" dediğinde,
dudaklarımı ısırdım çünkü
											öğrencilerin itibarından çok,
onun parasını ihtiyacımız vardı.
									","
											Alors je leur ai raconté
qu'ayant grandi
											dans une famille catholique 
à la Nouvelle-Orléans,
											pendant le carême,
on me disait toujours
											que la chose la plus importante
que l'on pouvait faire
											était de se priver de quelque chose,
											de sacrifier un plaisir 
que l'on s'offre habituellement
											pour prouver à Dieu
que l'on comprend son caractère sacré.
											J'ai renoncé au soda, au McDo, aux frites
											aux « French Kiss »,
et à tout ce qu'on trouve entre les 2.
											Mais une année, 
j'ai renoncé à la parole.
											J'ai pensé que la chose la plus précieuse
que je pouvais sacrifier
											était ma propre voix, mais c'était
comme si je n'avais pas compris
											que j'y avais déjà renoncé 
depuis longtemps.
											J'ai passé toute une partie de ma vie
											à dire aux gens ce
qu'ils voulaient entendre
											plutôt que ce qu'ils devaient entendre,
											à me dire que mon rôle n'était pas
d'être la conscience des autres
											parce que je devais encore
trouver la mienne,
											alors quelquefois, je me taisais
											pour calmer l'ignorance avec mon silence
											sans me rendre compte que l'approbation
n'a pas besoin de mots
											pour justifier son existence.
											Quand Christian a été tabassé
parce qu'il est gay,
											j'ai mis mes mains dans mes poches
											et j'ai marché la tête baissée
comme si je n'avais rien vu.
											Je n'ai pas pu utiliser mon casier 
pendant des semaines parce que le cadenas
											me rappelait celui que j'avais mis
sur mes lèvres
											quand un SDF dans la rue
											m'a regardé d'un regard 
qui cherchait simplement
											l'assurance qu'il était digne
d'être regardé.
											Je tenais plus à ce qu'il se passait 
sur mon iPhone
											qu'à lui donner de quoi manger.
											Quand une femme au gala de charité
											m'a dit: « Je suis si fière de vous.
											Cela doit être si difficile d'enseigner
à ces élèves pauvres et en difficulté. »
											Je me suis mordu les lèvres, parce
qu'apparemment son argent
											avait plus d'importance que la dignité
de nos élèves.
									",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
","
","
","
",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
"
											We spend so much time
											listening to the things people are saying
											that we rarely pay attention to the things they don't.
											Silence is the residue of fear.
											It is feeling your flaws
											gut-wrench guillotine your tongue.
											It is the air retreating from your chest
											because it doesn't feel safe in your lungs.
											Silence is Rwandan genocide. Silence is Katrina.
											It is what you hear when there
aren't enough body bags left.
											It is the sound after the noose is already tied.
											It is charring. It is chains. It is privilege. It is pain.
											There is no time to pick your battles
											when your battles have already picked you.
									","
											Passamos tanto tempo
											a ouvir as coisas que as pessoas dizem
											que raramente prestamos atenção 
às coisas que elas não dizem.
											O silêncio é o produto do medo.
											É sentirmos as nossas fraquezas
											a cortar rente a nossa língua.
											É o ar que sai do nosso peito
											por não se sentir seguro 
nos nossos pulmões.
											O silêncio é o genocídio em Ruanda. 
O silêncio é Katrina.
											É o que ouvimos quando 
já não há mais sacos para cadáveres.
											É o som depois de a armadilha se fechar.
											É a carbonização. É a amarra. 
É o privilégio. É a dor.
											Não há tempo para escolher 
as nossas batalhas
											quando elas já nos escolheram.
									","
											İnsanların söyledikleri şeyleri dinlemeye
											o kadar vakit harcıyoruz ki,
dikkatimizi onların
											söylemediklerini dinlemeye
nadiren veriyoruz.
											Sessizlik korkunun kalıntısıdır.
											Kusurlarınız sanki dilinizi
											giyotinle uçurmuş gibi hissettirir.
											O, göğsünüzden geri çekilen havadır; zira
											kendini ciğerlerinizde
güvende hissetmez.
											Sessizlik Ruanda soykırımıdır.
Sessizlik Katrina kasırgasıdır.
											Yeteri kadar ceset torbası kalmadığında
duyduğunuz şeydir.
											Zaten bağlanmış olan ilmiğin sesidir.
											Kömürleştirmedir. Zincirdir. İmtiyazdır. Acıdır.
											Mücadeleleriniz sizi
zaten seçmişken,
											mücadelenizi seçmek için
vakit yok.
									","
											On passe tant de temps
											à écouter les choses qu'on nous dit
											qu'on ne prête pas attention
à celles qu'on ne nous dit pas.
											Le silence est le résidu de la peur.
											Il sent vos défauts
											il paralyse votre langue.
											C'est l'air qui s'échappe
de votre poitrine
											parce qu'il ne se sentait pas
en sécurité dans vos poumons.
											Le silence, c'est le génocide du Rwanda.
Le silence, c'est l'ouragan Katrina.
											C'est ce qu'on entend quand il n'y a
plus assez de sacs mortuaires.
											C'est le son une fois 
que la corde est nouée.
											C'est les cendres. C'est les chaînes.
C'est les privilèges. C'est la douleur.
											On n'a plus le temps
de choisir ses combats
											quand les combats nous ont déjà choisis.
									",The danger of silence,Clint Smith,4:18,"poetry,social change,spoken word"
