es,en,fr,de,title,speaker,duration,tags
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											Un amigo mío, politólogo,
											me dijo varios meses atrás,
											exactamente cómo sería este mes.
											Me dijo que se aproxima un abismo fiscal,
											que llegará a comienzos de 2013.
											Desde luego, los dos partidos
necesitan resolverlo,
											pero ninguno quiere parecer
el primero que lo resolvió.
											Ningún partido tiene incentivo alguno
para resolverlo un segundo antes del plazo,
											así que me dijo, diciembre, habrá muchas
											negociaciones enojosas,
negociaciones destructoras,
											reportes telefónicos de que no van bien,
											gente diciendo que no pasa nada,
											y luego, cerca de Navidad o Año Nuevo,
											oiremos, ""Bueno, lo resolvieron todo"".
											Me lo dijo algunos meses atrás. Me dijo que
estaba un 98 % seguro de que se resolvería,
											y recibí un correo de él hoy que dice, bien,
											estamos en el camino, pero
ahora estoy un 80 % seguro
											de que lo resolverán.
									","
											So a friend of mine who's a political scientist,
											he told me several months ago
											exactly what this month would be like.
											He said, you know, there's this fiscal cliff coming,
											it's going to come at the beginning of 2013.
											Both parties absolutely need to resolve it,
											but neither party wants to be seen as the first to resolve it.
											Neither party has any incentive to solve it a second before it's due,
											so he said, December, you're just going to see lots of
											angry negotiations, negotiations breaking apart,
											reports of phone calls that aren't going well,
											people saying nothing's happening at all,
											and then sometime around Christmas or New Year's,
											we're going to hear, ""Okay, they resolved everything.""
											He told me that a few months ago. He said he's 98 percent positive they're going to resolve it,
											and I got an email from him today saying, all right,
											we're basically on track, but now I'm 80 percent positive
											that they're going to resolve it.
									","
											J'ai un ami politologue,
											qui m'a dit, il y a quelques mois,
											exactement comment ce mois-ci se déroulerait.
											Il m'a dit, tu sais, on va bientot avoir une crise budgétaire,
											qui va commencer début 2013.
											Les deux partis doivent absolument la résoudre,
											mais aucun des deux ne veut être le premier à le faire.
											Aucun des partis n'a de raison de la résoudre une seconde avant qu'elle n'arrive.
											Donc il m'a dit, en Décembre, tu vas voir
											un tas de négociations féroces, de négociations échouées,
											des rapports de conférences téléphoniques qui n'aboutissent pas,
											des gens qui disent que rien du tout ne se passe,
											et soudain, aux environs de Noël ou du jour de l'An,
											on va entendre: « Ok, ils ont tout résolu. »
											Il m'a dit cela il y a quelques mois. Il disait qu'il était sur à 98% qu'ils arriveraient à résoudre le problème.
											Et aujourd'hui, j'ai reçu un email de lui disant, d'accord,
											nous sommes sur la bonne voie, mais maintenant
											je suis sûr à 80% qu'ils arriveront à résoudre le problème.
									","
											Ein Freund von mir, ein Politikwissenschaftler,
											hat mir vor ein paar Monaten genau erzählt,
											wie dieser Monat sein würde.
											Er sagte: ""Weißte, da kommt diese Haushaltsklippe
											das 'Fiscal Cliff', Anfang 2013.
											Beide Parteien müssen 
dieses Problem unbedingt lösen,
											aber keine will als erste dabei gesehen werden.
											Keine Partei hat etwas davon, es auch nur 
eine Sekunde früher zu lösen als als unbedingt nötig.
											Im Dezember wirst du also jede Menge hitzige
											Verhandlungen sehen, scheiternde Verhandlungen,
											Berichte über Telefonate, die nicht gut laufen,
											Menschen werden sagen, dass sich nichts tut
											und dann so um Weihnachten oder Neujahr
											werden wir hören: 
'Okay, jetzt haben sie alles geregelt.'""
											Er erzählte es mir vor ein paar Monaten. Er sagte, 
er sei zu 98 Prozent sicher, dass sie es lösen würden.
											Heute bekam ich eine E-Mail von ihm, in der er sagte:
											""Okay, prinzipiell sind wir auf Kurs, aber jetzt glaube
											ich zu 80 %, dass sie es lösen werden.""
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											Y me hizo pensar.
Me encanta estudiar
											esos momento de la historia de EE.UU.
											en que hubo ese frenesí
de ira partidista,
											en que la economía estuvo
al borde del colapso total.
									","
											And it made me think. I love studying
											these moments in American history
											when there was this frenzy of partisan anger,
											that the economy was on the verge of total collapse.
									","
											Et du coup, ça m'a fait réfléchir. J'adore étudier
											ces moments de l'histoire américaine
											quand il y a ces folies de colère partisane,
											que l'économie est sur le bord de l'effondrement total.
									","
											Das brachte mich zum Nachdenken. Ich liebe
											diese Momente in der amerikanischen Geschichte,
											in denen wütende Parteienkämpfe darüber tobten,
											ob die Wirtschaft nun am Rande 
des totalen Zusammenbruchs stünde oder nicht.
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											La batalla temprana más famosa
fue entre Alexander Hamilton
											y Thomas Jefferson sobre
qué sería el dólar
											y cómo se respaldaría,
con Alexander Hamilton
											diciendo: ""Necesitamos un banco central,
el Primer Banco de EE.UU.,
											o sino el dólar no tendrá valor.
											Esta economía no funcionará"",
											y Thomas Jefferson diciendo:
""Las personas no confiarán en eso.
											Acaban de luchar contra un rey.
No aceptarán ninguna forma de poder central"".
											Esta batalla definió los primeros 150 años
de la economía estadounidense,
											y en cada momento, distintos partidarios dicen:
											""Dios mío, la economía está cerca del colapso"",
											y nosotros gastando nuestros dólares
											en lo que queremos comprar.
									","
											The most famous early battle was Alexander Hamilton
											and Thomas Jefferson over what the dollar would be
											and how it would be backed up, with Alexander Hamilton
											saying, ""We need a central bank, the First Bank of the United States,
											or else the dollar will have no value.
											This economy won't work,""
											and Thomas Jefferson saying, ""The people won't trust that.
											They just fought off a king. They're not going to accept some central authority.""
											This battle defined the first 150 years of the U.S. economy,
											and at every moment, different partisans saying,
											""Oh my God, the economy's about to collapse,""
											and the rest of us just going about, spending our bucks
											on whatever it is we wanted to buy.
									","
											L'une des premières célèbres disputes, c'était entre
											Alexander Hamilton et Thomas Jefferson, 
pour savoir sur quoi et comment le dollar
											serait soutenu, avec Alexander Hamilton qui disait:
											« Nous avons besoin d'une banque centrale,
la Première Banque des Etats-Unis
											ou alors le dollar n'aura aucune valeur.
											Cette économie ne tiendra pas. »
											Et Thomas Jefferson disait: « Les gens n'auront pas confiance.
											Ils viennent juste de se battre contre un roi. 
Ils ne vont pas accepter une autorité centrale. »
											Cette lutte définit les 150 premières années
de l'économie américaine,
											et à chaque instant, différents partisans disaient:
											« Oh mon Dieu, l'économie est sur le point de s'effondrer »,
											et le reste d'entre nous continuait notre vie, 
dépensant notre argent
											un peu n'importe comment.
									","
											Der berühmteste frühe Kampf war 
zwischen Alexander Hamilton
											und Thomas Jefferson. 
Es ging darum, was der Dollar sein
											und wie er gestützt werden sollte. 
Dabei sagte Alexander Hamilton:
											""Wir brauchen eine Zentralbank, 
die erste Bank der Vereinigten Staaten,
											andernfalls wird der Dollar keinen Wert haben.
											Diese Wirtschaft wird nicht funktionieren.""
											Thomas Jefferson sagte: ""So was 
werden die Menschen nicht vertrauen.
											Sie haben sich gerade erst von einem König befreit. 
Eine zentrale Macht werden sie nicht akzeptieren.""
											Dieser Kampf definierte die ersten 
150 Jahre der US-Wirtschaft.
											Zu jedem Zeitpunkt agten wieder andere Parteigänger:
											""Oh mein Gott, die Wirtschaft bricht zusammen"",
											während wir anderen weitermachten 
und unser Geld ausgaben,
											wozu wir gerade Lust hatten.
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											Para darles una idea rápida
de dónde estamos,
											una rápido repaso de dónde estamos.
											El abismo fiscal... me han dicho
											que es muy partidista decirlo así,
											aunque no puedo recordar qué partido
lo apoya y cuál lo ataca...
											me dicen que debemos
llamarlo pendiente fiscal
											o crisis de austeridad,
											pero otros dicen, no,
eso es más partidista aún,
											así que llamémoslo
autoimpuesto, autodestructivo
											límite arbitrario de tiempo para
resolver un problema inevitable.
											Y así es cómo luce un problema inevitable.
											Esta es la proyección de la deuda
de EE.UU. como porcentaje
											de toda nuestra economía, el PIB.
											La línea punteada celeste representa
											los mejores pronósticos de la
Oficina de Presupuesto del Congreso
											de lo que pasaría si el Congreso no hace nada,
											y, como pueden ver, alrededor del 2027,
											alcanzaremos a los niveles de deuda de Grecia,
											algo así como un 130 % del PIB,
											lo que dice que en algún momento
en los próximos 20 años,
											si el Congreso no hace absolutamente nada,
											llegaremos a un momento en el que
los inversionistas del mundo,
											los compradores de bonos mundiales, dirán:
											""Ya no confiamos en EE.UU.
No les prestaremos más dinero,
											salvo a un interés realmente muy alto"".
											Y en ese momento nuestra economía colapsará.
											Pero recuerden, Grecia está ahí hoy.
											Estaremos allá en 20 años.
Tenemos mucho, mucho tiempo
											para evitar la crisis,
											y el abismo fiscal fue solo un intento más
											de tratar de forzar a ambos lados
a resolver la crisis.
									","
											To give you a quick primer on where we are,
											a quick refresher on where we are.
											So the fiscal cliff, I was told
											that that's too partisan a thing to say,
											although I can't remember which party it's supporting or attacking.
											People say we should call it the fiscal slope,
											or we should call it an austerity crisis,
											but then other people say, no, that's even more partisan.
											So I just call it the self-imposed, self-destructive
											arbitrary deadline about resolving an inevitable problem.
											And this is what the inevitable problem looks like.
											So this is a projection of U.S. debt as a percentage
											of our overall economy, of GDP.
											The light blue dotted line represents
											the Congressional Budget Office's best guess
											of what will happen if Congress really doesn't do anything,
											and as you can see, sometime around 2027,
											we reach Greek levels of debt,
											somewhere around 130 percent of GDP,
											which tells you that some time in the next 20 years,
											if Congress does absolutely nothing,
											we're going to hit a moment where the world's investors,
											the world's bond buyers, are going to say,
											""We don't trust America anymore. We're not going to lend them any money,
											except at really high interest rates.""
											And at that moment our economy collapses.
											But remember, Greece is there today.
											We're there in 20 years. We have lots and lots of time
											to avoid that crisis,
											and the fiscal cliff was just one more attempt
											at trying to force the two sides to resolve the crisis.
									","
											Pour vous donner un petit aperçu de notre situation,
											voici un bref rappel.
											Donc, le ""fiscal cliff"", la falaise fiscale, on m'a dit
											que c'était une expression trop partisane à utiliser,
											bien que je ne me rappelle pas 
quel parti elle soutient ou attaque.
											Certains disent que nous devrions l'appeler ""pente fiscale""
											ou que nous devrions l'appeler une crise d'austérité,
											mais alors d'autres personnes disent que c'est encore plus partisan.
											Donc je l'appelle simplement la date butoir auto-imposée,
											auto-destructive et arbitraire 
pour résoudre un problème inévitable.
											Et voilà ce à quoi ressemble ce problème inévitable.
											Ceci est une projection de la dette américaine
											en pourcentage de notre économie globale, du PIB.
											La ligne en pointillée bleue claire représente
											la meilleure estimation du Bureau du Budget du 
Congrès américain
											de ce qu'il arrivera si le Congrès ne fait strictement rien.
											Et comme vous pouvez le voir, quelque part vers 2027,
											nous atteignons les niveaux de dette de la Grèce,
											quelque part autour de 130% du PIB,
											ce qui nous dit que dans les vingt prochaines années,
											si le Congrès ne fait absolument rien,
											nous allons atteindre un moment où les investisseurs à travers le monde,
											les acheteurs de dettes du monde, vont dire:
											« Nous ne faisons plus confiance aux Etats-Unis. 
Nous n'allons plus leur prêter d'argent,
											sauf à un très gros taux d'intérêt. »
											Et à ce moment, notre économie s'effondrera.
											Mais rappelez-vous, la Grèce en est là aujourd'hui.
											Nous y serons dans 20 ans. 
Nous avons encore plein de temps
											pour éviter cette crise,
											et le ""fiscal cliff"" était juste un essai de plus
											pour essayer de forcer les deux côtés à résoudre la crise.
									","
											Ich will Ihnen hier einen schnellen Überblick,
											eine kleine Auffrischung geben, wo wir gerade stehen.
											Von einer Fiskalklippe zu sprechen, 
so wurde mir gesagt,
											sei zu parteiisch,
											obwohl ich nicht mehr weiß, welche 
Partei das unterstützt oder angreift.
											Leute sagen, man sollte es 
""fiskalen Abhang"" nennen,
											oder eine Einsparkrise,
											aber andere wieder: 
""Nein, das ist sogar noch parteiischer.""
											Deshalb nenne ich es einfach die 
selbstauferlegte, selbstzerstörerische,
											willkürliche Frist zur Lösung 
eines unausweichlichen Problems.
											Und so sieht dieses unausweichliche Problem aus:
											Hier werden die US-Schulden als Prozentsatz
											unserer Gesamtwirtschaft, des BIP, projiziert.
											Die hellblaue Punktelinie stellt die beste
											Schätzung des Congressional Budget Office
											dazu dar, was passieren wird, 
wenn der Kongress wirklich nichts tut,
											und, wie Sie sehen können, werden wir etwa 2027
											griechische Schuldenverhältnisse erreichen,
											ungefähr 130 Prozent des BIP,
											was zeigt, dass irgendwann in 
den nächsten 20 Jahren,
											wenn der Kongress überhaupt nichts unternimmt,
											wir einen Moment erreichen werden, 
wenn die weltweiten Investoren und
											die Anleihenkäufer sagen werden:
											""Wir trauen Amerika nicht mehr. 
Wir werden ihnen kein Geld leihen,
											außer zu wirklich hohen Zinssätzen.""
											In diesem Augenblick bricht 
unsere Wirtschaft zusammen.
											Aber denken Sie daran, dort ist Griechenland heute.
											Wir werden dort in zwanzig Jahren sein. 
Wir haben jede Menge Zeit,
											dieser Krise auszuweichen
											und die Fiskalklippe war nur ein weiterer Versuch,
											die zwei Seiten zur Lösung der Krise zu bringen.
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											Aquí hay otra forma de ver
exactamente el mismo problema.
											La línea azul oscura es
cuánto gasta el gobierno.
											La celeste es cuánto recauda el gobierno.
											Y, como pueden ver,
en la historia más reciente,
											excepto por un breve período,
consistentemente gastamos
											más de lo que recibimos.
Esa es la deuda nacional.
											Pero como también pueden ver,
la proyección sigue,
											la brecha se amplía un poco
y sube un poco,
											y esta gráfica es solo hasta 2021.
											Se pondrá muy, muy feo
a partir de 2030.
									","
											Here's another way to look at exactly the same problem.
											The dark blue line is how much the government spends.
											The light blue line is how much the government gets in.
											And as you can see, for most of recent history,
											except for a brief period, we have consistently spent
											more than we take in. Thus the national debt.
											But as you can also see, projected going forward,
											the gap widens a bit and raises a bit,
											and this graph is only through 2021.
											It gets really, really ugly out towards 2030.
									","
											Voici une autre façon d'aborder le même problème.
											La ligne bleue foncée représente ce que 
le gouvernement dépense.
											La ligne bleue claire représente ce que 
le gouvernement reçoit.
											Et comme vous le voyez, 
pour la plupart de l'histoire récente,
											à l'exception d'une brève période, nous avons constamment dépensé
											plus que ce que nous recevons. D'où la dette nationale.
											Mais comme vous pouvez aussi le constater, 
via une projection future,
											l'écart se creuse et s'agrandit un peu,
											et ce graphe ne va que jusqu'en 2021.
											Cela devient très très moche à l'horizon 2030.
									","
											Dasselbe Problem kann man anders betrachten.
											Die dunkelblaue Linie zeigt, 
was die Regierung ausgibt.
											Die hellblaue Linie zeigt, 
was die Regierung einnimmt.
											Sie sehen, wir haben in der jüngsten Vergangenheit,
											außer für kurze Zeit, stets mehr ausgegeben
											als eingenommen. Daher die Staatsverschuldung.
											Wie Sie bei der Zukunftsprojektion sehen können,
											geht die Lücke ein bisschen auseinander und steigt
											und diese Grafik geht nur bis 2021.
											Um 2030 wird sie richtig hässlich.
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
											Y esta gráfica trata
de resumir el problema.
											Los demócratas, dicen,
bueno, no es una gran cosa.
											Podemos subir los impuestos
un poco y cerramos la brecha,
											especialmente si subimos los de los ricos.
											Los republicanos dicen, no, no,
tenemos una mejor idea.
											¿Por qué no bajamos las dos líneas?
											¿Por qué no bajamos el gasto
del gobierno y bajamos los impuestos,
											y entonces estaremos en una trayectoria aún más
											favorable del déficit en el largo plazo?
											Y detrás de este poderoso desacuerdo sobre
											cómo cerrar la brecha,
											está la peor clase de cinismo
de los partidos políticos,
											la peor clase de miembro del grupo,
el lobby, toda la parafernalia,
											pero hay además intereses poderosos,
											respetuoso desacuerdo entre
											dos filosofías económicas
fundamentalmente diferentes.
									","
											And this graph sort of sums up what the problem is.
											The Democrats, they say, well, this isn't a big deal.
											We can just raise taxes a bit and close that gap,
											especially if we raise taxes on the rich.
											The Republicans say, hey, no, no, we've got a better idea.
											Why don't we lower both lines?
											Why don't we lower government spending and lower government taxes,
											and then we'll be on an even more favorable
											long-term deficit trajectory?
											And behind this powerful disagreement between
											how to close that gap,
											there's the worst kind of cynical party politics,
											the worst kind of insider baseball, lobbying, all of that stuff,
											but there's also this powerfully interesting,
											respectful disagreement between
											two fundamentally different economic philosophies.
									","
											Et ce graphe résume en quelque sorte le problème.
											Les Démocrates disent que ce n'est pas un drame.
											Nous pouvons juste augmenter les impôts un petit peu 
et réduire l'écart
											surtout si nous augmentons les impôts des riches.
											Les Républicains disent, hey, non, non, nous avons une meilleure idée
											Pourquoi ne baisserions-nous pas les deux lignes ?
											Pourquoi ne baisserions-nous pas les dépenses du gouvernement ainsi que les impôts gouvernementaux
											et alors nous aurions une trajectoire du déficit à long-terme
											encore plus favorable ?
											Et derrière ce désaccord important sur
											comment supprimer ou combler cet écart,
											on trouve la plus cynique espèce des politiques partisanes,
											la pire espèce de petite réglementation, de lobbying et tout
											mais il y a aussi ce désaccord, profondément interessant
											et respectueux entre deux philosophies économiques
											fondamentalement différentes.
									","
											Diese Grafik resümiert das eigentliche Problem.
											Die Demokraten sagen: ""Das ist kein großes Ding.
											Wir erhöhen einfach die Steuern etwas 
und schließen die Lücke,
											besonders, wenn wir die Reichen besteuern.""
											Die Republikaner sagen: 
""Nein, wir haben eine bessere Idee.
											Warum senken wir nicht beide Linien?
											Warum senken wir nicht die Staatsausgaben 
und die Staatssteuern,
											dann wird die Langzeitkurve
											für das Defizit noch besser sein?""
											Hinter dieser gewaltigen Meinungsverschiedenheit
											über das Schließen der Lücke
											steht die übelste Art zynischer Parteipolitik,
											die schlimmste Art von Insider-Diskussionen, 
Lobbyismus, dieser ganze Kram.
											Aber da ist auch diese unheimlich interessante,
											respektvolle Meinungsverschiedenheit zwischen zwei
											grundverschiedenen Wirtschaftsphilosophien.
									",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
"
","
","
","
",What we learned from teetering on the fiscal cliff,Adam Davidson,19:48,"economics,global issues,politics"
