en,pt,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
											Something happened
											while I was studying in the seminary
											and training to be a priest.
											I came in contact
with a different idea of life.
											An idea of life that contradicted
the main teachings of religion —
											humanism.
									","
											Algo aconteceu
											enquanto eu estava a estudar
no seminário,
											a estudar para ser padre.
											Entrei em contacto
com uma ideia de vida diferente.
											Uma ideia que contrariava a ideia
principal dos ensinamentos religiosos,
											o Humanismo.
									","
											Quelque chose s'est produit
											alors que j'étudiais au séminaire
											et suivais une formation
pour devenir prêtre.
											Je suis entré en contact
avec une idée différente de la vie.
											Une idée de la vie qui contredisait
											les principaux enseignements
de la religion :
											l'humanisme.
									","
											Algo pasó
											cuando estudiaba en el seminario
											y me formaba para sacerdote.
											Entré en contacto con
una idea diferente de la vida.
											Una idea de la vida que contradecía 
las principales enseñanzas de la religión:
											el humanismo.
									","
											Etwas passierte
											als ich im Seminar saß
											und den Priesterberuf erlernte.
											Ich kam in Kontakt mit einer
anderen Lebensvorstellung.
											Einer Vorstellung, die den Lehren 
der Religion widersprach —
											dem Humanismus.
									",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
","
","
","
","
",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
											Some of you may be wondering,
what on earth is humanism?
											Humanism is a way of thinking and living
											that emphasizes the agency
of human beings.
											Humanism stresses the fact
that we, human beings,
											are capable of changing the world.
											That we have the power
to make a difference in our lives,
											both individually and collectively,
											without recourse to some outside force.
									","
											Alguns de nós podem estar a perguntar-se,
o que é o Humanismo?
											O Humanismo é uma forma de pensar e viver
											que enfatiza a ação dos seres humanos.
											O Humanismo salienta o facto
de que nós, seres humanos,
											somos capazes de mudar o mundo.
											Que nós temos o poder de fazer
a diferença na nossa vida,
											tanto individual como coletivamente,
											sem recorrer a uma força exterior.
									","
											Certains d'entre vous se demandent
peut-être ce qu'est l'humanisme.
											L'humanisme est une façon
de penser et de vivre
											qui met l'accent sur le pouvoir
des êtres humains.
											L'humanisme souligne le fait
que nous, êtres humains,
											sommes capables de changer le monde.
											Nous avons le pouvoir
de faire la différence dans nos vies,
											individuellement et collectivement,
											sans le recours à une force extérieure.
									","
											Algunos de Uds. pueden estar pensando,
¿qué es el humanismo?
											El humanismo es una forma
de pensar y vivir
											que enfatiza la acción
de los seres humanos.
											El humanismo enfatiza el hecho
de que los seres humanos
											somos capaces de cambiar el mundo.
											Que tenemos el poder de hacer
una diferencia en nuestras vidas,
											tanto individual como colectivamente,
											sin los recursos de una fuerza externa.
									","
											Manche werden sich wundern, 
was zur Hölle ist Humanismus?
											Humanismus ist eine Denk- und Lebensweise,
											die den Menschen und seine Würde betont.
											Humanismus beschreibt,
											dass wir Menschen fähig sind, 
die Welt zu verändern.
											Dass wir die Kraft haben, 
unser Leben zu verändern,
											sowohl als Einzelner als auch in Gruppen,
											ohne den Einfluss einer äußeren Kraft.
									",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
","
","
","
","
",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
											It may interest you to know
that the best humanist lessons I learned
											were not from reading philosophy books
											or from poring over humanist
manifestos and declarations.
											No, not at all.
											The best humanist lesson I learned
was from the life of my own parents.
									","
											Pode interessar-vos saber
											que as melhores lições
de Humanismo que aprendi,
											não foram a ler livros de filosofia
											ou debruçado sobre manifestos
e declarações humanistas.
											Não, de modo nenhum.
											A melhor lição humanista que aprendi
foi com a vida dos meus pais.
									","
											Cela vous intéressera peut-être de savoir
											que les meilleures
leçons humanistes que j'ai apprises,
											je ne les ai pas apprises
en lisant des livres de philosophie
											ou en étudiant des manifestes
et déclarations humanistes.
											Non, pas du tout.
											La meilleure leçon humaniste
que j'ai apprise
											est issue de la vie de mes parents.
									","
											Podría ser interesante para Uds. saber
que las mejores lecciones que aprendí
											no vienen de leer libros de filosofía,
											o de estudiar detenidamente 
manifiestos y declaraciones humanistas.
											No, para nada.
											La mayor lección humanista que aprendí
fue de la vida de mis propios padres.
									","
											Interessanterweise lernte ich 
die besten Lektionen des Humanismus
											nicht aus Philosophiebüchern
											oder dem Studium 
humanistischer Manifeste.
											Nein, wirklich gar nicht.
											Die besten Lektionen des Humanismus
kamen aus dem Leben meiner Eltern.
									",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
","
","
","
","
",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
											My parents come
from a poor family background
											in Mbaise, in southeastern Nigeria.
											They had limited opportunities.
											But my parents did not allow
the circumstances of their bad upbringing
											to determine the ambition and dreams
for themselves and for their children.
											My father worked part-time,
trained as a teacher,
											and rose to become a headmaster
at a local primary school.
											My mother dropped out
of school quite early,
											because her mother, my grandmother,
could not afford her education.
											As a parent, my mother worked very hard,
											combining farming, petty trading
and taking care of my siblings and me.
									","
											Os meus pais vêm de uma família pobre
											de Mbaise, no sudeste da Nigéria.
											Eles tinham oportunidades limitadas.
											Mas os meus pais não deixaram
											que as circunstâncias
das suas pobres educações
											determinassem a ambição e os sonhos
para eles próprios e para os seus filhos.
											O meu pai trabalhava em ""part-time"",
formou-se como professor,
											e tornou-se o diretor
de uma escola primária.
											A minha mãe deixou a escola bastante cedo,
											porque a mãe dela, a minha avó,
não podia pagar a educação dela.
											Como mãe, ela trabalhou muito,
											combinando a agricultura
com um pequeno negócio
											e cuidando dos meus irmãos e de mim.
									","
											Mes parents viennent d'un milieu pauvre
											à Mbaise, dans le sud-est du Nigeria.
											Ils avaient des opportunités limitées.
											Mais mes parents n'ont pas permis
											aux circonstances de leur triste condition
											de déterminer leur ambition et leurs rêves
pour eux-mêmes et pour leurs enfants.
											Mon père a travaillé à temps partiel,
s'est formé en tant que professeur
											et est devenu proviseur
d'une école primaire.
											Ma mère a abandonné l'école assez tôt
											car sa mère, ma grand-mère,
ne pouvait pas payer son éducation.
											En tant que parent,
ma mère a travaillé très dur,
											associant l'agriculture, un petit commerce
et s'occupant de mes frères, sœurs et moi.
									","
											Mis padres vienen
de un entorno familiar pobre
											en Mbaise, en el suroeste de Nigeria.
											Ellos tuvieron oportunidades limitadas.
											Pero no permitieron que las circunstancias
de su limitada educación
											determinarán la ambición y sueños 
de ellos o de sus hijos.
											Mi padre trabajaba a media jornada 
como maestro,
											y ascendió para convertirse en director
en una escuela primaria local.
											Mi madre abandonó 
la escuela bastante temprano
											porque su madre, mi abuela,
no podía costear su educación.
											Como progenitora, mi madre trabajaba duro,
											se dedicaba a cultivar, al comercio 
minorista y cuidar de mi y mis hermanos.
									","
											Meine Eltern kommen aus 
ärmlichen Verhältnissen,
											aus Mbaise im Südosten Nigerias.
											Sie hatten wenig Möglichkeiten.
											Meine Eltern ließen sich durch ihre
schlechten Verhältnisse keinesfalls
											ihre Träume und Ambitionen 
oder die ihrer Kinder diktieren.
											Mein Vater arbeitete in Teilzeit, 
ausgebildet zum Lehrer,
											und wurde später Schulleiter 
einer örtlichen Grundschule.
											Meine Mutter verließ die Schule sehr früh,
											weil ihre Mutter, meine Großmutter, sich
ihre Bildung nicht mehr leisten konnte.
											Als Elternteil hat meine Mutter 
sehr hart gearbeitet —
											betrieb Landwirtschaft, Kleinhandel,
versorgte meine Geschwister und mich.
									",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
","
","
","
","
",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
"
											By the time I was born —
											that was shortly after
the Nigerian civil war —
											life was very difficult,
a struggle day by day.
											My family was living in a hut.
											With the eye of a child,
I can still see water
											dripping from the thatched roof
of our house when it rained.
											My father reared goats
to supplement the family income.
											And part of my duty
after school hours or during vacation
											was to feed these goats.
											There was no electricity,
no pipe with water.
											We trekked to fetch water
from the nearby streams.
											That was an easy work in the wet season,
											but kilometers when it was hot and dry.
											Through hard work and perseverance,
											my parents were able
to erect a block apartment
											and send my siblings and me to school.
											They made it possible for us
to enjoy a standard of living
											which they never did
											and to attain educational levels
											which they only imagined
when they were growing up.
											My parents' life, their story,
is my best lesson in humanism.
									","
											Mas quando eu nasci,
											pouco depois da guerra civil da Nigéria,
											a vida era muito difícil, 
uma luta diária.
											A minha família vivia numa cabana.
											Na minha memória de criança,
eu ainda vejo a água
											a pingar do telhado de colmo
da nossa casa, quando chovia.
											O meu pai criava cabras
para complementar as receitas familiares.
											E parte do meu dever após as aulas,
ou durante as férias,
											era dar comida a essas cabras.
											Não havia eletricidade,
nem água canalizada.
											Percorríamos distâncias para ir
buscar água de riachos próximos.
											Era um trabalho fácil na estação chuvosa,
											mas quilómetros
quando estava calor e seco.
											Com trabalho árduo e perseverança,
											os meus pais conseguiram construir
um bloco de apartamentos
											e mandar-me, a mim 
e aos meus irmãos para a escola.
											Eles possibilitaram-nos
desfrutar um padrão de vida
											que eles nunca tiveram
											e obter níveis de escolaridade
											que eles apenas imaginavam
enquanto cresciam.
											A vida dos meus pais, a sua história,
é a minha melhor lição de humanismo.
									","
											Au moment de ma naissance —
											c'était peu après
la guerre civile nigériane —
											la vie était difficile,
une lutte au quotidien.
											Ma famille vivait dans une hutte.
											Avec les yeux d'un enfant,
je vois encore l'eau
											gouttant du toit de chaume
de notre maison quand il pleuvait.
											Mon père élevait des chèvres
pour compléter les revenus de la famille.
											Une partie de mes devoirs
après l'école ou pendant les vacances
											était de nourrir ces chèvres.
											Il n'y avait pas d'électricité,
pas de canalisation d'eau.
											Nous marchions pour aller chercher
de l'eau dans les ruisseaux voisins.
											C'était un travail facile
durant la saison des pluies,
											mais des kilomètres
quand il faisait chaud et sec.
											Avec du travail et de la persévérance,
											mes parents ont pu ériger un appartement
											et envoyer mes frères,
mes sœurs et moi à l'école.
											Ils ont rendu cela possible pour nous
de profiter d'un niveau de vie
											dont ils n'ont jamais profité
											et d'atteindre des niveaux d'éducation
											qu'ils avaient seulement
imaginés en grandissant.
											La vie de mes parents, leur histoire,
est ma meilleure leçon d'humanisme.
									","
											Cuando nací,
											que fue poco después 
de la guerra civil nigeriana,
											la vida era muy difícil, una lucha diaria.
											Mi familia vivía en una cabaña.
											Con mis ojos infantiles
aún puedo ver el agua
											goteando desde el techo de paja
de nuestra casa cuando llovía.
											Mi padre criaba cabras
para complementar el ingreso familiar.
											Y parte de mi deber tras el colegio
o durante las vacaciones
											era alimentar a estas cabras.
											No había electricidad,
ni tuberías con agua.
											Caminábamos para ir a buscar agua
de las corrientes cercanas.
											Esto era fácil en la estación húmeda,
											pero eran kilómetros
cuando el clima era cálido o seco.
											Con trabajo duro y perseverancia
											mis padres pudieron erigir
un apartamento de concreto
											y enviarnos a mis hermanos
y a mí al colegio.
											Consiguieron que disfrutáramos
de un estándar de vida
											que ellos nunca tuvieron,
											y alcanzar niveles educativos
											que ellos solo podían imaginar
cuando crecían.
											La vida de mis padres, su historia,
es mi mejor lección en humanismo.
									","
											Als ich geboren wurde —
											das war kurz nach
dem nigerianischen Bürgerkrieg —
											war das Leben sehr schwer,
ein täglicher Kampf.
											Meine Familie lebte in einer Hütte.
											Aus den Augen eines Kindes sehe 
ich immer noch das Wasser
											bei Regen vom Strohdach 
unseres Hauses tropfen.
											Mein Vater züchtete Ziegen,
um das Familieneinkommen aufzustocken.
											Nach der Schule oder während 
der Ferien war es meine Pflicht,
											diese Ziegen zu füttern.
											Es gab keine Elektrizität, 
kein Wasser aus der Leitung.
											Wir mussten lange laufen,
um Wasser aus den Flüssen zu holen.
											Das war leichte Arbeit 
während der Regenzeit,
											aber zur Trockenzeit eine 
Angelegenheit von Kilometern.
											Durch harte Arbeit und Ausdauer
											konnten meine Eltern 
eine Wohnung bauen,
											und meine Geschwister 
und mich zur Schule schicken.
											Sie ermöglichten uns einen Lebensstandard,
											den sie selbst nie hatten,
											und den Zugang zu Bildungsniveaus,
											die sie als Kinder nur erträumt hatten.
											Das Leben meiner Eltern ist für mich 
die beste Lektion des Humanismus.
									",Why I choose humanism over faith,Leo Igwe,10:19,"religion,Africa,faith,society,humanity,community,collaboration"
