en,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
											I recently read about
what the young generation of workers want
											in Harvard Business Review.
											One thing that stuck out to me
was: don't just talk about impact,
											but make an impact.
											I'm a little bit older than you,
											maybe much older than you,
											but this is exactly the same goal
that I had when I was in college.
											I wanted to make my own impact
for those who live under injustice;
											it's the reason that I became
a documentary journalist,
											the reason I became
											a prisoner in North Korea for 140 days.
									","
											Yakın zamanda Harvard Business Review'de 
genç çalışanların
											isteklerine dair bir yazı okudum.
											Beni etkileyen şey: etkiden bahsetmek
											yerine etkiyi sen yarat.
											Sizden biraz daha yaşlıyım,
											belki çok daha yaşlı,
											fakat, ben üniversitedeyken
hedefim tam da buydu.
											Adaletsizlik altında yaşayan 
insanlar için bir etki yaratmak istedim.
											Böylece belgeselci gazeteci oldum
											ve Kuzey Kore'de 140 gün
											mahkum olarak tutulmama 
sebep olan da bu, yani benim işim.
									","
											J'ai lu récemment ce que veut
la jeune génération de travailleurs,
											dans la Harvard Business Review.
											Ce qui en ressortait :
ne faites pas que parler d'influence,
											ayez une influence.
											Je suis un peu plus âgée que vous,
											peut-être beaucoup plus âgée que vous,
											mais c'est exactement l'objectif
que je m'étais fixée à l'université.
											Je voulais influencer ceux
vivant dans l'injustice ;
											c'est pourquoi je suis devenue
journaliste documentaire,
											c'est pourquoi je suis devenue
											prisonnière en Corée du Nord
pendant 140 jours.
									","
											Vor Kurzem habe ich gelesen, 
was die junge Arbeitergeneration will
											im Harvard Business Review.
											Dabei stach eine Sache heraus: 
Rede nicht einfach über Einfluss,
											sondern bewege selbst etwas.
											Ich bin ein bisschen älter als Sie,
											vielleicht sogar viel älter als Sie,
											aber ich hatte genau das gleiche Ziel, 
als ich im College war.
											Ich wollte selber etwas bewegen für alle, 
die unter Ungerechtigkeit leiden;
											aus diesem Grund wurde ich 
Dokumentarjournalistin,
											aus diesem Grund war ich
											für 140 Tage Gefangene in Nordkorea.
									",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
","
","
","
",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
											It was March 17, 2009.
											It is St. Patrick's Day for all of you,
											but it was the day
that turned my life upside down.
											My team and I were making a documentary
about North Korean refugees
											living below human life in China.
											We were at the border.
											It was our last day of filming.
											There was no wire fence
											or bars
											or sign to show that it is the border,
											but this is a place that a lot
of North Korean defectors use
											as an escape route.
											It was still winter,
											and the river was frozen.
											When we were in the middle
of the frozen river,
											we were filming about
the condition of the cold weather
											and the environment
											that North Koreans had to deal with
											when they seek their freedom.
											And suddenly, one
of my team members shouted,
											""Soldiers!""
											So I looked back,
											and there were two small soldiers
in green uniforms with rifles,
											chasing after us.
											We all ran as fast as we could.
											I prayed that, please
don't let them shoot my head.
											And I was thinking that,
											if my feet are on Chinese soil,
											I'll be safe.
											And I made it to Chinese soil.
											Then I saw my colleague
Laura Ling fall on her knees.
											I didn't know what to do
at that short moment,
											but I knew that I could not
leave her alone there
											when she said,
""Euna, I can't feel my legs.""
									","
											17 Mart 2009,
											herkes için Aziz Patrick Günü olan
o gün,
											benim hayatımın alt üst olduğu gündü.
											Ekibimle, Çin'de insani olmayan 
şartlarda yaşayan Kuzey Koreli
											mültecilerle ilgili belgesel çekiyorduk.
											Sınırdaydık.
											Son günümüzdü.
											Sınır olduğuna dair bir dikenli tel,
											parmaklık
											ya da işaret yoktu.
											Ancak, birçok Kuzey Koreli burayı kaçış
											rotası olarak kullanırdı.
											Hala kış mevsimiydi
											ve nehir donmuştu.
											Orada, donmuş nehrin ortasında,
											Kuzey Korelilerin özgürlükleri için
verdikleri mücadele uğruna
											katlanmak zorunda
											kaldıkları soğuk havayı ve 
zorlu koşulları
											filme alıyorduk.
											Birdenbire ekipten biri bağırdı:
											""Askerler""
											Arkaya baktığımda,
											yeşil üniformalı ve tüfekli,
iki küçük askerin
											peşimizde olduğunu gördüm.
											Koşabildiğimiz kadar hızlı koştuk.
											Başıma ateş etmesinler diye dua ediyordum.
											Çin topraklarına ulaşırsam
											güvende olacağımı
											düşünüyordum.
											Çin topraklarına girmeyi başardım.
											Ve ardından İş arkadaşım Laura Ling'in 
dizlerinin üstüne düştüğünü gördüm.
											O kısa zamanda ne yapacağımı bilemedim.
											Ancak, ""Euna, bacaklarımı hissetmiyorum""
											dediğinde onu orada öylece bırakamazdım.
									","
											C'était le 17 mars 2009.
											C'est le jour de la saint Patrick
pour vous tous,
											mais cela a été le jour
qui a bouleversé ma vie.
											Mon équipe et moi réalisions
un documentaire
											sur les réfugiés nord-coréens
											vivant dans des conditions
inhumaines en Chine.
											Nous étions à la frontière.
											C'était notre dernier jour de tournage.
											Il n'y avait ni clôture barbelée,
											ni barres,
											ni signe indiquant
que c'était la frontière
											mais c'était un endroit que beaucoup
de transfuges nord-coréens utilisent
											comme voie de sortie.
											C'était encore l'hiver
											et le fleuve était gelé.
											Nous étions au milieu du fleuve gelé,
											nous filmions sur le climat froid
											et l'environnement
											auxquels les Nord-Coréens
devaient faire face
											dans leur poursuite de la liberté.
											Soudain, un des membres
de mon équipe a crié :
											« Soldats ! »
											Je me suis retournée
											et il y avait deux petits soldats
en uniforme vert, avec des fusils,
											qui nous courraient après.
											Nous avons couru aussi vite que possible.
											J'ai prié pour
qu'ils ne me tirent pas dans la tête.
											Je me disais
											que si mes pieds étaient
sur le sol chinois,
											je serais en sécurité.
											Je suis arrivée sur le sol chinois.
											Puis j'ai vu ma collègue
Laura Ling tomber à genoux.
											A cet instant, j'ignorais quoi faire
											mais j'ai su que
je ne pouvais pas la laisser seule
											quand elle a dit :
« Euna, je ne sens pas mes jambes ».
									","
											Es war der 17. März 2009.
											Für Sie alle ist das 
der St. Patricks Day,
											aber es war der Tag, 
der mein Leben auf den Kopf stellte.
											Wir drehten gerade eine Dokumentation 
über nordkoreanische Flüchtlinge,
											die unter menschenunwürdigen 
Bedingungen in China leben.
											Wir waren an der Grenze.
											Es war unser letzter Drehtag.
											Es gab keinen Drahtzaun
											oder Schranken
											oder Schilder, die die Grenze anzeigten,
											aber diese Stelle nutzen 
viele nordkoreanische Deserteure
											als Fluchtroute.
											Es war ein ruhiger Winter
											und der Fluss war zugefroren.
											Als wir mitten im 
zugefrorenen Fluss waren,
											filmten wir gerade
die kalten Wetterverhältnisse
											und Umweltbedingungen,
											mit dem Nordkoreaner fertig werden müssen,
											sobald sie nach Freiheit streben.
											Da rief plötzlich ein Teammitglied:
											""Soldaten!""
											Also sah ich zurück,
											und da waren zwei kleine Soldaten 
in grünen Uniformen mit Gewehren,
											die uns verfolgten.
											Wir alle rannten so schnell wir konnten.
											Ich betete darum, dass sie mir 
nicht in den Kopf schossen.
											Ich dachte, dass,
											sobald meine Füße 
auf chinesischem Boden waren,
											ich in Sicherheit wäre.
											Ich schaffte es auf chinesischen Boden.
											Dann sah ich meine Kollegin 
Laura Ling auf die Knie fallen.
											Zuerst wusste ich nicht, 
was ich tun sollte,
											aber ich konnte sie dort 
unmöglich alleine lassen,
											als sie sagte: ""Euna, 
ich spüre meine Beine nicht mehr.""
									",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
","
","
","
",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
											In a flash, we were surrounded
by these two Korean soldiers.
											They were not much bigger than us,
											but they were determined
to take us to their army base.
											I begged and yelled for any kind of help,
											hoping that someone
would show up from China.
											Here I was, being stubborn
											towards a trained soldier with a gun.
											I looked at his eyes.
											He was just a boy.
											At that moment,
he raised his rifle to hit me,
											but I saw that he was hesitating.
											His eyes were shaking,
											and his rifle was still up in the air.
											So I shouted at him,
											""OK, OK, I'll walk with you.""
											And I got up.
									","
											Bir anda, iki Koreli asker
tarafından sarıldık.
											Bizden çok daha yapılı 
yani iri yarı değillerdi,
											ancak bizi askeri karargaha 
götürmekte kararlılardı.
											Çin'den birinin geleceği umuduyla
											yalvardım yakardım ve yardım istedim.
											Eğitimli ve silahlı askerlere karşı
											inatla direnmeye çalışıyordum.
											Gözlerine baktım.
											Sadece bir çocuktu.
											O anda, bana vurmak için tüfeği kaldırdı.
											Tereddüt ettiğini gördüm.
											Gözleri titriyordu
											ve tüfeği hala havadaydı.
											Sonunda ""Peki, tamam, sizinle geliyoruz""
											diye bağırdım.
											Ayağa kalktım.
									","
											En un éclair, nous étions encerclées
par ces deux soldats coréens.
											Ils n'étaient pas beaucoup
plus grands que nous,
											mais ils étaient déterminés
à nous ramener à leur base militaire.
											J'ai supplié et crié, appelant à l'aide,
											espérant que quelqu'un vienne de Chine.
											J'étais là, entêtée
											face à un soldat entraîné et armé.
											Je l'ai regardé dans les yeux.
											Ce n'était qu'un garçon.
											A ce moment-là,
il a levé son fusil pour me frapper,
											mais j'ai vu qu'il hésitait.
											Ses yeux tremblaient
											et son fusil était toujours levé.
											Alors j'ai crié :
											« D'accord, d'accord,
je vais marcher avec vous ».
											Et je me suis levée.
									","
											Sofort waren wir von diesen 
zwei koreanischen Soldaten umzingelt.
											Sie waren nicht viel größer als wir,
											aber sie wollten uns unbedingt
zu ihrem Armeestützpunkt bringen.
											Ich flehte und schrie 
nach jeglicher Art Hilfe,
											ich hoffte, jemand würde
aus China auftauchen.
											Hier stand ich also,
											unbeugsam gegenüber einem 
ausgebildeten Soldaten mit Waffe.
											Ich sah ihm in die Augen.
											Er war nur ein Junge.
											In diesem Moment erhob er seine Waffe,
um mich zu schlagen,
											aber ich sah, dass er zögerte.
											Seine Augen zuckten,
											und sein Gewehr war 
noch immer in der Luft.
											Also schrie ich ihn an:
											""Okay, ich gehe mit dir.""
											Und ich stand auf.
									",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
","
","
","
",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
											When we arrived at their army base,
											my head was spinning
with these worst-case scenarios,
											and my colleague's
statement wasn't helping.
											She said, ""We are the enemy.""
											She was right: we were the enemy.
											And I was supposed to be frightened, too.
											But I kept having these odd experiences.
											This time, an officer brought me his coat
											to keep me warm,
											because I lost my coat on the frozen river
											while battling with one of these soldiers.
									","
											Karargaha vardığımızda, 

											kafamda en kötü senaryolar dönüyor
ve doğrusu arkadaşımın durumu da
											tüm bunları daha kötü 
bir hale getiriyordu.
											""Biz düşmanız"" dedi.
											Haklıydı, düşmandık.
											Benim de korkmam gerekiyordu.
											Ancak yaşadığım şey daha çok,
tuhaf bir deneyimdi.
											Sonra bir görevli, ısınmam için bana
											kendi montunu getirdi.
											Askerlerle mücadele ederken montumu
											orada, o donmuş nehirde, kaybetmiştim.
									","
											Quand nous sommes arrivés
à leur base militaire,
											ma tête tournait sous l'effet
de tous ces scénarios catastrophes
											et la déclaration
de ma collègue n'aidait pas.
											Elle a dit : « Nous sommes l'ennemi ».
											Elle avait raison : nous étions l'ennemi.
											J'étais aussi censée être effrayée.
											Mais je vivais d'étranges moments.
											Cette fois-ci, un officier
m'a apporté son manteau
											pour me tenir chaud
											car j'avais perdu mon manteau
sur le fleuve gelé
											en luttant avec un de ces soldats.
									","
											Als wir bei ihrem 
Armeestützpunkt ankamen,
											schwirrte mir der Kopf 
von diesen Extremfällen,
											und die Aussage meiner Kollegin 
war nicht gerade hilfreich.
											Sie sagte: ""Wir sind der Feind.""
											Sie hatte Recht: wir waren der Feind.
											Ich hätte genauso Angst haben sollen.
											Aber ich machte immer wieder 
diese seltsamen Erfahrungen.
											Dieses Mal brachte mir 
ein Offizier seinen Mantel,
											um mich zu wärmen,
											denn ich hatte meinen Mantel 
auf dem gefrorenen Fluss verloren,
											während ich mit einem 
der Soldaten kämpfte.
									",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
","
","
","
",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
"
											I will tell you what I mean
by these odd experiences.
											I grew up in South Korea.
											To us, North Korea was always the enemy,
											even before I was born.
											South and North have been
under armistice for 63 years,
											since the end of the Korean War.
											And growing up in the South
in the '80s and '90s,
											we were taught propaganda
about North Korea.
											And we heard so many graphic stories,
											such as, a little young boy
being brutally killed
											by North Korean spies
just because he said,
											""I don't like communists.""
											Or, I watched this cartoon series
											about a young South Korean boy
defeating these fat, big, red pig,
											which represented the North Koreans'
first leader at the time.
											And the effect of hearing
these horrible stories over and over
											instilled one word in a young mind:
											""enemy.""
											And I think at some point,
I dehumanized them,
											and the people of North Korea
became equated
											with the North Korean government.
									","
											Tuhaf bir deneyim derken ne demek
istediğimi size şöyle anlatayım.
											Güney Kore'de büyüdüm.
											Bizim için, doğduğumdan bu yana, hatta
daha da önceden beri,
											Kuzey Kore hep düşmandı.
											Kuzey ve Güney Kore, 
Kore Savaşından bu yana,
											63 yıldır ateşkes halindeler.
											Çocukluğum 80'ler ve 90'larda 
Güney'de geçti
											ve o zamanlar okulda Kuzey Kore karşıtı
propaganda müfredata dahildi.
											O kadar çok sayıda çizgi roman 
serisi okurduk ki
											mesela bunlardan birisinde kahraman, 
sırf ""Komünistleri sevmiyorum""
											dediği için, Kuzey Koreli casuslar 
tarafından acımasızca öldürülen
											küçük bir çocuktu.
											Kuzey Kore'nin o dönemdeki 
ilk liderini temsil eden
											şişko, büyük, kırmızı bir domuzla 
savaşan ve onu mağlup eden
											Güney Koreli, genç bir çocuğu
anlatan bu çizgi filmi izlerdik.
											Bu korkunç hikayeleri sürekli dinlemenin
											etkisiyle genç zihinlerimize 
aşılanan tek bir şey vardı:
											""düşman""
											Bir noktada sanırım artık onları
insan olarak düşünmemeye başladım
											Kuzey Korelileri,
											Kuzey Kore hükümetiyle 
özdeşleştirdim.
									","
											Je vais vous dire ce que je veux dire
par étranges moments.
											J'ai grandi en Corée du Sud.
											A nos yeux, la Corée du Nord
avait toujours été l'ennemi,
											même avant ma naissance.
											Le Sud et le Nord ont
un accord d'armistice depuis 63 ans,
											depuis la fin de la guerre de Corée.
											En grandissant dans le Sud
dans les années 80 et 90,
											on nous enseignait
de la propagande sur la Corée du Nord.
											Nous avons entendu
tant d'histoires choquantes
											comme celle d'un petit garçon
se faisant brutalement tuer
											par des espions nord-coréens
simplement pour avoir dit :
											« J'aime pas les communistes ».
											Ou j'ai regardé ce dessin-animé
											sur un garçon nord-coréen
battant ce gros cochon rouge
											qui représentait le dirigeant
nord-coréen de l'époque.
											Entendre ces horribles
histoires à répétition
											a instillé un mot dans mon jeune esprit :
											« ennemi ».
											Je pense qu'à un moment donné,
je les ai déshumanisés
											et j'ai assimilé le peuple nord-coréen
											au gouvernement nord-coréen.
									","
											Das meine ich mit diesen
seltsamen Erlebnissen:
											Ich wuchs in Südkorea auf.
											Für uns war Nordkorea immer der Feind,
											sogar noch vor meiner Geburt.
											Seit 63 Jahren herrscht Waffenstillstand 
zwischen Süd und Nord,
											seit dem Ende des Koreakriegs.
											Als Kinder im Süden 
in den 80er- und 90er-Jahren
											lehrte man uns Propaganda über Nordkorea.
											Wir haben so viele 
bildreiche Geschichten gehört,
											etwa wie ein kleiner Junge brutal
von nordkoreanischen Spionen
											getötet wurde, nur weil er sagte:
											""Ich mag keine Kommunisten.""
											Oder diese Zeichentrickserie
											über einen Jungen aus Südkorea, der ein 
fettes, großes, rotes Schwein besiegt,
											das den damaligen ersten
Präsidenten Nordkoreas darstellte.
											Als Auswirkung dieser Horrorgeschichten, 
die man immer wieder hörte,
											setzte sich ein Wort 
in unserem jungen Geist fest:
											""Feind.""
											Ich entmenschlichte sie irgendwann,
											die Menschen Nordkoreas 
wurden gleichgesetzt
											mit der Regierung Nordkoreas.
									",What I learned as a prisoner in North Korea,Euna Lee,11:59,"china,compassion,fear,humanity,journalism,politics,Asia,TEDx,United States"
