en,tr,de,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
											In 1925,
											Frida Kahlo was on her way home 
from school in Mexico City
											when the bus she was riding 
collided with a streetcar.
											She suffered near-fatal injuries 
to her spine, pelvis and hips,
											and was bedridden for months afterward.
									","
											1925 yılında
											Frida Kahlo okuldan
Mexico City'deki evine dönerken,
											bindiği otobüs bir tramvayla çarpıştı.
											Omurga, leğen kemiği ve kalçaları
neredeyse ölümcül hasar gördü
											ve sonraki aylarda yatalak oldu.
									","
											1925 war Frida Kahlo auf dem Heimweg
von der Schule in Mexiko-Stadt,
											als ihr Bus mit einer
Straßenbahn kollidierte.
											Sie erlitt fast tödliche Verletzungen 
an Wirbelsäule, Becken und Hüften
											und war dann monatelang
ans Bett gefesselt.
									","
											En 1925,
											Frida Kahlo rentrait chez elle
après ses cours à Mexico
											lorsque le bus dans lequel elle était
a percuté un tramway.
											Elle a subi des blessures presque
fatales à la colonne vertébrale,
											au bassin et aux hanches,
											et est restée alitée pendant des mois.
									","
											Em 1925,
											Frida Kahlo estava a regressar a casa
da escola na cidade do México
											quando o autocarro em que seguia
chocou contra um eléctrico.
											Sofreu lesões quase fatais
na coluna vertebral, pélvis e ancas,
											e ficou acamada durante meses.
									",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
","
","
","
","
",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
											During her recovery,
											she had a special easel 
attached to her bed
											so she could practice 
painting techniques.
											When she set to work,
											she began to paint the world according 
to her own singular vision.
											Over the course of her life,
											she would establish herself as the creator
and muse behind extraordinary art.
									","
											İyileşme sürecinde,
											resim yapma tekniklerini çalışması için
											yatağına bağlı özel bir şövalesi vardı.
											İşe koyulduğu zaman,
											dünyayı kendi bireysel görüşüne göre
çizmeye başladı.
											Yaşamı boyunca
											sıra dışı sanatın ardındaki yaratıcı
ve ilham perisi olduğunu ispatladı.
									","
											Während der Genesung bekam sie
eine am Bett befestigte Staffelei,
											um Maltechniken zu üben.
											So begann sie, die Welt aus ihrer
einzigartigen Perspektive zu malen.
											Im Lauf ihres Lebens
machte sie sich einen Namen
											als Schöpferin und Muse
von außergewöhnlicher Kunst.
									","
											Pendant sa convalescence,
un chevalet spécial était fixé à son lit
											afin de pratiquer
différentes techniques de peinture.
											Quand elle a commencé,
											elle a d'abord peint le monde
selon sa vision singulière.
											Au cours de sa vie,
											elle allait devenir la créatrice et muse
d'un art extraordinaire.
									","
											Durante a sua recuperação,
											tinha um cavalete especial ligado à cama
											para poder praticar técnicas de pintura.
											Quando começou a trabalhar,
											começou a pintar o mundo
segundo o seu ponto de vista único.
											Ao longo da sua vida,
											viria a ser a criadora e a musa
duma arte extraordinária.
									",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
","
","
","
","
",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
											Though you may have met 
Kahlo's gaze before,
											her work provides an opportunity 
to see the world through her eyes.
											She painted friends and family,
											still lives and spiritual scenes;
											but it was her mesmerizing self-portraits
											which first caught the world’s attention.
									","
											Daha önce Kahlo'nun bakışıyla
tanışmış olsanız da,
											çalışmaları dünyayı onun gözünden
görmeniz için bir fırsat sunuyor.
											Arkadaşlarını ve ailesini,
											natürmort ve ruhsal görüntüler çizdi;
											fakat dünyanın ilgisini çeken ilk şey
											onun büyüleyici oto-portreleriydi.
									","
											Auch wenn du Kahlos Blick schon kennst,
											bietet ihr Werk die Möglichkeit,
die Welt durch ihre Augen zu sehen.
											Sie malte Freunde und Familie,
Stillleben und spirituelle Szenen;
											aber erst ihre hypnotischen Selbstporträts
erregten die Aufmerksamkeit der Welt.
									","
											Même si vous avez déjà croisé
le regard de Kahlo auparavant,
											son œuvre donne une opportunité
de voir le monde à travers ses yeux.
											Elle a peint ses amis et sa famille,
											des natures mortes
et des scènes spirituelles ;
											mais ce sont ses autoportraits captivants
											qui ont d'abord attiré
l'attention du monde entier.
									","
											Embora talvez já tenham encontrado
o olhar da Kahlo,
											a sua obra oferece uma oportunidade
de ver o mundo através dos olhos dela.
											Ela pintou amigos e parentes,
											naturezas mortas e cenas espirituais;
											mas foram os seus
fascinantes auto-retratos
											que primeiro captaram a atenção do mundo.
									",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
","
","
","
","
",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
											In an early work,
											""Self Portrait with Velvet Dress,""
											the focus is on her strong brows, facial 
hair, long neck and formidable stare.
											Such features remained,
											but Kahlo soon began to present herself 
in more unusual ways.
											For example,
											""The Broken Column"" uses symbolism,
											religious imagery and a ruptured landscape
to reveal her physical and mental state.
									","
											""Kadife Elbise ile Oto-Portre"" adlı
											eski bir çalışmasında
											odak güçlü kaşları, yüzündeki kıllar
ve ürkütücü bakışlarında.
											Bu tür özellikler devam etti,
											fakat Kahlo kısa sürede kendisini daha
alışılmadık biçimlerde sunmaya başladı.
											Örneğin,
											""Kırık Sütun"" eseri onun fiziksel
ve ruhsal durumunu göstermek için
											sembolizm, dini imgelem
ve kopuk bir manzara kullanıyor.
									","
											Das Frühwerk ""Selbstbildnis mit Samtkleid""
betont ihre buschigen Augenbrauen,
											ihren Damenbart, langen Hals
und durchdringenden Blick.
											Diese Merkmale blieben,
											aber bald präsentierte sich Kahlo
auf noch ungewöhnlichere Weise.
											In ""Die zerbrochene Säule""
verwendet sie Symbolismus,
											religiöse Bildsprache
und eine zerrissene Landschaft,
											um ihren physischen und psychischen
Zustand zu demonstrieren.
									","
											Dans l'une de ses premières œuvres,
											« Autoportrait à la Robe de Velours »,
											l'attention se porte sur ses sourcils
épais, sa pilosité faciale,
											son long cou et son regard formidable.
											Ces traits restèrent,
											mais Kahlo commença bientôt à se présenter
de manières plus inhabituelles.
											Par exemple,
											« La Colonne brisée »
a recours au symbolisme,
											à l'imagerie religieuse
et à un paysage déchiré
											pour révéler son état physique et mental.
									","
											Num dos trabalhos iniciais,
											""Autorretrato com vestido de veludo"",
											a atenção é atraída para
as sobrancelhas grossas,
											os pelos faciais, o longo pescoço
e o olhar extraordinário.
											Essas características permaneceram,
											mas Kahlo cedo começou a apresentar-se
de maneiras mais insólitas.
											Por exemplo,
											""A Coluna Quebrada""
serve-se do simbolismo,
											de cenas religiosas
e de uma paisagem destruída
											para revelar o seu estado físico e mental.
									",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
","
","
","
","
",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
"
											In 1928, Kahlo started dating 
fellow painter Diego Rivera.
											They became lifelong partners and 
cultivated an eccentric celebrity.
											Together, they traveled the world and 
dedicated themselves to art,
											Communist politics and 
Mexican nationalism.
									","
											Kahlo 1928'de ressam arkadaşı
Diego Rivera ile görüşmeye başladı.
											Hayat arkadaşı oldular
ve garip bir şöhret kazandılar.
											Birlikte dünyayı gezdiler
ve kendilerini sanata,
											komünizm politikasına
ve Meksika milliyetçiliğine adadılar.
									","
											1928 begann sie ein Verhältnis
mit ihrem Malerkollegen Diego Rivera.
											Sie wurden Gefährten fürs Leben
und ein exzentrisches Glamour-Paar.
											Gemeinsam bereisten sie die Welt 
und widmeten sich der Kunst,
											kommunistischer Politik
und mexikanischem Nationalismus.
									","
											En 1928, Kahlo a commencé à sortir
avec le peintre Diego Rivera.
											Ils ont vécu ensemble toute leur vie
et ont cultivé une célébrité excentrique.
											Ensemble, ils ont parcouru le monde
et se sont consacrés à l'art,
											à la politique communiste
et au nationalisme mexicain.
									","
											Em 1928, Kahlo começou a sair
com o seu colega pintor Diego Rivera.
											Viveram juntos ao longo da vida
e cultivaram uma excêntrica celebridade.
											Juntos, viajaram pelo mundo
e consagraram-se à arte,
											à política comunista
e ao nacionalismo mexicano.
									",Frida Kahlo: The woman behind the legend,Iseult Gillespie,3:54,"art,painting,pain,arts,disability,animation,TED-Ed,relationships,feminism,world cultures,human body,women,Latin America,culture"
