fr,en,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
											Je suis une toxicologue de la mer,
											et j'ai été très, très inquiète au sujet du Golfe,
											en particulier au sujet des applications massives
											de dispersant toxique,
											le Corexit.
											J'ai travaillé sur la pollution des océans
											pendant assez longtemps –
											ses conséquences sur la vie marine et plus particulièrement
											sur les mammifères marins.
											Il se trouve que les mammifères marins
											sont au sommet de cette chaîne alimentaire
											dans laquelle nous déversons des millions de tonnes
											de substances toxiques
											chaque année.
											Et cela se voit.
											Je suis désolée d'avoir une diapositive triste comme celle-là,
											mais tout n'est pas rose,
											en particulier dans mon travail.
											Leur corps est bourré
											de produits chimiques toxiques,
											des centaines de composés,
											toutes sortes de composés - c'est stupéfiant.
											Et ils disparaissent les uns après les autres, assez régulièrement,
											des dizaines de milliers à travers le monde.
											On prévoit qu'ils pourraient disparaître –
											environ un tiers d'entre eux –
											dans environ 30 ans.
									","
											I am a marine toxicologist,
											and I've been very, very concerned about the Gulf,
											particularly about the massive applications
											of the toxic dispersants,
											the Corexits.
											I've been working on ocean pollution
											for quite a long time —
											the impacts on marine life and particularly the impacts
											on marine mammals.
											As it turns out, marine mammals
											are at the top of this food chain
											that we're pouring millions of tons
											of toxic substances into
											every year.
											And they are showing the signs of this.
											I'm sorry to have a sad slide like this,
											but not everything is all that happy,
											especially in my work.
											They are loaded
											with toxic chemicals in their body,
											hundreds of compounds,
											all kinds of compounds — it's staggering.
											And they're dying off rather regularly,
											tens of thousands around the world.
											It's predicted they may go extinct —
											about a third of them —
											within about 30 years.
									","
											Ich bin Meerestoxikologin
											und ich mach mir sehr große Sorgen um den Golf von Mexiko,
											vor allem wegen des massiven Einsatzes
											von toxischen Dispersionsmitteln,
											Corexit.
											Ich beschäftige mich mit der Verschmutzung der Ozeane
											schon seit längerer Zeit —
											mit den Auswirkung auf das Meeresleben und besonders
											auf Meeressäugetiere.
											Wie wir wissen, stehen Meeressäugetiere
											an der Spitze dieser Nahrungskette,
											in die wir Millionen von Tonnen
											toxischer Substanzen schütten
											jedes Jahr.
											Und man kann die Auswirkung davon erkennen.
											Es tut mir leid, solche traurigen Bilder zu zeigen,
											aber es ist nicht alles wunderbar,
											besonders in meinem Arbeitsbereich.
											Die Meeressäugetiere sind sehr belastet
											mit toxischen Chemikalien,
											Hunderten von chemischen Verbindungen,
											allen Arten von Verbindungen, — es ist erschreckend.
											Und sie sterben ziemlich regelmässig weg,
											zig tausende von ihnen auf der ganzen Welt.
											Es wird damit gerechnet, dass sie vielleicht aussterben —
											ungefähr ein Drittel von ihnen —
											innerhalb von ungefähr 30 Jahren.
									","
											Soy toxicóloga marina
											y he estado muy, muy preocupada por el Golfo,
											particularmente respecto de las aplicaciones masivas
											de dispersantes tóxicos,
											los Corexits.
											He estado trabajando en la polución oceánica
											durante mucho tiempo;
											en los impactos en la vida marina y, particularmente, en los impactos
											en mamíferos marinos.
											Sucede que los mamíferos marinos
											están en la cima de la cadena alimenticia
											y estamos derramando millones de toneladas
											de substancias tóxicas en ella
											cada año.
											Y ellos muestran las señales de esto.
											Me apena tener una diapositiva como esta,
											pero no todo es tan feliz,
											especialmente en mi trabajo.
											Están cargados
											con químicos tóxicos en su cuerpo,
											cientos de compuestos,
											toda clase de compuestos... es pasmoso.
											Y están muriendo con bastante frecuencia,
											decenas de miles en todo el mundo.
											Se predice que pueden extinguirse
											alrededor de un tercio de ellos
											en los siguientes 30 años.
									","
											Sou toxicóloga marinha
											e tenho estado preocupadíssima
com o Golfo do México,
											em especial por causa
das aplicações maciças
											de dispersantes tóxicos,
											os Corexits.
											Tenho trabalhado na poluição do oceano
											já há muito tempo,
											sobre os impactos na vida marinha,
											em especial, nos impactos
sobre os mamíferos marinhos.
											Acontece que os mamíferos marinhos
											são o topo desta cadeia alimentar
											onde estamos a despejar
											milhões de toneladas
de substâncias tóxicas,
											todos os anos.
											E eles estão a mostrar sinais disso.
											Lamento ter um triste ""slide"" como este
											mas nem tudo corre bem,
											especialmente na minha profissão.
											Eles têm o corpo carregado
de químicos tóxicos,
											centenas de compostos químicos,
											todos os tipos de compostos
— é impressionante.
											Estão a morrer, regularmente,
											às dezenas de milhares,
pelo mundo inteiro.
											Prevê-se que cerca de um terço
entre em extinção
											dentro de 30 anos.
									",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
","
","
","
","
",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
											Donc, mon projet se situe le long de l'Atlantique du Nord-Ouest.
											Il s'appelle Les phoques comme sentinelles.
											Nous suivons la pollution
											au sommet du réseau alimentaire, chez les mammifères marins et les poissons.
											C'est, à l'échelle d'une région,
											une étude écotoxicologique.
											Nous examinons un grand nombre de composés,
											mais récemment avons été très intéressés par
											les retardateurs de flamme, les retardateurs de flamme bromés
											qui sont présents dans beaucoup, beaucoup de choses
											que nous utilisons dans notre vie quotidienne,
											des coussins des chaises
											sur lesquels nous nous asseyons tous,
											aux boîtiers en plastique de nos ordinateurs,
											nos postes de télévision et ainsi de suite.
											Donc, nous suivons
											comment ces choses passent
											des produits à l'océan,
											qui est le dépotoir final pour eux
											Et leur parcours est assez compliqué,
											parce que, quand ces produits vieillissent,
											ils se retrouvent dans la poussière,
											et puis on les jette aussi, alors ils vont à la décharge.
											Ils finissent dans les usines de traitement des eaux usées.
											Comme vous le savez tous, on jette des milliards
											d'ordinateurs et de téléviseurs chaque année.
											Et ils vont dans des décharges de déchets électroniques.
											Et tout cela va dans les eaux de surface,
											pour finalement atteindre l'océan, le dépotoir final.
											Donc, dans notre étude,
											nous avons trouvé des niveaux plutôt élevés, comme nous nous y attendions,
											de ces retardateurs de flamme dans le corps des phoques communs.
											Et nous l'avons signalé.
											Cela a conduit à une interdiction de ce retardateur de flamme neurotoxique,
											appelé Deca, dans le Maine où je suis basée,
											et puis aussi à une suppression progressive,
											dans tous les États-Unis, à la fin de l'année dernière.
											Mais nous nous sommes dit, bon, si on regarde le bon côté des choses,
											nos phoques communs au moins ne
											partiront pas en flamme de sitôt.
									","
											So my project is along the Northwest Atlantic.
											It's called Seals as Sentinels.
											We're tracking pollution
											at the top of the food web, in marine mammals and fish.
											It's a region-wide,
											eco-toxicological investigation.
											We're looking at a lot of compounds,
											but recently been quite interested in
											the flame retardants, the brominated flame retardants
											that are in many, many things
											that we use in our everyday life,
											from the cushions in the chairs
											we're all sitting on
											to the plastic casings of our computers,
											our television sets and so on.
											So we are tracking
											how do these things get from
											the products into the ocean,
											which is the final sink for them.
											And there's quite a complicated pathway for that
											because, as these products age,
											they get concentrated in dust,
											and then they also get thrown out, so they go to the landfills.
											They wind up in waste water treatment plants.
											As you all know, we throw out billions
											of computers and TVs every year.
											And those go to e-waste dumps.
											And all that gets into surface waters,
											eventually reaching the ocean, the final sink.
											So, in our study,
											we did find quite high levels, as we expected,
											of these flame retardants in the harbor seals' bodies.
											And we reported this.
											It led to a ban of this neuro-toxic flame retardant
											called Deca in Maine, where I am based,
											and also then a phase-out,
											U.S.-wide, at the end of last year.
											But we said, well, on the bright side,
											our harbor seals at least will not be
											bursting into flame anytime soon.
									","
											Mein Projekt ist hier entlang des Nordwestatlantik.
											Es heisst Seehunde als Wächter.
											Wir folgen den Spuren der Verschmutzung
											an der Spitze des Nahrungsnetzes, bei Meeressäugetieren und Fischen.
											Es ist eine regional angelegte,
											ökotoxikologische Untersuchung.
											Wir beobachten etliche Verbindungen,
											aber in letzter Zeit bin ich besonders interessiert an
											den Brandhemmer, den bromierten Brandhemmer,
											die in vielen, vielen Dingen vorkommen,
											Gegenständen des täglichen Gebrauchs,
											angefangen von den Stuhlkissen
											auf denen wir sitzen,
											bis zu den Kunststoffgehäusen unserer Computer,
											Fernsehgeräte und so weiter.
											Wir verfolgen also
											wie diese Verbindungen
											von den Produkten in den Ozean kommen,
											der für sie der letzte Abfluß ist.
											Dafür gibt es einen ziemlich komplizierten Weg,
											weil, wenn diese Produkte älter werden,
											konzentrieren sich die Verbindungen im Staub
											und dann werden sie mit weggeworfen und enden auf Deponien.
											Sie landen in den Kläranlagen.
											Wie Sie alle wissen, werfen wir Milliarden
											von Computern und Fernsehgeräten weg, jedes Jahr.
											Und die landen im Elektro-Sondermüll.
											Und das alles gelangt ins Oberflächenwasser,
											und erreicht schließlich den Ozean, den letzten Abfluß.
											In unserer Studie
											haben wir erwartungsgemäß ziemlich hohe Konzentrationen
											dieser Brandhemmer in den Körpern von Seehunden gefunden.
											Wir haben darüber berichtet.
											Das hat zu einem Verbot des neurotoxischen Brandhemmers
											Deca in Maine geführt, wo ich arbeite,
											und anschließend wurde er stufenweise aus dem Verkehr gezogen
											in den USA, Ende des vergangenen Jahres.
											Aber wir haben gesagt, gut, die positive Seite davon ist,
											dass unsere Seehunde zumindest nicht
											demnächst in Flammen aufgehen.
									","
											Así que mi proyecto es a lo largo del noroeste del Atlántico
											Y se llama, Focas como Centinelas.
											Estamos siguiendo la polución
											en la cima de la red alimentaria, en mamíferos marinos y peces.
											Es una investigación regional
											eco-toxicológica.
											Lo que estamos viendo son muchos compuestos,
											pero recientemente estamos muy interesados en
											los retardadores de llama, los retardadores de llama brominados
											que existen en muchas, muchas cosas
											que usamos en nuestra vida diaria.
											desde los cojines de las sillas
											en las que estamos sentados
											a las cajas plásticas de nuestras computadoras,
											nuestros televisores y así por el estilo.
											Así que estamos siguiendo
											cómo esas cosas van desde
											los productos hasta el océano,
											el cual es el sumidero final para ellas.
											Y hay un camino bastante complicado para ello
											porque, al envejecer nuestros productos,
											se reducen a polvo,
											y entonces también son tirados, se van a los rellenos sanitarios.
											Terminan en plantas de tratamiento de desperdicios.
											Y, como todos saben, tiramos miles de millones
											de computadoras y televisores cada año.
											Y todos ellos van a los depósitos de desperdicios electrónicos.
											Y todo eso llega a las aguas superficiales
											eventualmente alcanzando el océano, el sumidero final.
											Así, en nuestro estudio,
											encontramos muy altos niveles, como esperábamos,
											de esos retardadores de llama en los cuerpos de las focas bebés de la bahía.
											Y reportamos esto.
											Llevó a una prohibición de este retardador de llama neurotóxico
											llamado Deca en Maine, donde estoy basada,
											y también a una eliminación gradual,
											en todo EEUU, al final del año pasado.
											Pero dijimos, bueno, del lado positivo,
											nuestras focas bebé al menos no
											estallarán en llamas pronto.
									","
											O meu projeto situa-se
no Atlântico noroeste.
											Chama-se ""Focas Sentinelas"".
											Detetamos a poluição
											no topo da cadeia alimentar,
nos mamíferos marinhos e nos peixes.
											É uma investigação eco-toxicológica
a nível regional.
											Procuramos muitos desses compostos
											mas, recentemente, estamos interessados
											nos retardadores de chamas,
os retardadores com bromo
											que existem em muitas coisas
											que usamos na vida quotidiana,
											desde as almofadas das cadeiras
em que nos sentamos
											até às carcaças de plástico
dos computadores,
											dos aparelhos de televisão, etc.
											Estamos a verificar
											como essas coisas passam
dos produtos para o oceano,
											que é o último depósito para eles.
											Há um percurso muito complicado para isso
											porque, à medida
que estes produtos envelhecem,
											ficam reduzidos a pó
											ou são deitados fora,
e vão para os aterros sanitários.
											Acabam em centrais de tratamento
de águas residuais.
											Como sabem, deitamos fora
											milhares de milhões de computadores
e televisões, por ano.
											Vão para parques de sucata
de desperdícios eletrónicos.
											Passam para águas superficiais
											e acabam por chegar ao oceano,
o destino final.
											Assim, no nosso estúdio,
											como seria de esperar,
encontramos níveis muito altos
											desses retardadores de chamas
no corpo das focas nos portos.
											Denunciámos isso
											o que levou à proibição do retardador
de chamas neuro-tóxico,
											chamado Deca, no Maine,
onde se situa a nossa sede
											e depois à sua supressão
a nível de todos os EUA,
											no final do ano passado.
											Mas pensámos que, do mal o menos.
											Pelo menos, as nossas focas de porto
											não rebentariam em chamas
durante os próximos tempos.
											(Risos)
									",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
","
","
","
","
",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
											Puis je suis devenue vraiment curieuse,
											moi-même, en tant que toxicologue,
											et j'ai donné un peu de sang à mon laboratoire
											et dit: « Bon, allons-y. »
											Eh bien, nous avons détecté 113 composés différents
											dans mon sang.
											Et je dois dire que, si on faisait cela à n'importe lequel d'entre vous,
											on trouverait probablement un profil similaire,
											ou un cocktail, comme on dit.
											Mais j'ai été la destinataire
											d'une grande quantité de substance ignifuge pour une raison ou une autre.
											Et juste pour souligner les niveaux, -
											les niveaux de ces composés dans le corps
											des Américains sont 10 à 40 fois plus élevés
											que pour les Européens.
											Pourquoi ? Parce que nous ignifugeons tout,
											et que nous avons une réglementation faible
											pour les produits chimiques toxiques.
											Mais voilà, je fais partie des individus privilégiés.
											Quelle veinarde.
											Mais ensuite j'ai pensé,
											bon, en cas d'incendie, je serai peut-être la dernière à m'enflammer.
									","
											So then I got really curious,
											myself, as a toxicologist,
											and I donated some blood to my lab
											and said, ""Okay, let's do it.""
											Well, we detected 113 different compounds
											in my blood.
											And I must say, if any of you would have this done,
											you'd probably find a similar profile,
											or cocktail, as they call it.
											But I was the recipient
											of a lot of flame retardant material for some reason.
											And just to point out the levels —
											Americans have 10 to 40 times higher
											levels of these compounds in our bodies
											than the Europeans.
											Why? Because we are flame-retarding everything,
											and we have weak regulations
											for toxic chemicals.
											But lo and behold, I'm one of the high-end individuals.
											Lucky me.
											But then I thought,
											well, in case of a fire, I might be the last one to ignite.
									","
											Dann wurde ich wirklich neugierig,
											als Toxikologin
											und habe meinem Labor etwas Blut gespendet
											und gesagt, ""Okay, lass uns mal sehen.""
											Wir haben 113 verschiedene Verbindungen
											in meinem Blut nachgewiesen.
											Und ich muss sagen, wenn irgendjemand von Ihnen das getan hätte,
											hätten Sie wahrscheinlich ein ähnliches Profil,
											oder Cocktail, wie man es nennt.
											Aber aus irgendeinem Grund
											habe ich jede Menge Brandhemmermaterial abbekommen.
											Und nur, um die Konzentrationen aufzuzeigen —
											Amerikaner haben 10 bis 40 mal mehr
											von diesen Verbindungen im Körper
											als Europäer.
											Warum? Weil wir überall Brandhemmer einsetzen
											und schwache Richtlinien haben
											für toxische Chemikalien.
											Aber, siehe da, ich bin eine von den Individuen mit dem höchsten Stand.
											Ich Glückspilz.
											Aber dann dachte ich,
											gut, im Fall eines Brandes fange ich wahrscheinlich als letzte an zu brennen.
									","
											Así que entonces me dio curiosidad,
											a mi misma, como toxicóloga,
											y doné sangre a mi laboratorio,
											y dije, ""Bien, hagámoslo"".
											Bueno, detectaron 113 compuestos diferentes
											en mi sangre.
											Y debo decir que si cualquiera de Uds hace esto,
											probablemente encontrarán un perfil similar,
											o cóctel, como le llaman.
											Pero yo fui el recipiente
											de un montón de retardador de llama por alguna razón.
											Y sólo por apuntar los niveles,
											los estadounidenses tienen de 10 a 40 veces los niveles
											de esos compuestos en sus cuerpos
											que los europeos.
											¿Por qué? Porque nosotros le ponemos retardador de llama a todo
											y tenemos estas reglas débiles
											para químicos tóxicos.
											Pero asómbrense, yo soy uno de esos individuos de alto nivel.
											Suertuda yo.
											Pero entonces pensé,
											bueno, en caso de incendio, quizá sea la última en encenderme.
									","
											Mas, enquanto toxicóloga,
											senti curiosidade
											e entreguei ao meu laboratório
um pouco de sangue e disse:
											""Ok, vamos lá fazer isso"".
											Detetámos 113 compostos diferentes
no meu sangue.
											Devo dizer que, se algum
de vocês fizer isso,
											provavelmente encontram
um perfil semelhante,
											ou seja, um ""cocktail"", como lhe chamamos,
											Mas eu tinha recebido
											muito material retardador de chamas
por alguma razão.
											E só para comparar os níveis,
											os norte-americanos
têm 10 a 40 vezes um nível mais alto
											destes compostos no corpo
											do que os europeus.
											Porquê? Porque nós pomos
retardadores de chamas em todas as coisas
											e temos regulamentações fracas
para químicos tóxicos.
											E eu sou um dos indivíduos
na extremidade alta.
											Tenho muita sorte.
											Mas depois pensei:
											Em caso de incêndio, posso ser
a última a pegar fogo.
									",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
","
","
","
","
",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
											(Rires)
									","
											(Laughter)
									","
											(Lachen)
									","
											(Risas)
									","
											(Risos)
									",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
","
","
","
","
",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
"
											Donc, quoi qu'il en soit, voici le problème, -
											et c'est un problème que nous constatons aujourd'hui dans le Golfe –
											nous ne réglementons pas correctement les produits chimiques dans ce pays.
											Nous ne les réglementons pratiquement pas.
											Et nous laissons l'industrie mener la danse.
											Et Jackie Savitz a parlé ce matin
											des grandes compagnies pétrolières
											et de leur propagande
											et comment nous subissons tous un lavage de cerveau
											avec leurs mensonges et ainsi de suite.
											Eh bien, les grandes compagnies chimiques
											c'est ce à quoi nous sommes confrontés ici.
											Et elles sont autorisées à garder leurs secrets commerciaux,
											donc elles ne donnent même pas leurs ingrédients.
											De plus, elles ne donnent pas de données sur l'hygiène et la sécurité,
											donc par conséquent elles ne peuvent être contrôlées
											avant qu'elles n'aillent sur le marché.
											C'est donc un cas de présomption d'innocence.
											La charge de la preuve ne repose pas sur le producteur.
									","
											So anyway, here's the problem —
											and it is a problem that we're looking at in the Gulf today —
											we're not regulating chemicals in this country properly.
											We're hardly regulating them at all.
											And we're letting industry run the show.
											And Jackie Savitz spoke this morning
											about Big Oil
											and the propaganda
											and how we're all brainwashed
											with their, you know, lies and so forth.
											Well, Big Chemical
											is what we're dealing with here.
											And they're allowed to keep trade secrets,
											so they don't even give the ingredients out.
											Plus they don't give health and safety data,
											so, consequently, they cannot be regulated
											before they go to market.
											So it's a case of innocent until proven guilty.
											The burden of proof is not on the producer.
									","
											Jedenfalls, hier ist das Problem —
											und das ist ein Problem das wir heute im Golf von Mexiko sehen —
											wir regeln den Gebrauch von Chemikalien in diesem Land nicht richtig.
											Wir regeln ihn fast überhaupt nicht.
											Und wir lassen die Industrie den Laden schmeißen.
											Jackie Savitz hat heute Morgen
											über Big Oil gesprochen
											und über die Propaganda
											und wie wir alle manipuliert werden
											mit ihren Lügen und so weiter.
											Nun, Big Chemicals
											ist das, womit wir es hier zu tun haben.
											Und sie dürfen Ihre Geschäftsgeheimnisse für sich behalten,
											so dass sie nicht einmal die Zutaten angeben.
											Dazu kommt, dass sie keine Gesundheits- und Sicherheitsdaten angeben,
											und somit können sie nicht reguliert werden
											ehe sie auf dem Markt kommen.
											Es handelt sich hier also um einen Fall von unschuldig bis zum Beweis des Gegenteils.
											Die Beweislast liegt nicht beim Hersteller.
									","
											Así que, de cualquier manera, tenemos el problema,
											y es un problema que estamos viendo en el Golfo hoy,
											no estamos reglamentando los químicos en este país debidamente.
											Apenas si los reglamentamos.
											Y estamos dejando que la industria maneje el espectáculo.
											Y Jackie Savitz habló esta mañana
											acerca del Gran Petróleo
											y de la propaganda
											y cómo nos han lavado el cerebro
											con sus, ya saben, mentiras y demás.
											Bueno, Gran Química
											es con lo que estamos lidiando aquí.
											Y les permiten mantener secretos industriales,
											así que no tienen que listar los ingredientes.
											Además no dan datos de salud y seguridad,
											así, en consecuencia, no pueden ser reglamentados
											antes de salir al mercado.
											Así que es un caso de inocente hasta que pruebe la culpa.
											La carga de la prueba no la tiene el productor.
									","
											Adiante, o problema é este
											— e é um problema que estamos
a investigar hoje no Golfo —

											não estamos a regulamentar
devidamente os químicos neste país.
											Praticamente, não os regulamentos em nada.
											Estamos a deixar a indústria
fazer o que quer.
											Jackie Savitz falou esta manhã
sobre o Grande Petróleo
											e a propaganda
											e como nos fazem uma lavagem ao cérebro
											com tantas mentiras.
											Bom, a Grande Química
											é aquilo com que nos confrontamos aqui.
											Permitimos-lhe manter segredos comerciais,
											por isso eles não têm que revelar
os ingredientes.
											Mais ainda, não revelam dados
sobre saúde e segurança.
											Por consequência, 
não pode haver regulamentações
											antes de entrarem no mercado.
											É um caso de inocência
até prova de culpa em contrário.
											O ónus da prova não cabe ao produtor.
									",The oil spill's toxic trade-off,Susan Shaw,16:42,"TEDx,business,chemistry,disaster relief,environment,fish,oceans,oil,science"
