fr,en,pt,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
","
",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
											Je vais vous présenter trois de mes inventions
											qui peuvent concerner de dix à cent millions de personnes,
											et que nous espérons se voir réaliser.
											Dans le film précédent, nous avons vu des réalisations plus anciennes
											comme les stents et les pompes à insuline pour les diabétiques.
											Je voudrais parler rapidement de trois nouvelles inventions
											qui vont changer la vie de beaucoup de personnes.
									","
											I'm going to discuss with you three of my inventions
											that can have an effect on 10 to a 100 million people,
											which we will hope to see happen.
											We discussed, in the prior film, some of the old things that we did,
											like stents and insulin pumps for the diabetic.
											And I'd like to talk very briefly about three new inventions
											that will change the lives of many people.
									","
											Vou analisar convosco 
três das minhas invenções
											que podem afetar 
uns 10 a 100 milhões de pessoas,
											o que esperamos venha a acontecer.
											Analisámos, no filme anterior, 
algumas das coisas antigas que fizemos,
											como as endopróteses 
e as bombas de insulina para diabéticos.
											Gostava de falar muito resumidamente 
sobre três novas invenções
											que vão mudar a vida de muitas pessoas.
									","
											Sizlerle onlarca yüzlerce milyon insan üzerinde
											etkisi olabilecek
											icatlarımdan üçünü tartışacağım.
											Stentler ve şeker hastalığı için insülin pompaları gibi, daha önceden
											yaptığımız şeyleri, bir önceki filmde tartışmıştık.
											Ve şimdi pek çok insanın hayatını değiştirebilecek
											üç yeni icat hakkında kısaca konuşmak istiyorum.
									","
											Ich stelle Ihnen hier drei meiner Erfindungen vor,
											die - so hoffe ich - Auswirkungen auf
											zehn bis hundert Millionen Menschen haben werden.
											Im vorigen Film ging es um Dinge, die wir früher gemacht haben,
											wie Stents und Insulinpumpen für Diabetiker.
											Ich möchte kurz über drei neue Erfindungen sprechen,
											die viele Menschenleben ändern werden.
									","
											Voy a hablar con ustedes de tres de mis inventos
											que pueden tener efectos sobre decenas de millones de personas,
											lo cual esperamos ver que suceda.
											En la película anterior comentamos algunas de las cosas que hicimos antes,
											como los stents y las bombas de insulina para diabéticos.
											Y me gustaría hablar muy brevemente sobre tres nuevos inventos
											que cambiarán las vidas de mucha gente.
									",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
","
","
","
","
","
",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
											A l'heure actuelle, il se passe en moyenne trois heures
											entre le moment où le patient a les premiers symptômes d'une crise cardiaque,
											et celui où il arrive aux urgences.
											Et pour les gens avec une ischémie silencieuse —
											ce qui, en langage courant, veut dire qu'ils n'ont aucun symptôme —
											il se passe encore plus de temps avant qu'ils n'arrivent à l'hôpital.
											L'infarctus aigu du myocarde,
											expression savante des médecins leur permettant de vous faire payer plus cher —
											(Rires)
											— désigne la crise cardiaque. Elle touche annuellement 1,2 millions d'Américains.
											Mortalité : 300.000 personnes par an.
											La moitié d'entre eux, 600.000, a des dégâts permanents au cœur
											qui provoqueront ultérieurement des problèmes graves.
											Donc, 900.000 sont, soit décédées,
											soit elles ont des dégâts importants au cœur.
											Les symptômes sont souvent niés par le patient, surtout nous les hommes
											car nous sommes très courageux. Nous sommes très courageux.
											et nous ne voulons pas admettre qu'on a un mal de chien à la poitrine.
											Donc, à peu près 25 pourcents des patients n'ont jamais de symptômes.
											Qu'est-ce qu'on va faire pour eux ? Comment peut-on sauver leur vie ?
											C'est particulièrement vrai pour les diabétiques et les femmes plus âgées.
									","
											At the present time, it takes an average of three hours
											after the first symptoms of a heart attack are recognized by the patient,
											before that patient arrives at an emergency room.
											And people with silent ischemia —
											which, translated into English, means they don't have any symptoms —
											it takes even longer for them to get to the hospital.
											The AMI, Acute Myocardial Infarction,
											which is a doctor's big word so they can charge you more money —
											(Laughter)
											— means a heart attack. Annual incidence: 1.2 million Americans.
											Mortality: 300,000 people dying each year.
											About half of them, 600,000, have permanent damage to their heart
											that will cause them to have very bad problems later on.
											Thus 900,000 people either have died
											or have significant damage to their heart muscle.
											Symptoms are often denied by the patient, particularly us men,
											because we are very brave. We are very brave,
											and we don't want to admit that I'm having a hell of a chest pain.
											Then, approximately 25 percent of all patients never have any symptoms.
											What are we going to do about them? How can we save their lives?
											It's particularly true of diabetics and elderly women.
									","
											Atualmente, passam-se em média três horas
											antes que o paciente reconheça
											os primeiros sintomas 
de um ataque cardíaco,
											até que o paciente 
chegue a um serviço de urgência.
											Quanto às pessoas com isquemia silenciosa
											— ou seja, quando 
não há quaisquer sintomas —
											a demora em chegar 
ao hospital ainda é maior.
											O EAM, enfarte agudo do miocárdio,
											— que é um palavrão dos médicos 
para nos poderem cobrar mais —
											(Risos)
											significa ""ataque cardíaco"".
											Incidência anual: 
1,2 milhões de norte-americanos.
											Mortalidade: 300 000 mortes por ano.
											Cerca de metade — 600 000 — 
ficam com danos permanentes no coração
											que, mais tarde, lhes virão a causar
graves problemas.
											Portanto, são 900 000 
as pessoas que, ou morreram,
											ou têm danos significativos 
no músculo cardíaco.
											Os sintomas são frequentemente 
ignorados pelo doente,
											em especial pelos homens, 
porque nós somos muito corajosos.
											Somos muito corajosos
											e não queremos reconhecer 
que temos uma dor terrível no peito.
											Mas cerca de 25 % dos pacientes 
nunca têm quaisquer sintomas.
											O que fazer? Como podemos salvar vidas?
											Isto é especialmente verdade 
para os diabéticos e mulheres idosas.
									","
											Bu gün hasta tarafından kalp krizinin ilk semptomlarının
											farkedilip bir acil servise gitmesi
											ortalama üç saat sürüyor.
											ve sessiz iskemisi olan kişilerin,
											Türkçesi hiç bir belirtisi olmayanlar,
											bir hastaneye gidişleri daha da uzun sürüyor.
											AME, akut miyokardiyal enfaktüs,
											doktoların sizden daha fazla para alabilmek için söylediği büyük sözlerdir ki
											(Kahkahalar)
											kalp krizi anlamına gelir. Yılda 1.2 milyon Amerikalı'da görülür.
											Ölüm oranı: her yıl 300.000 kişi
											Bunun yarısının, 600.000 kişide, kalbinde kalıcı hasar meydana gelir
											ki bu durum sonradan çok kötü problemler yaşamalarına sebep olur.
											Bu nedenle 900.000 insan ya ölmüş olur
											ya da kalp kaslarında çok ciddi hasar olur.
											Belirtiler genellikle inkar edilir, özellikle de biz erkekler tarafından
											çünkü biz çok cesuruzdur! Öyle cesuruzdur ki
											fena bir göğüs ağrısı çektiğimizi kabul etmek istemeyiz.
											Peki, hastaların hiç belirti göstermeyen yaklaşık %25'i hakkında ne yapacağız?
											Onlar hakkında ne yapacağız? Onların hayatını nasıl kurtarabiliriz?
											Bu durum özellikle şeker hastaları ve yaşlı bayanlar için geçerli.
									","
											Zurzeit dauert es im Schnitt drei Stunden, bis
											ein Patient die ersten Symptome eines Herzinfarktes erkannt hat
											und in der Notaufnahme ankommt.
											Und Menschen mit stiller Ischämie —
											also Menschen, die keine Symptome haben —
											brauchen noch länger, bis sie ins Krankenhaus kommen.
											Der AMI, der akute Myocardinfarkt,
											Ärzte benutzen dieses Wort gern zur Einnahmesteigerung —
											(Lachen)
											bedeutet Herzinfarkt. Jährliches Vorkommen: 1,2 Millionen Amerikaner
											Sterblichkeit: 300.000 sterben jedes Jahr.
											Etwa die Hälfte, 600.000, erleiden bleibende Herzschäden,
											die im Nachhinein große Probleme verursachen.
											900.000 Menschen sind gestorben oder
											haben erhebliche Herzmuskelschäden.
											Patienten, besonders wir Männer, leugnen oft die Symptome,
											weil wir mutig sind. Wir sind sehr mutig,
											wir wollen nicht zugeben, dass unsere Brust höllisch wehtut.
											Dann wieder haben etwa 25 Prozent aller Patienten überhaupt keine Symptome.
											Was tun wir mit ihnen? Wie können wir ihre Leben retten?
											Das gilt vor allem für Diabetiker und ältere Frauen.
									","
											En la actualidad, toma en promedio tres horas
											desde que el paciente reconoce los primeros síntomas de un ataque cardíaco,
											hasta que ese paciente llega a una sala de emergencias.
											Y a las personas con isquemia silente —
											lo que en lenguaje simple significa que no tienen ningún síntoma —
											les lleva aún más tiempo llegar al hospital.
											El IAM, infarto agudo de miocardio,
											que son palabras técnicas de médico para cobrarles más dinero —
											(risas)
											— es un ataque al corazón. Incidencia anual: 1.2 millones de Estadounidenses.
											Mortalidad: 300,000 personas mueren por año.
											Cerca de la mitad, 600,000, quedan con daños permanentes al corazón
											que les causarán problemas muy graves más tarde.
											Así, 900,000 personas habrán muerto
											o sufrirán daños significativos en los músculos del corazón.
											Los pacientes suelen negar los síntomas, particularmente nosotros los hombres,
											porque somos muy valientes. Somos muy valientes,
											y no queremos admitir que estoy sintiendo un dolor del infierno en el pecho.
											Entonces, aproximadamente 25% de todos los pacientes nunca tuvo síntomas.
											¿Qué vamos a hacer con ellos? ¿Cómo podemos salvar sus vidas?
											Esto es particularmente cierto de los diabéticos y mujeres ancianas.
									",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
","
","
","
","
","
",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
											Que faut-il pour être prévenu le plus tôt possible d'une crise cardiaque ?
											Un moyen de déterminer s'il y a un blocage complet de l'artère coronaire ?
											Ceci, mesdames et messieurs, est une crise cardiaque.
											Le moyen consiste à remarquer quelque chose d'un peu technique,
											L'élevation du segment ST de l'électrocardiogramme.
											En langage courant, cela signifie que
											s'il y a un signal électrique dans le cœur et qu'une partie de l'ECG —
											qu'on appelle le segment ST — s'élève,
											c'est un signe sûr de crise cardiaque.
											Et si l'on avait un ordinateur à l'intérieur d'une personne à risque,
											on pourrait savoir, avant même l'apparition des symptômes,
											qu'ils sont en train d'avoir une crise cardiaque et ainsi sauver leur vie.
											Le médecin peut programmer un niveau d'augmentation de la tension ST
											qui va activer une alarme,
											une vibration comme votre téléphone portable mais tout près de votre clavicule.
											Et quand elle se met à sonner, vous avez intérêt à faire quelque chose,
											car si vous voulez vivre, vous avez besoin de soins médicaux.
									","
											Well, what is needed for the earliest possible warning of a heart attack?
											A means to determine if there's a complete blockage of a coronary artery.
											That, ladies and gentlemen, is a heart attack.
											The means consist of noting something a little technical,
											ST segment elevation of the electrogram —
											translated into English, that means that
											if there's an electrical signal in the heart, and one part of the ECG —
											which we call the ST segment — elevates,
											that is a sure sign of a heart attack.
											And if we had a computer put into the body of a person who's at risk,
											we could know, before they even have symptoms,
											that they're having a heart attack, to save their life.
											Well, the doctor can program a level of this ST elevation voltage
											that will trigger an emergency alarm,
											vibration like your cell phone, but right by your clavicle bone.
											And when it goes beep, beep, beep, you better do something about it,
											because if you want to live you have to get to some medical treatment.
									","
											O que é necessário para um alerta precoce 
dum ataque cardíaco?
											Um meio para determinar se há 
um bloqueio total duma artéria coronária.
											Minhas senhoras e meus senhores, 
é isso que é um ataque cardíaco.
											O meio consiste em assinalar 
uma coisa um bocado técnica,
											— a elevação ST do eletrocardiograma —
											o que significa que,
											se há um sinal elétrico no coração 
e se se eleva uma parte do ECG,
											a que chamamos o segmento ST,
											isso é um sinal seguro 
de um ataque cardíaco.
											Se pusermos um computador 
no corpo duma pessoa que está em risco,
											podemos saber, antes mesmo 
de haver quaisquer sintomas,
											que ela vai ter um ataque cardíaco, 
e salvar a vida dela.
											O médico pode programar um nível 
desta voltagem de elevação ST
											que desencadeie um alarme de emergência,
											uma vibração como a do telemóvel, 
mas junto do osso da clavícula.
											Quando faz ""bip, bip"", 
é bom que lhe prestemos atenção
											porque, se quisermos viver, 
temos que receber tratamento médico.
									","
											Peki, bir kalp krizinin mümkün olan en erken uyarısı için neye ihtiyaç vardır?
											Bir koroner arterin tamamiyle bloke olup olmadığını belirlemeye ihtiyaç vardır
											ki bu baylar ve bayanlar, bir kalp krizi demektir.
											Bu iş biraz teknik not almayı gerektirecek,
											elektrogramda ST segment yükselmesi,
											yani Türkçe'ye çevirirsek
											kalpte elektrik bir sinyal oluştuğunda, ECG'nin ST segmenti
											dediğimiz parçası yükselir
											ki bu kalp krizinin kesin bir işaretidir.
											Hayatlarını kurtarmak için eğer risk altındaki kişinin vücuduna bir bilgisayar
											yerleştirebilseydik, kalp krizi geçirdiklerini
											belirti dahi göstermeden önce bilebilirdik.
											Doktor, bu yükselen ST voltaj derecesini programlayabilir ve bu
											cep telefonunuz gibi titreyerek köprücük
											kemiğinizin yanı başında bulunan bir acil durum alarmını harekete geçirebilir.
											Ne zaman ki bip bip bip sesini duydunuz, bir şeyler yapsanız iyi olur demektir,
											çünkü eğer yaşamak istiyorsanız tıbbi müdehale almanız gerekecek.
									","
											Was braucht man zur frühest möglichen Warnung bei Herzanfällen?
											Ein Mittel, das erkennt, ob eine Koronararterie völlig verstopft ist?
											Denn genau das ist ein Herzanfall.
											Wir müssen also ein technisches Problem bemerken können,
											eine Erhöhung des ST-Segments im Kardiogramm.
											Im Klartext: wenn im Herzen
											ein elektrisches Signal auftritt und sich ein Teil des EKG —
											das ST-Segment — erhebt, ist das ein
											sicheres Zeichen für einen Herzanfall.
											Wäre dem Körper eines Gefährdeten ein Computer eingebaut,
											wüssten wir von dem Anfall, noch bevor Symptome
											auftreten, und könnten damit sein Leben retten.
											Der Arzt programmiert einen Spannungspegel zur ST-Erhöhung,
											der den Notfallalarm auslöst,
											eine Vibration wie beim Handy, aber direkt neben dem Schlüsselbein.
											Und wenn es dann piepst, sollten Sie etwas tun,
											wenn Sie nämlich leben wollen, müssen Sie medizinisch versorgt werden.
									","
											Bien, ¿qué hace falta para el aviso más temprano posible de un ataque cardíaco?
											¿Una forma de determinar si hay una obstrucción completa de una arteria coronaria?
											Eso, señores y señoras, es un ataque al corazón.
											El medio consiste en notar algo un poco técnico,
											la elevación del segmento ST en el electrocardiograma.
											En lenguaje simple, eso significa que
											si hay una señal eléctrica en el corazón, y una parte del ECG —
											a la que llamamos el segmento ST — se eleva,
											éso es un signo seguro de un ataque al corazón.
											Y si ponemos una computadora en el cuerpo de una persona en riesgo,
											podríamos saber, aún antes de que tenga síntomas,
											que está teniendo un ataque al corazón, para salvar su vida.
											Bien, el doctor puede programar un nivel de voltaje de esta elevación ST
											que disparará una alarma de emergencia,
											vibración como la de su celular, pero justo en su clavícula.
											Y cuando hace bip, bip, bip, mejor que hagas algo con eso,
											porque si quieres vivir tienes que buscar tratamiento médico.
									",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
","
","
","
","
","
",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
											Nous devons tester ces équipements
											parce que l'Administration ne nous laissera pas les utiliser tels quels sur des gens
											sans que nous ne les testions,
											et le meilleur système pour les tester, ce sont les cochons.
											Avec le cochon, nous avons essayé des électrodes externes sur la peau,
											comme on voit dans une salle d'urgences,
											et je vais vous montrer pourquoi cela ne marche pas très bien.
											On place un fil, un conducteur, dans le ventricule droit à l'intérieur du cœur,
											qui fournit l'électrocardiogramme, qui est le signal électrique venant du cœur.
											Avec le cochon, au départ,
											voici le signal avant que l'on ne bloque l'artère pour simuler une crise cardiaque.
											Après 43 secondes, même un expert ne voit aucune différence,
											et après trois minutes,
											si vous l'avez vraiment étudié, vous devriez voir une différence.
											Mais qu'est-il arrivé à l'électrocardiogramme quand on examine le cœur du cochon ?
									","
											So we have to try these devices out
											because the FDA won't just let us use them on people
											unless we try it out first,
											and the best model for this happens to be pigs.
											And what we tried with the pig was external electrodes on the skin,
											like you see in an emergency room,
											and I'm going to show you why they don't work very well.
											And then we put a lead, which is a wire, in the right ventricle inside the heart,
											which does the electrogram, which is the signal voltage from inside the heart.
											Well, with the pig, at the baseline,
											before we blocked the pig's artery to simulate a heart attack, that was the signal.
											After 43 seconds, even an expert couldn't tell the difference,
											and after three minutes — well,
											if you really studied it, you'd see a difference.
											But what happened when we looked inside the pig's heart, to the electrogram?
									","
											Por isso, temos que testar estes aparelhos
											porque a FDA não autoriza 
que sejam usados em pessoas
											se não forem testados primeiro.
											A melhor cobaia para isso, são os porcos.
											O que tentámos com os porcos 
foi colocar elétrodos exteriores na pele,
											como vemos numa unidade de urgências.
											Vou mostrar porque é que 
não funcionou muito bem.
											Depois pomos um cabo, que é um fio, 
no ventrículo direito do coração,
											que faz o eletrocardiograma, que é o sinal
da voltagem do interior do coração.
											No porco, na linha de base
											antes de bloquearmos a artéria do porco 
para similar um ataque cardíaco,
											o sinal era este.
											Ao fim de 43 segundos, 
nem um especialista podia ver a diferença,
											e três minutos depois...
											Se observarem bem, podem ver a diferença.
											Mas, que acontece quando olhamos 
para o interior do coração do porco,
											para o eletrocardiograma?
									","
											Sonra, bu aletleri insan dışında denemek zorundaydık
											çünkü FDA önce başka bir yerde denemezsek
											insanlar üzerinde denememize izin vermeyecekti
											ve bunun için en iyi model domuzlardı.
											Domuzla yaptığımız şey acil servislerde gördükleriniz gibi
											derinin üzerine dışarıdan bağlanmış elektrodlar kullanmaktı
											ve neden çok iyi çalışmadıklarını sizlere göstereceğim.
											Sonra, kalbin sağ ventrikülünün içine kalbin içindeki voltaj sinyali olan
											elektrogramı yapacak olan tel şeklinde bir kablo koyduk.
											Domuzda kalp krizini simüle etmek için
											domuzun arterini bloke etmeden önce taban çizgisinde işte bu sinyal görülüyordu.
											43 saniye sonra bir uzman dahi size farklılığı söyleyemez
											ve 3 dakika sonra artık
											eğer iyi çalışmışsanız, farklılığı görebilirsiniz.
											Peki domuzun kalbinin içine, elektrograma baktığımız zaman ne oldu?
									","
											Wir müssen diese Geräte ausprobieren,
											denn die FDA lässt sie uns erst an Menschen einsetzen,
											wenn wir sie ausprobiert haben.
											Zufällig sind Schweine das beste Modell.
											Wir setzten dem Schwein externe Elektroden auf die Haut,
											wie man sie aus der Notaufnahme kennt.
											Ich zeige Ihnen, warum sie nicht gut funktionieren.
											Dann setzten wir ein Kabel, einen Draht, in die rechte Herzkammer
											der das Kardiogramm generiert, die Signalspannung aus dem Herzen.
											Bei dem Schwein war hier die Nulllinie,
											bevor wir ihm zur Simulation eines Herzanfalls eine Arterie blockierten.
											Nach 43 Sekunden sieht selbst ein Fachmann keinen Unterschied,
											und nach drei Minuten — nun
											ein Fachmann würde den Unterschied sehen.
											Was aber als wir über das Kardiogramm in das Herz des Schweins schauten?
									","
											Así que tenemos que probar estos dispositivos
											porque la FDA simplemente no nos deja usarlos en personas
											a menos que lo lo pongamos a prueba primero,
											y el mejor modelo para esto parecen ser los cerdos.
											Y lo que intentamos con el cerdo fueron electrodos externos en la piel,
											como ven en una sala de emergencia,
											y les voy a mostrar por qué no andan bien.
											Y luego ponemos un electrodo, o sea un cable, en el ventrículo derecho dentro del corazón,
											que hace el eletrocardiograma, o sea la señal de voltaje de adentro del corazón.
											Bien, el cerdo, en la línea base,
											antes de que bloqueáramos su arteria para simular un ataque cardíaco, esa era la señal.
											Después de 43 segundos, aún un experto no notaba la diferencia,
											y después de tres minutos — bien,
											si ustedes realmente lo estudiaron, verían una diferencia.
											¿Pero qué sucedió cuando miramos dentro del corazón del cerdo, al electrocardiograma?
									",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
","
","
","
","
","
",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
"
											Il y a la ligne de départ — en premier lieu, un signal bien plus fort et plus fiable.
											Ensuite, je parie que même vous qui n'êtes pas formés, pouvez voir la différence,
											et l'on voit ici une élévation du segment ST directement après cette ligne raide
											Voyez la différence là — ce n'est pas difficile,
											même un non-initié peut voir la différence,
											et les ordinateurs peuvent être programmés pour le détecter facilement.
											Maintenant, regardez ceci après trois minutes.
											Nous voyons que le signal qui est en fait dans le cœur,
											nous pouvons l'exploiter pour dire aux gens qu'ils vont avoir une crise cardiaque
											même avant les symptômes et ainsi sauver leur vie.
									","
											There was the baseline — first of all, a much bigger and more reliable signal.
											Second of all, I'll bet even you people who are untrained can see the difference,
											and we see here an ST segment elevation right after this sharp line.
											Look at the difference there. It doesn't take much —
											every layperson could see that difference,
											and computers can be programmed to easily detect it.
											Then, look at that after three minutes.
											We see that the signal that's actually in the heart,
											we can use it to tell people that they're having a heart attack
											even before they have symptoms so we can save their life.
									","
											Esta era a linha de base — a princípio, 
um sinal muito maior e mais fiável.
											A seguir, aposto que mesmo vocês, 
que não têm formação,
											podem ver a diferença:
											vemos aqui uma elevação ST 
a seguir a esta linha pontiaguda.
											Reparem aqui na diferença.
											Não é preciso muito 
— qualquer leigo pode ver a diferença.
											E podemos programar os computadores 
para a detetarem facilmente.
											Olhem agora, passados três minutos.
											Vemos o sinal 
que vem do interior do coração,
											podemos usá-lo para dizer às pessoas 
que estão a ter um ataque de coração
											antes mesmo de terem sintomas, 
portanto podemos salvar-lhes a vida.
									","
											Herşeyden önce taban çizgisi vardı ki çok daha büyük ve daha güvenilir bir işaretti.
											İkinci olarak, bu konuda eğitilmemiş olarak sizlerin dahi farklılığı görebileceğine bahse girerim
											bu keskin çizgiden hemen sonra burada ST segmentinin yükselişini görüyoruz.
											Şuradaki farklılığa bakın, çok da sürmüyor
											meslekten olmayan herkes farklılığı görebilir
											ve bilgisayarlar bunu tespit etmek için çok kolay bir şekilde programlanabilir.
											Ardından, 3 dakikadan sonrasına bakın
											Sinyalin gerçekten kalpte olduğunu görüyoruz,
											bunu insanlara belirtileri olmadan çok daha önce kalp krizi geçiriyor olduklarını
											söylemek için kullanabiliriz ve böylece hayatlarını kurtarabiliriz.
									","
											Erstens gab die Nulllinie ein viel größeres und verlässlicheres Signal.
											Zweitens, wette ich, dass selbst Sie hier als Laien den Unterschied sehen
											Hier ist eine Erhöhung des ST-Segments direkt nach dieser scharfen Linie.
											Sehen Sie den Unterschied —- es braucht nicht viel,
											ein Laie könnte den Unterschied sehen,
											und Computer lassen sich auf leichte Erkennung programmieren.
											Sehen Sie hier drei Minuten später.
											Das ist das tatsächliche Signal im Herzen.
											So können wir Menschen sagen, dass sie einen Herzanfall haben,
											noch bevor Symptome auftreten und damit ihr Leben retten.
									","
											Esta era la línea base — antes que nada, una señal mucho más grande y confiable.
											Segundo, apostaría que aún ustedes que no están entrenados pueden ver la diferencia,
											y vemos aquí una elevación del segmento ST justo después de esta línea puntiaguda.
											Miren la diferencia aquí — no es complicado,
											cualquier persona sin experiencia podría ver esa diferencia,
											y se pueden programar computadoras para detectarla fácilmente.
											Luego, miren eso después de tres minutos.
											Vemos que la señal que está realmente en el corazón,
											podemos usarla para decirle a la gente que están teniendo un ataque cardíaco
											aún antes de que tengan síntomas así podemos salvar sus vidas.
									",My wish: Three unusual medical inventions,Robert Fischell,26:49,"TED Prize,business,disease,health care,invention,medicine,science,technology"
