en,tr,es,de,title,speaker,duration,tags
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											My best friend recently had a baby.
											And when I met him,
											I was in awe of witnessing this tiny,
beautiful being enter into our lives.
											I also had this realization
that he wasn't just entering our lives,
											he was entering the world —
											this crazy world that, especially now,
feels so incredibly challenging.
											I spend a lot time in my work
talking to people about who we are,
											who we must be
											and what our healing looks like.
									","
											En iyi arkadaşımın
yakın zamanda bir çocuğu oldu.
											Onunla buluştuğumda
											Bu sevimli varlığın hayatımıza girmesi
bende büyük şaşkınlık uyandırmıştı.
											Ayrıca sadece bizim hayatımıza değil,
dünyaya da giriş yaptığını
											fark ettim —
											bu çılgın, şimdilerde inanılmaz
derecede çetrefilli olan dünyaya.
											İşimde insanlarla kim olduğumuz,
kim olmamız gerektiği
											ve iyileşmemizin nasıl göründüğü 
hakkında konuşmakla
											çok vakit harcıyorum.
									","
											Mi mejor amiga acaba de tener un bebé.
											Y cuando lo conocí
											quedé fascinada con el hermoso y pequeño
ser que entraba en nuestras vidas.
											También me di cuenta de que
no solo entraba a nuestras vidas,
											sino también a este mundo.
											Este mundo descabellado que,
especialmente ahora, es muy desafiante.
											En mi trabajo paso mucho tiempo
hablando con la gente sobre lo que somos,
											lo que deberíamos ser,
											y cómo recuperarnos.
									","
											Meine beste Freundin
bekam vor kurzem ein Baby.
											Als ich ihm begegnete,
erfüllte mich Ehrfurcht, zu sehen,
											wie dieses kleine, wunderschöne Wesen
in unser Leben trat.
											Gleichzeitig wurde mir klar, dass er
nicht nur Teil unserer Leben wurde,
											sondern auch ein Teil der Welt —
											dieser verrückten Welt, die gerade
heutzutage so herausfordernd ist.
											Bei meiner Arbeit verbringe ich viel Zeit,
mit Menschen darüber zu reden,
											wer wir sind, wer wir sein müssen,
											und wie unsere Heilung aussehen kann.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											So the first time I held him,
											I had my pep talk ready.
											You know, I wanted him to know
that the way we find our strength
											is through our challenges.
											I wanted him to know
that we can all do something big
											when we start small.
											I wanted him to know
that each of us is more resilient
											than we could ever imagine.
											So here I am holding little Thelonious.
											I look down at him,
											and it hits me:
											he's a baby.
									","
											O yüzden onu kucağıma ilk aldığımda
											moral konuşmam hazırdı.
											Kuvvetimizi mücadelelerimiz sonunda
											kazandığımızı bilmesini istiyordum.
											Küçük şeylerle başladığımızda da
											büyük şeyler başarabileceğimizi
bilmesini istiyordum.
											Her birimizin güçlükleri yenmede 
hayal ettiğimizden
											çok daha yetenekli olduğunu 
bilmesini istiyordum.
											İşte burada minik Thelonious'u tutuyordum.
											Ona baktım
											ve fark ettim ki
											o bir bebekti.
									","
											Así que la primera vez
que lo sostuve en mis brazos
											ya tenía listo mi discurso.
											Quería decirle que la manera
de descubrir nuestra fortaleza
											es a través de nuestros desafíos.
											Decirle que todos podemos
lograr algo grande
											a partir de algo pequeño.
											Decirle que todos somos mucho más fuertes
											de lo que imaginamos.
											Así que aquí estoy sosteniendo
al pequeño Thelonious.
											Lo miro,
											y entonces me doy cuenta,
											es un bebé.
									","
											Als ich ihn zum ersten Mal
in den Armen hielt,
											hatte ich meine aufmunternde Rede parat.
											Ich wollte, dass er weiß, dass man nur
durch Herausforderungen zu Kräften kommt.
											Dass er weiß, dass jeder etwas Großes
erreichen kann, wenn man klein anfängt.
											Ich wollte, dass er weiß,
dass jeder viel mehr aushalten kann,
											als man sich vorstellt.
											Das bin ich mit dem kleinen
Thelonious im Arm.
											Ich sehe auf ihn herab,
											und ich begreife:
											Er ist nur ein Baby.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											He's not going to understand
a single word I say to him.
											So instead, I thought
it would probably be a better idea
											if I went home and wrote.
											So, this is for grownups,
											but it's also for Thelonious,
											when he's old enough to read it:
									","
											Ona dediğim tek kelimeyi anlamayacaktı.
											O yüzden eve gidip yazmanın
											daha iyi bir fikir olduğunu düşündüm.
											Bu yetişkinler için
											ama aynı zamanda da Thelonious için,
											okuyacak yaşa geldiğinde okuması için:
									","
											No va a entender ni una palabra
de lo que le diga.
											Así que pensé que sería una mejor idea
											ir a casa y escribir.
											Esto es para los más grandes
											pero también para Thelonious,
											cuando pueda leerlo.
									","
											Er wird kein einziges Wort
von dem verstehen, was ich ihm sage.
											Deshalb dachte ich,
es wäre wahrscheinlich besser,
											wenn ich zu Hause eine Rede schreibe.
											Sie ist für Erwachsene,
											aber auch für Thelonious,
											wenn er groß genug ist, sie zu lesen:
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											The world will say to you,
											""Be a better person.""
											Do not be afraid to say, ""Yes.""
											Start by being a better listener.
											Start by being better
at walking down the street.
											See people.
											Say, ""Hello.""
											Ask how they are doing
and listen to what they say.
											Start by being a better friend,
											a better parent,
a better child to your parents;
											a better sibling, a better lover,
a better partner.
											Start by being a better neighbor.
											Meet someone you do not know,
and get to know them.
									","
											Dünya sana diyecek ki
											""Daha iyi bir insan ol.""
											""Evet."" demekten korkma.
											Daha iyi bir dinleyici olmakla başla.
											Sokakta yürürken daha iyi olmakla başla.
											İnsanları gör.
											""Merhaba"" de.
											Nasıl olduklarını sor
ve dediklerini dinle.
											Daha iyi bir arkadaş olmakla başla,
											daha iyi bir ebeveyn,
anne babana daha iyi bir evlat olmakla,
											daha iyi bir kardeş, daha iyi bir sevgili
ve daha iyi bir partner olmakla....
											Daha iyi bir komşu olmakla başla.
											Bilmediğin biriyle tanış
ve onu tanımaya çalış.
									","
											El mundo te dirá:
											""Sé una mejor persona"".
											No tengas miedo de decirle que sí.
											Comienza siendo un mejor oyente.
											Comienza siendo mejor
al caminar por la calle.
											Observa a la gente.
											Saluda.
											Pregúntales cómo están
y escucha lo que te dicen.
											Comienza siendo un mejor amigo,
											un mejor padre,
un mejor hijo para tus padres;
											un mejor hermano, un mejor ser querido,
un mejor compañero.
											Comienza siendo un mejor vecino.
											Consigue a alguien 
que no conozcas y conócelo.
									","
											Die Welt wird Ihnen sagen:
											""Sei ein besserer Mensch.""
											Haben Sie keine Angst, dazu ""Ja"" zu sagen.
											Fangen Sie damit an, besser zuzuhören.
											Fangen Sie an, sich besser
auf der Straße zu verhalten.
											Sehen Sie die Menschen an.
											Sagen Sie: ""Hallo.""
											Fragen Sie, wie es ihnen geht,
und hören Sie zu, was sie sagen.
											Fangen Sie an,
ein besserer Freund zu sein.
											Ein besserer Elternteil,
ein besseres Kind für Ihre Eltern,
											ein besseres Geschwister,
ein besserer Liebhaber oder Partner.
											Fangen Sie an,
ein besserer Nachbar zu sein.
											Treffen Sie Menschen, die Sie nicht kennen
und lernen Sie sie kennen.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											The world will say to you,
											""What are you going to do?""
											Do not be afraid to say,
											""I know I can't do everything,
											but I can do something.""
											Walk into more rooms saying,
											""I'm here to help.""
											Become intimate with generosity.
											Give what you can give,
and do what you can do.
											Give dollars, give cents, give your time,
											give your love,
											give your heart, give your spirit.
									","
											Dünya sana diyecek ki
											""Ne yapacaksın?""
											Şunu demekten korkma:
											""Her şeyi yapamayacağımı biliyorum
											ama bir şeyler yapabilirim.""
											""Yardım etmek için buradayım.""
											diyerek daha fazla yere git.
											Cömertlikle dost ol.
											Verebileceğini ver, yapabileceğini yap.
											Dolar ver, metelik ver, zamanını ver,
											sevgini ver,
											kalbini ver, ruhunu ver.
									","
											El mundo te dirá:
											""¿Y tú, qué vas a hacer?""
											No temas decirle:
											""Sé que no puedo hacerlo todo
											pero puedo hacer algo"".
											Ve a más sitios y diles:
											""Aquí estoy para ayudar"".
											Hazte un íntimo amigo de la generosidad.
											Da lo que puedas dar
y haz lo que puedas hacer.
											Dale dinero, dale tu tiempo,
											dale tu amor,
											dale tu corazón, dale tu espíritu.
									","
											Die Welt wird Ihnen sagen:
											""Was willst du denn machen?""
											Haben Sie keine Angst, zu sagen:
											""Ich weiß, ich kann nicht alles machen,
											doch ich kann etwas machen.""
											Betreten Sie mehr Räume mit den Worten:
											""Ich bin hier, um zu helfen.""
											Machen Sie sich
mit Großzügigkeit vertraut.
											Geben Sie, was Sie geben können,
und tun Sie, was Sie tun können.
											Geben Sie Dollars,
geben Sie Cents, geben Sie Ihre Zeit,
											geben Sie Ihre Liebe,
											geben Sie Ihr Herz, geben Sie Ihre Seele.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											The world will say to you,
											""We need peace.""
											Find your peace within,
											hold it sacred,
											bring it with you everywhere you go.
											Peace cannot be shared
or created with others
											if we cannot first generate it within.
									","
											Dünya sana diyecek ki
											""Huzura ihtiyacımız var.""
											İçindeki huzuru bul,
											onu değerli say,
											gittiğin her yere senle birlikte taşı.
											Huzur önce içimizde filizlenmezse
											paylaşılamaz 
veya diğerlerine aktarılamaz.
									","
											El mundo te dirá:
											""Necesitamos paz"".
											Consigue tu paz interior,
											cuídala de forma sagrada,
											llévala contigo a donde quiera que vayas.
											La paz no puede ser compartida
o creada para otros,
											si no la creamos primero
en nuestro interior.
									","
											Die Welt wird Ihnen sagen:
											""Wir brauchen Frieden.""
											Finden Sie Frieden in Ihrem Inneren,
											der sei Ihnen heilig.
											Nehmen Sie ihn mit,
wo auch immer Sie hingehen.
											Frieden mit anderen
kann man nicht haben oder schaffen,
											wenn wir ihn nicht zunächst
in uns selbst schaffen.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
											The world will say to you,
											""They are the enemy.""
											Love enough to know
											that just because someone
disagrees with you,
											it does not make them your enemy.
											You may not win an argument,
											you may not change a mind,
											but if you choose to,
											you can always achieve
the triumph of radical empathy —
											an understanding of the heart.
									","
											Dünya sana diyecek ki
											""Düşman onlar.""
											Birisi sırf sana katılmadı diye
											düşmanın olmayacağını
bilecek kadar sev.
											Bir tartışmayı kazanamayabilirsin,
											bir fikri değiştiremeyebilirsin,
											ama eğer seçersen
											köklü bir empati kurmanın zaferine 
her zaman ulaşabilirsin —
											kalpten geçenleri anlamanın zaferine.
									","
											El mundo te dirá:
											""Ellos son nuestros enemigos"".
											Ama lo suficiente como para entender
											que el que está en desacuerdo contigo
											no es siempre tu enemigo.
											Puede que no ganes una discusión,
											o logres cambiar una opinión,
											pero si decides hacerlo,
											siempre puedes lograr
que triunfe la empatía radical...
											un entendimiento del corazón.
									","
											Die Welt wird Ihnen sagen:
											""Die da sind die Feinde.""
											Lieben Sie so viel, dass sie wissen,
dass jemand, der Ihnen widerspricht,
											dadurch nicht ihr Feind wird.
											Vielleicht verlieren Sie einen Streit,
											vielleicht überzeugen Sie nicht.
											Aber wenn Sie wollen,
											wird radikale Empathie immer triumphieren.
											Ein Verständnis des Herzens.
									",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
"
","
","
","
",Want to change the world? Start by being brave enough to care,Cleo Wade,11:00,"poetry,art,language,life,communication,creativity,goal-setting,personal growth,humanity,motivation,identity,potential,relationships,society,spoken word,storytelling,social change,writing"
