en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
											15 years ago, I volunteered
to participate in a research study
											that involved a genetic test.
											When I arrived at the clinic to be tested,
											I was handed a questionnaire.
											One of the very first questions
asked me to check a box for my race:
											White, black, Asian, or Native American.
									","
											Hace 15 años, me ofrecí para participar
en un estudio de investigación
											que incluía una prueba genética.
											Cuando llegué a la clínica
para hacer la prueba,
											me entregaron un cuestionario.
											En una de las primeras preguntas
se me pidió marcar mi raza:
											Blanca, negra, asiática, aborigen.
									","
											Il y a quinze ans,
j’ai pris part à une étude scientifique
											qui comprenait un test génétique.
											Lorsque je suis arrivée à la clinique,
											j’ai reçu un questionnaire.
											Dans l’une des premières questions,
je devais indiquer mon origine ethnique :
											blanche, noire, 
asiatique ou nord-amérindienne.
									","
											Vor 15 Jahren nahm ich freiwillig
an einer Forschungsstudie teil,
											die einen genetischen Test umfasste.
											Als ich in der Klinik ankam,
um getestet zu werden,
											erhielt ich einen Fragebogen.
											Bei einer der ersten Fragen sollte ich
meine Rassenzugehörigkeit angeben:
											Weiß, schwarz, asiatisch oder indianisch.
									","
											15 yıl önce, genetik bir test içeren
											araştırmaya katılmak için gönüllü oldum.
											Test edilmek için kliniğe gittiğimde,
											bana bir anket verildi.
											İlk sorulardan birinde ırkımla ilgili
bir kutucuğu işaretlemem isteniyordu:
											Beyaz, siyahi, Asyalı ya da Kızılderili.
									",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
","
","
","
","
",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
											I wasn't quite sure
how to answer the question.
											Was it aimed at measuring the diversity
											of research participants'
social backgrounds?
											In that case, I would answer
with my social identity,
											and check the box for ""black.""
											But what if the researchers
were interested in investigating
											some association between ancestry
and the risk for certain genetic traits?
											In that case, wouldn't they want to know
something about my ancestry,
											which is just as much European as African?
											And how could they make
scientific findings about my genes
											if I put down my social identity
as a black woman?
											After all, I consider myself
a black woman with a white father
											rather than a white woman
with a black mother
											entirely for social reasons.
											Which racial identity I check
											has nothing to do with my genes.
											Well, despite the obvious
importance of this question
											to the study's scientific validity,
											I was told, ""Don't worry about it,
											just put down however
you identify yourself.""
											So I check ""black,""
											but I had no confidence
in the results of a study
											that treated a critical variable
so unscientifically.
									","
											No sabía muy bien cómo responder.
											¿Pretendía medir la diversidad
											de los antecedentes sociales
de los participantes?
											En ese caso, respondería
con mi identidad social,
											y marcaría la casilla ""negra"".
											Pero ¿y si a los investigadores
les interesaba investigar
											la relación entre los ancestros y el 
riesgo de ciertos rasgos genéticos?
											En ese caso, ¿no querrían saber
algo sobre mis ancestros,
											que son tanto europeos como africanos?
											¿Cómo podrían hacer hallazgos
científicos sobre mis genes
											si ponía mi identidad social
como mujer negra?
											Después de todo, me considero
una mujer negra de padre blanco
											en lugar de una mujer blanca
de madre negra
											debido completamente a razones sociales.
											La identidad racial que marco
											no tiene nada que ver con mis genes.
											Bueno, a pesar de la importancia
obvia de esta pregunta
											para la validez científica del estudio,
											me dijeron: ""No te preocupes por eso,
											solo pon lo que te identifique"".
											Así que marqué ""negra"",
											pero no confiaba en los 
resultados de un estudio
											que trataba a una variable tan crucial
de manera tan poco científica.
									","
											Je n'étais pas vraiment
sûre de ma réponse.
											Cette question 
servait-elle à mesurer la diversité
											des origines sociales des participants ?
											Dans ce cas, je me serais basée
sur mon identité sociale pour répondre
											et j’aurais coché la case « Noir ».
											Mais que faire, si les chercheurs
souhaitaient plutôt identifier les liens
											entre l’ascendance et le risque
de développer certains traits génétiques ?
											Dans ce cas, ne voudraient-ils pas
en savoir plus sur mon ascendance
											qui vient à la fois 
d’Europe et d’Afrique ?
											Comment pouvaient-ils tirer des
conclusions sur mon patrimoine génétique
											si j’utilisais mon origine sociale
et me présentais comme une femme noire ?
											Après tout, je me considère comme
une femme noire dont le père est blanc
											plutôt que comme une femme blanche
dont la mère est noire
											et ce pour des raisons sociales.
											Ainsi, ce que j'indique
comme origine ethnique
											n’a absolument 
rien à voir avec mes gènes.
											Cette question était donc très importante
											pour la validité de l’étude
											et pourtant on m’a répondu :
« Ne vous inquiétez pas,
											indiquez l’origine avec laquelle 
vous vous identifiez le plus. »
											J’ai donc coché « Noir »
											mais j’étais très sceptique
face aux résultats d’une étude
											qui ne prenait pas au sérieux
une variable aussi capitale.
									","
											Ich war nicht sicher,
wie ich antworten sollte.
											Sollte damit die Vielfalt
											der sozialen Herkünfte
der Teilnehmer gemessen werden?
											Für diesen Fall antwortete ich
mit meiner sozialen Identität,
											und kreuzte ""schwarz"" an.
											Aber falls die Forscher nun
eine Verbindung zwischen Abstammung
											und dem Risiko für bestimmte
genetische Merkmale untersuchen wollten?
											Würden sie in diesem Fall nicht etwas
über meine Abstammung wissen wollen,
											die zugleich europäisch
und afrikanisch ist?
											Wie konnten sie wissenschaftliche Befunde
über meine Gene erstellen,
											wenn ich meine soziale Identität
als schwarze Frau angab?
											Schließlich sehe ich mich eher
als schwarze Frau mit weißen Vater,
											denn als weiße Frau
mit einer schwarzen Mutter,
											aus gänzlich sozialen Gründen.
											Welche Rassenidentität ich ankreuze,
											hat nichts mit meinen Genen zu tun.
											Trotz der sichtlichen
Bedeutung dieser Frage
											für die wissenschaftliche
Richtigkeit dieser Studie
											wurde mir gesagt:
""Kümmere dich nicht darum,
											gib einfach an, wie du dich
selbst identifizierst.""
											Also kreuzte ich ""schwarz"" an,
											aber ich hatte kein Vertrauen
in die Ergebnisse einer Studie,
											die eine kritische Variable
so unwissenschaftlich behandelte.
									","
											Bu soruya nasıl cevap
vereceğimden tam olarak emin olmadım.
											Bu soru araştırmaya katılanların
											ait olduğu toplumsal grupların
farklılıklarını mı ölçmeyi amaçlıyordu?
											Bu durumda,
toplumsal kimliğimle cevap verip
											""siyahi"" seçeneğini işaretledim.
											Ama ya araştırmacıların
ilgilendikleri şey,
											soy ve bazı genetik özelliklerin riskleri
arasındaki ilişkiyi incelemekse?
											Bu durumda Afrikalı oldukları kadar
Avrupalı da olan atalarımla ilgili
											bir şeyler bilmek istemezler miydi?
											Eğer toplumsal kimliğimi
siyahi bir kadın olarak belirtirsem,
											genlerimle ilgili bilimsel sonuçları
nasıl elde edebilirlerdi?
											Tüm bunlarla beraber ben kendimi
siyahi bir annesi olan beyaz bir kadın
											olarak değil de beyaz bir babası olan
siyah bir kadın olarak görüyorum.
											Tamamen toplumsal sebeplerden dolayı.


											Kaldı ki işaretlediğim ırksal kimliğin
											genlerimle hiçbir ilgisi yoktu.
											Bu sorunun, çalışmanın 
bilimsel geçerliliği ile ilgili
											bariz önemine rağmen,
											bana, ""Dert etme,
											kendini nasıl tanımlıyorsan 
onu seç."" denildi.
											Ben de ""siyahi"" seçeneğini işaretledim
											ama kritik bir değişkenine bu kadar 
bilimsellik dışı bir şekilde yaklaşan
											bir araştırmanın sonuçlarına dair hiç
güvenim yoktu olmuştu.
									",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
","
","
","
","
",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
											That personal experience
with the use of race in genetic testing
											got me thinking:
											Where else in medicine is race used
to make false biological predictions?
									","
											Esa experiencia personal con el uso
de la raza en pruebas genéticas
											me hizo pensar:
											¿En qué otro ámbito de
la medicina se usa la raza
											para hacer falsas
predicciones biológicas?
									","
											Cette utilisation de l’origine ethnique
dans des tests sur le patrimoine génétique
											m’a fait réfléchir :
											dans quels autres champs médicaux
											l’origine ethnique
est-elle aussi utilisée ?
									","
											Dieses persönliche Erlebnis des Umgangs
mit Rassen in genetischen Untersuchungen
											brachte mich zum Nachdenken:
											Wo wird Rasse noch in der Medizin genutzt,
											um falsche biologische
Prognosen zu stellen?
											Ich musste herausfinden,
											dass Rasse tief in allen medizinischen
Praktiken verwurzelt sind.
									","
											Kişisel deneyimlerime göre genetik
bir testte ırksal terimlerin kullanılması
											beni düşündürdü:
											Irk, tıptan başka nerede yanlış
biyolojik tahminler yapmaya neden olur?
									",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
","
","
","
","
",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
											Well, I found out that race runs deeply
throughout all of medical practice.
											It shapes physicians' diagnoses,
											measurements, treatments,
											prescriptions,
											even the very definition of diseases.
											And the more I found out,
the more disturbed I became.
									","
											Bueno, encontré que la raza cala hondo
en toda la práctica médica.
											Conforma diagnósticos médicos,
											mediciones, tratamientos,
											recetas,
											incluso la propia definición
de enfermedades.
											Y cuanto más descubría,
más me perturbaba.
									","
											Je me suis rendue compte que l’origine
ethnique est très répandue en médecine.
											Elle influence
les diagnostics des médecins,
											les mesures, les traitements,
											les médicaments prescrits
											et la définition même 
de certaines maladies.
											Plus j'avançais dans mes recherches,
plus j’étais interloquée.
									","
											Es prägt bei Ärzten die Diagnosen,
											Messungen, Behandlungen,
											Verschreibungen,
											sogar, wie die Krankheit definiert wird.
											Umso mehr ich herausfand,
desto beunruhigter wurde ich.
											Soziologen wie ich erklären schon lange,
									","
											Sonuçta, ırkın tüm tıpta çok etkili 
bir faktör olduğunu buldum.
											Doktorların teşhislerini,
											ölçümlerini, tedavilerini,
											reçetelerini,
											hatta hastalıkların tanımlarını 
bile şekillendiriyor.
											Daha fazlasını buldukça 
daha çok rahatsız oldum.
									",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
","
","
","
","
",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
"
											Sociologists like me have long explained
											that race is a social construction.
											When we identify people as black,
white, Asian, Native American, Latina,
											we're referring to social groupings
											with made up demarcations
that have changed over time
											and vary around the world.
											As a legal scholar, I've also studied
											how lawmakers, not biologists,
											have invented the legal
definitions of races.
									","
											Los sociólogos como yo
han explicado extensamente
											que la raza es una construcción social.
											Cuando identificamos a la gente como
negra, blanca, asiática, aborigen, latina,
											nos referimos a grupos sociales
											con delimitaciones inventadas
que han cambiado con el tiempo
											y varían en todo el mundo.
											Como jurista también he estudiado
											cómo los legisladores, no los biólogos,
											han inventado definiciones
legales de raza.
									","
											Les sociologues comme moi
expliquent depuis longtemps
											que l’origine ethnique
est une construction sociale.
											Lorsque nous utilisons les mots noir,
blanc, asiatique, amérindien, latino,
											nous faisons référence
à des groupes sociaux
											dont les limites
ont changé au fil du temps
											et varient selon l’endroit du monde.
											En tant que juriste,
j'ai également étudié comment
											les législateurs et non les biologistes
											ont créé les définitions
légales de l'origine ethnique.
									","
											dass Rasse ein soziales Konstrukt ist.
											Wenn wir Menschen als schwarz,
weiß, asiatisch, indianisch,
											oder lateinamerikanisch bestimmen,
beziehen wir uns auf soziale Gruppierungen
											mit erdachten Abgrenzungen,
die sich über die Zeit verändert haben
											und die weltweit variieren.
											Als Rechtswissenschaftlerin
habe ich auch studiert,
											wie Gesetzgeber, nicht Biologen,
											die rechtlichen Definitionen
der Rassenzugehörigkeit erfanden.
											Das ist nicht nur die Sicht
von Sozialforschern.
									","
											Benim gibi sosyologlar ırkın
sosyal bir yapı olduğunu
											uzun uzun açıkladı.
											İnsanları siyah, beyaz, Asyalı,
Kızılderili, Latin diye tanımladığımızda
											dünya üzerinde zamanla değişen
											ve çeşitlenen uydurma sınırlarla
sosyal gruplaşmalara
											atıfta bulunuruz.
											Bir hukukçu olarak, ayrıca
											nasıl biyologların değil de,
kanun yapıcıların
											ırkların yasal tanımlarını
icat ettiklerini çalıştım.
									",The problem with race-based medicine,Dorothy Roberts,14:36,"big problems,activism,disease,inequality,health,health care,illness,medicine,medical research,public health,race,social change,law,Slavery,sociology,society"
