en,es,fr,title,speaker,duration,tags
"
","
","
",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
											As you heard, I'm a physicist.
											And I think the way we talk about physics
needs a little modification.
											I am from just down the road here;
I don't live here anymore.
											But coming from round here means
that I have a northern nana,
											my mum's mom.
											And Nana is very bright;
she hasn't had much formal education,
											but she's sharp.
											And when I was a second-year undergraduate
studying physics at Cambridge,
											I remember spending an afternoon
at Nana's house in Urmston
											studying quantum mechanics.
											And I had these folders
open in front of me
											with this, you know,
hieroglyphics — let's be honest.
											And Nana came along,
and she looked at this folder,
											and she said, ""What's that?""
											I said, ""It's quantum mechanics, Nana.""
											And I tried to explain something
about what was on the page.
											It was to do with the nucleus
and Einstein A and B coefficients.
											And Nana looked very impressed.
											And then she said, ""Oh.
											What can you do when you know that?""
									","
											Como oyeron, soy física.
											Y creo que se debería modificar
cómo hablamos sobre la Física.
											Soy de aquí cerca;
ya no vivo aquí.
											Pero provenir de este lugar
significa que tengo una abuela norteña,
											la madre de mi madre.
											Y mi abuela es muy brillante;
no tuvo mucha educación formal,
											pero es astuta.
											Y cuando me encontraba en el segundo año
de Física en Cambridge,
											recuerdo haber pasado una tarde
en su casa en Urmston
											estudiando mecánica cuántica.
											Y tenía estas carpetas abiertas enfrente
											con estos, ya saben, jeroglíficos,
seamos honestos.
											Y ella vino, echó un vistazo a la carpeta,
											y me dijo: ""¿Qué es eso?""
											Contesté: ""Es mecánica cuántica, abuela.""
											E intenté explicarle algo de esa página.
											Tenía que ver con el núcleo, con Einstein
y los coeficientes A y B.
											Y ella observaba muy impresionada.
											Entonces me dijo: ""Ah.
											¿Y para qué sirve saber todo eso?""
									","
											Je suis physicienne.
											Notre façon de parler de physique
doit être un peu modifiée.
											Je viens du bout de la rue,
je ne vis plus ici.
											Mais venir d'ici signifie
que j'ai une grand-mère du Nord,
											la mère de ma mère.
											Et mamie est brillante ;
											elle n'a pas eu beaucoup
d'éducation formelle
											mais elle a l'esprit vif.
											Quand j'étais en deuxième année
d'université de physique à Cambridge,
											je me souviens avoir passé un après-midi
dans la maison de mamie à Urmston
											à étudier la mécanique quantique.
											J'avais ces dossiers ouverts devant moi
											avec ces hiéroglyphes, soyons honnêtes.
											Mamie est venue, elle a regardé ce dossier
											et elle a dit : « C'est quoi ? »
											J'ai dit : « De la mécanique
quantique, mamie. »
											J'ai essayé d'expliquer quelque chose
de ce qui était sur la page.
											Cela avait à voir avec les nucléons
et les coefficients A et B d'Einstein.
											Mamie avait l'air très impressionnée.
											Puis elle a dit : « Oh.
											Que peux-tu faire quand tu connais ça ? »
									",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
","
","
",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
","
","
",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
											""Don't know, ma'am.""
									","
											""No lo sé"".
									","
											« Je sais pas, madame. »
									",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
","
","
",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
","
","
",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
"
											I think I said something about computers,
											because it was all
I could think of at the time.
									","
											Creo que dije algo sobre computadoras,
											porque es lo único que se me ocurrió
en ese momento.
									","
											Je crois avoir parlé d'ordinateurs
											car c'est tout ce à quoi
j'ai pu penser à l'époque.
									",The fascinating physics of everyday life,Helen Czerski,15:57,"physics,science,play,TEDx"
