en,es,pt,tr,title,speaker,duration,tags
"
","
","
","
",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
											My students and I
work on very tiny robots.
											Now, you can think of these
as robotic versions
											of something that you're all
very familiar with: an ant.
											We all know that ants
and other insects at this size scale
											can do some pretty incredible things.
											We've all seen a group of ants,
or some version of that,
											carting off your potato chip
at a picnic, for example.
									","
											Mis alumnos y yo trabajamos
con robots muy pequeños.
											Podemos verlos como
versiones robóticas
											de algo con lo que todos estamos
muy familiarizados: una hormiga.
											Todos sabemos que las hormigas
y otros insectos de este tamaño
											pueden hacer cosas
bastante asombrosas.
											Todos hemos visto a un grupo
de hormigas, o algo similar,
											cargando patatas fritas
en un picnic, por ejemplo.
									","
											Eu e os meus alunos trabalhamos
com robôs muito pequenos.
											Podem pensar neles como
versões robóticas
											de algo com que estão todos
familiarizados: uma formiga.
											Todos sabemos que as formigas
e outros insetos a esta escala
											podem fazer coisas incríveis.
											Todos vimos já um grupo
de formigas ou algo parecido,
											a carregar uma batata frita
num piquenique, por exemplo.
									","
											Öğrencilerimle birlikte çok küçük
robotlar üzerinde çalışıyoruz.
											Bunları aşina olduğu şeylerin
											robot versiyonları olarak
düşünebilirsiniz. Örneğin; bir karınca.
											Hepimiz biliyoruz ki karıncalar
ve bu ölçekteki diğer böcekler
											bazı inanılmaz işler yapabilirler.
											Hepimiz karınca gruplarını
veya buna benzer şeyleri,
											piknikte patates cipsi
taşırken falan görmüşüzdür.
									",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
","
","
","
",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
											But what are the real challenges
of engineering these ants?
											Well, first of all, how do we get
the capabilities of an ant
											in a robot at the same size scale?
											Well, first we need to figure out
how to make them move
											when they're so small.
											We need mechanisms like legs
and efficient motors
											in order to support that locomotion,
											and we need the sensors,
power and control
											in order to pull everything together
in a semi-intelligent ant robot.
											And finally, to make
these things really functional,
											we want a lot of them working together
in order to do bigger things.
									","
											¿Pero cuáles son los verdaderos
desafíos para construir estas hormigas?
											Bueno, en primer lugar, ¿cómo conseguimos
tener las capacidades de una hormiga
											en un robot del mismo tamaño?
											Bueno, primero tenemos que averiguar
cómo hacer que se muevan
											siendo tan pequeños.
											Necesitamos mecanismos
como piernas y motores eficientes
											para apoyar la locomoción.
											y sensores, energía y control
											para juntar todo en un robot hormiga
semi-inteligente.
											Y, por último, para hacer
que estas cosas realmente funcionen,
											queremos que la mayoría trabajen juntos
para lograr grandes cosas.
									","
											Quais são os verdadeiros desafios
de construir estas formigas?
											Em primeiro lugar, como conseguimos
as capacidades de uma formiga
											num robô do mesmo tamanho?
											Primeiro temos que descobrir
como fazê-los andar,
											sendo tão pequenos.
											Precisamos de mecanismos como
pernas e motores eficientes
											de modo a apoiar essa locomoção.
											Precisamos de sensores,
potência e controlo
											para juntar tudo num robô formiga
semi-inteligente.
											Finalmente, para tornar isto
realmente funcional
											queremos que trabalhem em conjunto
para fazerem coisas mais importantes.
									","
											Peki bu karıncaların mühendisliğinde
asıl zor olan şeyler nedir?
											İlk olarak, karıncayla
aynı boyuttaki bir robotta
											aynı kabiliyeti nasıl elde ederiz?
											Önce, bu kadar küçük
şeylerin nasıl hareket
											ettirileceğini bulmalıyız.
											Bu hareket kabiliyetini
desteklemek için bacaklar
											ve verimli motorlar gibi
mekanizmalara
											ve yarı-akıllı
robot karınca için gerekenleri
											bir araya getirmek için sensör,
güç ve kontrole ihtiyacımız var.
											Son olarak, bu şeylerin
gerçekten işlevsel olmaları,
											büyük işler yapmaları için bir çoğunun
birlikte çalışmasını istiyoruz.
									",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
","
","
","
",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
											So I'll start with mobility.
											Insects move around amazingly well.
											This video is from UC Berkeley.
											It shows a cockroach moving
over incredibly rough terrain
											without tipping over,
											and it's able to do this because its legs
are a combination of rigid materials,
											which is what we traditionally
use to make robots,
											and soft materials.
											Jumping is another really interesting way
to get around when you're very small.
											So these insects store energy in a spring
and release that really quickly
											to get the high power they need
to jump out of water, for example.
									","
											Así que empezaré con la movilidad.
											Los insectos se mueven
increíblemente bien en su entorno.
											Este vídeo es de la Universidad de Berkeley.
											Muestra una cucaracha en movimiento
sobre un terreno muy accidentado
											sin que vuelque
											y es capaz de hacerlo porque sus piernas
son una combinación de materiales rígidos,
											que es lo que tradicionalmente
usamos para hacer robots,
											y materiales blandos.
											Saltar es otra forma muy interesante
de moverse cuando uno es muy pequeño.
											Así que estos insectos
almacenan energía en un brinco
											y la liberan rápidamente para conseguir
la fuerza necesaria para salir del agua.
									","
											Vou começar com a mobilidade.
											Os insetos deslocam-se muito bem.
											Este vídeo é da UC Berkeley.
											Mostra uma barata a mover-se
sobre terreno muito irregular,
											sem tombar.
											Ela consegue fazer isto porque as suas
pernas combinam materiais rígidos,
											que usamos tradicionalmente
para fazer robôs,
											com materiais macios.
											Quando se é muito pequeno, outra forma
interessante de deslocação é saltar.
											Estes insetos armazenam energia numa mola
e libertam-na muito rapidamente,
											para conseguirem a potência necessária
para sair da água, por exemplo.
									","
											O yüzden hareket
kabiliyeti ile başlayacağım.
											Böcekler acayip iyi hareket ederler.
											Bu video UC Berkeley'de çekildi.
											Karaböceğin inanılmaz
zor arazide devrilmeden
											gezinmesini gösteriyor
											ve bunu sert madde birleşiminden
oluşan bacakları sayesinde yapabiliyor,
											ki biz de robot ve yumuşak
maddeler yapmak için
											geleneksel olarak bunu kullanıyoruz.
											Zıplamak, çok küçükseniz
gezinmek için başka ilginç bir yol.
											Örneğin, bu böcekler suyun dışına zıplamak için
ihtiyaçları olan yüksek enerjiyi
											elde etmek için enerjiyi
suda depolar ve çok hızlı salarlar.
									",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
","
","
","
",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
											So one of the big
contributions from my lab
											has been to combine
rigid and soft materials
											in very, very small mechanisms.
											So this jumping mechanism
is about four millimeters on a side,
											so really tiny.
											The hard material here is silicon,
and the soft material is silicone rubber.
											And the basic idea is that
we're going to compress this,
											store energy in the springs,
and then release it to jump.
											So there's no motors
on board this right now, no power.
											This is actuated with a method
that we call in my lab
											""graduate student with tweezers.""
(Laughter)
											So what you'll see in the next video
											is this guy doing
amazingly well for its jumps.
											So this is Aaron, the graduate student
in question, with the tweezers,
											and what you see is this 
four-millimeter-sized mechanism
											jumping almost 40 centimeters high.
											That's almost 100 times its own length.
											And it survives, bounces on the table,
											it's incredibly robust, and of course
survives quite well until we lose it
											because it's very tiny.
									","
											Así que una de las grandes contribuciones
de mi laboratorio
											ha sido combinar materiales rígidos y blandos
											en mecanismos muy, muy pequeños.
											Este mecanismo para saltar
es de unos 4 milímetros,
											así que es realmente pequeño.
											El material duro que
empleamos es el silicio
											y el blando, caucho de silicona.
											Y la idea principal es comprimir esto,
											almacenar la energía en los muelles,
y luego soltarlo para saltar.
											Así que no hay motores
de momento, no hay energía.
											Esta se acciona con un método
que llamamos en mi laboratorio
											""estudiante graduado con pinzas"".
(Risas)
											Así que lo que van a ver
en el siguiente vídeo
											es a este robot que saltará
increíblemente bien.
											Este es Aarón, el estudiante
graduado en cuestión, con las pinzas,
											y aquí ven un mecanismo de 4 milímetros
											que salta casi 40 centímetros.
											Eso es casi 100 veces
su propio tamaño.
											Y sobrevive, rebota sobre la mesa,
											es increíblemente robusto
y, por supuesto,
											sobrevive bastante bien
hasta que lo perdemos
											porque es muy pequeño.
									","
											Uma das grandes contribuições
do meu laboratório
											tem sido combinar
materiais rígidos e macios
											em mecanismos muito, muito pequenos.
											Este mecanismo de salto tem cerca
de quatro milímetros de lado.
											É muito pequeno.
											O material rígido aqui é silicone,
e o macio é borracha de silicone.
											A ideia básica é que vamos
comprimir isto,
											armazenar energia nas molas
e depois soltá-la para saltar.
											Ainda não estamos a usar
motores ou potência.
											Isto é acionado com um método a que
chamamos, no meu laboratório,
											""universitário com pinças"".
(Risos)
											O que verão no próximo vídeo
											é um tipo a portar-se muito
bem nos seus saltos.
											Este é o Aaron, o universitário
em questão, com as pinças.
											O que veem é um mecanismo
de quatro milímetros
											a saltar cerca de 40
centímetros em altura.
											É quase 100 vezes o seu comprimento.
											Ele sobrevive, balança na mesa,
											é incrivelmente robusto e sobrevive
muito bem até que o perdemos,
											por ser tão pequeno.
									","
											Laboratuvarımın en büyük
katkılarından birisi
											sert ve yumuşak maddeleri
çok, çok küçük mekanizmaların
											içerisinde birleştirmeleri oldu.
											Yani bu zıplama mekanizmasının
bir köşesi dört milimetredir,
											yani gerçekten minik.
											Buradaki sert madde silikon
ve yumuşak madde ise silikon kauçuktur.
											Ve ana fikir, bunu sıkıştıracağız,
											suda enerjiyi depolayacağız
ve zıplamak için salacağız.
											Yani şu anda motor yok, güç yok.
											Bu laboratuvarımdaki
bir metotla gerçekleştiriliyor:
											""cımbızlı üniversite mezunu""
(Gülüşmeler)
											Bir sonraki videoda
											şaşırtıcı zıplayışlar yapan
bir eleman göreceksiniz.
											Bu Aaron, söz konusu
cımbızlı üniversite mezunu
											ve bu dört milimetre boyutlu
mekanizmada gördüğünüz şey
											neredeyse 40 santim yükseğe zıplıyor.
											Bu kendi uzunluğunun neredeyse 100 katı.
											Ve hayatta kalır, masada zıplar,
											inanılmaz dayanıklı ve tabii ki
onu kaybetmez isek hayatta kalabilir
											çünkü çok minik.
									",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
","
","
","
",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
"
											Ultimately, though, we want
to add motors to this too,
											and we have students in the lab
working on millimeter-sized motors
											to eventually integrate onto
small, autonomous robots.
											But in order to look at mobility and
locomotion at this size scale to start,
											we're cheating and using magnets.
											So this shows what would eventually
be part of a micro-robot leg,
											and you can see the silicone rubber joints
											and there's an embedded magnet
that's being moved around
											by an external magnetic field.
									","
											En última instancia, sin embargo,
queremos añadirle motores también,
											y tenemos estudiantes en el laboratorio
trabajando en motores milimétricos
											para integrarlos en estos
pequeños robots autónomos.
											Pero para trabajar la movilidad
y la locomoción a esta escala
											hacemos trampa y usamos imanes.
											Esto muestra lo que finalmente
pertenecerá a una pierna de microrobot,
											y pueden ver las juntas
de la goma de silicona
											y el imán incorporado que se está
moviendo de arriba abajo
											accionado por un campo magnético externo.
									","
											Em última análise, queremos
acrescentar motores a isto.
											Temos estudantes no laboratório
a trabalhar em motores milimétricos,
											para serem integrados em robôs
pequenos e autónomos.
											De modo a trabalhar a mobilidade e a
locomoção a esta escala, para começar,
											estamos a fazer batota e a usar ímanes.
											Isto mostra o que poderá ser parte
da perna de um micro-robô.
											Podem ver as juntas
de borracha de silicone.
											Existe um íman incorporado
que está a ser deslocado
											por um campo magnético externo.
									","
											En sonunda, yine de, buna
motorlar eklemek istiyoruz
											ve öğrencilerimiz laboratuvarda küçük,
otonom robotlara entegre etmek için
											milimetre boyutunda
motorlar üzerinde çalışıyorlar.
											Fakat başlangıçta bu ölçekte taşınırlık ve
hareket yeteneğine bakmak için
											hile yapıyor ve mıknatısları kullanıyoruz.
											Bu nihayetinde mikro-robot
bacağı olacak şeyi gösteriyor
											ve silikon kauçuk
eklemleri görebilirsiniz.
											Orada harici manyetik
alanla hareket eden
											gömülü bir mıknatıs bulunuyor.
									",Why I make robots the size of a grain of rice,Sarah Bergbreiter,6:06,"TEDYouth,engineering,robots,technology"
