en,es,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
","
","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
											When trains began to shuttle people 
across the coutryside,
											many insisted 
they would never replace horses.
											Less than a century later, people 
repeated that same prediction about cars,
											telephones,
											radio,
											television,
											and computers.
											Each had their own host of detractors.
											Even some experts 
insisted they wouldn’t catch on.
									","
											Cuando los trenes comenzaron a 
transportar personas a través del campo,
											muchos insistieron en que nunca
reemplazarían a los caballos.
											Menos de un siglo después, la gente
repitió lo mismo sobre los autos,
											teléfonos,
											radio,
											televisión,
											y computadoras.
											Cada uno de ellos tuvo 
su multitud de detractores.
											Incluso algunos expertos
insistieron en que no durarían.
									","
											Trenler insanları kırsal bölgelere
götürmeye başladığında
											çoğu kişi trenlerin asla atların yerini 
alamayacaklarında ısrar etti.
											Yüzyıldan az bir süre sonra,
insanlar arabalar,
											telefonlar,
											radyo,
											televizyon
											ve bilgisayar hakkında da 
aynı şeyi söyledi.
											Bu icatların her birinin 
aleyhinde konuşan kişiler oldu.
											Hatta bazı uzmanlar bunların
tutulmayacağı konusunda ısrar etti.
									","
											Quando os comboios começaram
a transportar pessoas por todo o país,
											muita gente teimava que eles
nunca substituiriam os cavalos.
											Menos de cem anos depois,
											as pessoas repetiam a mesma previsão
em relação aos automóveis,
											aos telefones, à rádio
											à televisão e aos computadores.
											Cada um deles tinha
a sua hoste de detratores.
											Até mesmo alguns especialistas
insistiam que eles não sobreviveriam.
									","
											Quand les trains ont commencé
à transporter les gens à la campagne,
											beaucoup disaient
											qu'ils ne remplaceraient
jamais les chevaux.
											Moins d'un siècle plus tard,
											les gens ont répété cette prédiction
au sujet des voitures,
											de téléphones,
											de la radio,
											de la télévision
											et des ordinateurs.
											Chacun avait ses détracteurs.
											Même quelques experts
											soutenaient qu'ils ne seraient
jamais populaires.
									","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
","
","
","
","
","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
											Of course, we can’t predict exactly 
what the future will look like
											or what new inventions will populate it.
											But time and time again,
											we’ve also failed to predict 
that the technologies of the present
											will change the future.
											And recent research has revealed 
a similar pattern in our individual lives:
											we’re unable to predict change 
in ourselves.
											Three psychologists documented
our inability to predict personal change
											in a 2013 paper 
called, “The End of History Illusion.”
											Named after political scientist 
Francis Fukuyama’s prediction
											that liberal democracy 
was the final form of government,
											or as he called it, “the end of history,”
											their work highlights the way 
we see ourselves as finished products
											at any given moment.
									","
											Por supuesto, no podemos predecir
cómo será el futuro
											o qué nuevos inventos lo poblarán.
											Pero una y otra vez,
											tampoco hemos podido predecir
que las tecnologías del presente
											cambiarán el futuro.
											Un estudio reciente ha revelado
un patrón similar en nuestras vidas:
											somos incapaces de predecir 
el cambio en nosotros mismos.
											Tres psicólogos documentaron nuestra
incapacidad para predecir cambios
											en un artículo en el 2013 llamado
""La ilusión del final de la historia"".
											Llamado así por la predicción
del científico político Francis Fukuyama
											de que la democracia liberal
era la forma última de gobierno
											o lo que él llamó:
""el final de la historia"",
											su trabajo subraya la forma en que
nos vemos como productos terminados
											en cualquier momento dado.
									","
											Geleceğin tam olarak nasıl
görüneceğini veya hangi icatların
											dünyamızı dolduracağını tahmin edemeyiz.
											Fakat zaman zaman,
											şimdinin teknolojisinin 
geleceği değiştireceğini
											tahmin etmekte başarısız olduk.
											Son zamanlarda benzer bir düzenin
kendi bireysel hayatlarımızda da
											geçerli olduğu ortaya çıktı: kendimizdeki 
değişikliği tahmin edemiyoruz.
											2013 yılında ''Tarihin Sonu İllüzyonu''
adıyla yayınlanan bir yazıda üç psikolog
											kendimizdeki değişiklikleri görememe
durumumuzu belgeledi.
											Siyaset bilimci Francis Fukuyama’nın
liberal demokrasinin
											hükûmetin son biçimi olduğu 
ya da kendi deyimiyle
											“tarihin sonu” varsayımından 
isimlendirildi,
											ayrıca çalışmaları kendimizi herhangi
bir zamanda bitmiş bir ürün
											olarak gördüğümüzü vurgular.
									","
											Claro que não podemos prever
com exatidão como será o futuro
											ou que novas invenções o povoarão.
											Mas vezes sem conta,
											também errámos quanto à previsão
											de que as tecnologias de hoje
vão transformar o futuro.
											Um estudo recente revelou
um padrão semelhante
											na nossa vida individual:
											somos incapazes de prever
as mudanças em nós mesmos.
											Três psicólogos documentaram
											a nossa incapacidade
de prever a alteração pessoal,
											num artigo de 2013, chamado
""O Fim da Ilusão da História"".
											Assim chamado, segundo a previsão
do cientista político, Francis Fukuyama
											de que a democracia liberal
era a forma final de governo
											— ou ""o final da História"",
como ele lhe chamou —
											aquele artigo esclarece a forma
como nos vemos,
											como um produto acabado,
											num determinado momento.
									","
											Bien sûr, nous ne pouvons pas prédire
exactement à quoi l'avenir ressemblera
											ou quelles inventions le peupleront.
											Mais à maintes reprises,
											nous n'avons pas réussi à prédire
quelles technologies du présent
											changeraient l'avenir.
											De récentes recherches ont révélé
un schéma similaire dans nos vies :
											nous sommes incapables
de prédire un changement en nous.
											Trois psychologues ont documenté
											notre incapacité à prédire
un changement personnel
											dans une publication de 2013 appelée
« L'illusion de la fin de l'Histoire ».
											Elle tient son nom de la prévision
d'un politologue, Francis Fukuyama,
											annonçant la démocratie libérale
comme la dernière forme de gouvernement
											ou, comme il l'a appelé,
« la fin de l'Histoire ».
											Leur travail souligne la façon
dont nous nous percevons comme finaux
											à un instant donné.
									","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
","
","
","
","
","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
											The researchers recruited over 
7,000 participants ages 18 to 68.
											They asked half of these participants to
report their current personality traits,
											values,
											and preferences,
											along with what each of those metrics 
had been ten years before.
											The other half described those features 
in their present selves,
											and predicted what 
they would be ten years in the future.
											Based on these answers,
											the researchers then calculated 
the degree of change
											each participant reported or predicted.
									","
											Los investigadores reclutaron cerca de
7000 participantes de entre 18 y 68 años.
											Pidieron a la mitad de los participantes
informar sobre su personalidad actual,
											valores,
											y preferencias,
											junto con cómo habían sido
estos valores diez años antes.
											La otra mitad describió estas 
características en su yo actual,
											y predijeron cómo serían en 10 años.
											En base a estas respuestas,
											los investigadores calcularon
el grado de cambio
											que cada participante relató o predijo.
									","
											Araştırmacılar 18-68 yaş aralığındaki
yedi binin üzerinde insanla çalıştı.
											Grubun yarısına
kişisel özelliklerini, değerlerini
											ve tercihlerini
											rapor etmelerini istediler,
											ki bu metrikler on yıl öncekilerdi.
											Diğer yarısı bu özellikleri 
mevcut benliklerinde tanımladı
											ve gelecekte on yıl sonra 
nasıl olacaklarını tahmin ettiler.
											Bu cevaplara dayanarak
											araştırmacılar,
her bir katılımcının rapor ettiği
											veya tahmin ettiği
değişimin derecesini hesapladılar.
									","
											Os investigadores recrutaram
mais de 7000 participantes,
											entre os 18 e os 68 anos.
											Pediram a metade dos participantes
											que descrevessem
os seus traços de personalidade,
											os seus valores e as suas preferências,
											juntamente com o que tinham sido
cada um desses valores dez anos antes.
											A outra metade devia descrever
essas mesmas características no presente
											e prever como seriam dez anos depois.
											Com base nas respostas,
											os investigadores calcularam 
o grau de mudança
											que cada participante
descrevera ou previra.
									","
											Les chercheurs ont recruté
plus de 7 000 participants
											ayant entre 18 et 68 ans.
											Ils ont demandé à la moitié
de ces participants
											de donner leurs traits de personnalité,
											leurs valeurs
											et leurs préférences actuels,
											ainsi que ce que chacune de ces métriques
étaient 10 ans auparavant.
											L'autre moitié a décrit
ses caractéristiques actuelles
											et a prédit ce qu'elles seraient
10 ans plus tard.
											A partir des réponses,
											les chercheurs ont ensuite calculé
le degré de changement
											que chaque participant
avait déclaré ou prédit.
									","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
","
","
","
","
","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
											For every age group in the sample,
											they compared the predicted changes 
to the reported changes.
											So they compared the degree to which 
18-year-olds thought they would change
											to the degree to which 28-year-olds 
reported they had changed.
											Overwhelmingly, at all ages,
											people’s future estimates of change 
came up short
											compared to the changes 
their older counterparts recalled.
											20-year-olds expected 
to still like the same foods at 30,
											but 30-year-olds no longer 
had the same tastes.
											30-year-olds predicted they’d still 
have the same best friend at 40,
											but 40-year-olds 
had lost touch with theirs.
											And 40-year-olds predicted 
they’d maintain the same core values
											that 50-year-olds had reconsidered.
											While older people changed less 
than younger people on the whole,
											they underestimated 
their capacity for change just as much.
											Wherever we are in life,
the end of history illusion persists:
											we tend to think that the bulk 
of our personal change is behind us.
									","
											Por cada grupo de edad en la muestra,
											compararon los cambios predecidos
con los cambios relatados.
											Compararon el grado en que 
los de 18 años pensaron que cambiarían
											con el grado en que los de 28 años
informaron que habían cambiado.
											Abrumadoramente, en todas las edades,
											las estimaciones futuras de cambio
de las personas se quedaron cortas
											en comparación con los cambios que
sus contrapartes mayores recordaron.
											Los veinteañeros esperaban que
les gustaría la misma comida a los 30,
											pero los treintañeros ya no tenían
los mismos gustos.
											Los treintañeros predijeron que tendrían
el mismo mejor amigo a los 40,
											pero los de 40 años,
habían perdido contacto con ellos.
											Y los de 40 predijeron que mantendrían
los mismos valores primordiales
											que los de 50 años habían reconsiderado.
											Mientras que las personas mayores 
cambian menos que los jóvenes en conjunto,
											igualmente subestimaron 
su capacidad de cambio.
											Donde nos encontremos, la ilusión
del final de la historia persiste:
											pensamos que la mayoría de nuestro
cambio personal está a nuestra espalda.
									","
											Örneklemdeki her yaş grubu için
											tahmin edilen değişiklikleri rapor edilen
değişikliklerle karşılaştırdılar.
											Böylece, 18 yaşındakilerin
değişeceklerini düşündükleri dereceyle
											28 yaşındakilerin değiştiklerini
bildirdikleri dereceyi karşılaştırdılar.
											Şaşırtıcı bir şekilde
											her yaşta insanların 
gelecekteki değişim tahminleri,
											eski meslektaşlarının hatırladıkları
değişikliklere kıyasla kısa sürdü.
											30 yaşındakilerin aynı yiyecekleri
30 yaşından beri beğenmesi bekleniyordu,
											ancak 30 yaşındakiler 
artık aynı zevklere sahip değildi.
											30 yaşındakiler, 40 yaşında aynı kişilerin
yakın arkadaşları olacağını düşündü
											fakat 40 yaşındakiler
artık onlarla görüşmüyordu.
											40 yaşındakiler aynı değerlere
sahip olacaklarını tahmin ettiler,
											ama 50 yaşındakiler aynı düşünmüyordu.
											Tüm olarak bakıldığında yaşlı insanlar
gençler kadar değişmezken
											onlar kadar değişebilecekleri
gerçeğini hafife aldılar.
											Hayatta nerede olursak olalım,
tarihin sonu illüzyonu şunu söyler:
											Kişisel değişimin büyük bir kısmının
geride kaldığını düşünmeye yatkınız.
									","
											Para cada grupo etário, na amostra,
											compararam as mudanças previstas
com as mudanças ocorridas.
											Previram o grau de mudança
previsto pelos de 18 anos
											com o grau de mudança real
dos de 28 anos.
											De modo esmagador,
em todos os grupos etários,
											as estimativas de mudança futura
eram muito menores
											em comparação com as mudanças
que os mais velhos descreviam.
											Os de 20 anos achavam que ainda
gostariam da mesma comida aos 30,
											mas os de 30 anos já não tinham
os mesmos gostos.
											Os de 30 anos previam que ainda
teriam o melhor amigo aos 40,
											mas os de 40 anos
tinham perdido o melhor amigo deles.
											Os de 40 anos previam que manteriam
os mesmos valores fundamentais
											mas os de 50 anos tinham-nos reavaliado.
											Embora as pessoas mais velhas
mudassem menos do que as mais novas,
											no seu conjunto,
											também subestimavam
a sua capacidade de mudança.
											Seja qual for a nossa idade,
a ilusão do fim da história persiste.
											Temos tendência a pensar que todas
as mudanças pessoais importantes
											foram feitas no passado.
									","
											Pour chaque tranche d'âge
représentée dans le panel,
											ils ont comparé les changements prédits
et les changements déclarés.
											Ils ont comparé à quel degré des gens
de 18 ans pensaient qu'ils changeraient
											au degré de changement déclaré
par les gens de 28 ans.
											De façon impressionnante, à tous les âges,
											les estimations de changements à venir
des gens étaient faibles
											comparées aux changements dont
leurs homologues plus âgés se rappelaient.
											Les gens de 20 ans s'attendaient
à aimer la même nourriture à 30 ans
											mais les gens de 30 ans
n'avaient plus les mêmes goûts.
											Les gens de 30 ans avaient prédit
											qu'ils auraient
le même meilleur ami à 40 ans
											mais les gens de 40 ans
avaient perdu le contact avec le leur.
											Les gens de 40 ans avaient prédit
											qu'ils auraient
les mêmes valeurs fondamentales
											mais les gens de 50 ans
les avaient reconsidérées.
											Si les gens plus âgés changeaient
dans l'ensemble moins que les plus jeunes,
											ils ont tout autant sous-estimé
leur capacité à changer.
											Peu importe le moment de notre vie,
											l'illusion de la fin
de l'Histoire persiste :
											nous avons tendance à croire que le gros
de notre changement personnel est passé.
									","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
","
","
","
","
","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
"
											One consequence of this thinking
											is that we’re inclined to overinvest 
in future choices
											based on present preferences.
											On average, people are willing 
to pay about 60% more
											to see their current favorite musician 
ten years in the future
											than they’d currently pay to see their 
favorite musician from ten years ago.
											While the stakes involved
in concert-going are low,
											we’re susceptible 
to similar miscalculations
											in more serious commitments,
											like homes,
											partners,
											and jobs.
											At the same time, 
there’s no real way to predict
											what our preferences 
will be in the future.
											Without the end of history Illusion,
											it would be difficult 
to make any long-term plans.
									","
											Una consecuencia de esta forma de pensar
											es que tendemos a sobreinvertir
en elecciones futuras
											basadas en nuestras preferencias actuales.
											En promedio, la gente está
dispuesta a pagar un 60 % más
											para ver a su músico favorito actual
dentro de 10 años
											de lo que actualmente pagan por ver
a su músico favorito de hace 10 años.
											Mientras lo que está en juego 
con ir a conciertos es poco,
											somos susceptibles a cometer
errores de cálculo
											con compromisos más serios,
											como casas,
											parejas
											y trabajos.
											Al mismo tiempo, no hay
una forma real de predecir
											cuáles serán nuestras
preferencias en el futuro.
											Sin la ilusión del final de la historia
											sería difícil hacer planes a largo plazo.
									","
											Bu düşüncenin bir sonucu,
											mevcut tercihlere dayalı olarak 
gelecekteki seçimlere yatırım yapmaya
											eğilimliğimizin olmasıdır.
											Ortalama olarak, insanlar
on yıldan beri en sevdikleri
											favori müzisyenlerini
görmek için ödediklerinin,
											10 yıl sonra görmek için 
yaklaşık% 60 daha fazlasını ödemeye razı.
											Konsere devam eden paylar düşük olsa da
											daha ciddi taahhütlerde
											benzer yanlış hesaplara duyarlıyız,
											evler,
											ortaklar
											ve iş gibi.
											Aynı zamanda, tercihlerimizin gelecekte
ne olacağını tahmin etmenin
											gerçek bir yolu yoktur.
											Tarihin sonu illüzyonu olmadan
											uzun vadeli planlar yapmak
çok zor olurdur.
									","
											Uma consequência desta mentalidade
											é que ficamos inclinados
em investir demasiado em escolhas futuras
											com base nas preferências atuais.
											Em média, as pessoas estão dispostas
a pagar mais 60%
											para ver o seu músico preferido de hoje
daqui a 10 anos
											do que pagariam hoje para ver
o seu músico preferido de há 10 anos.
											Embora o interesse de assistir
a um concerto seja pouco importante,
											somos suscetíveis de semelhantes
erros de cálculo
											em compromissos mais importantes,
											como casas, parceiros,
											e empregos.
											Simultaneamente,
não há nenhuma forma de prever
											quais serão as nossas preferências
no futuro.
											Sem a ilusão do fim da história,
											seria difícil fazer quaisquer planos
a longo prazo.
									","
											Une conséquence de cette réflexion
											est que nous sommes enclins
à surinvestir dans nos choix futurs
											en se basant sur
nos préférences actuelles.
											En moyenne, les gens sont prêts
à payer environ 60% de plus
											pour voir leur musicien
préféré actuel dans dix ans
											qu'ils ne payeraient pour voir
leur musicien préféré d'il y a dix ans.
											Si les enjeux liés
à un concert sont faibles,
											nous sommes susceptibles
de faire des erreurs similaires
											dans des engagements plus sérieux
											tels qu'une maison,
											un partenaire
											et un emploi.
											En même temps,
il n'est pas possible de prédire
											qu'elles seront
nos préférences à l'avenir.
											Sans l'illusion de la fin de l'Histoire,
											il serait difficile de prévoir
quoi que ce soit à long terme.
									","The ""End of History"" Illusion",Bence Nanay,4:15,"TED-Ed,psychology,personal growth,illusion,history,future,brain"
