en,es,de,fr,title,speaker,duration,tags
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
											Pollinator decline is a grand challenge
in the modern world.
											Of the 200,000 species of pollinators,
											honeybees are the most well-understood,
											partly because of our long history
with them dating back 8,000 years ago
											to our cave drawings
in what is now modern-day Spain.
											And yet we know that
this indicator species is dying off.
									","
											La disminución de los polinizadores es
un gran desafío para el mundo moderno.
											De las 200 000 especies de polinizadores,
											las abejas son las más conocidas
											en parte porque han sido parte de
nuestra historia desde hace 8000 años
											hasta las pinturas rupestres de
la España moderna de hoy en día.
											Aun así, sabemos que esta especie
indicadora está desapareciendo.
									","
											Der Rückgang an Bestäubern
ist eine große Herausforderung
											der modernen Welt.
											Von den 200.000 Arten
von Bestäuberinsekten
											sind Honigbienen am besten erforscht —
											unsere Geschichte mit ihnen
reicht immerhin 8.000 Jahre zurück,
											hin zu den Höhlenzeichnungen
im heutigen Spanien.
											Und doch stirbt diese Indikatorart
bekanntlich gerade aus.
									","
											Le déclin des pollinisateurs
est un grand défi pour le monde moderne.
											Des 200 000 espèces de pollinisateurs,
											les abeilles mellifères sont les 
mieux connues,
											grâce surtout à leur longue 
histoire datant de 8 000 ans
											de l'âge des cavernes à 
l'Espagne actuelle.
											Et nous savons 
que cette espèce-sentinelle meurt.
									","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
											Last year alone, we lost 40 percent
of all beehives in the United States.
											That number is even higher
in areas with harsh winters,
											like here in Massachusetts,
											where we lost 47 percent of beehives
											in one year alone.
											Can you imagine if we lost
half of our people last year?
											And if those were
the food-producing people?
											It's untenable.
											And I predict that in 10 years,
											we will lose our bees.
											If not for the work of beekeepers
replacing these dead beehives,
											we would be without foods
that we rely upon:
											fruits, vegetables,
											crunchy almonds and nuts,
											tart apples,
											sour lemons.
											Even the food that our cattle rely
upon to eat, hay and alfalfa — gone,
											causing global hunger,
											economic collapse,
											a total moral crisis across earth.
									","
											Tan solo el año pasado, en EE.UU.
perdimos el 40 % de las abejas.
											La cifra es aún más alta en áreas
con inviernos fuertes
											como aquí en Massachusetts,
											donde perdimos el 47 % de las abejas
											en tan solo un año.
											¿Cómo sería si perdiéramos la mitad 
de la población el año pasado?
											¿Y si esos fueran los productores
de alimentos?
											Sería insostenible.
											Y predigo que en 10 años
											nos quedaremos sin abejas.
											Si no fuera por los apicultores que
mantienen la existencia de las colmenas
											nos quedaríamos sin los alimentos
de los que dependemos:
											frutas, vegetales,
											almendras crujientes, nueces,
											manzanas ácidas
											y limones agrios.
											Hasta alimentos para el ganado como 
el heno o la alfalfa desaparecerían,
											causando hambruna a nivel mundial,
											colapso económico
											y crisis moral en todo el planeta.
									","
											Allein im letzten Jahr verloren wir
40 % der Bienenstöcke in den USA.
											Noch höher ist die Zahl
in Gegenden mit harten Wintern
											wie hier in Massachusetts,
											wo wir 47 % der Bienenstöcke
in nur einem Jahr verloren.
											Stellen Sie sich vor, es wäre
die Hälfte der Menschheit gewesen,
											die Hälfte der Lebensmittelproduzenten!
											Das wäre unzumutbar.
											Und ich prophezeie Ihnen:
											In 10 Jahren werden wir
unsere Bienen verlieren.
											Wenn Imker die Bienenstöcke
nicht ersetzen würden,
											hätten wir keine Grundnahrungsmittel mehr:
											Früchte, Gemüse,
knackige Mandeln und Nüsse,
											Äpfel für Kuchen, saure Zitronen.
											Auch Viehfutter wäre betroffen:
											Heu und Luzerne — weg!
											Die Folgen wären globale Hungersnöte,
											ein Wirtschaftskollaps
und eine weltweite moralische Krise.
									","
											L’an dernier, nous avons 
perdu 40% des ruches aux Etats-Unis.
											Ce nombre est plus élevé 
dans les zones à l’hiver rude,
											comme ici au Massachusetts,
											où nous avons perdu 47 % de nos ruches
											en une seule année.
											Vous imaginez perdre la 
moitié des gens l'an passé ?
											Et ces gens étaient les 
producteurs de nourriture ?
											Ce serait intenable.
											Je prédis que dans 10 ans,
											nous perdrons nos abeilles.
											Sans le travail des apiculteurs
pour remplacer ces ruches mortes,
											on manquerait d'aliments de base 
comme :
											fruits, légumes,
											amandes et noix croquantes,
											pommes acidulées,
											citrons acides.
											Même la nourriture du bétail, 
foin, luzerne, se perdrait,
											provoquant la faim mondiale,
											l’effondrement économique,
											une crise morale totale 
sur Terre.
									","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
											Now, I first started keeping bees
here in Cape Cod
											right after I finished my doctorate
in honeybee immunology.
									","
											Comencé a criar abejar aquí en Cape Cod
											justo después de finalizar el doctorado
en inmunología para las abejas.
									","
											Ich fing hier in Cape Cod
mit dem Imkern an,
											nachdem ich meine Doktorarbeit
in Bienen-Immunologie beendete.
									","
											J’ai commencé à garder 
des abeilles ici à Cape Cod
											suite à mon doctorat 
en immunologie des abeilles.
									","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
											(Laughter)
									","
											(Risas)
									","
											(Gelächter)
									","
											(Rires)
									","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaus)
									","
											(Applaudissements)
									","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
"
","
","
","
","How you can help save the bees, one hive at a time",Noah Wilson-Rich,12:54,"environment,sustainability,nature,bees,botany,natural disaster,biology,science,insects,TEDx,plants,ecology,natural resources"
