en,pt,fr,es,tr,title,speaker,duration,tags
"
","
","
","
","
",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
											A sky blue canvas ripped open 
by an enormous skull.
											Teeth bared through visceral slashes 
of oil and spray-paint.
											In 2017,
											this untitled artwork was auctioned 
off for over 110 million dollars.
											But it’s not the work of some old master.
											These strokes of genius
											belong to 21 year old 
black Brooklynite Jean-Michel Basquiat –
											one of America’s most 
charismatic painters,
											and currently, its highest sold.
									","
											Uma tela azul céu invadida
por um crânio enorme.
											Dentes à mostra, com cortes viscerais
de óleo e tinta de ""spray"".
											Em 2017,
											esta obra de arte sem título foi leiloada
por mais de 110 milhões de dólares.
											Mas não é uma obra de um antigo mestre.
											Estas pinceladas de génio,
											pertencem a Jean-Michel Basquiat,
um negro de Brooklyn, de 21 anos,
											um dos pintores norte-americanos
mais carismáticos
											e atualmente, a sua obra mais cara.
									","
											Une toile bleu ciel éventrée 
par un crâne immense.
											Des dents exposées par des lacérations
de peinture et d'aérosol.
											En 2017, cette œuvre sans titre 
est adjugée
											plus de 110 millions de dollars.
											Ce n’est pas l’œuvre d’un grand maître.
											Ces traits de génie appartiennent
à un jeune noir de 21 ans,
											originaire de Brooklyn : 
Jean-Michel Basquiat.
											L’un des peintres américains 
les plus charismatiques
											et, aujourd’hui, le plus coté.
									","
											Un lienzo azul cielo resaltado
con una calavera gigante.
											Dientes asomándose a través de líneas
viscerales de óleo y pintura de espray.
											En 2017,
											esta obra de arte sin título se subastó
por más de USD 110 millones.
											Pero no es la obra 
de un antiguo maestro.
											Estos trazos de genialidad 
son del joven negro
											Jean-Michel Basquiat 
de Brooklyn de 21 años,
											uno de los pintores 
más carismáticos de EE. UU.
											y actualmente, el de mayor venta.
									","
											Devasa bir kafatası,
gök mavisi bir tuvali delip geçiyor.
											Yağ ve sprey boyaların içgüdüsel
darbeleri, dişler açığa çıkarıyor.
											2017'de
											bu isimsiz sanat eseri yaklaşık
110 milyon dolara müzayede ile satıldı.
											Fakat eski bir ustanın eseri değil.
											Bu dahice çizgiler
											21 yaşındaki siyahi
Brooklynite Jean-Michel Basquiat'a ait,
											kendisi Amerika'nın en etkileyici
ressamlarından birisi
											ve şu anda, eseri
en yükseğe satılan da kendisi.
									",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
","
","
","
","
",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
											Born in 1960 to a Haitian father 
and a Puerto Rican mother,
											Basquiat spent his childhood making art 
and mischief in Boerum Hill.
											While he never attended art school,
											he learned by wandering 
through New York galleries,
											and listening to the music 
his father played at home.
									","
											Nascido em 1960 — o pai era do Haiti
e a mãe de Porto Rico —
											Basquiat passou a infância a fazer arte
e diabruras em Boerum Hill.
											Nunca frequentou uma escola de arte,
											mas aprendeu, vagueando
pelas galerias de Nova Iorque
											e ouvindo a música que o pai
tocava lá em casa.
									","
											Basquiat naît en 1960 d’un père haïtien 
et d’une mère portoricaine.
											Il passe son enfance à faire de l’art 
et des bêtises à Boerum Hill.
											Autodidacte, il ne va pas aux Beaux-Arts,
											mais apprend en flânant dans les galeries
											et en écoutant les disques 
que passe son père.
									","
											Nació en 1960, de padre haitiano
y madre puertorriqueña,
											pasó su niñez en Boerum Hill
creando arte y travesuras.
											Nunca fue a la escuela de arte,
											pero aprendió visitando 
las galerías en Nueva York
											y escuchando la música
que su padre ponía en casa.
									","
											1960'da Haitili bir baba ve Puerto Ricalı
bir annenin oğlu Bisquiat,
											Boerum Hill'de çocukluğunu
sanat ve yaramazlık yaparak geçirdi.
											Hiçbir zaman sanat okuluna gitmese de
											New York galerilerini gezerek
											ve babasının evde çaldığı müziği 
dinleyerek sanatı öğrendi.
									",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
","
","
","
","
",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
											He drew inspiration from 
unexpected places,
											scribbling his own versions of cartoons, 
comic books and biblical scenes
											on scrap paper from his father’s office.
											But it was a medical encyclopedia 
that arguably
											exerted the most powerful
influence on Basquiat.
											When young Jean-Michael was hit by a car,
											his mother brought a copy of 
""Grey’s Anatomy"" to his hospital bed.
											It ignited a lifelong fascination 
with anatomy
											that manifested in the skulls, 
sinew and guts of his later work –
											which frequently explores both the power 
and vulnerability of marginalized bodies.
									","
											Inspirou-se em locais inesperados,
											rabiscando as suas versões de cartunes,
banda desenhada e cenas bíblicas
											em restos de papéis do escritório do pai.
											Mas, tudo indica que foi
uma enciclopédia de medicina
											que exerceu a maior influência
em Basquiat.
											Quando o jovem Jean-Michael
foi atropelado por um automóvel,
											a mãe dele levou-lhe um exemplar
da ""Anatomia de Grey"" ao hospital.
											A anatomia fascinou-o
para toda a sua vida,
											e manifestou-se nas caveiras, nos tendões
e nas tripas da sua obra posterior
											que ele explora com frequência
											na energia e na vulnerabilidade
de corpos marginalizados.
									","
											Il puise son inspiration 
dans des domaines inattendus,
											griffonnant ses propres versions de BD, 
de dessins animés et de scènes bibliques
											sur du papier brouillon provenant 
du bureau de son père.
											Mais c’est une encyclopédie médicale
											qui l'a sans doute marqué le plus.
											Quand le jeune Jean-Michel 
est renversé par une voiture,
											sa mère lui apporte un exemplaire 
de « Gray’s Anatomy » à l’hôpital.
											De là naît une fascination
pour l’anatomie qui ne le quittera pas.
											On la voit dans les crânes, tendons 
et entrailles de son travail tardif
											qui explore souvent la puissance 
et la vulnérabilité de corps marginalisés.
									","
											Obtenía inspiración 
de los sitios más inesperados,
											dibujaba sus versiones de cómics
caricaturas y escenas bíblicas
											en restos de papel
de la oficina de su padre.
											Una enciclopedia médica
fue la que posiblemente
											ejerció la mayor influencia
sobre Basquiat.
											De pequeño, Jean-Michel 
fue atropellado por un auto
											y su madre le trajo una copia de
""La Anatomía de Gray"" al hospital.
											Le despertó una fascinación por 
la anatomía que le duró toda la vida
											que expresó en las calaveras, tendones 
y entrañas en sus obras posteriores...
											que frecuentemente explora 
el poder y la vulnerabilidad
											de los cuerpos marginalizados.
									","
											Beklenmedik yerlerden ilham aldı,
											babasının ofisinden aldığı
müsvedde kağıtlara kendi karikatürlerini,
											çizgi romanlarını
ve İncil'le ilgili sahneleri çizdi.
											Ancak Basquiat üzerinde en güçlü etkiyi
											muhtemelen tıbbi 
bir ansiklopedi bırakmıştı.
											Genç Jean-Michael'e araba çarptığında,
											annesi hastanede okuması için ona
""Gray's Anatomy""nin kopyasını getirmişti.
											Bu kitap, anatomiden yaşamı boyunca
büyülenmesini sağlamıştı;
											sonraki çalışmalarında bunu kafatası,
kas telleri ve bağırsaklarla ortaya koydu,
											bu da ötekileştirilmiş vücutların
gücünü ve kırılganlığını keşfediyor.
									",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
","
","
","
","
",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
											By 17, he launched his first foray into 
the art world with his friend Al Diaz.
											They spray painted cryptic statements 
and symbols all over Lower Manhattan,
											signed with the mysterious moniker SAMO.
											These humorous, profound, 
and rebellious declarations
											were strategically scattered 
throughout Soho’s art scene.
											And after revealing himself as the artist,
											Basquiat leveraged SAMO’s success 
to enter the scene himself;
											selling postcards, playing clubs with
his avant-garde band,
											and boldly seeking out his heroes.
											By 21, he’d turned to painting full time.
									","
											Aos 17 anos, faz a primeira incursão
no mundo da arte com o seu amigo Al Diaz.
											Espalham inscrições e símbolos crípticos,
a ""spray"", por toda a baixa de Manhattan,
											assinadas com o misterioso
pseudónimo SAMO.
											Essas declarações humorísticas,
profundas e rebeldes
											foram espalhadas estrategicamente
por toda a cena artística do Soho.
											Depois de se revelar como o autor,
											Basquiat aproveitou o êxito do SAMO
para entrar em cena;
											vendendo postais, atuando em clubes
com a sua banda de vanguarda
											e procurando destemidamente
os seus heróis.
											Aos 21 anos, dedicou-se à pintura
a tempo inteiro.
									","
											A 17 ans, il fait une incursion dans
le monde de l’art avec son ami Al Diaz.
											Ils dessinent à la bombe des phrases et
symboles cryptiques dans Lower Manhattan,
											sous le pseudonyme mystérieux, SAMO.
											Ces déclarations drôles, profondes 
et subversives sont dispersées
											de façon stratégique à travers
le quartier artistique de Soho.
											Puis, après avoir révélé 
qu’il en est l’auteur,
											Basquiat profite du succès de SAMO 
pour faire son entrée sur la scène.
											Il vend des cartes postales, joue
avec son groupe avant-garde,
											et veut à tout prix rencontrer ses héros.
											A 21 ans, il commence à peindre 
à plein temps.
									","
											A los 17 hace su primera incursión
en el mundo artístico
											junto con su amigo Al Díaz.
											Pintaron con espray
inscripciones crípticas y símbolos
											en todo el Bajo Manhattan
											que firmarían con
el misterioso nombre de SAMO.
											Estas declaraciones cómicas, 
profundas y rebeldes
											las esparcieron estratégicamente 
por toda la escena artística de Soho.
											Luego de revelarse como el artista,
											Basquiat utilizó la fama de SAMO
para entrar en la escena artística;
											vendiendo postales, tocando en clubes
con su banda 'avant-garde'
											y presentándose audazmente
ante sus héroes.
											A los 21 se dedicó 
por completo a la pintura.
									","
											17 yaşında, arkadaşı Al Diaz ile birlikte
sanat dünyasına ilk girişini yaptı.
											Birlikte Lower Manhattan'ın her yerine
											sprey boyayla gizli ifadeler 
ve semboller çizdiler
											ve gizemli isim olan
SAMO adıyla imzaladılar.
											Bu mizahi, derin ve isyankar ifadeler
											stratejik olarak Soho'nun 
sanat sahnesi içerisinde dağıtıldı.
											Kendisini sanatçı olarak 
ilan ettikten sonra
											Basquiat SAMO'nun başarısını
sahneye girmek için güçlendirdi;
											kartpostallar sattı, 
avangart grubuyla kulüplerde çaldı
											ve cesurca kahramanlarını aradı.
											21 yaşında, tam zamanlı olarak
resim yapmaya başladı.
									",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
","
","
","
","
",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
"
											His process was a sort of 
calculated improvisation.
											Like Beat writers
											who composed their work by shredding 
and reassembling scraps of writing,
											Basquiat used similar cut-up techniques 
to remix his materials.
											When he couldn't afford canvases,
											he fashioned them out of discarded 
wood he found on the street.
											He used oil stick, crayons, 
spray paint and pencil
											and pulled quotes from the menus, 
comic books and textbooks
											he kept open on the studio floor.
									","
											O seu processo era uma espécie
de improvisação calculada.
											Tal como os escritores Beat
											que compunham as suas obras
											destruindo e reconstituindo
pedaços de escrita,
											Basquiat usou técnicas semelhantes
para misturar os seus materiais.
											Quando não tinha dinheiro
para comprar telas,
											utilizava tábuas deitadas fora
que encontrava na rua.
											Usava tinta de óleo, carvão,
tinta a ""spray"" e lápis
											e tirava citações das ementas,
de livros de BD e de manuais
											que mantinha abertas no chão do estúdio.
									","
											Il procède avec une sorte 
d’improvisation calculée.
											Comme ceux de la Beat Generation
											qui créaient leurs œuvres 
en déchirant puis rassemblant des écrits,
											Basquiat s’inspire de la technique 
de « cut-up » pour composer son matériel.
											Quand il n'en a pas les moyens,
											il fabrique ses toiles 
avec du bois de récup’.
											Il utilise pastels gras, crayons 
de couleur, aérosols et crayons à papier,
											et cite des phrases tirées de menus, 
de BD et de manuels scolaires
											qu’il laisse ouverts par terre.
									","
											Su proceso era una especie
de improvisación calculada.
											Como los escritores 
del Beat Generation
											que compusieron fragmentando
y reensamblando la escritura,
											Basquiat usó técnicas similares
cortando y mezclando sus materiales.
											Cuando no podía comprar lienzos
											usaba trozos desechados de madera
que conseguía en la calle.
											Usaba óleo en barra, creyones,
pintura en espray y lápices
											y sacaba palabras de los menús,
cómics y libros de texto
											que mantenía abiertos 
en el piso de su estudio.
									","
											Yöntemi bir tür hesaplanmış doğaçlamaydı.
											Basquiat, yazılarını parçalayarak
											ve yeniden birleştirerek çalışmalarını
besteleyen Beat yazarları gibi
											materyallerini karıştırmak için
benzer kesme teknikleri kullandı.
											Tuval alamadığı zaman,
											sokakta bulduğu atılmış odunlardan yaptı.
											Yağ çubuğu, boya kalemi,
sprey boya ve kalem kullandı
											ve tuttuğu stüdyo katında
menülerden, çizgi romanlardan
											ve ders kitaplarından alıntılar yaptı.
									",The chaotic brilliance of artist Jean-Michel Basquiat,Jordana Moore Saggese,4:21,"animation,art,TED-Ed,history,painting,identity,arts,culture,world cultures,race,human body,street art"
